paragraph	sentence	mid	title	start	end	notable_types
Collins was born at 11 New Cavendish Street, Marylebone, London, the son of well-known Royal Academician landscape artist, William Collins and his wife Harriet Geddes. Named after his father, he swiftly became known by his second name (which honoured his godfather, David Wilkie). The family moved to Pond Street, Hampstead, in 1826. In 1828 Collins's brother Charles Allston Collins was born. Between 1829 and 1830, the Collins family moved twice, first to Hampstead Square and then to Porchester Terrace, Bayswater. Wilkie and Charles received their early education from their mother at home. The Collins family was deeply religious, and Collins's mother enforced strict church attendance on her sons, which Wilkie didn't like.	Collins was born at 11 New Cavendish Street, Marylebone, London, the son of well-known Royal Academician landscape artist, William Collins and his wife Harriet Geddes.	/m/025wydk	William_Collins_(painter)	123	138	/book/author,/people/deceased_person,/people/person
Wilkie stood as godfather to the son of his fellow Academician William Collins. The boy was named after both men, and achieved fame as the novelist Wilkie Collins.	Wilkie stood as godfather to the son of his fellow Academician William Collins.	/m/025wydk	William_Collins_(painter)	63	78	/book/author,/people/deceased_person,/people/person
Morland was a close friend of fellow artist, William Armfield Hobday (1771–1831) who painted a portrait of the artist which is still intact. William Collins was an informal pupil and later wrote a biography.	William Collins was an informal pupil and later wrote a biography.	/m/025wydk	William_Collins_(painter)	0	15	/book/author,/people/deceased_person,/people/person
Collins was born in Hampstead, London, the son of landscape and genre painter William Collins. His older brother was the novelist Wilkie Collins. He was educated at Stonyhurst College in Lancashire.	Collins was born in Hampstead, London, the son of landscape and genre painter William Collins.	/m/025wydk	William_Collins_(painter)	78	93	/book/author,/people/deceased_person,/people/person
The rustic aspects of the composition draw on the established tradition of the picturesque, epitomised by the work of artists such as John Constable and William Collins. The satirical and critical aspects of Hogarth's style work in tandem with Brown's Pre-Raphaelitism, with its intense concentration on the complication of the pictorial surface in conflicting details. This image of potentially violent and jarring confrontation is set in opposition to the social harmony and deference epitomised by the picturesque tradition.	The rustic aspects of the composition draw on the established tradition of the picturesque, epitomised by the work of artists such as John Constable and William Collins.	/m/025wydk	William_Collins_(painter)	153	168	/book/author,/people/deceased_person,/people/person
Presidio faculty includes recognized, award-winning sustainability thought leaders such as Peter Warshall, and Andrew Hoffman, as well as academics, business practitioners, and published authors who have worked for and advised Fortune 500 companies, leading NGOs, and governments from around the world.	Presidio faculty includes recognized, award-winning sustainability thought leaders such as Peter Warshall, and Andrew Hoffman, as well as academics, business practitioners, and published authors who have worked for and advised Fortune 500 companies, leading NGOs, and governments from around the world.	/m/02rbs7l	Peter_Warshall	91	105	/book/author,/people/person
Ecotrust’s advisors have included urbanist Jane Jacobs, economist Herman Daly, forestry scientist Jerry Franklin, and counterculture icon Stewart Brand. In 2003, ecologist Peter Warshall summarized the organization’s activities with the statement, "Ecotrust is about designing a future."	In 2003, ecologist Peter Warshall summarized the organization’s activities with the statement, "Ecotrust is about designing a future.	/m/02rbs7l	Peter_Warshall	19	33	/book/author,/people/person
In college curricula of the United States, world history became a popular replacement for courses on Western Civilization, beginning in the 1970s. Professors Patrick Manning, previously of Northeastern University and now at the University of Pittsburgh's World History Center; and Ross E. Dunn at San Diego State are leaders in promoting innovative teaching methods.	Professors Patrick Manning, previously of Northeastern University and now at the University of Pittsburgh's World History Center; and Ross E. Dunn at San Diego State are leaders in promoting innovative teaching methods.	/m/025xjjj	Patrick_Manning_(professor)	11	26	/book/author,/people/person
Bernard Lewis writes: "In one of the sad paradoxes of human history, it was the humanitarian reforms brought by Islam that resulted in a vast development of the slave trade inside, and still more outside, the Islamic empire." He notes that the Islamic injunctions against the enslavement of Muslims led to massive importation of slaves from the outside. According to Patrick Manning, Islam by recognizing and codifying the slavery seems to have done more to protect and expand slavery than the reverse.	According to Patrick Manning, Islam by recognizing and codifying the slavery seems to have done more to protect and expand slavery than the reverse.	/m/025xjjj	Patrick_Manning_(professor)	13	28	/book/author,/people/person
Wuthering Heights's violence and passion led the Victorian public and many early reviewers to think that it had been written by a man. According to Juliet Gardiner, "the vivid sexual passion and power of its language and imagery impressed, bewildered and appalled reviewers." Even though it received mixed reviews when it first came out, and was often condemned for its portrayal of amoral passion, the book subsequently became an English literary classic.	According to Juliet Gardiner, "the vivid sexual passion and power of its language and imagery impressed, bewildered and appalled reviewers.	/m/0282jd8	Juliet_Gardiner	13	28	/book/author,/people/person
The Brontë sisters, Emily, Charlotte and Anne, were other significant novelists in the 1840s and 1850s. Their novels caused a sensation when they were first published but were subsequently accepted as classics. They had written compulsively from early childhood and were first published, at their own expense, in 1846 as poets under the pseudonyms Currer, Ellis and Acton Bell. The following year the three sisters each published a novel. Charlotte Brontë's (1816-55) work was Jane Eyre, which is written in an innovative style that combines naturalism with gothic melodrama, and broke new ground in being written from an intensely first-person female perspective. Emily Brontë's (1818-48) novel was Wuthering Heights and, according to Juliet Gardiner, "the vivid sexual passion and power of its language and imagery impressed, bewildered and appalled reviewers," and led the Victorian public and many early reviewers to think that it had been written by a man. Even though it received mixed reviews when it first came out, and was often condemned for its portrayal of amoral passion, the book subsequently became an English literary classic. The third Brontë novel of 1847 was Anne Brontë's (1820-49) Agnes Grey, which deals with the lonely life of a governess. Anne Brontë's second novel, The Tenant of Wildfell Hall (1848), is perhaps the most shocking of the Brontës' novels. In seeking to present the truth in literature, Anne's depiction of alcoholism and debauchery was profoundly disturbing to 19th-century sensibilities. Charlotte Brontë's Shirley was published in 1849, Villette in 1853, and The Professor in 1857.	Emily Brontë's (1818-48) novel was Wuthering Heights and, according to Juliet Gardiner, "the vivid sexual passion and power of its language and imagery impressed, bewildered and appalled reviewers," and led the Victorian public and many early reviewers to think that it had been written by a man.	/m/0282jd8	Juliet_Gardiner	71	86	/book/author,/people/person
Due to his business success he was invited to co-present Veg Talk on BBC Radio 4 with Charlie Hicks for seven years. He was the original presenter of Saturday Kitchen from 2002 until he was replaced by Antony Worrall Thompson in 2003. Wallace also presented Veg Out for the Discovery Channel, and Follow That Tomato for The Food Channel, resulting in a Royal Television Society award for Best Lifestyle Programme in 2003. In 2007, he appeared in the BBC reality TV singing contest Just the Two of Us where he partnered Carol Decker; they were the first to be eliminated. In 2008 and 2009 he presented two editions of The Money Programme on the effect that the current financial crisis is having on the public's attitudes towards food. In 2010, he appeared as one of the historical experts in the BBC One historical recreation series Turn Back Time: The High Street alongside Tom Herbert and Juliet Gardiner. Wallace regularly writes for Good Food and Olive magazine.	In 2010, he appeared as one of the historical experts in the BBC One historical recreation series Turn Back Time: The High Street alongside Tom Herbert and Juliet Gardiner.	/m/0282jd8	Juliet_Gardiner	156	171	/book/author,/people/person
History Today generally commissions its articles directly from academic authors and historians, though it is does accept unsolicited essays from freelance historians and others if the article is deemed to be serious history, of wide interest or of academic worth. Its authors are often leading scholars connected to the United Kingdom's most famous universities and have included Dr. David Starkey, Lord Asa Briggs and Juliet Gardiner.	Its authors are often leading scholars connected to the United Kingdom's most famous universities and have included Dr. David Starkey, Lord Asa Briggs and Juliet Gardiner.	/m/0282jd8	Juliet_Gardiner	155	170	/book/author,/people/person
The Brontë sisters, Emily, Charlotte and Anne, were other significant novelists in the 1840s and 1850s. Their novels caused a sensation when they were first published but were subsequently accepted as classics. They had written compulsively from early childhood and were first published, at their own expense, in 1846 as poets under the pseudonyms Currer, Ellis and Acton Bell. The following year the three sisters each published a novel. Charlotte Brontë's (1816–55) work was Jane Eyre, which is written in an innovative style that combines naturalism with gothic melodrama, and broke new ground in being written from an intensely first-person female perspective. Emily Brontë's (1818–48) novel was Wuthering Heights and, according to Juliet Gardiner, "the vivid sexual passion and power of its language and imagery impressed, bewildered and appalled reviewers," and led the Victorian public and many early reviewers to think that it had been written by a man. Even though it received mixed reviews when it first came out, and was often condemned for its portrayal of amoral passion, the book subsequently became an English literary classic. The third Brontë novel of 1847 was Anne Brontë's (1820–49) Agnes Grey, which deals with the lonely life of a governess. Anne Brontë's second novel, The Tenant of Wildfell Hall (1848), is perhaps the most shocking of the Brontës' novels. In seeking to present the truth in literature, Anne's depiction of alcoholism and debauchery was profoundly disturbing to 19th-century sensibilities. Charlotte Brontë's Shirley was published in 1849, Villette in 1853, and The Professor in 1857.	Emily Brontë's (1818–48) novel was Wuthering Heights and, according to Juliet Gardiner, "the vivid sexual passion and power of its language and imagery impressed, bewildered and appalled reviewers," and led the Victorian public and many early reviewers to think that it had been written by a man.	/m/0282jd8	Juliet_Gardiner	71	86	/book/author,/people/person
The family and producers were advised by a "war cabinet" of historians and others who helped advise on the home's renovation, educated the Hymers about life in 1940-1941, and evaluated the family's behavior during the show to ensure it conformed to 1940s standards. The show's chief advisor was British historian Juliet Gardiner. The family was advised on cooking and air-raid issues by home economist Marguerite Patten. The "war cabinet" also challenged the family at times: At one point, grandson Ben was named "fuel warden" and was given supervision of the family's fuel consumption. However, the family did admit to some cheating: Michael Hymers used Brylcreem for his hair, Thomas secretly listened to music by S Club 7, and both boys obtained modern snacks such as crisps from schoolmates. Lyn Hymers attempted to trade some of the show's authentic 1940s props to the neighbours for cigarettes. At another point, the family members refused to slaughter rabbits for food, and the producers had to provide them with dressed rabbit carcasses instead.	The show's chief advisor was British historian Juliet Gardiner.	/m/0282jd8	Juliet_Gardiner	47	62	/book/author,/people/person
The series is narrated by Hugh Bonneville. Gregg Wallace, Juliet Gardiner and Tom Herbert are also involved in the series as the "Chamber of Commerce", keeping an eye on the activities of the families.	Gregg Wallace, Juliet Gardiner and Tom Herbert are also involved in the series as the "Chamber of Commerce", keeping an eye on the activities of the families.	/m/0282jd8	Juliet_Gardiner	15	30	/book/author,/people/person
From the history traced by Nilsson and Guthrie, the Mycenean pantheon consisted of Minoan deities, but also of gods and goddesses who appear under different names with similar functions in East and West. Many of these names appearing in the Linear B inscriptions can be found later in classical Greece like Zeus, Hera, Poseidon, Athena, Hermes, Eileithyia and Dionysos, but the etymology is the only evidence of the cults.	From the history traced by Nilsson and Guthrie, the Mycenean pantheon consisted of Minoan deities, but also of gods and goddesses who appear under different names with similar functions in East and West.	/m/02668dw	W._K._C._Guthrie	39	46	/book/author,/people/deceased_person,/people/person
In comparison, Socrates accepted no fee, instead professed a self-effacing posture, which he exemplified by Socratic questioning (i.e. the Socratic method, although Diogenes Laertius wrote that Protagoras — a sophist — invented the "Socratic" method). His attitude towards the Sophists was by no means oppositional; in one dialogue Socrates even stated that the Sophists were better educators than he was, which he validated by sending one of his students to study under a sophist. W. K. C. Guthrie classified Socrates as a Sophist in his History of Greek Philosophy.	W. K. C. Guthrie classified Socrates as a Sophist in his History of Greek Philosophy.	/m/02668dw	W._K._C._Guthrie	0	16	/book/author,/people/deceased_person,/people/person
W. K. C. Guthrie in The Greek Philosophers sees it as an error to regard the Socratic method as a means by which one seeks the answer to a problem, or knowledge. Guthrie claims that the Socratic method actually aims to demonstrate one's ignorance. Socrates, unlike the Sophists, did believe that knowledge was possible, but believed that the first step to knowledge was recognition of one's ignorance. Guthrie writes, " was accustomed to say that he did not himself know anything, and that the only way in which he was wiser than other men was that he was conscious of his own ignorance, while they were not. The essence of the Socratic method is to convince the interlocutor that whereas he thought he knew something, in fact he does not."	W. K. C. Guthrie in The Greek Philosophers sees it as an error to regard the Socratic method as a means by which one seeks the answer to a problem, or knowledge.	/m/02668dw	W._K._C._Guthrie	0	16	/book/author,/people/deceased_person,/people/person
In her study of Native literature, Penny Petrone includes Jeannette Armstrong amongst a young generation of university trained Aboriginal authors who contributed purposeful, exciting, and original creative works to Canadian literature during the 1980s (138).	In her study of Native literature, Penny Petrone includes Jeannette Armstrong amongst a young generation of university trained Aboriginal authors who contributed purposeful, exciting, and original creative works to Canadian literature during the 1980s (138).	/m/025xmd0	Penny_Petrone	35	48	/book/author,/people/deceased_person,/people/person
Magnus inaugurated its 2001-2002 30th Anniversary Season in a newly built theatre attached to the historic Central School House, which houses Magnus' administrative offices, in Waverley Park heritage district. Central School was the first school in the City of Port Arthur. In 1884, 2 acres (8,100 m2) of Waverley Park land were granted by the Crown to the Public School Trustees and the original structure was built. The renovation of the school also included the preservation and enhancement of the Waverley Park Heritage Conservation District and Magnus Theatre was renamed in honor of one of their generous patrons, Dr. S. Penny Petrone Centre for the Performing Arts.	The renovation of the school also included the preservation and enhancement of the Waverley Park Heritage Conservation District and Magnus Theatre was renamed in honor of one of their generous patrons, Dr. S. Penny Petrone Centre for the Performing Arts.	/m/025xmd0	Penny_Petrone	209	222	/book/author,/people/deceased_person,/people/person
Ali failed to get an ornithologist's position which was open at the Zoological Survey of India due to the lack of a formal university degree and the post went instead to M. L. Roonwal. He was hired as guide lecturer in 1926 at the newly opened natural history section in the Prince of Wales Museum in Mumbai for the salary of Rs 350 a month. He however tired of the job after two years and took a study leave in 1928 to Germany, where he was to work under Professor Erwin Stresemann at the Berlin Zoological Museum. Part of the work involved examining the specimens collected by J. K. Stanford in Burma. Stanford being a BNHS member had communicated with Claud Ticehurst and had suggested that he could work on his own with assistance from the BNHS. Ticehurst did not appreciate the idea of an Indian being involved in the work and resented even more, the involvement of Stresemann, a German. Ticehurst wrote letters to the BNHS suggesting that the idea of collaborating with Stresemann was an insult to Stanford. This was however not heeded by Reginald Spence and Prater who encouraged Ali to conduct the studies at Berlin with the assistance of Stresemann. In Berlin, Ali made acquaintance with many of the major German ornithologists of the time including Bernhard Rensch, Oskar Heinroth and Ernst Mayr apart from meeting other Indians in Berlin including the revolutionary Chempakaraman Pillai. Ali also gained experience in bird ringing at the Heligoland Bird Observatory.	Part of the work involved examining the specimens collected by J. K. Stanford in Burma.	/m/0268th4	J._K._Stanford	63	77	/book/author,/military/military_person,/people/deceased_person,/people/person
The famous names in the ornithology of the Indian subcontinent during this era include Andrew Leith Adams (1827–1882), Edward Blyth (1810–1873), Edward Arthur Butler (1843–1916), Douglas Dewar (1875–1957), N. F. Frome (1899–1982), Hugh Whistler (1889–1943), H. H. Godwin-Austen (1834–1923), Col. W. H. Sykes(1790–1872), C. M. Inglis (1870–1954), Frank Ludlow (1885–1972), E. C. Stuart Baker (1864–1944), Henry Edwin Barnes (1848–1896), F. N. Betts (1906–1973), H. R. Baker, W. E. Brooks (1828–1899), Margaret Cockburn (1829–1928), James A. Murray, E. W. Oates (1845–1911), Ferdinand Stoliczka (1838–1874), Valentine Ball (1843–1894), W. T .Blanford (1832–1905), J. K. Stanford (1892–1971), Charles Swinhoe (1836–1923), Robert Swinhoe (1836–1877), C. H. T. Marshall (1841–1927), G. F. L. Marshall (1843–1934), R. S. P. Bates, James Franklin (1783–1834), Satya Churn Law, Arthur Edward Osmaston (1885–1961), Bertram Beresford Osmaston (1868–1961), Wardlaw Ramsay (1852–1921) and Samuel Tickell (1811–1875). Several comprehensive works were written by Jerdon, Hume, Marshall and E. C. S. Baker. Popular works were also written by Frank Finn, Douglas Dewar and Hugh Whistler. Those who joined the Indian Civil Services in later years had access to these works and this period was mostly dominated by their short notes in journals published by organisations such as the BNHS, Asiatic Society and the BOU.	The famous names in the ornithology of the Indian subcontinent during this era include Andrew Leith Adams (1827–1882), Edward Blyth (1810–1873), Edward Arthur Butler (1843–1916), Douglas Dewar (1875–1957), N. F. Frome (1899–1982), Hugh Whistler (1889–1943), H. H. Godwin-Austen (1834–1923), Col. W. H. Sykes(1790–1872), C. M. Inglis (1870–1954), Frank Ludlow (1885–1972), E. C. Stuart Baker (1864–1944), Henry Edwin Barnes (1848–1896), F. N. Betts (1906–1973), H. R. Baker, W. E. Brooks (1828–1899), Margaret Cockburn (1829–1928), James A. Murray, E. W. Oates (1845–1911), Ferdinand Stoliczka (1838–1874), Valentine Ball (1843–1894), W. T .Blanford (1832–1905), J. K. Stanford (1892–1971), Charles Swinhoe (1836–1923), Robert Swinhoe (1836–1877), C. H. T. Marshall (1841–1927), G. F. L. Marshall (1843–1934), R. S. P. Bates, James Franklin (1783–1834), Satya Churn Law, Arthur Edward Osmaston (1885–1961), Bertram Beresford Osmaston (1868–1961), Wardlaw Ramsay (1852–1921) and Samuel Tickell (1811–1875).	/m/0268th4	J._K._Stanford	662	676	/book/author,/military/military_person,/people/deceased_person,/people/person
J. K. Stanford, creator of George Hysteron-Proteron, wrote in 1964 that "George... owed his origin to a face in the East India Club... On one occasion at breakfast he sent for the waiter and said, in my hearing, 'Didn't I order mutton cutlets with blood? There's no blood in these! Take them away!' "	J. K. Stanford, creator of George Hysteron-Proteron, wrote in 1964 that "George... owed his origin to a face in the East India Club... On one occasion at breakfast he sent for the waiter and said, in my hearing, 'Didn't I order mutton cutlets with blood?	/m/0268th4	J._K._Stanford	0	14	/book/author,/military/military_person,/people/deceased_person,/people/person
Of J. K. Stanford's George Hysteron-Proteron, said to be a member of Boodle's, a real-life member wrote in 1944: "I see the author mentions Boodle's. I don't know if he is a member here but there are six George Proterons sitting round me in the smoking-room at the moment."	Of J. K. Stanford's George Hysteron-Proteron, said to be a member of Boodle's, a real-life member wrote in 1944: "I see the author mentions Boodle's.	/m/0268th4	J._K._Stanford	3	17	/book/author,/military/military_person,/people/deceased_person,/people/person
J. K. Stanford's fictional game shot George Hysteron-Proteron was said to have been educated at Eton, the Royal Military College, Sandhurst, and the Badminton Library.	J. K. Stanford's fictional game shot George Hysteron-Proteron was said to have been educated at Eton, the Royal Military College, Sandhurst, and the Badminton Library.	/m/0268th4	J._K._Stanford	0	14	/book/author,/military/military_person,/people/deceased_person,/people/person
Colonel the Hon. George Hysteron-Proteron is a fictional character created by author J. K. Stanford, He is introduced as a British soldier, sporting gun, and Lord of the manor of Five Mile Wallop, Cambridgeshire. He has been described as "a comic figure of sporting literature" and a "fanatical grouse shot".	George Hysteron-Proteron is a fictional character created by author J. K. Stanford, He is introduced as a British soldier, sporting gun, and Lord of the manor of Five Mile Wallop, Cambridgeshire.	/m/0268th4	J._K._Stanford	68	82	/book/author,/military/military_person,/people/deceased_person,/people/person
In Poland, welcoming with bread and salt ("chlebem i solą") is often associated with the traditional hospitality ("staropolska gościnność") of the Polish nobility (szlachta), who prided themselves on their hospitality. A 17th-century Polish poet, Wespazjan Kochowski, wrote in 1674: "O good bread, when it is given to guests with salt and good will!" Another poet who mentioned the custom was Wacław Potocki. The custom was, however, not limited to the nobility, as Polish people of all classes observed this tradition, reflected in old Polish proverbs.  Nowadays, the tradition is mainly observed on wedding days, when newlyweds are greeted with bread and salt by their parents on returning from the church wedding.	A 17th-century Polish poet, Wespazjan Kochowski, wrote in 1674: "O good bread, when it is given to guests with salt and good will!	/m/02rlgrb	Wespazjan_Kochowski	28	47	/book/author,/people/deceased_person,/people/person
In 1652 Sobieski fought against the Cossacks near Bracław and during Biała Cerkiew campaign. Marching with Jan Odrzywolski, but without his own hussar banner, Sobieski and his retinue came to the field hetman Kalinowski's camp at Batoh on May 31. Marek Sobieski and Odrzywolski were assigned to command cavalry banners during the subsequent battle, and in that capacity they fought on June 1 and 2. On June 2, during the second day of the Battle of Batoh after the defeat of Polish cavalry in the field before the Polish camp, Sobieski commanded a cavalry group, perhaps containing wounded filed hetman Kalinowski, that withdrew to the eastern redoubt in Polish camp, where Cossacks destroyed them after bringing artillery. Following Polish soldier Wespazjan Kochowski's writings Sobieski might have been the last Polish commander defending the Polish camp against the Cossack-Tatar army. Young commander was taken prisoner or surrendered, to be ransomed in a future as it was practice of the day, by the Tatars or Cossacks. After the battle, the Cossacks paid the Tatars for possession of the prisoners, and killed the Polish captives in retaliation for Chmielnicki’s defeat at Berestechko. Among the 8,000 massacred Polish soldiers was Marek Sobieski. or the number could have been much higher, up to 15,000 killed in action and massacred.	Following Polish soldier Wespazjan Kochowski's writings Sobieski might have been the last Polish commander defending the Polish camp against the Cossack-Tatar army.	/m/02rlgrb	Wespazjan_Kochowski	25	44	/book/author,/people/deceased_person,/people/person
In Poland, welcoming with bread and salt ("chlebem i solą") is often associated with the traditional hospitality ("staropolska gościnność") of the Polish nobility (szlachta), who prided themselves on their hospitality. A 17th-century Polish poet, Wespazjan Kochowski, wrote in 1674: "O good bread, when it is given to guests with salt and good will!" Another poet who mentioned the custom was Wacław Potocki. The custom was, however, not limited to the nobility, as Polish people of all classes observed this tradition, reflected in old Polish proverbs.  Nowadays, the tradition is mainly observed on wedding days, when newlyweds are greeted with bread and salt by their parents on returning from the church wedding.	A 17th-century Polish poet, Wespazjan Kochowski, wrote in 1674: "O good bread, when it is given to guests with salt and good will!	/m/02rlgrb	Wespazjan_Kochowski	28	47	/book/author,/people/deceased_person,/people/person
Gawiński is counted into the classical generation of Sarmatians – the generation of John III Sobieski, though his nobility is not certain. He descended likely from town Wilamowice near Cracow. He studied in the branch of Jagellon University in Biała Podlaska. Next he was a courtier of bishop Charles Ferdinand Vasa. He may has fought with Cossacks. Finally he settled down in Cracow and got married with Małgorzata Lajtner. There he worked in several offices, for instance the steward of salt works in Wieliczka and Bochnia. He was also the best friend of Wespazjan Kochowski – they have found the second wives for each another).	He was also the best friend of Wespazjan Kochowski – they have found the second wives for each another).	/m/02rlgrb	Wespazjan_Kochowski	31	50	/book/author,/people/deceased_person,/people/person
In 1633, in a folwark called Gaj, located near Wasniow, a prominent Polish language poet Wespazjan Kochowski was born. He dedicated one of his poems to Wasniow.	In 1633, in a folwark called Gaj, located near Wasniow, a prominent Polish language poet Wespazjan Kochowski was born.	/m/02rlgrb	Wespazjan_Kochowski	89	108	/book/author,/people/deceased_person,/people/person
In Golenowy lived (1660-1700) Wespazjan Kochowski, prominent poet.	In Golenowy lived (1660-1700) Wespazjan Kochowski, prominent poet.	/m/02rlgrb	Wespazjan_Kochowski	30	49	/book/author,/people/deceased_person,/people/person
For its centuries-long stance against the Muslim advances, the Polish–Lithuanian Commonwealth would gain the name of Antemurale Christianitatis. In 1683, the Battle of Vienna marked the final turning point in a 250-year struggle between the forces of Christian Europe and the Islamic Ottoman Empire. Wespazjan Kochowski in his Psalmodia polska (The Polish Psalmody, 1695) tells about the special role of Poland in the world (antemurale christianitatis – the bulwark of Christianity) and the superiority of Polish political system (złota wolność – the golden liberty).	Wespazjan Kochowski in his Psalmodia polska (The Polish Psalmody, 1695) tells about the special role of Poland in the world (antemurale christianitatis – the bulwark of Christianity) and the superiority of Polish political system (złota wolność – the golden liberty).	/m/02rlgrb	Wespazjan_Kochowski	0	19	/book/author,/people/deceased_person,/people/person
From the early 17th century, the culture of Polish Baroque was ideologically based on Sarmatism and Counter-Reformation, which during that century were fused into one powerful current of Catholic national mission. The Polish, Lithuanian and Ruthenian nobilities were thus reduced to one messianic "nation" of common origin, whose calling was the defense of Christianity and freedom in Europe. This uniquely understood role of the "chosen" Polish nation was being promoted by the leading writers of the period, including Wacław Potocki and Wespazjan Kochowski, and was to remain a part of the national mystique for a long time. The practical byproducts of this supposedly civic-minded, self-elevating point of view were parochialism, xenophobia, stagnation and intolerance. The Polish Catholic Church had remained likewise nationalistic and intellectually backward until the 18th century, when the reforms of the Council of Trent were belatedly and gradually implemented. The enormous proliferation of monasteries of several orders had at that time little constructive influence on the nation's spiritual life or level of popular education. The witch trials and executions for example, although not as common as in Germany, had been a continuous practice until the middle of the 18th century.	This uniquely understood role of the "chosen" Polish nation was being promoted by the leading writers of the period, including Wacław Potocki and Wespazjan Kochowski, and was to remain a part of the national mystique for a long time.	/m/02rlgrb	Wespazjan_Kochowski	146	165	/book/author,/people/deceased_person,/people/person
Jan Andrzej Morsztyn, a magnate active in royal court circles, represented the conceptismo current. He wrote romantic poetry and expert translations of foreign work. Zbigniew Morsztyn was a soldier and poet connected with the Polish Brethren. He had to spend half of his life in exile in Prussia and produced realistic poetry concerned with the hardships and dangers of military life. Another poet and member of the Polish Brethren, Wacław Potocki, converted to Catholicism. His poetry depicts the life of Polish landed gentry and historic events. He wrote the epic poem The Conduct of the Khotyn War (of 1621) and was deeply troubled by the social injustice in the Commonwealth and its decline. The szlachta apologist Wespazjan Kochowski expressed no such misgivings, but even he could not conceal the progressive degeneration of his class. In the era of constant warfare the writing of memoirs had become an often practiced art. Jan Chryzostom Pasek was one of the leading in Europe representatives of this genre.	The szlachta apologist Wespazjan Kochowski expressed no such misgivings, but even he could not conceal the progressive degeneration of his class.	/m/02rlgrb	Wespazjan_Kochowski	23	42	/book/author,/people/deceased_person,/people/person
While writing the poem, Williams struggled to find ways to incorporate the real world facts obtained through his research into the poem. On a worksheet for the poem, he wrote, "Make it factual (as the Life is factual-almost casual-always sensual-usually visual: related to thought)". Williams considered, but ultimately rejected, putting footnotes into the work describing some facts. Still, the style of the poem allowed for many opportunities to incorporate 'factual information', including portions of his own correspondence with the American poet Marcia Nardi and fellow New Jersey poet Allen Ginsberg as well as historical letters and articles concerning figures from Paterson's past (like Sam Patch and Mrs. Cumming) that figure thematically into the poem.	Still, the style of the poem allowed for many opportunities to incorporate 'factual information', including portions of his own correspondence with the American poet Marcia Nardi and fellow New Jersey poet Allen Ginsberg as well as historical letters and articles concerning figures from Paterson's past (like Sam Patch and Mrs. Cumming) that figure thematically into the poem.	/m/02rlk6t	Marcia_Nardi	166	178	/book/author,/people/deceased_person,/people/person
Poet Tanis Rideout also participated in the PERL tour and appears in the film.	Poet Tanis Rideout also participated in the PERL tour and appears in the film.	/m/02rm975	Tanis_Rideout	5	18	/book/author,/people/person
Bryan Michael Stoller and Michael Jackson were scheduled to co-direct the motion picture They Cage the Animals at Night, based on the best-selling novel by Jennings Michael Burch. Mel Gibson hired Stoller to write the screenplay adaptation of Burch's book, with Stoller and Jackson signed to co-direct. Stoller was also mentoring Jackson and his three children on filmmaking.	Bryan Michael Stoller and Michael Jackson were scheduled to co-direct the motion picture They Cage the Animals at Night, based on the best-selling novel by Jennings Michael Burch.	/m/02rn7n6	Jennings_Michael_Burch	156	178	/book/author,/people/person
