paragraph	sentence	mid	title	start	end	notable_types
Tyrrell was one of those behind the Arkansas Project, financed by Richard Mellon Scaife, to improve the Spectator's investigative journalism. He has explained the Project's purposes and accomplishments in his 2007 book, "The Clinton Crack-Up". Other books by Tyrrell include Madame Hillary: The Dark Road to the White House (2003).	Other books by Tyrrell include Madame Hillary: The Dark Road to the White House (2003).	/m/02r7ms	Madame_Hillary:_The_Dark_Road_to_the_White_House	31	79	/book/book,/book/written_work
Over fifty books and scholarly works have been written about Hillary Clinton, from many different perspectives. A 2006 survey by The New York Observer found "a virtual cottage industry" of "anti-Clinton literature", put out by Regnery Publishing and other conservative imprints, with titles such as Madame Hillary: The Dark Road to the White House, Hillary's Scheme: Inside the Next Clinton's Ruthless Agenda to Take the White House, and Can She Be Stopped? : Hillary Clinton Will Be the Next President of the United States Unless .... Books praising Clinton did not sell nearly as well (other than the memoirs written by her and her husband). When she ran for Senate in 2000, a number of fundraising groups such as Save Our Senate and the Emergency Committee to Stop Hillary Rodham Clinton sprang up to oppose her. Van Natta, Jr., found that Republican and conservative groups viewed her as a reliable "bogeyman" to mention in fundraising letters, on a par with Ted Kennedy and the equivalent of Democratic and liberal appeals mentioning Newt Gingrich.	A 2006 survey by The New York Observer found "a virtual cottage industry" of "anti-Clinton literature", put out by Regnery Publishing and other conservative imprints, with titles such as Madame Hillary: The Dark Road to the White House, Hillary's Scheme: Inside the Next Clinton's Ruthless Agenda to Take the White House, and Can She Be Stopped?	/m/02r7ms	Madame_Hillary:_The_Dark_Road_to_the_White_House	187	235	/book/book,/book/written_work
Watson's merger of diplomacy and business was not always lauded. During the 1930s, IBM's German subsidiary was its most profitable foreign operation, and a 2001 book, IBM and the Holocaust by Edwin Black, argues that Watson's pursuit of profit led him to personally approve and spearhead IBM's strategic technological relationship with the Third Reich. In particular, critics point to the coveted Order of the German Eagle medal that Watson received at the Berlin ICC meeting in 1937, as evidence that he was being honored for the help that IBM's German subsidiary Dehomag (Deutsche Hollerith-Maschinen Gesellschaft mbH) and its punch card machines provided the Nazi regime, particularly in the tabulation of census data. The most recent study of the matter, however, argues that Watson believed, perhaps naively, that the medal was in recognition of his years of labor on behalf of global commerce and international peace. Watson soon began second-guessing himself for accepting the medal, and eventually returned the medal to the German government in June 1940. German Chancellor Adolf Hitler was furious at the slight, and he declared that Watson would never step on German-controlled soil again. As anticipated, Dehomag went into revolt, its management decrying Watson's stupidity and openly wondering whether or not it would be best if the firm separated from its American owner. The debate ended when Germany declared war on the United States in December 1941, and the German shareholders took custody of the Dehomag operation. But during World War II, IBM subsidiaries in occupied Europe never stopped delivery of punch cards to Dehomag, and documents uncovered show that senior executives at IBM world headquarters in New York took great pains to maintain legal authority over Dehomag's operations and assets through the personal intervention of IBM managers in neutral Switzerland, directed via personal communications and private letters. Whether this was with or without Watson's direct involvement is unclear.	During the 1930s, IBM's German subsidiary was its most profitable foreign operation, and a 2001 book, IBM and the Holocaust by Edwin Black, argues that Watson's pursuit of profit led him to personally approve and spearhead IBM's strategic technological relationship with the Third Reich.	/m/02r9bp8	IBM_and_the_Holocaust	102	123	/book/book,/book/written_work
The majority of the books in A Series of Unfortunate Events pick up where the previous book ended, and the plots of the first seven books follow the same basic pattern: each book is thirteen chapters long (only exception for The End where there are actually fourteen chapters making for 170 chapters in total), where the Baudelaires are in a new predicament in a new location with a new guardian who has a literary name. The location of each book's critical events is usually identified in the book's title. Snicket works the siblings' respective skills into the story line. Violet always has something to invent, Klaus always finds a library to do research in, and in the early books, Sunny always finds something to chew on or, in later books, cook, as she begins to grow into her teeth and develops culinary skills (except in The Miserable Mill, where Violet and Klaus swap roles, Klaus being the inventor and Violet the researcher).	Violet always has something to invent, Klaus always finds a library to do research in, and in the early books, Sunny always finds something to chew on or, in later books, cook, as she begins to grow into her teeth and develops culinary skills (except in The Miserable Mill, where Violet and Klaus swap roles, Klaus being the inventor and Violet the researcher).	/m/030ysw	The_Miserable_Mill	254	272	/book/book,/book/written_work,/fictional_universe/work_of_fiction
In The Miserable Mill:	In The Miserable Mill:	/m/030ysw	The_Miserable_Mill	3	21	/book/book,/book/written_work,/fictional_universe/work_of_fiction
The book re-introduces the ship's cook, Phil, the Baudelaire's optimistic past fellow worker at the Lucky Smells Lumbermill. The Baudelaires discover that the crew of the Queequeg are searching for the mysterious sugar bowl.	The book re-introduces the ship's cook, Phil, the Baudelaire's optimistic past fellow worker at the Lucky Smells Lumbermill.	/m/030ysw	The_Miserable_Mill	74	78	/book/book,/book/written_work,/fictional_universe/work_of_fiction
Count Olaf's evil plans in The Miserable Mill involve a new trick: hypnotism. Olaf orders Georgina Orwell to hypnotize Klaus and use him as a puppet to gain the Baudelaire fortune. Over the course of the book, Klaus is un-hypnotized twice, when nearby people utter the word "inordinate," the counter-attack on this event of hypnosis. The bald man, one of Olaf's associates, tries to control Klaus through uttering the word "lucky," and at one point a hypnotized Klaus breaks their friend Phil's leg. This was a distraction, to try to get his sisters to think "lucky" was the word used to hypnotize him, when it wasn't. Klaus feels guilty afterward, but the ever-optimistic Phil makes light of the situation to make Klaus happy. Klaus also displays a knack for inventing in The Miserable Mill when he saves Charles from being sliced into boards by the bald man.	Count Olaf's evil plans in The Miserable Mill involve a new trick: hypnotism.	/m/030ysw	The_Miserable_Mill	27	45	/book/book,/book/written_work,/fictional_universe/work_of_fiction
Count Olaf's evil plans in The Miserable Mill involve a new trick: hypnotism. Olaf orders Georgina Orwell to hypnotize Klaus and use him as a puppet to gain the Baudelaire fortune. Over the course of the book, Klaus is un-hypnotized twice, when nearby people utter the word "inordinate," the counter-attack on this event of hypnosis. The bald man, one of Olaf's associates, tries to control Klaus through uttering the word "lucky," and at one point a hypnotized Klaus breaks their friend Phil's leg. This was a distraction, to try to get his sisters to think "lucky" was the word used to hypnotize him, when it wasn't. Klaus feels guilty afterward, but the ever-optimistic Phil makes light of the situation to make Klaus happy. Klaus also displays a knack for inventing in The Miserable Mill when he saves Charles from being sliced into boards by the bald man.	Klaus also displays a knack for inventing in The Miserable Mill when he saves Charles from being sliced into boards by the bald man.	/m/030ysw	The_Miserable_Mill	45	63	/book/book,/book/written_work,/fictional_universe/work_of_fiction
Moby-Dick; or, The Whale was dedicated to Melville's friend Nathaniel Hawthorne. It was not a financial success; the book never sold its initial printing of 3,000 copies in his lifetime, and total earnings from the American edition amounted to just $556.37 from his publisher, Harper & Brothers. Melville also wrote Billy Budd, White-Jacket, Israel Potter, Redburn, Typee, Omoo, Pierre, The Confidence-Man and many short stories, including "Bartleby, the Scrivener: A Story of Wall Street" and "Benito Cereno," and works of various genres.	Melville also wrote Billy Budd, White-Jacket, Israel Potter, Redburn, Typee, Omoo, Pierre, The Confidence-Man and many short stories, including "Bartleby, the Scrivener: A Story of Wall Street" and "Benito Cereno," and works of various genres.	/m/02kycv	Bartleby,_the_Scrivener	145	168	/book/book,/book/published_work,/book/short_story,/book/written_work,/fictional_universe/work_of_fiction,/internet/social_network_user,/media_common/adapted_work
John Jacob Astor is buried in the Trinity Churchyard Cemetery in the New York City borough of Manhattan, because many members of his family were members of that church despite Astor remaining a member of the local Reformed congregation to his death. Herman Melville used Astor as a symbol of the earliest fortunes in New York in his novella Bartleby, the Scrivener.	Herman Melville used Astor as a symbol of the earliest fortunes in New York in his novella Bartleby, the Scrivener.	/m/02kycv	Bartleby,_the_Scrivener	91	114	/book/book,/book/published_work,/book/short_story,/book/written_work,/fictional_universe/work_of_fiction,/internet/social_network_user,/media_common/adapted_work
