paragraph	sentence	mid	title	start	end	notable_types
Rodrigues is well known for his diverse research interests such as the applications of Clifford algebras, the study of extraordinary solutions of the relativistic wave equations, and the foundations of quantum mechanics and relativity; he has given several lectures on these subjects at international meetings. He advised 12 Ph.D. theses in both mathematics and physics, and is the author of more 135 papers published in leading scientific journals and dozens of chapters of books. More than a hundred of his papers are reviewed in Mathematics Reviews and the Zentrallblat für Mathematik. He serves on the editorial board of the journals Advances in Applied Clifford Algebras and Random Operators and Stochastic Equations. He is a member of the American Mathematical Society, the International Association of Mathematical Physics, Brazilian Mathematical Society, the Brazilian Society for Applied and Computational Mathematics, the Brazilian Physical Society, the New York Academy of Sciences, and the Lódz Society of Sciences. He won in 1992 and in 1998 the Zeferino Vaz Prize for Academic Achievement in Mathematics. He is author (among others) of the books Nonlocality in Quantum Physics (with A. A. Grib) and The Many Faces of Maxwell, Dirac and Einstein Equations, A Clifford Bundle Approach (with E. Capelas de Oliveira). Rodrigues has been a Visiting Scientist at MIT (USA) in 1976/1978 and Visiting Professor at Trento University (1987/1988), Perugia University (1989), and Liverpool University (2001/2002). He is Chairman of The Telesio Galilei Academy of Science, Editor-in-Chief of the Springer-Birkhäuser journal Advances in Applied Clifford Algebras, and member of the Russian Academy of Natural Sciences (RANS). He is the Telesio Galilei Academy of Science Chairman, and the recipient of the Paul Sabatier University gold medal for contribution to mathematical physics. He was enthroned to Chevalier de la Dive Bouteille de Gaillac.	He serves on the editorial board of the journals Advances in Applied Clifford Algebras and Random Operators and Stochastic Equations.	/m/027ywst	Advances_in_Applied_Clifford_Algebras	49	86	/book/journal,/book/periodical,/business/employer
Rodrigues is well known for his diverse research interests such as the applications of Clifford algebras, the study of extraordinary solutions of the relativistic wave equations, and the foundations of quantum mechanics and relativity; he has given several lectures on these subjects at international meetings. He advised 12 Ph.D. theses in both mathematics and physics, and is the author of more 135 papers published in leading scientific journals and dozens of chapters of books. More than a hundred of his papers are reviewed in Mathematics Reviews and the Zentrallblat für Mathematik. He serves on the editorial board of the journals Advances in Applied Clifford Algebras and Random Operators and Stochastic Equations. He is a member of the American Mathematical Society, the International Association of Mathematical Physics, Brazilian Mathematical Society, the Brazilian Society for Applied and Computational Mathematics, the Brazilian Physical Society, the New York Academy of Sciences, and the Lódz Society of Sciences. He won in 1992 and in 1998 the Zeferino Vaz Prize for Academic Achievement in Mathematics. He is author (among others) of the books Nonlocality in Quantum Physics (with A. A. Grib) and The Many Faces of Maxwell, Dirac and Einstein Equations, A Clifford Bundle Approach (with E. Capelas de Oliveira). Rodrigues has been a Visiting Scientist at MIT (USA) in 1976/1978 and Visiting Professor at Trento University (1987/1988), Perugia University (1989), and Liverpool University (2001/2002). He is Chairman of The Telesio Galilei Academy of Science, Editor-in-Chief of the Springer-Birkhäuser journal Advances in Applied Clifford Algebras, and member of the Russian Academy of Natural Sciences (RANS). He is the Telesio Galilei Academy of Science Chairman, and the recipient of the Paul Sabatier University gold medal for contribution to mathematical physics. He was enthroned to Chevalier de la Dive Bouteille de Gaillac.	He is Chairman of The Telesio Galilei Academy of Science, Editor-in-Chief of the Springer-Birkhäuser journal Advances in Applied Clifford Algebras, and member of the Russian Academy of Natural Sciences (RANS).	/m/027ywst	Advances_in_Applied_Clifford_Algebras	109	146	/book/journal,/book/periodical,/business/employer
Sir John Laws is noted for his extrajudicial writings in the journal, Public Law. His most notable contribution, "Law and Democracy", asserts that the constitution would be undemocratic if it gave all the power under it to the elected government. Therefore it is the constitution, and not Parliament, that should be sovereign in the British constitution. He posits that the constitution must create a "higher-order law" in which human rights and constitutional fundamentals in a democracy can be protected by the courts against the abuses of government. This position stems from a fundamental distrust of the political constitution in holding the executive to account. It is similar in form to Lord Hailsham's claim that in Britain there is an "elective dictatorship". Sir John does not see this shift to the legal sphere as being anti-democratic because judges uphold apolitical values that no politician would contest and are above the arguments that take place in the political sphere between politicians of political parties.	Sir John Laws is noted for his extrajudicial writings in the journal, Public Law.	/m/02rxzs7	Public_Law_(journal)	70	80	/book/journal,/book/periodical,/business/employer
Hare, I (2006), "Crosses, Crescents and Sacred Cows: Criminalising Incitement to Racial Hatred", Public Law: 521	Hare, I (2006), "Crosses, Crescents and Sacred Cows: Criminalising Incitement to Racial Hatred", Public Law: 521	/m/02rxzs7	Public_Law_(journal)	97	107	/book/journal,/book/periodical,/business/employer
In addition, Richmond publishes four scholarly legal journals: the University of Richmond Law Review, the Richmond Journal of Law and Technology, the Richmond Journal of Global Law and Business, and the Richmond Journal of Law and the Public Interest, as well as Juris Publici, the law school's student newspaper. Recently, Juris Publici launched its own blog to keep students and visitors updated on news and events at the school.	In addition, Richmond publishes four scholarly legal journals: the University of Richmond Law Review, the Richmond Journal of Law and Technology, the Richmond Journal of Global Law and Business, and the Richmond Journal of Law and the Public Interest, as well as Juris Publici, the law school's student newspaper.	/m/0262kjk	Richmond_Journal_of_Law_and_Technology	106	144	/book/journal,/book/periodical,/business/employer
The Monash University Law Review, the School's flagship review, is one of the scholarly refereed law journals based at Monash Law School.	The Monash University Law Review, the School's flagship review, is one of the scholarly refereed law journals based at Monash Law School.	/m/02x2mqp	Monash_University_Law_Review	4	32	/book/journal,/book/periodical,/business/employer
Freiberg spent his undergraduate years at the University of Melbourne, where he studied law and criminology. He graduated in 1972 with an honours degree in Law and a diploma in Criminology. He held a number of professional and academic positions, including editor of the Monash University Law Review, before obtaining a Master of Laws from Monash in 1984.	He held a number of professional and academic positions, including editor of the Monash University Law Review, before obtaining a Master of Laws from Monash in 1984.	/m/02x2mqp	Monash_University_Law_Review	81	109	/book/journal,/book/periodical,/business/employer
Finkelstein entered into the debate on judicial activism in a journal article published in the Monash University Law Review, in which he stated that, while he opposes judges acting as "ad hoc legislators", it is naive to think that a judge's background, education, heritage and personal ethical views do not influence their decisions.	Finkelstein entered into the debate on judicial activism in a journal article published in the Monash University Law Review, in which he stated that, while he opposes judges acting as "ad hoc legislators", it is naive to think that a judge's background, education, heritage and personal ethical views do not influence their decisions.	/m/02x2mqp	Monash_University_Law_Review	95	123	/book/journal,/book/periodical,/business/employer
Baxt is involved in a number of Australian legal publications. He is the founder and now General Editor of the Company and Securities Law Journal as well as the Australian Business Law Review. He is also Editor of the monthly newsletter on corporate regulation, The Baxt Report. In his time as an academic, he was also and Editor of the Monash University Law Review.	In his time as an academic, he was also and Editor of the Monash University Law Review.	/m/02x2mqp	Monash_University_Law_Review	58	86	/book/journal,/book/periodical,/business/employer
William Phillips, a New Zealand born economist, wrote a paper in 1958 titled The Relation between Unemployment and the Rate of Change of Money Wage Rates in the United Kingdom, 1861-1957, which was published in the quarterly journal Economica. In the paper Phillips describes how he observed an inverse relationship between money wage changes and unemployment in the British economy over the period examined. Similar patterns were found in other countries and in 1960 Paul Samuelson and Robert Solow took Phillips' work and made explicit the link between inflation and unemployment: when inflation was high, unemployment was low, and vice-versa.	William Phillips, a New Zealand born economist, wrote a paper in 1958 titled The Relation between Unemployment and the Rate of Change of Money Wage Rates in the United Kingdom, 1861-1957, which was published in the quarterly journal Economica.	/m/02pxwhm	Economica	233	242	/book/journal,/book/periodical
