paragraph	sentence	mid	title	start	end	notable_types
The University of Missouri Press was established in 1958 and today publishes over 70 titles per year, including several series such as the Missouri Biography Series. It also distributes books for the Missouri Historical Society Press.	The University of Missouri Press was established in 1958 and today publishes over 70 titles per year, including several series such as the Missouri Biography Series.	/m/02pn5yg	University_of_Missouri_Press	4	32	/book/publishing_company,/business/employer
Traditional Ozark culture includes stories and tunes passed orally between generations through community music parties and other informal gatherings. Many of these tunes and tales can be traced to having British origins and to German folklore. Moreover, historian Vance Randolph attributes the formation of much Ozark lore to individual families when "backwoods parents begin by telling outrageous whoppers to their children and end by half believing the wildest of these tales themselves." Randolph collected Ozark folklore and lyrics in volumes such as the national bestseller Pissing in the Snow and Other Ozark Folktales (University of Illinois Press, 1976), Ozark Folksongs (University of Missouri Press, 1980), a four-volume anthology of regional songs and ballads collected in the 1920s and 1930s, and Ozark Magic and Folklore (Courier Dover Publications, 1964). Evidenced by Randolph's extensive field work, many Ozark anecdotes from the oral tradition are often bawdy, full of wild embellishments on everyday themes. In 1941-42, commissioned by Alan Lomax of the Archive of Folk Culture, Randolph returned to the Ozarks with a portable recording machine from the Library of Congress and captured over 800 songs, ballads and instrumentals. Selected from among these several hundred recordings, 35 tracks were released on Various Artists: Ozark Folksongs (Rounder Records) in 2001.	" Randolph collected Ozark folklore and lyrics in volumes such as the national bestseller Pissing in the Snow and Other Ozark Folktales (University of Illinois Press, 1976), Ozark Folksongs (University of Missouri Press, 1980), a four-volume anthology of regional songs and ballads collected in the 1920s and 1930s, and Ozark Magic and Folklore (Courier Dover Publications, 1964).	/m/02pn5yg	University_of_Missouri_Press	191	219	/book/publishing_company,/business/employer
Gaertner, John T. (1990). North Bank Road. Washington State University Press. ISBN 978-0-87422-070-4.	Washington State University Press.	/m/02px364	Washington_State_University_Press	0	33	/book/publishing_company,/business/employer
In 1960, he went under contract with the publisher of Treasure Chest, a comic book distributed exclusively through parochial schools. Crandall illustrated many covers and countless stories for Treasure Chest through 1972. In 1964, he illustrated books by Edgar Rice Burroughs for Canaveral Press. The following year, he began contributing to Warren Publishing's black-and-white war-comics magazine Blazing Combat, and soon went on to contribute to the company's line of black-and-white horror publications, including Creepy and Eerie. In the mid-to-late 1960s, he illustrated superhero-espionage stories for Tower Comics, and space opera science fiction in King Features Syndicate's King Comics comic-book version of the syndicate's long-running hero Flash Gordon.	In 1964, he illustrated books by Edgar Rice Burroughs for Canaveral Press.	/m/02x3nh6	Canaveral_Press	58	73	/book/publishing_company,/business/employer
Spirits, Stars, and Spells: the Profits and Perils of Magic is a 1966 history book by L. Sprague de Camp and Catherine Crook de Camp, published by Canaveral Press. The book sold slowly, and the remaining stock was taken over by Owlswick Press and sold under its own name with new dust jackets in 1980. It has been translated into Polish.	Spirits, Stars, and Spells: the Profits and Perils of Magic is a 1966 history book by L. Sprague de Camp and Catherine Crook de Camp, published by Canaveral Press.	/m/02x3nh6	Canaveral_Press	147	162	/book/publishing_company,/business/employer
I Am a Barbarian is a historical novel by Edgar Rice Burroughs written in 1941 but was not published until after the author's death, first appearing in hardback on September 1, 1967 as published by Edgar Rice Burroughs, Inc.. The book was originally to have been published by Canaveral Press. When Canaveral stopped adding titles to its catalog, Edgar Rice Burroughs, Inc. took up the project. It was the first book the firm had published since Llana of Gathol, in 1948.	The book was originally to have been published by Canaveral Press.	/m/02x3nh6	Canaveral_Press	50	65	/book/publishing_company,/business/employer
Tarzan and the Madman is a novel written by Edgar Rice Burroughs, the twenty-third in his series of books about the title character Tarzan. Written from January–February 1940, the story was never published in Burroughs' lifetime. It was first published in hardcover by Canaveral Press in June 1964, and in paperback by Ballantine Books in February 1965.	It was first published in hardcover by Canaveral Press in June 1964, and in paperback by Ballantine Books in February 1965.	/m/02x3nh6	Canaveral_Press	39	54	/book/publishing_company,/business/employer
Tarzan and the Castaways is a collection of stories written by Edgar Rice Burroughs, the twenty-fourth in his series of books about the title character Tarzan. In addition to the title novella, it includes two Tarzan short stories. Of the three pieces, "Tarzan and the Jungle Murders" was written first, in January 1939. It was first published in the magazine Thrilling Adventures in the issue for June 1940. "Tarzan and the Champion" was written in July 1939, and first published in Blue Book Magazine in the issue for April 1940. "The Quest of Tarzan" was begun in November 1940 and first published in the magazine Argosy Weekly as a three-part serial in the issues for August 23, August 30, and September 6, 1941. The three stories were gathered together and first published in book form in hardcover by Canaveral Press in 1965. At that time "The Quest of Tarzan" was retitled "Tarzan and the Castaways" to avoid confusion with the earlier Tarzan novel Tarzan's Quest. The first paperback edition was issued by Ballantine Books in July 1965.	The three stories were gathered together and first published in book form in hardcover by Canaveral Press in 1965.	/m/02x3nh6	Canaveral_Press	90	105	/book/publishing_company,/business/employer
Subspace Explorers is a science fiction novel by E. E. "Doc" Smith. It was first published in 1965 by Canaveral Press in an edition of 1,460 copies. The novel is an expansion of Smith's story "Subspace Survivors" which first appeared in the July 1960 issue of the magazine Astounding.	It was first published in 1965 by Canaveral Press in an edition of 1,460 copies.	/m/02x3nh6	Canaveral_Press	34	49	/book/publishing_company,/business/employer
The book was first published in hardcover by Canaveral Press in 1965 under the title Edgar Rice Burroughs: Master of Adventure. A revised and enlarged second edition with a new introduction by the author was published in paperback by Ace Books in 1968, with a third "centennial edition," adding a new introduction by the author and also in paperback, following from the same publisher in 1975. Both Ace editions featured cover art by Frank Frazetta, that of 1968 being recycled from the publisher's earlier edition of Burroughs's The Beasts of Tarzan, and that of 1975 being new.	The book was first published in hardcover by Canaveral Press in 1965 under the title Edgar Rice Burroughs: Master of Adventure.	/m/02x3nh6	Canaveral_Press	45	60	/book/publishing_company,/business/employer
