paragraph	sentence	mid	title	start	end	notable_types
Boise is the headquarters for several major companies, such as Boise Cascade LLC, New Albertsons Inc., Albertsons LLC, J.R. Simplot Company, Idaho Pacific Lumber Company, Idaho Timber, WinCo Foods, Bodybuilding.com, and Clearwater Analytics. Other major industries are headquartered in Boise or have large manufacturing facilities present. The state government is also one of the city's largest employers.	Boise is the headquarters for several major companies, such as Boise Cascade LLC, New Albertsons Inc., Albertsons LLC, J.R. Simplot Company, Idaho Pacific Lumber Company, Idaho Timber, WinCo Foods, Bodybuilding.com, and Clearwater Analytics.	/m/03b4x6	WinCo_Foods	185	196	/business/business_operation,/business/employer,/organization/organization
Between 1949 and the 1980s, telephone communications in Greece were a state monopoly by the Hellenic Telecommunications Organization, better known by its acronym, OTE. Despite the liberalization of telephone communications in the country in the 1980s, OTE still dominates the Greek market in its field and has emerged as one of the largest telecommunications companies in South-eastern Europe. Since 2011, the majority share holder at OTE is Deutsche Telekom, with 40%, while the Greek state has 10% of the company's shares. OTE owns a total of 13 subsidiaries in four countries across the Balkans, including Greece's top mobile telecommunications provider, Cosmote.	OTE owns a total of 13 subsidiaries in four countries across the Balkans, including Greece's top mobile telecommunications provider, Cosmote.	/m/02rcjd0	Cosmote	133	140	/business/business_operation,/business/employer,/organization/organization
Greece has three mobile telecom companies; Cosmote, Vodafone and WIND.	Greece has three mobile telecom companies; Cosmote, Vodafone and WIND.	/m/02rcjd0	Cosmote	43	50	/business/business_operation,/business/employer,/organization/organization
The OTE Group mobile telecommunications subsidiary, COSMOTE, is also present in mobile telephony in:	The OTE Group mobile telecommunications subsidiary, COSMOTE, is also present in mobile telephony in:	/m/02rcjd0	Cosmote	52	59	/business/business_operation,/business/employer,/organization/organization
A bonus track from the Greek album was released on October 29, 2008, along with its music video. The song, titled To Parelthon Mou ("My Past"), is the title track to the Greek film Bank Bang, released in December 2008. The music video for the song was filmed on October 22, 2008, at The Mall Athens. With Cosmote sponsoring the album, three songs from the album were released on November 26, 2008, exclusively on the Cosmote online music store.	With Cosmote sponsoring the album, three songs from the album were released on November 26, 2008, exclusively on the Cosmote online music store.	/m/02rcjd0	Cosmote	5	12	/business/business_operation,/business/employer,/organization/organization
A bonus track from the Greek album was released on October 29, 2008, along with its music video. The song, titled To Parelthon Mou ("My Past"), is the title track to the Greek film Bank Bang, released in December 2008. The music video for the song was filmed on October 22, 2008, at The Mall Athens. With Cosmote sponsoring the album, three songs from the album were released on November 26, 2008, exclusively on the Cosmote online music store.	With Cosmote sponsoring the album, three songs from the album were released on November 26, 2008, exclusively on the Cosmote online music store.	/m/02rcjd0	Cosmote	5	12	/business/business_operation,/business/employer,/organization/organization
It started operations under the brand name Cosmorom, but was re-branded as Cosmote România in 6 December 2005, after the takeover by the Greek Cosmote in August 2005.	It started operations under the brand name Cosmorom, but was re-branded as Cosmote România in 6 December 2005, after the takeover by the Greek Cosmote in August 2005.	/m/02rcjd0	Cosmote	75	82	/business/business_operation,/business/employer,/organization/organization
Nevertheless, OTE's mobile arm Cosmote (which also owns mobile operators in Bulgaria, the Republic of Macedonia and Albania) agreed to buy the majority (70%) of shares from Romtelecom and relaunch the troubled Romanian operator under its management.	Nevertheless, OTE's mobile arm Cosmote (which also owns mobile operators in Bulgaria, the Republic of Macedonia and Albania) agreed to buy the majority (70%) of shares from Romtelecom and relaunch the troubled Romanian operator under its management.	/m/02rcjd0	Cosmote	31	38	/business/business_operation,/business/employer,/organization/organization
The magazine is known for its annual Best and Worst awards, which have been published since 1977. The editors and staff writers of D also publish Front Burner, a blog about things relating to Dallas. In 2000, Allison launched a sister magazine, D Home, for the home furnishings industry, and in 2003 a magazine for local brides called D Weddings. By 2007 there were five more magazines under the D brand, serving various communities of interest, as well as nine associated community weeklies serving affluent neighborhoods in Dallas.	By 2007 there were five more magazines under the D brand, serving various communities of interest, as well as nine associated community weeklies serving affluent neighborhoods in Dallas.	/m/02rj70n	People_Newspapers	110	144	/business/business_operation,/business/employer,/organization/organization
Wick Allison, birth name Lodowick Brodie Cobb Allison (born March 17, 1948), is an American magazine publisher and author. He currently is the owner of D Magazine, a monthly magazine covering Dallas-Fort Worth, which he co-founded in 1974, and the principal owner of People Newspapers, which he purchased in 2003. He also serves as president of the non-profit American Ideas Institute.	He currently is the owner of D Magazine, a monthly magazine covering Dallas-Fort Worth, which he co-founded in 1974, and the principal owner of People Newspapers, which he purchased in 2003.	/m/02rj70n	People_Newspapers	144	161	/business/business_operation,/business/employer,/organization/organization
