paragraph	sentence	mid	title	start	end	notable_types
Two railways pass through Platt Bridge; one, the West Coast Main Line, the other a disused industrial line. Platt Bridge had a railway station on the Manchester and Wigan Railway line that closed in 1969.	Platt Bridge had a railway station on the Manchester and Wigan Railway line that closed in 1969.	/m/026v1sn	Manchester_and_Wigan_Railway	42	70	/business/employer
Ince was once criss-crossed by railway lines on the London and North Western Railway's Warrington to Wigan, Eccles to Wigan, Wigan to St Helens and Springs Branch to Haigh and Aspull lines, the Lancashire and Yorkshire Railway's Bury to Liverpool line and the Great Central Railway line from Glazebrook to Wigan as well as local colliery lines.	Ince was once criss-crossed by railway lines on the London and North Western Railway's Warrington to Wigan, Eccles to Wigan, Wigan to St Helens and Springs Branch to Haigh and Aspull lines, the Lancashire and Yorkshire Railway's Bury to Liverpool line and the Great Central Railway line from Glazebrook to Wigan as well as local colliery lines.	/m/026v1sn	Manchester_and_Wigan_Railway	108	123	/business/employer
Opened on 1 November 1887, Monton Green was the first station on the London and North Western Railway's Manchester and Wigan Railway, which connected Eccles with Wigan and the Tyldesley Loopline which connected Tyldesley, Leigh and Kenyon Junction. Other stations on the line were located at Worsley and Ellenbrook. The station was built on an embankment at the road junctions of Canal Bank and Parrin Lane in Monton.	Opened on 1 November 1887, Monton Green was the first station on the London and North Western Railway's Manchester and Wigan Railway, which connected Eccles with Wigan and the Tyldesley Loopline which connected Tyldesley, Leigh and Kenyon Junction.	/m/026v1sn	Manchester_and_Wigan_Railway	104	132	/business/employer
Worsley Station opened on 1 September 1864 at the same time as other stations on the Manchester and Wigan Railway line. Local colliery owners including the Earl of Ellesmere were among its supporters. The station was built of white brick with details in red and black brick. The station had two first class and two second class waiting rooms and a booking office. It had a glass canopy and the platforms were 100 yards in length.	Worsley Station opened on 1 September 1864 at the same time as other stations on the Manchester and Wigan Railway line.	/m/026v1sn	Manchester_and_Wigan_Railway	85	113	/business/employer
Ellenbrook railway station was a railway station in Ellenbrook, Worsley, then within the historic county of Lancashire, England, on the Manchester and Wigan Railway line.	Ellenbrook railway station was a railway station in Ellenbrook, Worsley, then within the historic county of Lancashire, England, on the Manchester and Wigan Railway line.	/m/026v1sn	Manchester_and_Wigan_Railway	136	164	/business/employer
The Tyldesley Loopline was part of the London and North Western Railway's Manchester and Wigan Railway line from Eccles to the junction west of Tyldesley station and its continuance south west via Bedford Leigh to Kenyon Junction on the Liverpool and Manchester Railway. The line opened on 1 September 1864 with stations at Worsley, Ellenbrook, Tyldesley, Leigh and Pennington before joining the Liverpool and Manchester Railway at Kenyon Junction.	The Tyldesley Loopline was part of the London and North Western Railway's Manchester and Wigan Railway line from Eccles to the junction west of Tyldesley station and its continuance south west via Bedford Leigh to Kenyon Junction on the Liverpool and Manchester Railway.	/m/026v1sn	Manchester_and_Wigan_Railway	74	102	/business/employer
The London and North Western Railway (LNWR) opened a line from Eccles to Wigan via Tyldesley and the Tyldesley Loopline via Leigh to Kenyon Junction in 1864, providing the impetus for the rapid exploitation of coal reserves to the south of the railway line. Jackson's Astley and Tyldesley Coal and Salt Company sank two shafts at St Georges Colliery, commonly known as Back o' t' Church, to the south of Tyldesley Station. In 1866, Nook Colliery No 1 Pit, south of Darlington's original Gin Pit was sunk. The company also sank a pit at Cross Hillock south of the Leigh to Manchester road in near Higher Green Lane but flooding caused it to close by 1887. The deep collieries replaced the older pits in the area. A new shaft was sunk at Gin Pit in 1872 and a second shaft a year later at Nook Pit. St George's No 3 pit was sunk in 1883 and by 1899 Nook No 3 was in operation.	The London and North Western Railway (LNWR) opened a line from Eccles to Wigan via Tyldesley and the Tyldesley Loopline via Leigh to Kenyon Junction in 1864, providing the impetus for the rapid exploitation of coal reserves to the south of the railway line.	/m/026v1sn	Manchester_and_Wigan_Railway	63	78	/business/employer
In 1860 John Holland, a railway contractor from Ireland, joined the company and the Tyldesley Coal Company was formed in 1870. The London and North Western Railway (LNWR) built a line from Eccles to Wigan via Tyldesley and the Tyldesley Loopline via Leigh to Kenyon Junction in 1864 providing the impetus for the exploitation of coal seams in Tyldesley and Greens Sidings were constructed for the company to the east of Tyldesley Station.	The London and North Western Railway (LNWR) built a line from Eccles to Wigan via Tyldesley and the Tyldesley Loopline via Leigh to Kenyon Junction in 1864 providing the impetus for the exploitation of coal seams in Tyldesley and Greens Sidings were constructed for the company to the east of Tyldesley Station.	/m/026v1sn	Manchester_and_Wigan_Railway	62	77	/business/employer
The collieries were linked by an extensive system of mineral lines linked to workshops at Walkden Yard. The collieries were linked to mainline railways at Ellenbrook and Sandersons Sidings on the Tyldesley Loopline, at Astley Green sidings on the Liverpool and Manchester Railway, at Walkden Low Level on the line to Bolton, at Walkden High Level on the Manchester and Wigan Railway and at Linnyshaw Moss on the Manchester to Bolton Line. There were canal tips at Boothstown and Worsley on the Bridgewater Canal.	The collieries were linked to mainline railways at Ellenbrook and Sandersons Sidings on the Tyldesley Loopline, at Astley Green sidings on the Liverpool and Manchester Railway, at Walkden Low Level on the line to Bolton, at Walkden High Level on the Manchester and Wigan Railway and at Linnyshaw Moss on the Manchester to Bolton Line.	/m/026v1sn	Manchester_and_Wigan_Railway	250	278	/business/employer
Chanters was connected to the Manchester and Wigan Railway line built by the London and North Western Railway (LNWR), in 1864 between Tyldesley and Howe Bridge Station by a short branch provided by the LNWR. Fletcher Burrows bought another Hawthorn's locomotive Atherton and in 1878, a six coupled saddle tank locomotive, Collier, from Manning Wardle in Leeds. Vulcan, a 0-6-0 saddle tank, was bought from the Vulcan Foundry in 1892 A replacement for Lilford with the same name was bought from the Hunslet Engine Company in 1897 and in 1909 the company bought its largest locomotive, another 0-6-0 saddle tank, Atlas from Pecketts in Bristol.	Chanters was connected to the Manchester and Wigan Railway line built by the London and North Western Railway (LNWR), in 1864 between Tyldesley and Howe Bridge Station by a short branch provided by the LNWR.	/m/026v1sn	Manchester_and_Wigan_Railway	30	58	/business/employer
