paragraph	sentence	mid	title	start	end	notable_types
A cousin of the CoCo, The MC-10, or Micro Color Computer, was sold in Radio Shack stores as a lower cost, more entry-level computer than the CoCo. Released in 1983, it was similar in appearance to the Timex Sinclair. It also used the MC6847 VDG and Microsoft Basic, but featured the MC6803 instead of the 6809. It was just as bare-bones as the little Timex Sinclair model as well, lacking such things as an 80 column printer and disk storage system, as well as a "real" keyboard. Accordingly, it did not sell well and was withdrawn after just two years of production. An MC-10 clone, the Sysdata Tcolor, was available in Brazil with 16 kB ROM.	Released in 1983, it was similar in appearance to the Timex Sinclair.	/m/05sc03	Timex_Sinclair	54	68	/business/business_operation,/business/employer,/computer/computer_manufacturer_brand,/organization/organization
A cousin of the CoCo, The MC-10, or Micro Color Computer, was sold in Radio Shack stores as a lower cost, more entry-level computer than the CoCo. Released in 1983, it was similar in appearance to the Timex Sinclair. It also used the MC6847 VDG and Microsoft Basic, but featured the MC6803 instead of the 6809. It was just as bare-bones as the little Timex Sinclair model as well, lacking such things as an 80 column printer and disk storage system, as well as a "real" keyboard. Accordingly, it did not sell well and was withdrawn after just two years of production. An MC-10 clone, the Sysdata Tcolor, was available in Brazil with 16 kB ROM.	It was just as bare-bones as the little Timex Sinclair model as well, lacking such things as an 80 column printer and disk storage system, as well as a "real" keyboard.	/m/05sc03	Timex_Sinclair	40	54	/business/business_operation,/business/employer,/computer/computer_manufacturer_brand,/organization/organization
In March 1981, Sinclair Computers was renamed again as Sinclair Research Ltd and the Sinclair ZX81 was launched at £49.95 in kit form and £69.95 ready-built, by mail order. In February 1982 Timex obtained a license to manufacture and market Sinclair's computers in the United States under the name Timex Sinclair. In April the ZX Spectrum was launched at £125 for the 16 kB RAM version and £175 for the 48 kB version. In March 1982 the company made an £8.55 million profit on turnover of £27.17 million, including £383,000 government grants for the TV80 flat-screen portable television.	In February 1982 Timex obtained a license to manufacture and market Sinclair's computers in the United States under the name Timex Sinclair.	/m/05sc03	Timex_Sinclair	125	139	/business/business_operation,/business/employer,/computer/computer_manufacturer_brand,/organization/organization
Cohen grew up in the Upper West Side of Manhattan, New York City as the son of a teacher and computer scientist. He claimed he learned the BASIC programming language at age 5 on his family's Timex Sinclair computer. Cohen passed the American Invitational Mathematics Examination to qualify for the United States of America Mathematical Olympiad (USAMO) while he attended Stuyvesant High School in New York City. He graduated from Stuyvesant in 1993 and attended SUNY Buffalo. He later dropped out of college to work for several dot com companies throughout the mid to late 1990s, the last being MojoNation, an ambitious but ill-fated project he worked on with Jim McCoy.	He claimed he learned the BASIC programming language at age 5 on his family's Timex Sinclair computer.	/m/05sc03	Timex_Sinclair	78	92	/business/business_operation,/business/employer,/computer/computer_manufacturer_brand,/organization/organization
Most of the developers of the Plus/4 also worked on the later Commodore 128 project, which was much more successful. The lead hardware designer Bil Herd commented directly on the Wikipedia article adding: "The TED series (Plus4) was specifically designed to not encroach on the successful C64, it was designed to sell for 49 US$ and to go head to head with the Timex/Sinclair computer line, specifically the color Timex (Spectrum?). Targeting the office more than the game market, the smallest version of the computer had a total of 9 IC’s, cheapness was the main metric as defined by Jack Tramiel. After Tramiel left Commodore, the remaining management seemed to not know what to do with the Plus/4 line which resulted in untold variations and lack of focus on the targeted market. Since most of the management at that time had only experienced the C64, they tried to market it as another C64 which was exactly what Tramiel had set out not to do."	The lead hardware designer Bil Herd commented directly on the Wikipedia article adding: "The TED series (Plus4) was specifically designed to not encroach on the successful C64, it was designed to sell for 49 US$ and to go head to head with the Timex/Sinclair computer line, specifically the color Timex (Spectrum?).	/m/05sc03	Timex_Sinclair	244	249	/business/business_operation,/business/employer,/computer/computer_manufacturer_brand,/organization/organization
Sinclair BASIC is a dialect of the BASIC programming language used in the 8-bit home computers from Sinclair Research and Timex Sinclair. The Sinclair BASIC interpreter was made by Nine Tiles Networks Ltd.	Sinclair BASIC is a dialect of the BASIC programming language used in the 8-bit home computers from Sinclair Research and Timex Sinclair.	/m/05sc03	Timex_Sinclair	122	136	/business/business_operation,/business/employer,/computer/computer_manufacturer_brand,/organization/organization
The Timex Sinclair 1000 (TS1000) was the first computer produced by Timex Sinclair, a joint-venture between Timex Corporation and Sinclair Research. It was launched in July 1982.	The Timex Sinclair 1000 (TS1000) was the first computer produced by Timex Sinclair, a joint-venture between Timex Corporation and Sinclair Research.	/m/05sc03	Timex_Sinclair	4	18	/business/business_operation,/business/employer,/computer/computer_manufacturer_brand,/organization/organization
The Timex Sinclair 2068 (TS2068), released in November 1983, was Timex Sinclair's fourth and last home computer for the United States market. It was also marketed in Portugal and Poland, as the Timex Computer 2068.	The Timex Sinclair 2068 (TS2068), released in November 1983, was Timex Sinclair's fourth and last home computer for the United States market.	/m/05sc03	Timex_Sinclair	4	18	/business/business_operation,/business/employer,/computer/computer_manufacturer_brand,/organization/organization
The art of mechanical analog computing reached its zenith with the differential analyzer, built by H. L. Hazen and Vannevar Bush at MIT starting in 1927, which in turn built on the mechanical integrators invented in 1876 by James Thomson and the torque amplifiers invented by H. W. Nieman. A dozen of these devices were built before their obsolescence was obvious; the most powerful was constructed at the University of Pennsylvania's Moore School of Electrical Engineering, where the ENIAC was built. Digital electronic computers like the ENIAC spelled the end for most analog computing machines, but hybrid analog computers, controlled by digital electronics, remained in substantial use into the 1950s and 1960s, and later in some specialized applications.	A dozen of these devices were built before their obsolescence was obvious; the most powerful was constructed at the University of Pennsylvania's Moore School of Electrical Engineering, where the ENIAC was built.	/m/065576	Moore_School_of_Electrical_Engineering	145	183	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
While consulting for the Moore School of Electrical Engineering at the University of Pennsylvania on the EDVAC project, von Neumann wrote an incomplete First Draft of a Report on the EDVAC. The paper, whose public distribution nullified patent claims, described a computer architecture in which the data and the program are both stored in the computer's memory in the same address space. John von Neumann also consulted for the ENIAC project, when ENIAC was being modified to contain a stored program. Since the modified ENIAC was fully functional by 1948 and the EDVAC wasn't delivered to Ballistics Research Laboratory until 1949, one could argue that ENIAC was the first computer to use a stored program. John von Neumann also designed the instruction set for the modified ENIAC, and he should be given credit for this. The stored program version of ENIAC ran 6 times slower, but it was still entirely I/O bound, and programs could be developed and debugged in days rather than weeks, which is one of the advantages of having stored programs.	While consulting for the Moore School of Electrical Engineering at the University of Pennsylvania on the EDVAC project, von Neumann wrote an incomplete First Draft of a Report on the EDVAC.	/m/065576	Moore_School_of_Electrical_Engineering	25	63	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
Several major scientific discoveries have also taken place at Penn. The university is probably best well known as the place where the first general-purpose electronic computer (ENIAC) was born in 1946 at the Moore School of Electrical Engineering. It was here also where the world's first spelling and grammar checkers were created, as well as the popular COBOL programming language. Penn can also boast some of the most important discoveries in the field of medicine. The dialysis machine used as an artificial replacement for lost kidney function was conceived and devised out of a pressure cooker by William Inouye while he was still a student at Penn Med; the Rubella and Hepatitis B vaccines were developed at Penn; the discovery of cancer's link with genes, cognitive therapy, Retin-A (the cream used to treat acne), Resistin, the Philadelphia gene (linked to chronic myelogenous leukemia), and the technology behind PET Scans were all discovered by Penn Med researchers. More recent gene research has led to the discovery of the genes for fragile X syndrome, the most common form of inherited mental retardation, Kennedy's disease, a disorder marked by progressive muscle and bulbar atrophy, and Charcot–Marie–Tooth disease, a progressive neurodegenerative disease that affects the hands, feet, and limbs. Conductive polymer was also developed at Penn by Alan J. Heeger, Alan MacDiarmid and Hideki Shirakawa, an invention that earned them the Nobel Prize in Chemistry. Ralph L. Brinster, on faculty since 1965, developed the scientific basis for in vitro fertilization and the transgenic mouse at Penn. The theory of superconductivity was also partly developed at Penn, by then faculty member John Robert Schrieffer (along with John Bardeen and Leon Cooper). The university has also contributed major advancements in the fields of economics and management. Among the many discoveries are conjoint analysis, widely used as a predictive tool especially in market research, Simon Kuznets's method of measuring Gross National Product, the Penn effect (the observation that consumer price levels in richer countries are systematically higher than in poorer ones), and the "Wharton Model" developed by Nobel-laurete Lawrence Klein to measure and forecast economic activity. The idea behind Health Maintenance Organizations also belonged to Penn professor Robert Eilers, who put it into practice during then President Nixon's health reform in the 1970s.	The university is probably best well known as the place where the first general-purpose electronic computer (ENIAC) was born in 1946 at the Moore School of Electrical Engineering.	/m/065576	Moore_School_of_Electrical_Engineering	140	178	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
ENIAC's design and construction was financed by the United States Army, Ordnance Corps, Research and Development Command which was led by Major General Gladeon Marcus Barnes. He was Chief of Research and Engineering, the Chief of the Research and Development Service, Office of the Chief of Ordnance during World War II. The construction contract was signed on June 5, 1943, and work on the computer began in secret by the University of Pennsylvania's Moore School of Electrical Engineering starting the following month under the code name "Project PX". The completed machine was announced to the public the evening of February 14, 1946 and formally dedicated the next day at the University of Pennsylvania, having cost almost $500,000 (approximately $5,900,000 today). It was formally accepted by the U.S. Army Ordnance Corps in July 1946. ENIAC was shut down on November 9, 1946 for a refurbishment and a memory upgrade, and was transferred to Aberdeen Proving Ground, Maryland in 1947. There, on July 29, 1947, it was turned on and was in continuous operation until 11:45 p.m. on October 2, 1955.	The construction contract was signed on June 5, 1943, and work on the computer began in secret by the University of Pennsylvania's Moore School of Electrical Engineering starting the following month under the code name "Project PX".	/m/065576	Moore_School_of_Electrical_Engineering	131	169	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
Eckert initially enrolled in the University of Pennsylvania's Wharton School to study business at the encouragement of his parents, but in 1937 transferred to Penn's Moore School of Electrical Engineering. In 1940, at age 21, Eckert applied for his first patent, "Light Modulating Methods and Apparatus". At the Moore School, Eckert participated in research on radar timing, made improvements to the speed and precision of the Moore School's differential analyzer, and in 1941 assisted in teaching a summer course in electronics under the Engineering, Science, and Management War Training (ESMWT) offered through the Moore School by the United States Department of War.	Eckert initially enrolled in the University of Pennsylvania's Wharton School to study business at the encouragement of his parents, but in 1937 transferred to Penn's Moore School of Electrical Engineering.	/m/065576	Moore_School_of_Electrical_Engineering	166	204	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
ENIAC inventors John Mauchly and J. Presper Eckert proposed the EDVAC's construction in August 1944, and design work for the EDVAC commenced before the ENIAC was fully operational. The design would implement a number of important architectural and logical improvements conceived during the ENIAC's construction and would incorporate a high speed serial access memory. Like the ENIAC, the EDVAC was built for the U.S. Army's Ballistics Research Laboratory at the Aberdeen Proving Ground by the University of Pennsylvania's Moore School of Electrical Engineering. Eckert and Mauchly and the other ENIAC designers were joined by John von Neumann in a consulting role; von Neumann summarized and discussed logical design developments in the 1945 First Draft of a Report on the EDVAC.	Like the ENIAC, the EDVAC was built for the U.S. Army's Ballistics Research Laboratory at the Aberdeen Proving Ground by the University of Pennsylvania's Moore School of Electrical Engineering.	/m/065576	Moore_School_of_Electrical_Engineering	154	192	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
In 1941 Dr. Mauchly took a course in wartime electronics at the Moore School of Electrical Engineering, part of the University of Pennsylvania. There he met J. Presper Eckert, a recent Moore School graduate. Mauchly accepted a teaching position at the Moore School, which was a center for wartime computing. Eckert encouraged Mauchly to believe that vacuum tubes could be made reliable with proper engineering practices. The critical problem that was consuming the Moore School was ballistics: the calculation of firing tables for the large number of new guns that the U.S. Army was developing for the war effort.	In 1941 Dr. Mauchly took a course in wartime electronics at the Moore School of Electrical Engineering, part of the University of Pennsylvania.	/m/065576	Moore_School_of_Electrical_Engineering	64	102	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
The basic concept of using the square hysteresis loop of certain magnetic materials as a storage or switching device was known from the earliest days of computer development. Much of this knowledge had developed due to an understanding of transformers, which allowed amplification and switch-like performance when built using certain materials. The stable switching behaviour was well known in the electrical engineering field, and its application in computer systems was immediate. For example, J. Presper Eckert and Jeffery Chaun Chu had done some development work on the concept in 1945 at the Moore School during the ENIAC efforts.	For example, J. Presper Eckert and Jeffery Chaun Chu had done some development work on the concept in 1945 at the Moore School during the ENIAC efforts.	/m/065576	Moore_School_of_Electrical_Engineering	114	126	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
J. Presper Eckert and John Mauchly built the ENIAC (Electronic Numerical Integrator and Computer) at the University of Pennsylvania's Moore School of Electrical Engineering between 1943 and 1946. A 1946 patent rights dispute with the university led Eckert and Mauchly to depart the Moore School to form the Electronic Control Company, later renamed Eckert-Mauchly Computer Corporation (EMCC), based in Philadelphia, Pennsylvania. That company first built a computer called BINAC (BINary Automatic Computer) for Northrop Aviation (which was little used, or perhaps not at all). Afterwards began the development of UNIVAC. UNIVAC was first intended for the Bureau of the Census, which paid for much of the development, and then was put in production.	J. Presper Eckert and John Mauchly built the ENIAC (Electronic Numerical Integrator and Computer) at the University of Pennsylvania's Moore School of Electrical Engineering between 1943 and 1946.	/m/065576	Moore_School_of_Electrical_Engineering	134	172	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
The first practical de-cluttering system based on the concept was developed by J. Presper Eckert at the University of Pennsylvania's Moore School of Electrical Engineering. His solution used a column of mercury with piezo crystal transducers (a combination of speaker and microphone) at either end. Signals from the radar amplifier were sent to the piezo at one end of the tube, which would cause the transducer to pulse and generate a small wave in the mercury. The wave would quickly travel to the far end of the tube, where it would be read back out by the other piezo, inverted, and sent to the display. Careful mechanical arrangement was needed to ensure the delay time matched the inter-pulse timing of the particular radar being used.	The first practical de-cluttering system based on the concept was developed by J. Presper Eckert at the University of Pennsylvania's Moore School of Electrical Engineering.	/m/065576	Moore_School_of_Electrical_Engineering	133	171	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
From 1945-1946, Lehmer served on the Computations Committee at Aberdeen Proving Grounds in Maryland, a group established as part of the Ballistics Research Laboratory to prepare the ENIAC for utilization following its completion at the University of Pennsylvania's Moore School of Electrical Engineering; the other Computations Committee members were Haskell Curry, Leland Cunningham, and Franz Alt. It was during this short tenure that the Lehmers ran some of the first test programs on the ENIAC—according to their academic interests, these tests involved number theory, especially sieve methods, but also pseudorandom number generation. When they could arrange child care, the Lehmers spent weekends staying up all night running such problems, the first over the Thanksgiving weekend of 1945. (Such tests were run without cost, since the ENIAC would have been left powered on anyway in the interest of minimizing vacuum tube failures.) The problem run during the 3-day Independence Day weekend of July 4, 1946, with John Mauchly serving as computer operator, ran around the clock without interruption or failure. The following Tuesday, July 9, 1946, Lehmer delivered the talk "Computing Machines for Pure Mathematics" as part of the Moore School Lectures, in which he introduced computing as an experimental science, and demonstrated the wit and humor typical of his teaching lectures.	From 1945-1946, Lehmer served on the Computations Committee at Aberdeen Proving Grounds in Maryland, a group established as part of the Ballistics Research Laboratory to prepare the ENIAC for utilization following its completion at the University of Pennsylvania's Moore School of Electrical Engineering; the other Computations Committee members were Haskell Curry, Leland Cunningham, and Franz Alt.	/m/065576	Moore_School_of_Electrical_Engineering	265	303	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
The Cambridge laboratory initially had many different computing devices, including a differential analyser. One day Leslie Comrie visited Wilkes and lent him a copy of John von Neumann's prepress description of the EDVAC, a successor to the ENIAC under construction by Presper Eckert and John Mauchly at the Moore School of Electrical Engineering. He had to read it overnight because he had to return it and no photocopy facilities existed. He decided immediately that the document described the logical design of future computing machines, and that he wanted to be involved in the design and construction of such machines. In August 1946 Wilkes travelled by ship to the United States to enroll in the Moore School Lectures, of which he was only able to attend the final two weeks because of various travel delays.	One day Leslie Comrie visited Wilkes and lent him a copy of John von Neumann's prepress description of the EDVAC, a successor to the ENIAC under construction by Presper Eckert and John Mauchly at the Moore School of Electrical Engineering.	/m/065576	Moore_School_of_Electrical_Engineering	200	238	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
Independently, J. Presper Eckert and John Mauchly, who were developing the ENIAC at the Moore School of Electrical Engineering, at the University of Pennsylvania, wrote about the stored-program concept in December 1943. In planning a new machine, EDVAC, Eckert wrote in January 1944 that they would store data and programs in a new addressable memory device, a mercury metal delay line memory. This was the first time the construction of a practical stored-program machine was proposed. At that time, he and Mauchly were not aware of Turing's work.	Independently, J. Presper Eckert and John Mauchly, who were developing the ENIAC at the Moore School of Electrical Engineering, at the University of Pennsylvania, wrote about the stored-program concept in December 1943.	/m/065576	Moore_School_of_Electrical_Engineering	88	126	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
Turing joined the National Physical Laboratory (NPL) in October 1945, by which time scientists within the Ministry of Supply had concluded that Britain needed a National Mathematical Laboratory to coordinate machine-aided computation. A Mathematics Division was set up at the NPL, and on 19 February 1946 Alan Turing presented a paper outlining his design for an electronic stored-program computer to be known as the Automatic Computing Engine (ACE). This was one of several projects set up in the years following the Second World War with the aim of constructing a stored-program computer. At about the same time, EDVAC was under development at the University of Pennsylvania's Moore School of Electrical Engineering, and the University of Cambridge Mathematical Laboratory was working on EDSAC.	At about the same time, EDVAC was under development at the University of Pennsylvania's Moore School of Electrical Engineering, and the University of Cambridge Mathematical Laboratory was working on EDSAC.	/m/065576	Moore_School_of_Electrical_Engineering	88	126	/business/employer,/computer/computer_manufacturer_brand,/education/educational_institution,/organization/organization
The PETSCII code Commodore International used for their 8-bit systems is probably unique among post-1970 codes in being based on ASCII-1963, instead of the more common ASCII-1967, such as found on the ZX Spectrum computer. Atari and Galaksija computers also used ASCII variants.	The PETSCII code Commodore International used for their 8-bit systems is probably unique among post-1970 codes in being based on ASCII-1963, instead of the more common ASCII-1967, such as found on the ZX Spectrum computer.	/m/0248b	Commodore_International	17	40	/business/business_operation,/business/consumer_company,/business/defunct_company,/business/employer,/computer/computer_manufacturer_brand,/computer/software_developer,/cvg/cvg_designer,/cvg/cvg_developer,/cvg/cvg_publisher,/organization/organization
The Amiga is a family of personal computers sold by Commodore in the 1980s and 1990s. The first model was launched in 1985 as a high-end home computer and became popular for its graphical, audio and multi-tasking abilities. The Amiga provided a significant upgrade from 8-bit computers, such as the Commodore 64, and the platform quickly grew in popularity among computer enthusiasts. The best selling model, the Amiga 500, was introduced in 1987 and became the leading home computer of the late 1980s and early 1990s in much of Western Europe. In North America success was more modest. The Amiga went on to sell approximately six million units. Second generation Amiga systems (the A1200 and the A4000) were released in 1992. However, poor marketing and failure to repeat the technological advances of the first systems meant that the Amiga quickly lost its market share to competing platforms, such as the fourth generation game consoles, Apple Macintosh and IBM PC compatibles.	The Amiga is a family of personal computers sold by Commodore in the 1980s and 1990s.	/m/0248b	Commodore_International	52	61	/business/business_operation,/business/consumer_company,/business/defunct_company,/business/employer,/computer/computer_manufacturer_brand,/computer/software_developer,/cvg/cvg_designer,/cvg/cvg_developer,/cvg/cvg_publisher,/organization/organization
The Amiga is a family of personal computers sold by Commodore in the 1980s and 1990s. The first model was launched in 1985 as a high-end home computer and became popular for its graphical, audio and multi-tasking abilities. The Amiga provided a significant upgrade from 8-bit computers, such as the Commodore 64, and the platform quickly grew in popularity among computer enthusiasts. The best selling model, the Amiga 500, was introduced in 1987 and became the leading home computer of the late 1980s and early 1990s in much of Western Europe. In North America success was more modest. The Amiga went on to sell approximately six million units. Second generation Amiga systems (the A1200 and the A4000) were released in 1992. However, poor marketing and failure to repeat the technological advances of the first systems meant that the Amiga quickly lost its market share to competing platforms, such as the fourth generation game consoles, Apple Macintosh and IBM PC compatibles.	The Amiga provided a significant upgrade from 8-bit computers, such as the Commodore 64, and the platform quickly grew in popularity among computer enthusiasts.	/m/0248b	Commodore_International	75	84	/business/business_operation,/business/consumer_company,/business/defunct_company,/business/employer,/computer/computer_manufacturer_brand,/computer/software_developer,/cvg/cvg_designer,/cvg/cvg_developer,/cvg/cvg_publisher,/organization/organization
