paragraph	sentence	mid	title	start	end	notable_types
The CAMAL (CAMbridge ALgebra system) is a computer algebra system written at Cambridge University by David Barton, Steve Bourne, and John Fitch. It was initially used for computations in celestial mechanics and general relativity.	The CAMAL (CAMbridge ALgebra system) is a computer algebra system written at Cambridge University by David Barton, Steve Bourne, and John Fitch.	/m/027rqx2	John_Fitch_(computer_scientist)	133	143	/people/person
Various Unix people, particularly Peter H. Salus, Dennis Ritchie and Berny Goodheart, lobbied Unix's various owners (AT&T, Novell, the Santa Cruz Operation) for many years to allow the book to be published officially. In 1996, the Santa Cruz Operation finally authorised the release of the twenty-year-old 6th Edition source code (along with the source code of other versions of "Ancient UNIX"), and the full code plus the 1977 version of the commentary was published by Peer-To-Peer Communications (ISBN 1-57398-013-7). The reissue includes commentary from Michael Tilson (SCO), Peter Salus, Dennis Ritchie, Ken Thompson, Peter Collinson, Greg Rose, Mike O'Dell, Berny Goodheart and Peter Reintjes.	Various Unix people, particularly Peter H. Salus, Dennis Ritchie and Berny Goodheart, lobbied Unix's various owners (AT&T, Novell, the Santa Cruz Operation) for many years to allow the book to be published officially.	/m/0325cf	Berny_Goodheart	69	84	/people/person
Various Unix people, particularly Peter H. Salus, Dennis Ritchie and Berny Goodheart, lobbied Unix's various owners (AT&T, Novell, the Santa Cruz Operation) for many years to allow the book to be published officially. In 1996, the Santa Cruz Operation finally authorised the release of the twenty-year-old 6th Edition source code (along with the source code of other versions of "Ancient UNIX"), and the full code plus the 1977 version of the commentary was published by Peer-To-Peer Communications (ISBN 1-57398-013-7). The reissue includes commentary from Michael Tilson (SCO), Peter Salus, Dennis Ritchie, Ken Thompson, Peter Collinson, Greg Rose, Mike O'Dell, Berny Goodheart and Peter Reintjes.	The reissue includes commentary from Michael Tilson (SCO), Peter Salus, Dennis Ritchie, Ken Thompson, Peter Collinson, Greg Rose, Mike O'Dell, Berny Goodheart and Peter Reintjes.	/m/0325cf	Berny_Goodheart	143	158	/people/person
Libeskind-Hadas is a coauthor of R. Libeskind-Hadas, N. Hasan, J. Cong, P. McKinley, and C. L. Liu. Fault Covering Problems in Reconfigurable VLSI Systems. Kluwer Academic Publishers, 1992., and has published 16 peer reviewed papers and 20 peer-reviewed conference proceedings.	Libeskind-Hadas is a coauthor of R. Libeskind-Hadas, N. Hasan, J. Cong, P. McKinley, and C. L. Liu.	/m/02q2vp7	Chung_Laung_Liu	89	98	/education/academic,/people/person
Zaks received his BSc degree from Technion in 1971 and MSc from Technion in 1972. In 1979 he received his PhD degree from University of Illinois at Urbana-Champaign, where his PhD supervisor was Chung Laung Liu. Since then, he has done joint work with numerous co-authors, including the prolific mathematician Paul Erdős.	In 1979 he received his PhD degree from University of Illinois at Urbana-Champaign, where his PhD supervisor was Chung Laung Liu.	/m/02q2vp7	Chung_Laung_Liu	113	128	/education/academic,/people/person
In the 1990s, AI researchers developed sophisticated mathematical tools to solve specific subproblems. These tools are truly scientific, in the sense that their results are both measurable and verifiable, and they have been responsible for many of AI's recent successes. The shared mathematical language has also permitted a high level of collaboration with more established fields (like mathematics, economics or operations research). Stuart Russell and Peter Norvig describe this movement as nothing less than a "revolution" and "the victory of the neats." Critics argue that these techniques are too focused on particular problems and have failed to address the long term goal of general intelligence. There is an ongoing debate about the relevance and validity of statistical approaches in AI, exemplified in part by exchanges between Peter Norvig and Noam Chomsky.	Stuart Russell and Peter Norvig describe this movement as nothing less than a "revolution" and "the victory of the neats.	/m/02qrqn	Stuart_J._Russell	0	14	/book/author,/computer/computer_scientist,/education/academic,/influence/influence_node,/people/person
New statistical and mathematical approaches to AI were developed in the 1990s, using highly developed formalisms such as Bayesian nets and mathematical optimization. This general trend towards more formal methods in AI is described as "the victory of the neats" by Peter Norvig and Stuart Russell. Pamela McCorduck, in 2004: "As I write, AI enjoys a Neat hegemony, people who believe that machine intelligence, at least, is best expressed in logical, even mathematical terms." Neat solutions have been highly successful in the 21st century and are now used throughout the technology industry. These solutions, however, have mostly been applied to specific problems with specific solutions, and the problem of general intelligence remains unsolved.	This general trend towards more formal methods in AI is described as "the victory of the neats" by Peter Norvig and Stuart Russell.	/m/02qrqn	Stuart_J._Russell	116	130	/book/author,/computer/computer_scientist,/education/academic,/influence/influence_node,/people/person
He is a Fellow and Councilor of the Association for the Advancement of Artificial Intelligence and co-author, with Stuart Russell, of Artificial Intelligence: A Modern Approach, now the leading college text in the field. He previously was head of the Computational Sciences Division (now the Intelligent Systems Division) at NASA Ames Research Center, where he oversaw a staff of 200 scientists performing NASA's research and development in autonomy and robotics, automated software engineering and data analysis, neuroengineering, collaborative systems research, and simulation-based decision-making. Before that he was Chief Scientist at Junglee, where he helped develop one of the first Internet comparison shopping services; Chief designer at Harlequin Inc.; and Senior Scientist at Sun Microsystems Laboratories.	He is a Fellow and Councilor of the Association for the Advancement of Artificial Intelligence and co-author, with Stuart Russell, of Artificial Intelligence: A Modern Approach, now the leading college text in the field.	/m/02qrqn	Stuart_J._Russell	115	129	/book/author,/computer/computer_scientist,/education/academic,/influence/influence_node,/people/person
Artificial Intelligence: A Modern Approach (AIMA) is a college textbook on Artificial Intelligence, written by Stuart J. Russell and Peter Norvig. The third edition of the book was released 11 December 2009. It is used in over 1100 universities worldwide and has been called "the most popular artificial intelligence textbook in the world".	Artificial Intelligence: A Modern Approach (AIMA) is a college textbook on Artificial Intelligence, written by Stuart J. Russell and Peter Norvig.	/m/02qrqn	Stuart_J._Russell	111	128	/book/author,/computer/computer_scientist,/education/academic,/influence/influence_node,/people/person
The term "strong AI" is now used to describe any artificial intelligence system that acts like it has a mind, regardless of whether a philosopher would be able to determine if it actually has a mind or not. As Russell and Norvig write: "Most AI researchers take the weak AI hypothesis for granted, and don't care about the strong AI hypothesis." AI researchers are interested in a related statement:	As Russell and Norvig write: "Most AI researchers take the weak AI hypothesis for granted, and don't care about the strong AI hypothesis.	/m/02qrqn	Stuart_J._Russell	3	10	/book/author,/computer/computer_scientist,/education/academic,/influence/influence_node,/people/person
