paragraph	sentence	mid	title	start	end	notable_types
A polytomy /pəˈlɪtəmi/, meaning many temporal based branches, is a section of a phylogeny in which the evolutionary relationships can not be fully resolved to dichotomies. In a phylogenetic tree, a polytomy is represented as a node which has more than two immediate descending branches. They present an analytical problem, but can usually be better studied by utilizing more flexible phylogenetic network software such as SplitsTree, which can represent some polytomies as median networks.	They present an analytical problem, but can usually be better studied by utilizing more flexible phylogenetic network software such as SplitsTree, which can represent some polytomies as median networks.	/m/02rgfdt	SplitsTree	135	145	/computer/software
A phylogenetic network is any graph used to visualize evolutionary relationships (either abstractly or explicitly) between nucleotide sequences, genes, chromosomes, genomes, or species. They are employed when reticulate events such as hybridization, horizontal gene transfer, recombination, or gene duplication and loss are believed to be involved. They differ from phylogenetic trees by the explicit modeling, by means of the addition of hybrid nodes (nodes with two parents) instead of only tree nodes (nodes with only one parent). Phylogenetic trees are a subset of phylogenetic networks. Phylogenetic networks can be inferred and visualised with software such as SplitsTree and, more recently, Dendroscope. A standard format for representing phylogenetic networks is a variant of Newick format which is extended to support networks as well as trees.	Phylogenetic networks can be inferred and visualised with software such as SplitsTree and, more recently, Dendroscope.	/m/02rgfdt	SplitsTree	75	85	/computer/software
SplitsTree, a program for inferring phylogenetic (split) networks.	SplitsTree, a program for inferring phylogenetic (split) networks.	/m/02rgfdt	SplitsTree	0	10	/computer/software
NeighborNet is an algorithm for constructing phylogenetic networks which is loosely based on the neighbor joining algorithm. Like neighbor joining, the method takes a distance matrix as input, and works by agglomerating clusters. However, the NeighborNet algorithm can lead to collections of clusters which overlap and do not form a hierarchy, and are represented using a type of phylogenetic network called a split network. If the distance matrix satisfies the Kalmanson combinatorial conditions then Neighbor-net will return the corresponding circular ordering. The method is implemented in the SplitsTree package.	The method is implemented in the SplitsTree package.	/m/02rgfdt	SplitsTree	33	43	/computer/software
Bold was founded by BoldSoft, a company in Stockholm. Unfortunately the framework is not for sale any more as Borland bought BoldSoft and then put it on hold. There have been discussions to release the code as open source. Borland have had the copyrights for a long time. Currently Embarcadero have the legal rights to this framework. ECO is the follower of Bold for Delphi but is only available on .NET Framework.	ECO is the follower of Bold for Delphi but is only available on .NET Framework.	/m/027trq9	ECO_(Domain_Driven_Design)	0	3	/computer/software
Though prototyped in 1983, the first version of Computer Supported Intentional Learning Environments (CSILE) was installed in 1986 on a small network of Cemcorp ICON computers, at an elementary school in Toronto, Canada. CSILE included text and graphical notes authored by different user levels (students, teachers, others) with attributes such as comments and thinking types which reflect the role of the note in the author's thinking. Thinking types included "my theory", "new information", and "I need to understand." CSILE later evolved into Knowledge Forum.	" CSILE later evolved into Knowledge Forum.	/m/026npk8	Knowledge_Forum	27	42	/computer/software
One of the hallmarks of Knowledge building is a sense of we superseding the sense of I, a feeling that the group is operating collectively, and not just as an assemblage of individuals. A wide variety of discussion software can enable such an environment, one being Knowledge Forum, which supports many of the prerequisite processes of Knowledge building. Bereiter and colleagues  state that Knowledge building projects focus on understanding rather than on accomplishing tasks, and on collaboration rather than on controversy.	A wide variety of discussion software can enable such an environment, one being Knowledge Forum, which supports many of the prerequisite processes of Knowledge building.	/m/026npk8	Knowledge_Forum	80	95	/computer/software
Carl Bereiter is one of the pioneers of Computer supported collaborative learning (CSCL). In collaboration with Marlene Scardamalia, he introduced and developed the theory of "knowledge building". He is one of the main researchers of Computer Supported Intentional Learning Environments (CSILE), the first networked system for collaborative learning . The second generation of product was renamed Knowledge Forum.	The second generation of product was renamed Knowledge Forum.	/m/026npk8	Knowledge_Forum	45	60	/computer/software
Since 1980s she supervised the design, development and research of Computer Supported Intentional Learning Environments (CSILE). The new version of CSILE was renamed Knowledge Forum and has been used in educational technology since 1996. Knowledge Forum was designed to offer technical support for Knowledge building theory. It is designed to help knowledge building communities. From 1996 to 2002, she was the K-12 theme leader for Canada's TeleLearning Network of Centres of Excellence. She is also one of the founders and main researchers of the Institute for Knowledge Innovation and Technology (IKIT).	The new version of CSILE was renamed Knowledge Forum and has been used in educational technology since 1996.	/m/026npk8	Knowledge_Forum	37	52	/computer/software
Since 1980s she supervised the design, development and research of Computer Supported Intentional Learning Environments (CSILE). The new version of CSILE was renamed Knowledge Forum and has been used in educational technology since 1996. Knowledge Forum was designed to offer technical support for Knowledge building theory. It is designed to help knowledge building communities. From 1996 to 2002, she was the K-12 theme leader for Canada's TeleLearning Network of Centres of Excellence. She is also one of the founders and main researchers of the Institute for Knowledge Innovation and Technology (IKIT).	Knowledge Forum was designed to offer technical support for Knowledge building theory.	/m/026npk8	Knowledge_Forum	0	15	/computer/software
