paragraph	sentence	mid	title	start	end	notable_types
Mundane Science Fiction is a sub-genre of science fiction focusing on stories set on or near the Earth, with a believable use of technology and science as it exists at the time the story is written, the Mundane SF movement was founded in 2002 during the Clarion workshop by Ryman amongst others. In 2008 a Mundane SF issue of Interzone magazine was published, guest-edited by Ryman, Julian Todd and Trent Walters.	In 2008 a Mundane SF issue of Interzone magazine was published, guest-edited by Ryman, Julian Todd and Trent Walters.	/m/0gyh2n	Julian_Todd	87	98	/cvg/cvg_designer,/cvg/cvg_developer,/people/person
In 2008 a Mundane SF issue was published, guest edited by Geoff Ryman, Julian Todd and Trent Walters.	In 2008 a Mundane SF issue was published, guest edited by Geoff Ryman, Julian Todd and Trent Walters.	/m/0gyh2n	Julian_Todd	71	82	/cvg/cvg_designer,/cvg/cvg_developer,/people/person
It was developed by Francis Irving and Julian Todd following the 18 March 2003 Parliamentary Approval for the invasion of Iraq as a tool to record which MPs had defied their party's whip long after the information had become effectively inaccessible for reference.	It was developed by Francis Irving and Julian Todd following the 18 March 2003 Parliamentary Approval for the invasion of Iraq as a tool to record which MPs had defied their party's whip long after the information had become effectively inaccessible for reference.	/m/0gyh2n	Julian_Todd	39	50	/cvg/cvg_designer,/cvg/cvg_developer,/people/person
Julian Todd has extended the concept of parsing transcripts for speeches and votes to the General Assembly and Security Council of the United Nations with a website called undemocracy.com established in 2007. The work motivated following the discovery of the transcripts on-line during research into the application of United Nations Security Council Resolution 1267 in his home town of Liverpool.	Julian Todd has extended the concept of parsing transcripts for speeches and votes to the General Assembly and Security Council of the United Nations with a website called undemocracy.com established in 2007.	/m/0gyh2n	Julian_Todd	0	11	/cvg/cvg_designer,/cvg/cvg_developer,/people/person
The Mundane SF movement, inspired by an idea of Julian Todd, was founded in 2002 during the Clarion workshop by novelist Geoff Ryman among others. It focuses on stories set on or near the Earth, with a believable use of technology and science as it exists at the time the story is written.	The Mundane SF movement, inspired by an idea of Julian Todd, was founded in 2002 during the Clarion workshop by novelist Geoff Ryman among others.	/m/0gyh2n	Julian_Todd	48	59	/cvg/cvg_designer,/cvg/cvg_developer,/people/person
Fat Worm Blows a Sparky is an action / maze video game written by Julian Todd in the five months before going to University and published by Durell Software in 1986 for the ZX Spectrum.	Fat Worm Blows a Sparky is an action / maze video game written by Julian Todd in the five months before going to University and published by Durell Software in 1986 for the ZX Spectrum.	/m/0gyh2n	Julian_Todd	66	77	/cvg/cvg_designer,/cvg/cvg_developer,/people/person
Geoff Ryman (born 1951) is a writer of science fiction, fantasy, historical fiction, he was also one of the founding members of the Mundane science fiction movement. In 2008 a Mundane SF issue of Interzone magazine was published, guest edited by Geoff Ryman, Julian Todd and Trent Walters. Ryman says he knew he was a writer "before  could talk", with his first work published in his Mother's newspaper column at six years of age. He is most well known for his science fiction writing, however his first novel was the fantasy The Warror Who Carried Life, and his revisionist fantasy Was has been called "his most accomplished work".	In 2008 a Mundane SF issue of Interzone magazine was published, guest edited by Geoff Ryman, Julian Todd and Trent Walters.	/m/0gyh2n	Julian_Todd	93	104	/cvg/cvg_designer,/cvg/cvg_developer,/people/person
He co-founded Public Whip with Julian Todd and became a developer of the affiliated TheyWorkForYou website, a project which parses raw Hansard data to track how members vote in the UK Parliament. Initially risking prosecution for re-using the raw data which was under Crown copyright, the developers of Public Whip were later successful in getting permission to use it. In 2004, Public Whip was recognised in the New Media awards. In 2008, The Daily Telegraph rated TheyWorkforYou 41st in a list of the 101 most useful websites. Irving together with Matthew Somerville wrote the code for FixMyStreet.	He co-founded Public Whip with Julian Todd and became a developer of the affiliated TheyWorkForYou website, a project which parses raw Hansard data to track how members vote in the UK Parliament.	/m/0gyh2n	Julian_Todd	31	42	/cvg/cvg_designer,/cvg/cvg_developer,/people/person
Irving was also a senior developer of PledgeBank. He collaborated again with Julian Todd to create 'The Straight Choice a website (later renamed 'Election Leaflets') that archives election leaflets.	He collaborated again with Julian Todd to create 'The Straight Choice a website (later renamed 'Election Leaflets') that archives election leaflets.	/m/0gyh2n	Julian_Todd	27	38	/cvg/cvg_designer,/cvg/cvg_developer,/people/person
WMS also manufactures the G+ series of video reel slots, the Community Gaming family of interconnected slots, as well as mechanical reels, poker games, and video lottery terminals. WMS began to offer online gaming in 2010 to persons over 18 years old in the UK and in 2011 in the US at www.jackpotparty.com. In 2012, WMS partnered with Large Animal Games to incorporate several of WMS's slot machine games into a cruise ship-themed Facebook game application titled "Lucky Cruise". By playing games and enlisting Facebook friends' help, players can accumulate "lucky charms" (instead of money). The game play is similar to playing a slot machine but includes a "light strategy component". WMS hopes that the Facebook application will attract new customers for its games at traditional casinos.	In 2012, WMS partnered with Large Animal Games to incorporate several of WMS's slot machine games into a cruise ship-themed Facebook game application titled "Lucky Cruise".	/m/02v_jh4	Large_Animal_Games	28	46	/business/employer,/cvg/cvg_developer
