paragraph	sentence	mid	title	start	end	notable_types
Since 1990 King has been working in collaboration with scientists around the world to identify genetic causes of hearing loss and deafness. They successfully cloned the first non-syndromic deafness-related gene in 1997. King continues to work with scientists Karen Avraham in Israel and Moien Kanaan in the West Bank, modeling international scientific cooperation in conjunction with conducting scientific research. Hereditary deafness is common amongst some endogamous Arab communities, providing good study populations to understand the genetics.	King continues to work with scientists Karen Avraham in Israel and Moien Kanaan in the West Bank, modeling international scientific cooperation in conjunction with conducting scientific research.	/m/02r6f3t	Karen_Avraham	39	52	/education/academic,/influence/influence_node,/people/person
Over the past 40 years, Neill has written three books and over forty academic articles. His writings in the Journal of Canadian Studies have been extensive — with subjects including Adam Shortt, Harold Adams Innis, Social Credit, economic activity in Quebec, the state of economic history in the 1970s, and the Saskatchewan school of economic historiography. His work offers a right-wing analysis of Canadian economic history.	His writings in the Journal of Canadian Studies have been extensive — with subjects including Adam Shortt, Harold Adams Innis, Social Credit, economic activity in Quebec, the state of economic history in the 1970s, and the Saskatchewan school of economic historiography.	/m/026vnjc	Adam_Shortt	94	105	/education/academic,/people/deceased_person,/people/person,/royalty/chivalric_order_member
Peacock's father was a Congregationalist minister who died shortly after Edward was born. His mother then moved to Almonte, Ontario, where he received his schooling. He went to Queen's University in Kingston, and under the tutelage of Adam Shortt studied philosophy and political economy, graduating in 1894 with a gold and silver medals.	He went to Queen's University in Kingston, and under the tutelage of Adam Shortt studied philosophy and political economy, graduating in 1894 with a gold and silver medals.	/m/026vnjc	Adam_Shortt	69	80	/education/academic,/people/deceased_person,/people/person,/royalty/chivalric_order_member
Journal alumni can often be found working for many of North America's major newspapers and media outlets. Notable names include Adam Shortt, Charlotte Whitton, ABC News correspondent Jeffrey Kofman, Robertson Davies, CNN's Ali Velshi, former Toronto Star editor-in-chief Giles Gherson, Ottawa Citizen editor-in-chief Scott Anderson and The Globe and Mail's editor-in-chief John Stackhouse.	Notable names include Adam Shortt, Charlotte Whitton, ABC News correspondent Jeffrey Kofman, Robertson Davies, CNN's Ali Velshi, former Toronto Star editor-in-chief Giles Gherson, Ottawa Citizen editor-in-chief Scott Anderson and The Globe and Mail's editor-in-chief John Stackhouse.	/m/026vnjc	Adam_Shortt	22	33	/education/academic,/people/deceased_person,/people/person,/royalty/chivalric_order_member
Initially a theology student, in 1786 he earned his medical doctorate in Vienna. Under the guidance of Joseph Barth (1745-1818), his primary focus turned to the field of ophthalmology. However, his professional relationship with Barth was never close, and he later referred to his years with Barth as his "years of torture" (Barth - mentor and tormentor). The final break in their relationship was caused by Barth's favour of Johann Adam Schmidt (1759-1809), who later became a renowned ophthalmologist.	Under the guidance of Joseph Barth (1745-1818), his primary focus turned to the field of ophthalmology.	/m/0282skl	Joseph_Barth	22	34	/education/academic,/influence/influence_node,/people/deceased_person,/people/person
He began his medical career as an army Unterchirurg (under surgeon), and later studied ophthalmology under Joseph Barth (1745–1818) in Vienna. In 1795 he became a professor at Josephs-Akademie in Vienna, where he gave lectures on several subjects in medicine.	He began his medical career as an army Unterchirurg (under surgeon), and later studied ophthalmology under Joseph Barth (1745–1818) in Vienna.	/m/0282skl	Joseph_Barth	107	119	/education/academic,/influence/influence_node,/people/deceased_person,/people/person
He studied medicine in Prague and Vienna, and from 1778 until 1791 was a professor of anatomy, physiology and ophthalmology at the University of Prague. In 1791 he succeeded Joseph Barth as professor of anatomy and ophthalmology at the University of Vienna.	In 1791 he succeeded Joseph Barth as professor of anatomy and ophthalmology at the University of Vienna.	/m/0282skl	Joseph_Barth	21	33	/education/academic,/influence/influence_node,/people/deceased_person,/people/person
Fendi met Joseph Barth, an art collector and the personal ophthalmologist of Joseph II, and through Barth's connections to other influential artists, in 1818 Fendi found a job at the Imperial Gallery of Coins and Antiquities, where he worked as a draughtsman and engraver. Fendi received a gold medal in 1821 for his oil-painting Vilenica, and was elected a member of the Academy of Fine Arts Vienna in 1836.	Fendi met Joseph Barth, an art collector and the personal ophthalmologist of Joseph II, and through Barth's connections to other influential artists, in 1818 Fendi found a job at the Imperial Gallery of Coins and Antiquities, where he worked as a draughtsman and engraver.	/m/0282skl	Joseph_Barth	10	22	/education/academic,/influence/influence_node,/people/deceased_person,/people/person
From the Left, Wehler has been criticized by two British Marxist historians, David Blackbourn and Geoff Eley who in their 1980 book Mythen deutscher Geschichtsschreibung (translated into English in 1984 as The Peculiarities of German History) rejected the entire concept of the Sonderweg as a flawed construct supported by a "a curious mixture of idealistic analysis and vulgar materialism" that led to an "exaggerated linear continuity between the nineteenth century and the 1930s". In Blackbourn and Eley's view, there was no Sonderweg, and it is ahistorical to ask why Germany did not become Britain for the simple reason that Germany is Germany and Britain is Britain. Moreover, Eley and Blackbourn argued that after 1890 there was a tendency towards greater democratization in German society with the growth of civil society as reflected in the growth of trade unions and a more or less free press.	From the Left, Wehler has been criticized by two British Marxist historians, David Blackbourn and Geoff Eley who in their 1980 book Mythen deutscher Geschichtsschreibung (translated into English in 1984 as The Peculiarities of German History) rejected the entire concept of the Sonderweg as a flawed construct supported by a "a curious mixture of idealistic analysis and vulgar materialism" that led to an "exaggerated linear continuity between the nineteenth century and the 1930s".	/m/02rp_1n	David_Blackbourn	77	93	/education/academic,/people/person
Evans studied under Fischer in Hamburg in 1970–71, but came to disagree with the "Bielefeld School" of historians who argued for the Sonderweg thesis and saw the roots of Germany’s political development in the first half of the 20th century in a "failed bourgeois revolution" in 1848. Influenced by the New Left, Evans was a member of a group of young British historians who in the 1970s sought to examine German history in the Imperial period "from below". Evans argued that he and his associates wanted to highlight "the importance of the grass roots of politics and the everyday life and experience of ordinary people" Evans argued he sought the creation of a "new school of people's history", which was a result of a trend that "has taken place across a whole range of historical subjects, political opinions, and methodological approaches and has been expressed in many different ways". In 1978, as editor of a collection of essays by young British historians entitled Society And Politics In Wilhelmine Germany, he launched a critique of the ‘top-down’ approach of the Bielefeld School associated with Hans-Ulrich Wehler and Jürgen Kocka in regards to the Wilhelmine Germany. With the historians Geoff Eley and David Blackbourn, Evans emphasized instead the "self-mobilization from below" of key sociopolitical groups, as well as the modernity of National Socialism. In the 1980s, Evans organized ten international workshops on modern German social history at the University of East Anglia that did a good deal to refine these ideas, to pioneer research in this new historical field and, in six collections of papers, present it to an Anglophone readership.	With the historians Geoff Eley and David Blackbourn, Evans emphasized instead the "self-mobilization from below" of key sociopolitical groups, as well as the modernity of National Socialism.	/m/02rp_1n	David_Blackbourn	35	51	/education/academic,/people/person
