paragraph	sentence	mid	title	start	end	notable_types
In 2008, Santos took a crash course in International Cuisine in Chiang Mai, Thailand. She graduated with distinction from the Center for Asian Culinary Arts Studies, studying under Chef Gene Gonzalez. She was awarded a silver medal for "Basic Skills in Cooking" and a gold medal for "Advanced Skills" at the Center for Asian Culinary Studies in San Juan, Metro Manila. She took and passed the exam for TESDA National Certification awarded on July 6, 2009 receiving a Certificate of Competency from TESDA. Since Spring 2006 she has owned and run Kaffe Carabana, a bar/restaurant in Quezon City.	She graduated with distinction from the Center for Asian Culinary Arts Studies, studying under Chef Gene Gonzalez.	/m/02r5w9b	Gene_Gonzalez	100	113	/dining/chef,/people/person,/tv/tv_personality
It was established in 2000 in Manila by Gene Gonzalez and in 2007, in Davao City. The school started out with daily short courses until they evolved into professional courses which have been accredited by the Technical Education and Skills Development Authority (TESDA).	It was established in 2000 in Manila by Gene Gonzalez and in 2007, in Davao City.	/m/02r5w9b	Gene_Gonzalez	40	53	/dining/chef,/people/person,/tv/tv_personality
James announced he would open up his Oxfordshire farm to host an annual food and music festival. The event, entitled ‘Alex James presents Harvest’, took place from 9–12 September 2011, in conjunction with promoter Big Wheel Promotions. Combining the best of the British food scene alongside a live music soundtrack, the first collaborators to confirm included KT Tunstall, The Feeling, Richard Corrigan, Mark Hix, Rachel Allen, Jay Rayner, Monty Don and Sarah Don and Stevie Parle.	Combining the best of the British food scene alongside a live music soundtrack, the first collaborators to confirm included KT Tunstall, The Feeling, Richard Corrigan, Mark Hix, Rachel Allen, Jay Rayner, Monty Don and Sarah Don and Stevie Parle.	/m/02qd4__	Richard_Corrigan	150	166	/dining/chef,/influence/influence_node,/people/person
Richard Corrigan rents space within the hotel and runs the restaurant Corrigan's Mayfair.	Richard Corrigan rents space within the hotel and runs the restaurant Corrigan's Mayfair.	/m/02qd4__	Richard_Corrigan	0	16	/dining/chef,/influence/influence_node,/people/person
Lyons village located at 53°17′58″N 6°33′25″W﻿ / ﻿53.29947°N 6.55699°W﻿ / 53.29947; -6.55699. was restored 1999-2007 from a deserted and depopulated state by the aviation pioneer Tony Ryan (1946–2007), and contains his mausoleum. The village consists of apartments based in the former canalside industrial heritage buildings dating to the 1820s, a small chapel, and Café la Serre. Between 2006 and 2008, another restaurant, The Mill, was run at the site by Irish celebrity chef Richard Corrigan. Other artisans dwellings are to be restored in the third phase of the scheme, 2007-2011. The development is beside the 13th lock on the Grand Canal and approached from a separate entrance to the entrance of Lyons House beside Kearneystown Bridge on the road from Newcastle to Ardclough.	Between 2006 and 2008, another restaurant, The Mill, was run at the site by Irish celebrity chef Richard Corrigan.	/m/02qd4__	Richard_Corrigan	97	113	/dining/chef,/influence/influence_node,/people/person
The main events are two Oyster Opening Championships, the Irish Oyster Opening Championship and the World Oyster Opening Championship. Other events include a beauty pageant to select the Oyster Pearl, and a Masquerade Gala 'Mardi-Gras' style event where revellers have a different course in 3 different venues. Guests of Honour at this event have included television presenter Gay Byrne, retired Taoiseach Charles Haughey, international snooker player, Ken Doherty and chefs Clodagh McKenna, Richard Corrigan and Martin Shanahan.	Guests of Honour at this event have included television presenter Gay Byrne, retired Taoiseach Charles Haughey, international snooker player, Ken Doherty and chefs Clodagh McKenna, Richard Corrigan and Martin Shanahan.	/m/02qd4__	Richard_Corrigan	181	197	/dining/chef,/influence/influence_node,/people/person
In 2005 Parker presented the BBC programme Full on Food, together with Heston Blumenthal and Richard Corrigan. For this programme she travelled to various cultures to sample their traditional cooking. Amongst the most memorable and inspiring locations she visited for the programme Merrilees mentions Hanoi (in Vietnam) and Peru.	In 2005 Parker presented the BBC programme Full on Food, together with Heston Blumenthal and Richard Corrigan.	/m/02qd4__	Richard_Corrigan	93	109	/dining/chef,/influence/influence_node,/people/person
Carter started his career with a two-year apprenticeship at the Ritz Hotel. He then became a commis chef at the Gleneagles Hotel in Scotland where he stayed for over a year, and in 1992, he went to work at John Burton Race's two-Michelin-starred restaurant L'Ortolan in Reading, Berkshire. Burton Race sent him to train with Raymond Blanc at his two-Michelin-starred restaurant Le Manoir aux Quat' Saisons in Oxfordshire and at Ledoyen in Paris. In 1997, Carter returned to London to work at Leith's restaurant and then for Richard Corrigan at Lyndsay House, Soho, and at the Foliage restaurant at the Mandarin Oriental Hotel. He came to prominence as head chef at Lola's in Islington in 2003, where his signature dish was Duck Three Ways, a boned duck separated into three parts, with each cooked in a different way. He later became the head chef at the Silk restaurant at the Courthouse Hotel Kempinski in Great Marlborough Street, and then head chef at the Sharpham Park restaurant at Charlton House hotel in Somerset. He was awarded the "Somerset Life" Chef of the year 2007 and awarded the Silver Medal for Bath chef of the year 2007. In September 2008 he moved to The Landau’s kitchens and in October 2009 became Head Chef.	In 1997, Carter returned to London to work at Leith's restaurant and then for Richard Corrigan at Lyndsay House, Soho, and at the Foliage restaurant at the Mandarin Oriental Hotel.	/m/02qd4__	Richard_Corrigan	78	94	/dining/chef,/influence/influence_node,/people/person
It is very similar to its more recent female equivalent Livin' with Lucy, although Ó hEochagáin, unlike Lucy Kennedy, does not actually live with the celebrities. The celebrities are largely male, with the most recent season including the chef Richard Corrigan, the former Irish rugby union international Trevor Brennan, the rugby analyst and radio presenter George Hook and, most recently, the horse trainer Aidan O'Brien. However, the female athlete Derval O'Rourke has featured in the past. The second season featured the comedian Jon Kenny (known as one half of D'Unbelievables) and snooker player Ken Doherty. The first season included the fraudulent banker-turned CEO of Galway United F.C., Nick Leeson, the footballer Niall Quinn and Ó hEochagáin's schoolboy friend and future radio partner Tommy Tiernan.	The celebrities are largely male, with the most recent season including the chef Richard Corrigan, the former Irish rugby union international Trevor Brennan, the rugby analyst and radio presenter George Hook and, most recently, the horse trainer Aidan O'Brien.	/m/02qd4__	Richard_Corrigan	81	97	/dining/chef,/influence/influence_node,/people/person
McGrath also has a difficult relationship with Richard Corrigan, who suggested that he should work in theatre, days after he had called Corrigan's food "simple and nice". Like many chef Corrigan does not appreciate critical comments, causing him to call McGrath a muppet.	McGrath also has a difficult relationship with Richard Corrigan, who suggested that he should work in theatre, days after he had called Corrigan's food "simple and nice".	/m/02qd4__	Richard_Corrigan	47	63	/dining/chef,/influence/influence_node,/people/person
