paragraph	sentence	mid	title	start	end	notable_types
In response to the Industrial Revolution, agrarian writers sought a way between liberty and tradition; William Cobbett, G. K. Chesterton and Hilaire Belloc were main exponents, while the founder of guild socialism, Arthur Penty, and cooperative movement advocate G. D. H. Cole are somewhat related. Empiricism continued through John Stuart Mill and Bertrand Russell, while Bernard Williams was involved in analytics. Authors from around the Victorian era include Charles Dickens, the Brontë sisters, Jane Austen, George Eliot, Rudyard Kipling, Thomas Hardy, H. G. Wells, Lewis Carroll and Evelyn Underhill. Since then England has continued to produce novelists such as C. S. Lewis, George Orwell, D. H. Lawrence, Virginia Woolf, Enid Blyton, Aldous Huxley, Agatha Christie, Terry Pratchett, J. R. R. Tolkien, and J. K. Rowling.	In response to the Industrial Revolution, agrarian writers sought a way between liberty and tradition; William Cobbett, G. K. Chesterton and Hilaire Belloc were main exponents, while the founder of guild socialism, Arthur Penty, and cooperative movement advocate G. D. H. Cole are somewhat related.	/m/027nhl	G._D._H._Cole	263	276	/book/author,/people/deceased_person,/people/person
Brown first thought of himself as being 'Labour' and his sense of social injustice was roused when he accompanied his father on visits around Kirkcaldy seeing the pain of unemployment and the misery of poverty and squalor as the mining and textile industries collapsed. Growing up he discovered Tawney, Tressell, Cole and other socialist texts which inspired him. He also found inspiration in Blake in poetry, Potter in drama, Lawrence in literature and the socialist leader James Maxton in Scottish history. These, he argues, fuelled his passion and activism, reinforcing his own political experience. For Brown the ethical basis of British socialism has several themes: the view that individuals are not primarily self-centered but are co-operative, that people are more likely to thrive in communities in which they play a full role and that people have talents and potential that the free market will not allow them to fully realise. In addition, one of the most enduring of Brown's themes is the commitment to equality.	Growing up he discovered Tawney, Tressell, Cole and other socialist texts which inspired him.	/m/027nhl	G._D._H._Cole	43	47	/book/author,/people/deceased_person,/people/person
Guild socialism is a political movement advocating workers' control of industry through the medium of trade-related guilds "in an implied contractual relationship with the public". It originated in the United Kingdom and was at its most influential in the first quarter of the 20th century. It was strongly associated with G. D. H. Cole and influenced by the ideas of William Morris.	It was strongly associated with G. D. H. Cole and influenced by the ideas of William Morris.	/m/027nhl	G._D._H._Cole	32	45	/book/author,/people/deceased_person,/people/person
The Independent Labour Party, formed at that time, drew more on the Non-Conformist religious traditions in the British working class than on Marxist theory, and had a libertarian socialist strain. Others in the tradition of the ILP, and described as libertarian socialists, have been Nye Bevan, Michael Foot and most importantly, G. D. H. Cole. Labour Party minister Peter Hain has written in support of libertarian socialism, identifying an axis involving a "bottom-up vision of socialism, with anarchists at the revolutionary end and democratic socialists  at its reformist end", as opposed to the axis of state socialism with Marxist-Leninists at the revolutionary end and social democrats at the reformist end. Another recent mainstream Labour politician who has been described as a libertarian socialist is Robin Cook.	Others in the tradition of the ILP, and described as libertarian socialists, have been Nye Bevan, Michael Foot and most importantly, G. D. H. Cole.	/m/027nhl	G._D._H._Cole	133	146	/book/author,/people/deceased_person,/people/person
Wilson did well at school and, although he missed getting a scholarship, he obtained an exhibition; which, when topped up by a county grant, enabled him to study Modern History at Jesus College, Oxford, from 1934. At Oxford, Wilson was moderately active in politics as a member of the Liberal Party but was later influenced by G. D. H. Cole to join the Labour Party. After his first year, he changed his field of study to Philosophy, Politics and Economics. He graduated with "an outstanding first class Bachelor of Arts degree, with alphas on every paper" in the final examinations. A popular urban myth at Oxford University states that Wilson's grade in his final examination was the highest ever recorded up to that date.	At Oxford, Wilson was moderately active in politics as a member of the Liberal Party but was later influenced by G. D. H. Cole to join the Labour Party.	/m/027nhl	G._D._H._Cole	113	126	/book/author,/people/deceased_person,/people/person
The market is part of "the Island site", bounded by College Approach, Greenwich Church Street, King William Walk and Nelson Road, near the National Maritime Museum and the Royal Observatory. The buildings surrounding the market are Grade 2 listed and were established in 1827–1833 under the direction of Joseph Kay. The market roof dates from 1902–08. Later significant development occurred in 1958–60 and during the 1980s.	The buildings surrounding the market are Grade 2 listed and were established in 1827–1833 under the direction of Joseph Kay.	/m/036z87	Joseph_Kay	113	123	/book/author,/people/deceased_person,/people/person
He was born James Kay at Rochdale, Lancashire, the son of Robert Kay. He was the brother of Joseph Kay and of Sir Edward Ebenezer Kay.	He was the brother of Joseph Kay and of Sir Edward Ebenezer Kay.	/m/036z87	Joseph_Kay	22	32	/book/author,/people/deceased_person,/people/person
Two of the first Baronet's brothers also gained distinction. Joseph Kay was a noted economist while Sir Edward Kay was a Lord Justice of Appeal.	Joseph Kay was a noted economist while Sir Edward Kay was a Lord Justice of Appeal.	/m/036z87	Joseph_Kay	0	10	/book/author,/people/deceased_person,/people/person
Shuttleworth was the son of the physician, civil servant and social reformer Sir James Kay-Shuttleworth, 1st Baronet, the member of a nonconformist Midlands family of somewhat limited means. His father, born James Kay, had assumed the additional surname of Shuttleworth on his marriage to Janet Shuttleworth, only child and heiress of Robert Shuttleworth, of Gawthorpe Hall in Padiham, Lancashire. His father's brothers included the economist Joseph Kay and the Lord Justice of Appeal Sir Edward Kay.	His father's brothers included the economist Joseph Kay and the Lord Justice of Appeal Sir Edward Kay.	/m/036z87	Joseph_Kay	45	55	/book/author,/people/deceased_person,/people/person
Maria and Thomas had three daughters, Fanny, Mary (who became the wife of Joseph Kay) and Emily. In her declining years it is said that Robert Browning frequently visited Maria at Fredley to read her some of his, and his wife's, poetry.	Maria and Thomas had three daughters, Fanny, Mary (who became the wife of Joseph Kay) and Emily.	/m/036z87	Joseph_Kay	74	84	/book/author,/people/deceased_person,/people/person
