paragraph	sentence	mid	title	start	end	notable_types
An Act of Parliament was obtained in 1900 giving approval for the bridge, and the Act also allowed for the formal ending of the ferry. It was designed by John Webster and John Wood. Construction began in December 1901 and was completed in 1905. The cost was £130,000 (£10.4 million as of 2013). The transporter bridge was opened (in the absence of King Edward VII who was indisposed) by Sir John Brunner on 29 May 1905.	It was designed by John Webster and John Wood.	/m/026vk1l	John_Webster_(engineer)	19	31	/architecture/engineer,/people/deceased_person,/people/person,/projects/project_participant
But Murdo MacKenzie of Bing Crosby Enterprises had seen a demonstration of the German Magnetophon in June 1947—the same device that Jack Mullin had brought back from Radio Frankfurt, along with 50 reels of tape, at the end of the war. It was one of the magnetic tape recorders that BASF and AEG had built in Germany starting in 1935. The 6.5mm ferric-oxide-coated tape could record 20 minutes per reel of high-quality sound. Alexander M. Poniatoff ordered his Ampex company, which he'd founded in 1944, to manufacture an improved version of the Magnetophone.	Alexander M. Poniatoff ordered his Ampex company, which he'd founded in 1944, to manufacture an improved version of the Magnetophone.	/m/0268574	Alexander_M._Poniatoff	0	22	/law/inventor,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
Keen to make use of the new recorders as soon as possible, Crosby invested $50,000 of his own money into the Californian electronics company Ampex, and the tiny six-man concern (headed by Alexander M. Poniatoff, whose initials became part of the company name) soon became the world leader in the development of tape recording, revolutionising radio and recording with its famous Model 200 tape deck, issued in 1948 and developed directly from Mullin's modified Magnetophons.	Keen to make use of the new recorders as soon as possible, Crosby invested $50,000 of his own money into the Californian electronics company Ampex, and the tiny six-man concern (headed by Alexander M. Poniatoff, whose initials became part of the company name) soon became the world leader in the development of tape recording, revolutionising radio and recording with its famous Model 200 tape deck, issued in 1948 and developed directly from Mullin's modified Magnetophons.	/m/0268574	Alexander_M._Poniatoff	188	210	/law/inventor,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
Ampex is an American electronics company founded in 1944 by Alexander M. Poniatoff. The name AMPEX is an acronym, created by its founder, which stands for Alexander M. Poniatoff Excellence. At one time public, Ampex is currently a privately held company.	Ampex is an American electronics company founded in 1944 by Alexander M. Poniatoff.	/m/0268574	Alexander_M._Poniatoff	60	82	/law/inventor,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
Ampex is an American electronics company founded in 1944 by Alexander M. Poniatoff. The name AMPEX is an acronym, created by its founder, which stands for Alexander M. Poniatoff Excellence. At one time public, Ampex is currently a privately held company.	The name AMPEX is an acronym, created by its founder, which stands for Alexander M. Poniatoff Excellence.	/m/0268574	Alexander_M._Poniatoff	71	93	/law/inventor,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
Russian inventor Alexander Matthew Poniatoff established the company in San Carlos, California, in 1944 as the Ampex Electric and Manufacturing Company. The name came from his initials plus "ex" to avoid using the name AMP already in use. During World War II, Ampex was a small manufacturer of high quality electric motors and generators for radars that used alnico 5 magnets from General Electric. Ampex's first offices were at 1313 Laurel St. San Carlos California, "Howard Ave. at Laurel".	Russian inventor Alexander Matthew Poniatoff established the company in San Carlos, California, in 1944 as the Ampex Electric and Manufacturing Company.	/m/0268574	Alexander_M._Poniatoff	17	44	/law/inventor,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
In 1946, Jack Mullin had brought a Magnetophon magnetic tape recorder back from Radio Frankfurt, along with 50 reels of tape (it was one of the magnetic tape recorders that BASF and AEG had built in Germany starting in 1935). The 6.5mm tape could record 20 minutes per reel of high-quality analog audio sound; Alexander M. Poniatoff then ordered his Ampex company to manufacture an improved version of the Magnetophon for use in radio production. Bing Crosby eventually adopted the technology to pre-record his radio show to both avoid having to do it live as well as having to perform it a second time for West Coast audiences.	The 6.5mm tape could record 20 minutes per reel of high-quality analog audio sound; Alexander M. Poniatoff then ordered his Ampex company to manufacture an improved version of the Magnetophon for use in radio production.	/m/0268574	Alexander_M._Poniatoff	84	106	/law/inventor,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
As a teenager, in the decade following World War II, Dolby held part-time and summer jobs at Ampex in Redwood City, working with their first audio tape recorder in 1949. While at San Jose State University and later at Stanford University (interrupted by two years of Army service), he worked on early prototypes of video tape recorder technologies for Alexander M. Poniatoff and Charlie Ginsburg. As a non degree-holding "consultant", Dolby played a key role in the effort that led Ampex to announce quadruplex videotape in April 1956.	While at San Jose State University and later at Stanford University (interrupted by two years of Army service), he worked on early prototypes of video tape recorder technologies for Alexander M. Poniatoff and Charlie Ginsburg.	/m/0268574	Alexander_M._Poniatoff	182	204	/law/inventor,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
Since the immigrants were of the higher classes of the Russian Empire, they contributed significantly to American science and culture. Inventors Vladimir Zworykin, often referred to as "father of television", Alexander M. Poniatoff, the founder of Ampex, and Alexander Lodygin, arrived with this wave. The American army benefited greatly with the arrival of such inventors as Igor Sikorsky (who invented the Helicopter and Aerosan), Vladimir Yourkevitch, and Alexander Procofieff de Seversky. Sergei Rachmaninoff and Igor Stravinsky are by many considered to be among the greatest composers ever to live in the United States of America. The novelist Vladimir Nabokov, the violinist Jasha Heifetz, and the actor Yul Brynner also left Russia in this period.	Inventors Vladimir Zworykin, often referred to as "father of television", Alexander M. Poniatoff, the founder of Ampex, and Alexander Lodygin, arrived with this wave.	/m/0268574	Alexander_M._Poniatoff	74	96	/law/inventor,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
In 1958 he joined Ampex Corporation in Redwood City, California, a firm whose financing he had assisted while previously employed at Blyth & Co. As Assistant to the Vice President and Treasurer at Ampex, he spearheaded Ampex’s initial public offering (IPO) in 1959. In addition, he led Ampex’s study to merge with Orr Industries, a magnetic tape manufacturing affiliate. In 1960 he was made Ampex’s Assistant Treasurer where he worked closely with the firm’s founder Alexander M. Poniatoff, particularly in the company’s merger with Telemater Magnetics, Inc., a Los Angeles-based manufacturer of magnetic cores, buffers, and memories for data processing and computer systems.	In 1960 he was made Ampex’s Assistant Treasurer where he worked closely with the firm’s founder Alexander M. Poniatoff, particularly in the company’s merger with Telemater Magnetics, Inc., a Los Angeles-based manufacturer of magnetic cores, buffers, and memories for data processing and computer systems.	/m/0268574	Alexander_M._Poniatoff	96	118	/law/inventor,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
