paragraph	sentence	mid	title	start	end	notable_types
The revelations about Fiscus surfaced around the time of other scandals involving Air Force officers Colonel Michael D. Murphy and Brigadier General Richard S. Hassan.	The revelations about Fiscus surfaced around the time of other scandals involving Air Force officers Colonel Michael D. Murphy and Brigadier General Richard S. Hassan.	/m/026_qz2	Michael_D._Murphy	109	126	/military/military_person,/people/person
Though Hassan was a brigadier general, the Secretary of the Air Force retired him in the lower grade of colonel shortly after he was found to have sexually harassed female subordinates, engaged in unprofessional relationships and created a hostile work environment. The revelations about Hassan surfaced shortly after a similar scandal involving former top Air Force Major General Thomas J. Fiscus and shortly before a scandal involving another high ranking Air Force officer, Colonel Michael D. Murphy.	The revelations about Hassan surfaced shortly after a similar scandal involving former top Air Force Major General Thomas J. Fiscus and shortly before a scandal involving another high ranking Air Force officer, Colonel Michael D. Murphy.	/m/026_qz2	Michael_D._Murphy	219	236	/military/military_person,/people/person
Martin Vorhees "Mike" Bergen (January 1872 – July 8, 1941) was an American football player, coach, and lawyer. He served as the head football coach at Grinnell College (1894–1895, 1902–1903, 1905) and at the University of Virginia (1896–1897), compiling a career college football record of 38–22–6. Bergen died of a heart attack at the age of 69 on July 8, 1941 in his apartment at the Racquet Club in Philadelphia, Pennsylvania. He was the son of Christopher A. Bergen, United States Congressman who represented New Jersey's 1st congressional district from 1889 to 1893.	He was the son of Christopher A. Bergen, United States Congressman who represented New Jersey's 1st congressional district from 1889 to 1893.	/m/02vn_5s	Christopher_A._Bergen	18	39	/government/politician,/government/u_s_congressperson,/people/deceased_person,/people/person
The U.S. and Japan have passed laws and created envoys to focus attention to this issue. The U.S. initially passed the North Korean Human Rights Act of 2004 in October of that year, and reauthorized the law in 2008. It created an office at the State Department focused on North Korean human rights, run originally by Special Envoy Jay Lefkowitz.	It created an office at the State Department focused on North Korean human rights, run originally by Special Envoy Jay Lefkowitz.	/m/02639rd	Jay_Lefkowitz	115	128	/people/person
The law established an office at the State Department focused on North Korean human rights. In the George W. Bush administration, the office was run by Special Envoy Jay Lefkowitz. At the conclusion of the administration, Lefkowitz issued a final report on developments since the law's enactment.	In the George W. Bush administration, the office was run by Special Envoy Jay Lefkowitz.	/m/02639rd	Jay_Lefkowitz	74	87	/people/person
After Korean Air Lines Flight 007 was shot down in 1983, with U.S. Representative Larry McDonald aboard, a special election was held to fill his seat in Congress. Lester Maddox stated his intention to run for the seat if McDonald's wife, Kathy McDonald, did not. But Kathy McDonald decided to run, and Maddox stayed out of the race; however, she lost to Democrat George "Buddy" Darden.	But Kathy McDonald decided to run, and Maddox stayed out of the race; however, she lost to Democrat George "Buddy" Darden.	/m/026hw5y	George_Darden	100	121	/base/crime/lawyer,/government/politician,/government/u_s_congressperson,/people/person
After McDonald's death, a special election was held to fill his seat in Congress. Lester Maddox stated his intention to run for the seat if McDonald's widow, Kathy McDonald, did not. Kathy McDonald did decide to run, but she lost to George "Buddy" Darden. Much of the congressional district McDonald represented would later be represented by Newt Gingrich.	Kathy McDonald did decide to run, but she lost to George "Buddy" Darden.	/m/026hw5y	George_Darden	50	71	/base/crime/lawyer,/government/politician,/government/u_s_congressperson,/people/person
Walker was recommended for a judgeship on the United States District Court for the Northern District of Georgia by Republican Senators Saxby Chambliss and Johnny Isakson. She had also been considered by a Democratic search committee led by former Representative Buddy Darden, but she was not recommended by that committee. On January 26, 2011, President Barack Obama nominated Walker to fill the Northern District of Georgia vacancy created by the elevation of Judge Beverly B. Martin to a seat on the United States Court of Appeals for the Eleventh Circuit. Her nomination is currently on hold because Senators Saxby Chambliss and Johnny Isakson have refused to support another nominee for another seat on the same district, Natasha Perdew Silas. Walker was part of a packaged deal with Silas, a Democrat and the choice of the Democratic delegation to Congress from Georgia. Her nomination was returned to the President on December 17, 2011, pursuant to the rules of the Senate.	She had also been considered by a Democratic search committee led by former Representative Buddy Darden, but she was not recommended by that committee.	/m/026hw5y	George_Darden	91	103	/base/crime/lawyer,/government/politician,/government/u_s_congressperson,/people/person
Forward Township is a township in Allegheny County, Pennsylvania, United States. The population was 3,376 at the 2010 census. The township is named after Walter Forward, U.S. Secretary of the Treasury from 1841 to 1843.	The township is named after Walter Forward, U.S. Secretary of the Treasury from 1841 to 1843.	/m/039wv_	Walter_Forward	28	42	/base/crime/lawyer,/government/politician,/government/u_s_congressperson,/people/deceased_person,/people/person
In 1843, Spencer was appointed Secretary of the Treasury after the resignation of Walter Forward. As Treasury Secretary, he was preoccupied with the tariff and believed that the deficit and other federal expenditures should be funded by duties on imports rather than by internal taxation, something he was forced to announce for the fiscal year in 1843. The expenditures of the treasury had exceeded its receipts and he advocated additional import duties on articles such as coffee and tea. To help fund the federal deficit he engaged in controversial issues of Treasury Notes. He also continued to develop a plan, originally initiated by Forward, for a Board of Exchequer to keep and disburse public funds raised by duties. The Exchequer bill, which reflected continuing interest in some form of independent treasury system, failed due to a political conflict in the United States Congress.	In 1843, Spencer was appointed Secretary of the Treasury after the resignation of Walter Forward.	/m/039wv_	Walter_Forward	82	96	/base/crime/lawyer,/government/politician,/government/u_s_congressperson,/people/deceased_person,/people/person
