paragraph	sentence	mid	title	start	end	notable_types
In 1971, a television advertisement "Home Party" introduced the recipe for the Oronamin Shake; Oronamin C mixed with a raw egg. Even today that recipe is featured on the Oronamin C recipe webpage, though using only an egg yolk is recommended nowadays. The television advertisement introduced the shake with the copy "My older sister and I have Oronamin and juice. Mom puts in an egg and has an Oronamin shake. Dad has Oronamin and gin." In 2004 a television advertisement featuring model Ai Tominaga (冨永愛 Tominaga Ai, born August 1, 1982) and singer-songwriter Shigeru Izumiya (泉谷しげる Izumiya Shigeru, born May 11, 1948) reintroduced the Oronamin shake.	" In 2004 a television advertisement featuring model Ai Tominaga (冨永愛 Tominaga Ai, born August 1, 1982) and singer-songwriter Shigeru Izumiya (泉谷しげる Izumiya Shigeru, born May 11, 1948) reintroduced the Oronamin shake.	/m/02760wb	Ai_Tominaga	53	64	/base/fashionmodels/fashion_model,/people/person
As co-designer/founder of Heatherette, Rains showed as part of the official New York Fashion week 16 times with his collections over a period of nine years. Outside of New York, Heatherette showed around the world in other fashion weeks including: Tokyo, Kyoto, Moscow, Miami, Mexico City, and Los Angeles. Heatherette shows were attended by hundreds of Celebrities and Taste makers, featured in virtually every fashion trade magazine world wide. Some well known models who walked in the shows included: Naomi Campbell, Devon Aoki, Atong Arjok, Omahyra Mota, Adina Fohlin, Ai Tominaga, Alek Wek, Anouck Lepere, Bridget Hall, Caitriona Balfe, Chanel Iman, Cintia Dicker, Coco Rocha, Darla Baker, Daul Kim, Elise Crombez, Elizabeth Jagger, Erin Heatherton, Eva Herzigova, Flavia de Oliveira, Freja Beha Erichsen, Hannelore Knuts, Isabeli Fontana, Liya Kebede, Lily Cole, Lily Donaldson, Lisa Cant, Lydia Hearst, Mini Anden, Miranda Kerr, Tiiu Kuik, Heather Marks, Hanne Gaby Odiele, Caroline Trentini, Egle Tvirbutaite, Anne Vyalitsyna, Amy Wesson, Caroline Winberg, Raquel Zimmermann, among many more.	Some well known models who walked in the shows included: Naomi Campbell, Devon Aoki, Atong Arjok, Omahyra Mota, Adina Fohlin, Ai Tominaga, Alek Wek, Anouck Lepere, Bridget Hall, Caitriona Balfe, Chanel Iman, Cintia Dicker, Coco Rocha, Darla Baker, Daul Kim, Elise Crombez, Elizabeth Jagger, Erin Heatherton, Eva Herzigova, Flavia de Oliveira, Freja Beha Erichsen, Hannelore Knuts, Isabeli Fontana, Liya Kebede, Lily Cole, Lily Donaldson, Lisa Cant, Lydia Hearst, Mini Anden, Miranda Kerr, Tiiu Kuik, Heather Marks, Hanne Gaby Odiele, Caroline Trentini, Egle Tvirbutaite, Anne Vyalitsyna, Amy Wesson, Caroline Winberg, Raquel Zimmermann, among many more.	/m/02760wb	Ai_Tominaga	126	137	/base/fashionmodels/fashion_model,/people/person
Tamaki claimed that, as a result of doing research for the series, her favorite model became Ai Tominaga, and that she was flattered when Tominaga wrote, in an endorsement for the first volume of the Japanese edition, that there were things she had in common with Michiko. Tamaki cited as specific influences Ashita no Joe for her plots and Rumiko Takahashi's Urusei Yatsura for her characters.	Tamaki claimed that, as a result of doing research for the series, her favorite model became Ai Tominaga, and that she was flattered when Tominaga wrote, in an endorsement for the first volume of the Japanese edition, that there were things she had in common with Michiko.	/m/02760wb	Ai_Tominaga	93	104	/base/fashionmodels/fashion_model,/people/person
In Japanese culture, the phrase "small in Japan" is also used to describe Japanese celebrities who are unknown, unsuccessful or "forgotten" in Japan but making their ways outside Japan. The phrase has been used to refer to certain musicians such as Dir En Grey, certain professional wrestlers such as Tajiri and Yoshi Tatsu, certain fashion models such as Ai Tominaga and Tao Okamoto, and all the Miss Universe contestants from Japan, most of whom are former unsuccessful fashion models, including Kurara Chibana and Riyo Mori.	The phrase has been used to refer to certain musicians such as Dir En Grey, certain professional wrestlers such as Tajiri and Yoshi Tatsu, certain fashion models such as Ai Tominaga and Tao Okamoto, and all the Miss Universe contestants from Japan, most of whom are former unsuccessful fashion models, including Kurara Chibana and Riyo Mori.	/m/02760wb	Ai_Tominaga	170	181	/base/fashionmodels/fashion_model,/people/person
The tune "We Didn't Start The Fire" by Billy Joel was used in this Year in Review. The theme is the 2007 Annual Humanity Report arriving and a group of angels do not want to anger God so they "sugar coat" it in a song. Topics such as global warming, Lindsay Lohan's cocaine bust, Michael Vick and the Bad Newz Kennels dog fighting investigation, Alberto Gonzales, the war in Darfur, the Don Imus Rutgers University women's basketball team controversy, Blackwater USA, Britney Spears' performance at the 2007 MTV Video Music Awards, Caitlin Upton, Halo 3, the rise of Facebook, Sanjaya Malakar, the inaugural flight of the Airbus A380 (with Singapore Airlines), the Wii, the Malibu forest fires, the death of Anna Nicole Smith, and the iPhone were used in this Year in Review.	Topics such as global warming, Lindsay Lohan's cocaine bust, Michael Vick and the Bad Newz Kennels dog fighting investigation, Alberto Gonzales, the war in Darfur, the Don Imus Rutgers University women's basketball team controversy, Blackwater USA, Britney Spears' performance at the 2007 MTV Video Music Awards, Caitlin Upton, Halo 3, the rise of Facebook, Sanjaya Malakar, the inaugural flight of the Airbus A380 (with Singapore Airlines), the Wii, the Malibu forest fires, the death of Anna Nicole Smith, and the iPhone were used in this Year in Review.	/m/026xv8t	Caitlin_Upton	313	326	/award/competitor,/base/fashionmodels/fashion_model,/people/person,/tv/tv_actor
Emailers frequently add postscripts, such as "war-" (see "War" reference above), smack about other emailers, or qualifications. Emailer Dave in St. Louis began the custom of using qualifications with "non-hunter," a veiled reference to a press release by PETA that suggested male hunters have small genitalia. Sexual preference, ethnicity, or marital status are also used as qualifications. Dave in St. Louis has also popularized the use of the expression "Make the world a better place, punch (an unpopular/undesired person or group of people) in the face", a sentiment that Rome often disagrees with. Another common postscript, "___ lives here" can be props or ridicule of a certain team, etc. It is in reference to a sign seen at the November 9, 2006 Rutgers vs. Louisville game which stated "Undefeated lives here." (Rutgers had started the season a surprising 9-0, but lost the very next week). One of the newest postscripts is ", U.S. American," in reference to Miss Teen South Carolina Caitlin Upton's convoluted response in the 2007 pageant.	One of the newest postscripts is ", U.S. American," in reference to Miss Teen South Carolina Caitlin Upton's convoluted response in the 2007 pageant.	/m/026xv8t	Caitlin_Upton	93	106	/award/competitor,/base/fashionmodels/fashion_model,/people/person,/tv/tv_actor
Having signed a deal with John Galliano in 2004, Theron replaced Estonian model Tiiu Kuik as the spokeswoman in the "J'adore" advertisements by Christian Dior.	Having signed a deal with John Galliano in 2004, Theron replaced Estonian model Tiiu Kuik as the spokeswoman in the "J'adore" advertisements by Christian Dior.	/m/0bxrsd	Tiiu_Kuik	80	89	/base/fashionmodels/fashion_model,/film/person_or_entity_appearing_in_film,/people/person
She has starred in the continuing CoverGirl commercial campaign on The CW entitled "My Life as a Cover Girl" during Fall 2006 as well as starring in a CoverGirl commercial with fellow CoverGirls Queen Latifah and Tiiu Kuik. Dani was one of only a few Top Model winners to have her CoverGirl contract renewed and do multiple ads for the brand. She has recently been featured as one of CoverGirl's Top Models in Action. In the summer of 2009, She appeared on the cover of Kouture Magazine. Her shoot appeared on YouTube. Evans also appeared in a 2013 commercial for Target's Everyday Collection.	She has starred in the continuing CoverGirl commercial campaign on The CW entitled "My Life as a Cover Girl" during Fall 2006 as well as starring in a CoverGirl commercial with fellow CoverGirls Queen Latifah and Tiiu Kuik.	/m/0bxrsd	Tiiu_Kuik	213	222	/base/fashionmodels/fashion_model,/film/person_or_entity_appearing_in_film,/people/person
As co-designer/founder of Heatherette, Rains showed as part of the official New York Fashion week 16 times with his collections over a period of nine years. Outside of New York, Heatherette showed around the world in other fashion weeks including: Tokyo, Kyoto, Moscow, Miami, Mexico City, and Los Angeles. Heatherette shows were attended by hundreds of Celebrities and Taste makers, featured in virtually every fashion trade magazine world wide. Some well known models who walked in the shows included: Naomi Campbell, Devon Aoki, Atong Arjok, Omahyra Mota, Adina Fohlin, Ai Tominaga, Alek Wek, Anouck Lepere, Bridget Hall, Caitriona Balfe, Chanel Iman, Cintia Dicker, Coco Rocha, Darla Baker, Daul Kim, Elise Crombez, Elizabeth Jagger, Erin Heatherton, Eva Herzigova, Flavia de Oliveira, Freja Beha Erichsen, Hannelore Knuts, Isabeli Fontana, Liya Kebede, Lily Cole, Lily Donaldson, Lisa Cant, Lydia Hearst, Mini Anden, Miranda Kerr, Tiiu Kuik, Heather Marks, Hanne Gaby Odiele, Caroline Trentini, Egle Tvirbutaite, Anne Vyalitsyna, Amy Wesson, Caroline Winberg, Raquel Zimmermann, among many more.	Some well known models who walked in the shows included: Naomi Campbell, Devon Aoki, Atong Arjok, Omahyra Mota, Adina Fohlin, Ai Tominaga, Alek Wek, Anouck Lepere, Bridget Hall, Caitriona Balfe, Chanel Iman, Cintia Dicker, Coco Rocha, Darla Baker, Daul Kim, Elise Crombez, Elizabeth Jagger, Erin Heatherton, Eva Herzigova, Flavia de Oliveira, Freja Beha Erichsen, Hannelore Knuts, Isabeli Fontana, Liya Kebede, Lily Cole, Lily Donaldson, Lisa Cant, Lydia Hearst, Mini Anden, Miranda Kerr, Tiiu Kuik, Heather Marks, Hanne Gaby Odiele, Caroline Trentini, Egle Tvirbutaite, Anne Vyalitsyna, Amy Wesson, Caroline Winberg, Raquel Zimmermann, among many more.	/m/0bxrsd	Tiiu_Kuik	489	498	/base/fashionmodels/fashion_model,/film/person_or_entity_appearing_in_film,/people/person
Her newly created agency began securing work for female models, and later male models, who were trained at her school. In addition to representing models, between 1984 and 1987 she also explored other activities such as choreography and the organization of fashion shows. After that, Francina concentrated her activities on representing Spanish and international top models. Amongst those are Fernanda Tavares, Tiiu Kuik, Jeísa Chiminazzo, Petra Kvapilova, María Reyes, Vanessa de Assis, Cintia Dicker, Cristina Guillén, Nicole Jonnel, Mike Nock, Jason and Laszlo. In 1998, Francina decided to set up Options by Francina Models Agency, a new venture specialized in up-and-coming young talents, filling a gap in a market always hungry for new faces.	Amongst those are Fernanda Tavares, Tiiu Kuik, Jeísa Chiminazzo, Petra Kvapilova, María Reyes, Vanessa de Assis, Cintia Dicker, Cristina Guillén, Nicole Jonnel, Mike Nock, Jason and Laszlo.	/m/0bxrsd	Tiiu_Kuik	36	45	/base/fashionmodels/fashion_model,/film/person_or_entity_appearing_in_film,/people/person
