paragraph	sentence	mid	title	start	end	notable_types
In June and July 2008, Hart led the Mickey Hart Band on a U.S. concert tour. The band consists of Hart, Steve Kimock on guitar and pedal steel guitar, George Porter, Jr. on bass, Kyle Hollingsworth on keyboards, Sikiru Adepoju on talking drum, Walfredo Reyes, Jr. on drums, and Jen Durkin on vocals.	The band consists of Hart, Steve Kimock on guitar and pedal steel guitar, George Porter, Jr. on bass, Kyle Hollingsworth on keyboards, Sikiru Adepoju on talking drum, Walfredo Reyes, Jr. on drums, and Jen Durkin on vocals.	/m/02r81z_	George_Porter,_Jr.	74	92	/music/artist,/music/group_member,/people/person
On January 12, 2007, Domino was honored with OffBeat magazine's Lifetime Achievement Award at the annual Best of the Beat Awards held at House of Blues in New Orleans. New Orleans Mayor Ray Nagin declared the day "Fats Domino Day in New Orleans" and presented Fats with a signed declaration. OffBeat publisher Jan Ramsey and WWL-TV's Eric Paulsen presented Fats with the Lifetime Achievement Award. An all-star musical tribute followed with an introduction by the legendary producer Cosimo Matassa. The Lil' Band O' Gold rhythm section, Warren Storm, Kenny Bill Stinson, David Egan and C. C. Adcock, not only anchored the band, but each contributed lead vocals, swamp pop legend Warren Storm leading off with "Let the Four Winds Blow" and "The Prisoner Song," which he proudly introduced by saying, "Fats Domino recorded this in 1958.. and so did I." The horn section included Lil' Band O' Gold's Dickie Landry, the Iguanas' Derek Huston, and long-time Domino horn men Roger Lewis, Elliot "Stackman" Callier and Herb Hardesty. They were joined by Jon Cleary (who also played guitar in the rhythm section), Al "Carnival Time" Johnson, Irma Thomas, George Porter, Jr. (who, naturally, came up with a funky arrangement for "You Keep On Knocking"), Art Neville, Dr. John and Allen Toussaint, who wrote and debuted a song in tribute of Domino for the occasion. Though Domino did not perform, those near him recall him playing air piano and singing along to his own songs.	They were joined by Jon Cleary (who also played guitar in the rhythm section), Al "Carnival Time" Johnson, Irma Thomas, George Porter, Jr. (who, naturally, came up with a funky arrangement for "You Keep On Knocking"), Art Neville, Dr. John and Allen Toussaint, who wrote and debuted a song in tribute of Domino for the occasion.	/m/02r81z_	George_Porter,_Jr.	120	138	/music/artist,/music/group_member,/people/person
Never one to follow an expected path, in recent years Scofield launched a personal search for musical inspiration beyond the standard 12 bar blues and found it in "old time gospel music - the closest relative to and inspiration for the R&B.” His 2009 release Piety Street with bass legend George Porter, Jr. and singer/keyboardist Jon Cleary. The collaboration heard on the 2010 release 54 had its origins back in the 90's when Vince Mendoza asked John Scofield to play on his first album. John has since been featured on two of Vince’s records and his guitar sound and improvisational skills work well within Vince’s concept. When Mendoza assumed directorship of The Metropole Orchestra, he and Scofield decided to collaborate again with a primary focus on Mendoza’s arrangements of Scofield compositions as performed with The Metropole Orchestra.	Never one to follow an expected path, in recent years Scofield launched a personal search for musical inspiration beyond the standard 12 bar blues and found it in "old time gospel music - the closest relative to and inspiration for the R&B.” His 2009 release Piety Street with bass legend George Porter, Jr. and singer/keyboardist Jon Cleary.	/m/02r81z_	George_Porter,_Jr.	289	307	/music/artist,/music/group_member,/people/person
In the early 1980s, he also met Hammond Scott, co-owner of Black Top Records, and started to record for the label. The first album Glazed, backed up by Roomful of Blues was released in 1986, and a second album, Sexual Telepathy came in 1990. It featured Snooks Eaglin as a guest on two tracks, and also Ronnie Earl & The Broadcasters backed him up on some tracks. His third from the label Hard River To Cross (1993) was backed by George Porter, Jr., David Torkanowsky, and Herman V. Ernest, III.	His third from the label Hard River To Cross (1993) was backed by George Porter, Jr., David Torkanowsky, and Herman V. Ernest, III.	/m/02r81z_	George_Porter,_Jr.	66	84	/music/artist,/music/group_member,/people/person
In 2010, Kreutzmann formed a new band, called 7 Walkers, with guitarist Papa Mali, multi-instrumentalist Matt Hubbard, and bassist Reed Mathis. They toured the southern U.S. in the spring of 2010, with George Porter, Jr. playing bass while Mathis toured with Tea Leaf Green. 7 Walkers has recorded a studio album which was released on November 2, 2010.	They toured the southern U.S. in the spring of 2010, with George Porter, Jr. playing bass while Mathis toured with Tea Leaf Green.	/m/02r81z_	George_Porter,_Jr.	58	76	/music/artist,/music/group_member,/people/person
A revolving door of keyboardists and bassists were used to fulfill touring engagements in support of the Deep End recordings. Keyboardists included Chuck Leavell, Rob Barraco, Page McConnell and Danny Louis. Bassists included, among others, Dave Schools of Widespread Panic, Oteil Burbridge who already had filled Woody's former place in The Allman Brothers, Les Claypool of Primus, Victor Wooten of the Flecktones, George Porter, Jr. of The Meters, Jason Newsted (formerly of Metallica), Greg Rzab formerly of The Black Crowes and the Buddy Guy Band, and Andy Hess, also formerly of The Black Crowes. Louis and Hess were eventually named as permanent members of Gov't Mule.	Bassists included, among others, Dave Schools of Widespread Panic, Oteil Burbridge who already had filled Woody's former place in The Allman Brothers, Les Claypool of Primus, Victor Wooten of the Flecktones, George Porter, Jr. of The Meters, Jason Newsted (formerly of Metallica), Greg Rzab formerly of The Black Crowes and the Buddy Guy Band, and Andy Hess, also formerly of The Black Crowes.	/m/02r81z_	George_Porter,_Jr.	208	226	/music/artist,/music/group_member,/people/person
Col. Bruce Hampton, Yonder Mountain String Band's Jeff Austin (mandolin) and Robert Randolph (pedal steel) joined the Derek Trucks Band for a version of "Turn On Your Lovelight". Paul Shaffer sat in with Les Claypool's Fearless Flying Frog Brigade featuring Junior Brown for The Beatles' "Taxman" and King Crimson's "Thela Hun Ginjeet". DJ Logic and guitarist Stanley Jordan performed with The Disco Biscuits featuring John Popper for Jane's Addiction's "Three Days" and Led Zeppelin's "Bring It On Home". The show concluded with a two-stage dueling jam on The Meters' classic "Cissy Strut", which followed the presentation of the lifetime achievement award to George Porter, Jr. The song featured the Derek Trucks Band with special guests Porter (bass, the Meters), Popper (vocals, harmonica, Blues Traveler) and Jordan (guitar).	The show concluded with a two-stage dueling jam on The Meters' classic "Cissy Strut", which followed the presentation of the lifetime achievement award to George Porter, Jr.	/m/02r81z_	George_Porter,_Jr.	155	173	/music/artist,/music/group_member,/people/person
In 1987, she accepted an invitation from Pet Shop Boys to duet with their lead singer, Neil Tennant, on the single "What Have I Done to Deserve This?". Tennant cites Dusty in Memphis as one of his favourite albums, and he leapt at the suggestion of using Springfield's vocals for "What Have I Done To Deserve This?". She also appeared on the promotional video. The single rose to No. 2 on both the US and UK charts. It appeared on the Pet Shop Boys album Actually, and on both artists' greatest hits collections. Springfield sang lead vocals on the Richard Carpenter song "Something in Your Eyes", recorded for his album, Time (October 1987). Released as a single, it became a US No. 12 adult contemporary hit. Springfield recorded a duet with B. J. Thomas, "As Long as We Got Each Other", which was used as the opening theme for the US sitcom Growing Pains in season 4 (1988-9). It was issued as a single and reached No. 7 on the Adult Contemporary Singles Chart.	Springfield sang lead vocals on the Richard Carpenter song "Something in Your Eyes", recorded for his album, Time (October 1987).	/m/02p8q1n	Richard_Carpenter_(musician)	36	53	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
Many other cover versions of King's work have appeared over the years. Most notably, "You've Got a Friend" was a smash No.1 hit for James Taylor in 1971 and a top 40 hit for Roberta Flack and Donny Hathaway that same year. Isaac Hayes recorded "It's Too Late" for his No.1 R&B live album Live at the Sahara Tahoe. Barbra Streisand had a top 40 hit in 1972 with "Where You Lead" twice – by itself and as part of a live medley with "Sweet Inspiration". Streisand also covered "No Easy Way Down" in 1971, "Beautiful" and "You've Got A Friend" in 1972, and "Being At War With Each Other" in 1974. Helen Reddy covered two Carole King penned tunes: the first was "No Sad Song" in 1971; the second was "I Can't Hear You No More" in 1976. The Carpenters recorded King's "It's Going to Take Some Time" in 1972, and reached number 12 on the Billboard charts. Richard Carpenter produced a version of "You've Got A Friend" with then teen singer/actor Scott Grimes in 1989. Martika had a number 25 hit in 1989 with her version of "I Feel the Earth Move", and "It's Too Late" reappeared on the Adult Contemporary chart in 1995 by Gloria Estefan. Linda Ronstadt recorded a new version of "Oh No Not My Baby" in 1993. Celine Dion also recorded King's song "The Reason" on her 1997 album Let's Talk About Love with Carole King singing backup and it became a million-seller and was certified Diamond in France. "Where You Lead" (lyrics by Toni Stern) became the title song of TV show Gilmore Girls. Mandy Moore covered "I Feel the Earth Move" on her 2003 album, Coverage.	Richard Carpenter produced a version of "You've Got A Friend" with then teen singer/actor Scott Grimes in 1989.	/m/02p8q1n	Richard_Carpenter_(musician)	0	17	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
During this period, Clark continued her interest in encouraging new talent. These efforts also supported the launch of Herb Alpert and his A&M record label. In 1968, she brought French composer/arranger Michel Colombier to the States to work as her musical director and introduced him to Alpert. Colombier went on to co-write "Purple Rain" with Prince, composed the acclaimed pop symphony Wings and a number of soundtracks for American films. Richard Carpenter credited Clark with bringing him and his sister Karen to Alpert's attention when they performed at a premiere party for Clark's 1969 film Goodbye, Mr. Chips.	Richard Carpenter credited Clark with bringing him and his sister Karen to Alpert's attention when they performed at a premiere party for Clark's 1969 film Goodbye, Mr. Chips.	/m/02p8q1n	Richard_Carpenter_(musician)	0	17	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
Former students Karen Carpenter and Richard Carpenter (Class of 1972, Honorary Doctorate 2000) of The Carpenters are the namesakes of the Carpenter Performing Arts Center, a 1,065-seat performance hall on the campus of the university that also houses an exhibit on the Carpenters. Richard Carpenter's college instructor and choir director Frank Pooler inspired him in choral arrangement, and both Karen and Richard participated in Pooler's choir. Pooler also introduced Richard to fellow undergraduate and future song-writing collaborator John Bettis. Another undergraduate, Wesley Jacobs, would join the Carpenters as a musical instrumentalist. The Carpenters sold over 100 million records, won three Grammy Awards out of eighteen nominations, and created numerous gold and platinum albums. One of Pooler's personal poems formed the basis for Merry Christmas Darling, which went to No. 1 on the Billboard charts for three years. Bettis, who later would win an Emmy Award himself, also successfully collaborated on songs with other artists, such as Human Nature performed by Michael Jackson, Crazy for You performed by Madonna, and One Moment in Time performed by Whitney Houston.	Former students Karen Carpenter and Richard Carpenter (Class of 1972, Honorary Doctorate 2000) of The Carpenters are the namesakes of the Carpenter Performing Arts Center, a 1,065-seat performance hall on the campus of the university that also houses an exhibit on the Carpenters.	/m/02p8q1n	Richard_Carpenter_(musician)	36	53	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
Former students Karen Carpenter and Richard Carpenter (Class of 1972, Honorary Doctorate 2000) of The Carpenters are the namesakes of the Carpenter Performing Arts Center, a 1,065-seat performance hall on the campus of the university that also houses an exhibit on the Carpenters. Richard Carpenter's college instructor and choir director Frank Pooler inspired him in choral arrangement, and both Karen and Richard participated in Pooler's choir. Pooler also introduced Richard to fellow undergraduate and future song-writing collaborator John Bettis. Another undergraduate, Wesley Jacobs, would join the Carpenters as a musical instrumentalist. The Carpenters sold over 100 million records, won three Grammy Awards out of eighteen nominations, and created numerous gold and platinum albums. One of Pooler's personal poems formed the basis for Merry Christmas Darling, which went to No. 1 on the Billboard charts for three years. Bettis, who later would win an Emmy Award himself, also successfully collaborated on songs with other artists, such as Human Nature performed by Michael Jackson, Crazy for You performed by Madonna, and One Moment in Time performed by Whitney Houston.	Richard Carpenter's college instructor and choir director Frank Pooler inspired him in choral arrangement, and both Karen and Richard participated in Pooler's choir.	/m/02p8q1n	Richard_Carpenter_(musician)	0	17	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
Karen Anne Carpenter (March 2, 1950 – February 4, 1983) was an American singer and drummer. She and her brother, Richard, formed the 1970s duo Carpenters, commonly called The Carpenters. She had a contralto vocal range, and her skills as a drummer earned admiration from her peers, although she is best known for her vocal performances.	She and her brother, Richard, formed the 1970s duo Carpenters, commonly called The Carpenters.	/m/02p8q1n	Richard_Carpenter_(musician)	21	28	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
From 1965 to 1968 Karen, her brother Richard, and his college friend Wes Jacobs, a bassist and tuba player, formed The Richard Carpenter Trio. The band played jazz at numerous nightclubs and also appeared on the TV talent show Your All-American College Show. Karen, Richard and other musicians, including Gary Sims and John Bettis, also performed as an ensemble known as Spectrum. Spectrum focused on a harmonious and vocal sound, and recorded many demo tapes in the garage studio of friend and bassist Joe Osborn. Many of those tapes were rejected. According to former Carpenters member John Bettis, those rejections "took their toll." The tapes of the original sessions were lost in a fire at Joe Osborn's house, and the surviving versions of those early songs exist as acetate pressings. Finally A&M Records signed the Carpenters to a recording contract in 1969. Karen sang most of the songs on the band's first album, Offering (later retitled Ticket to Ride), and her brother wrote 10 out of the album's 13 songs. The issued single (later the title track), which was a cover of a Beatles song, became their first single; it reached #54 on the Billboard Hot 100. Their next album, 1970's Close to You, featured two massive hit singles: "(They Long to Be) Close to You" and "We've Only Just Begun". They peaked at #1 and #2, respectively, on the Hot 100.	From 1965 to 1968 Karen, her brother Richard, and his college friend Wes Jacobs, a bassist and tuba player, formed The Richard Carpenter Trio.	/m/02p8q1n	Richard_Carpenter_(musician)	37	44	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
From 1965 to 1968 Karen, her brother Richard, and his college friend Wes Jacobs, a bassist and tuba player, formed The Richard Carpenter Trio. The band played jazz at numerous nightclubs and also appeared on the TV talent show Your All-American College Show. Karen, Richard and other musicians, including Gary Sims and John Bettis, also performed as an ensemble known as Spectrum. Spectrum focused on a harmonious and vocal sound, and recorded many demo tapes in the garage studio of friend and bassist Joe Osborn. Many of those tapes were rejected. According to former Carpenters member John Bettis, those rejections "took their toll." The tapes of the original sessions were lost in a fire at Joe Osborn's house, and the surviving versions of those early songs exist as acetate pressings. Finally A&M Records signed the Carpenters to a recording contract in 1969. Karen sang most of the songs on the band's first album, Offering (later retitled Ticket to Ride), and her brother wrote 10 out of the album's 13 songs. The issued single (later the title track), which was a cover of a Beatles song, became their first single; it reached #54 on the Billboard Hot 100. Their next album, 1970's Close to You, featured two massive hit singles: "(They Long to Be) Close to You" and "We've Only Just Begun". They peaked at #1 and #2, respectively, on the Hot 100.	Karen, Richard and other musicians, including Gary Sims and John Bettis, also performed as an ensemble known as Spectrum.	/m/02p8q1n	Richard_Carpenter_(musician)	7	14	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
He also began singing in childhood, and in March 1986 appeared on a Bob Hope TV special, singing "Somewhere Over The Rainbow". The special was taped in Sweden with the King and Queen in attendance. In 1987, he performed as a guest vocalist on the Time album by Richard Carpenter of The Carpenters, where Carpenter thanked the 15-year old Grimes for his "spirited" performance, commenting in the liner notes, "I believe young Scott to have quite a future in music." His first music album, Scott Grimes, was issued by A&M Records in 1989, which was produced by Carpenter. In 2005, he released his second album, Livin' on the Run, and in 2010 issued his third, Drive.	In 1987, he performed as a guest vocalist on the Time album by Richard Carpenter of The Carpenters, where Carpenter thanked the 15-year old Grimes for his "spirited" performance, commenting in the liner notes, "I believe young Scott to have quite a future in music.	/m/02p8q1n	Richard_Carpenter_(musician)	63	80	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
In 1975, Sedaka was the opening act for The Carpenters on their world tour. According to The Carpenters: The Untold Story by Ray Coleman, manager Sherwin Bash fired Sedaka at the request of Richard Carpenter, allegedly because Sedaka was becoming more popular than the Carpenters. The firing resulted in a media backlash against The Carpenters after Sedaka publicly announced he was off the tour. This, however, was before Karen and Richard recorded Sedaka's "Solitaire," which became a Top 20 hit for the duo. Richard Carpenter denied that he fired Sedaka for "stealing their show," as was the widespread rumour; Richard Carpenter responded that he and Karen were proud of Sedaka's success. However, Bash was fired as The Carpenters' manager a short time after.	According to The Carpenters: The Untold Story by Ray Coleman, manager Sherwin Bash fired Sedaka at the request of Richard Carpenter, allegedly because Sedaka was becoming more popular than the Carpenters.	/m/02p8q1n	Richard_Carpenter_(musician)	114	131	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
In 1975, Sedaka was the opening act for The Carpenters on their world tour. According to The Carpenters: The Untold Story by Ray Coleman, manager Sherwin Bash fired Sedaka at the request of Richard Carpenter, allegedly because Sedaka was becoming more popular than the Carpenters. The firing resulted in a media backlash against The Carpenters after Sedaka publicly announced he was off the tour. This, however, was before Karen and Richard recorded Sedaka's "Solitaire," which became a Top 20 hit for the duo. Richard Carpenter denied that he fired Sedaka for "stealing their show," as was the widespread rumour; Richard Carpenter responded that he and Karen were proud of Sedaka's success. However, Bash was fired as The Carpenters' manager a short time after.	Richard Carpenter denied that he fired Sedaka for "stealing their show," as was the widespread rumour; Richard Carpenter responded that he and Karen were proud of Sedaka's success.	/m/02p8q1n	Richard_Carpenter_(musician)	0	17	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
Jones moved from Kapp (in the UK, London Records) to RCA Records in 1967. His first album in the new company was called Without Her. The following releases, If You Ever Leave Me, L.A. Break Down, and Where Is Love were in roughly the same style of the Kapp records, but with a slightly more contemporary vocal styling. After A Jack Jones Christmas, he changed his musical direction and appearance from the smooth club entertainer of the 1960s Las Vegas scene to the long-haired singer of the early seventies. A Time For Us (1970) was one of the albums which marked his transition towards a middle of the road sound. Jones started to record more contemporary material, including covers of people like Randy Newman, Harry Nilsson, Carole King, Paul Williams, Richard Carpenter, Gordon Lightfoot, and Gilbert O'Sullivan.	Jones started to record more contemporary material, including covers of people like Randy Newman, Harry Nilsson, Carole King, Paul Williams, Richard Carpenter, Gordon Lightfoot, and Gilbert O'Sullivan.	/m/02p8q1n	Richard_Carpenter_(musician)	141	158	/film/actor,/film/person_or_entity_appearing_in_film,/music/artist,/music/composer,/music/group_member,/music/producer,/people/person,/tv/tv_actor
At the release of their first album Focus Plays Focus (aka In and Out of Focus) (1970), Focus comprised keyboardist and flutist Thijs van Leer, guitarist Jan Akkerman, bassist Martin Dresden, and drummer Hans Cleuver. The album was little noticed outside the Netherlands, where a small but avid fan base developed. Akkerman left the group to form another band with bassist Cyril Havermans and Pierre van der Linden, a drummer he had previously performed with in Johnny and the Cellar Rockers, The Hunters, and Brainbox. When Cleuver and Dresden left Focus shortly after, Van Leer joined Akkerman, Van der Linden, and Havermans as the new lineup of Focus.	Akkerman left the group to form another band with bassist Cyril Havermans and Pierre van der Linden, a drummer he had previously performed with in Johnny and the Cellar Rockers, The Hunters, and Brainbox.	/m/02pgkht	Cyril_Havermans	58	73	/music/artist,/music/group_member,/people/person
