paragraph	sentence	mid	title	start	end	notable_types
Jacob Anatoli translated several of the works of Averroes from Arabic into Hebrew in the 13th century. Many of them were later translated from Hebrew into Latin by Jacob Mantino and Abraham de Balmes. Other works were translated directly from Arabic into Latin by Michael Scot. Many of his works in logic and metaphysics have been permanently lost, while others, including some of the longer Aristotelian commentaries, have only survived in Latin or Hebrew translation, not in the original Arabic. The fullest version of his works is in Latin, and forms part of the multi-volume Juntine edition of Aristotle published in Venice 1562-1574.	Many of them were later translated from Hebrew into Latin by Jacob Mantino and Abraham de Balmes.	/m/02r8tcy	Abraham_de_Balmes	79	96	/people/deceased_person,/people/person
Moses Soave was an Italian Hebraist; born in Venice March 28, 1820; died there November 27, 1882. He supported himself as a private tutor in Venetian Jewish families, and collected a library containing many rare and valuable works. Two years before his death he gave up teaching, and devoted himself entirely to study. In addition to numerous articles which appeared in Italian Jewish periodicals he wrote biographies of Sara Copia Sullam, Amatus Lusitanus, Abraham de Balmes, Shabbethai Donnolo and Leon de Modena. He was, besides, the editor of Isacco Israelita's Guida dei Medici (Manhig ha-Rofe'im), translated from an old Hebrew manuscript (Venice, 1861); and wrote Dei Soncino, Celebri Tipografi Italiani nel Secoli XV.-XVI. (Venice, 1878).	In addition to numerous articles which appeared in Italian Jewish periodicals he wrote biographies of Sara Copia Sullam, Amatus Lusitanus, Abraham de Balmes, Shabbethai Donnolo and Leon de Modena.	/m/02r8tcy	Abraham_de_Balmes	139	156	/people/deceased_person,/people/person
Jews were especially involved as translators. Moses ibn Tibbon translated from the Arabic Jabir ben Aflah's acute criticisms of the Ptolemaic system, an anticipation of Copernicus, and thus brought them to the notice of Maimonides. Ibn al-Haitham's Arabic compendium of astronomy was a particular favorite of Jewish astronomers; besides being translated into Spanish by Don Abraham Faquin, it was turned into Hebrew by Jacob ben Makir and Solomon ibn Pater Cohen and into Latin by Abraham de Balmes. Other translations from the Arabic were by Jacob Anatoli, Moses Galeno, and Kalonymus ben Kalonymus, bringing the Greco-Arabic astronomers to the notice of western Europe. Jacob Anatoli, for example, translated into Hebrew both the Almagest and Averroes' compendium of it, and this Hebrew version was itself translated into Latin by Jacob Christmann. Other translators from the Hebrew into Latin were Abraham de Balmes and Kalonymus ben David of Naples, while David Kalonymus ben Jacob, Ephraim Mizraḥi, and Solomon Abigdor translated from the Latin into Hebrew. The well-known family of translators, the Ibn Tibbons, may be especially mentioned. In practical astronomy Jewish work was even more effective. Jacob ben Makir (who is known also as Profiat Tibbon) appears to have been professor of Astronomy at Montpellier, about 1300, and to have invented a quadrant to serve as a substitute for the astrolabe. Levi ben Gershon was also the inventor of an astronomical instrument, and is often quoted with respect under the name of Leon de Bañolas. Bonet de Lattes also invented an astronomical ring. Abraham Zacuto ben Samuel was professor of Astronomy at Salamanca, and afterward astronomer-royal to Emmanuel of Portugal, who had previously been advised by a Jewish astronomer, Rabbi Joseph Vecinho, a pupil of Abraham Zacuto, as to the project put before him by Christopher Columbus, who, in carrying it out, made use of Zacuto's "Almanac" and "Tables."	Ibn al-Haitham's Arabic compendium of astronomy was a particular favorite of Jewish astronomers; besides being translated into Spanish by Don Abraham Faquin, it was turned into Hebrew by Jacob ben Makir and Solomon ibn Pater Cohen and into Latin by Abraham de Balmes.	/m/02r8tcy	Abraham_de_Balmes	249	266	/people/deceased_person,/people/person
Jews were especially involved as translators. Moses ibn Tibbon translated from the Arabic Jabir ben Aflah's acute criticisms of the Ptolemaic system, an anticipation of Copernicus, and thus brought them to the notice of Maimonides. Ibn al-Haitham's Arabic compendium of astronomy was a particular favorite of Jewish astronomers; besides being translated into Spanish by Don Abraham Faquin, it was turned into Hebrew by Jacob ben Makir and Solomon ibn Pater Cohen and into Latin by Abraham de Balmes. Other translations from the Arabic were by Jacob Anatoli, Moses Galeno, and Kalonymus ben Kalonymus, bringing the Greco-Arabic astronomers to the notice of western Europe. Jacob Anatoli, for example, translated into Hebrew both the Almagest and Averroes' compendium of it, and this Hebrew version was itself translated into Latin by Jacob Christmann. Other translators from the Hebrew into Latin were Abraham de Balmes and Kalonymus ben David of Naples, while David Kalonymus ben Jacob, Ephraim Mizraḥi, and Solomon Abigdor translated from the Latin into Hebrew. The well-known family of translators, the Ibn Tibbons, may be especially mentioned. In practical astronomy Jewish work was even more effective. Jacob ben Makir (who is known also as Profiat Tibbon) appears to have been professor of Astronomy at Montpellier, about 1300, and to have invented a quadrant to serve as a substitute for the astrolabe. Levi ben Gershon was also the inventor of an astronomical instrument, and is often quoted with respect under the name of Leon de Bañolas. Bonet de Lattes also invented an astronomical ring. Abraham Zacuto ben Samuel was professor of Astronomy at Salamanca, and afterward astronomer-royal to Emmanuel of Portugal, who had previously been advised by a Jewish astronomer, Rabbi Joseph Vecinho, a pupil of Abraham Zacuto, as to the project put before him by Christopher Columbus, who, in carrying it out, made use of Zacuto's "Almanac" and "Tables."	Other translators from the Hebrew into Latin were Abraham de Balmes and Kalonymus ben David of Naples, while David Kalonymus ben Jacob, Ephraim Mizraḥi, and Solomon Abigdor translated from the Latin into Hebrew.	/m/02r8tcy	Abraham_de_Balmes	50	67	/people/deceased_person,/people/person
It appears from Solomon Luria's responsa that Minz was the author of a number of ordinances (takanot) at Padua. According to Ghirondi, he was professor of philosophy at the University of Padua. Ghirondi further states that in recognition of Minz's services as professor, the authorities of the university placed his portrait, with an appreciative inscription, in the hall of the university, over the staircase. But it is very likely that Ghirondi confounded Minz with Elijah Delmedigo or Abraham de Balmes, both of whom lectured on philosophy before Christian audiences. In the sack of Padua soon after Minz's death almost all of his writings were destroyed. Joseph ben Abraham Minz, his grandson, discovered sixteen of his responsa, and these were published  by Meïr Katzenellenbogen, who printed in the same volume his own responsa and the Seder Gittin wa-chalitzah of Abraham Minz. These responsa have been edited, and supplemented with an extended commentary and preface, by Johanan ben Moses Preschel. Judah's responsa, though scanty, afford interesting information on the history of his age and on Jewish customs in Padua. In 1505 he partook in Birkat Hachama and was then already over one hundred years old. He died at Padua in 1508.	But it is very likely that Ghirondi confounded Minz with Elijah Delmedigo or Abraham de Balmes, both of whom lectured on philosophy before Christian audiences.	/m/02r8tcy	Abraham_de_Balmes	77	94	/people/deceased_person,/people/person
Toleration of the Jews in Apulia came to end when the Apulia, as well as other parts of southern Italy fell to the Kingdom of Naples. King Charles II of Anjou ordered the forced baptism of all Jews in his realm. Many Apulian Jews fled either to neighboring central Italy and northern Italy. Many also moved to the Germanic areas of central Europe. All synagogoues at that time were converted into Roman Catholic Churches and all Torah academies were closed. Many of the Jews who had coerced into Christianity, still practiced the Jewish faith in secret. These Jews became the historic population of Neofiti. These Crypto-Jews, also known in Hebrew as Anusim were frequently compelled to live in special quarters known as Giudecca. They were regarded by the local catholic populatipon as heretics. In 1311 King Robert directed that those who had either secretly practcing or relapsed back to Judaism to be severely punished; the order was renewed in 1343 by Joanna I. Both Jews and neofiti who again settled in Apulia in the 15th century, were subjected to mob attacks occurring in Bari and Lecce in 1463. The invasion of Otranto by the Ottoman Turks in 1480 led to a large massacre of Jews who lived in the area. In 1492, after the expulsion of the Jews from Spain, many Spanish, and Portuguese Jews settled in Apulia. This led to a small revival of Jewish life in the area. Isaac Abrabanel lived in Apulia at this time after leaving Spain. However, the revival was short lived. In 1495, the Kingdom of Naples fell to the French and King Charles VIII ordered more restrictions to placed on the Jews of Apulia. Also in 1495, the Jews Lecce were massacred and the Jewish quarter was burned to the ground. Lecce was the birthplace of Abraham de Balmes a noted Hebrew expert. One Balmes' pupils was Daniel Bomberg.	Lecce was the birthplace of Abraham de Balmes a noted Hebrew expert.	/m/02r8tcy	Abraham_de_Balmes	28	45	/people/deceased_person,/people/person
Henry David Thoreau died on May 6, 1862, likely from an illness he caught from Alcott two years earlier. At Emerson's request, Alcott helped arrange Thoreau's funeral, which was held at First Parish Sanctuary in Concord, despite Thoreau having disavowed membership in the church when he was in his early twenties. Emerson wrote a eulogy, and Alcott helped plan the preparations. Only two years later, neighbor Nathaniel Hawthorne died as well. Alcott served as a pallbearer along with Louis Agassiz, James Thomas Fields, Oliver Wendell Holmes, Sr., Henry Wadsworth Longfellow, and others. With Hawthorne's death, Alcott worried that few of the Concord notables remained. He recorded in his journal: "Fair figures one by one are fading from sight." The next year, Lincoln was assassinated, which Alcott called "appalling news".	Alcott served as a pallbearer along with Louis Agassiz, James Thomas Fields, Oliver Wendell Holmes, Sr., Henry Wadsworth Longfellow, and others.	/m/02kndf	Oliver_Wendell_Holmes,_Sr.	77	103	/book/author,/influence/influence_node,/medicine/physician,/people/deceased_person,/people/person
The author's paternal grandfather, Major Thomas Melville, was honored as a participant in the Boston Tea Party. Thomas Melville, who refused to change the style of his clothing or manners to fit the times, was depicted in Oliver Wendell Holmes's poem "The Last Leaf." Herman Melville visited his grandfather in Boston, and Allan Melville also turned to him in his frequent times of financial need.	Thomas Melville, who refused to change the style of his clothing or manners to fit the times, was depicted in Oliver Wendell Holmes's poem "The Last Leaf.	/m/02kndf	Oliver_Wendell_Holmes,_Sr.	110	131	/book/author,/influence/influence_node,/medicine/physician,/people/deceased_person,/people/person
Hahnemann conceived of homeopathy while translating a medical treatise by the Scottish physician and chemist William Cullen into German. Being skeptical of Cullen's theory concerning cinchona's use for curing malaria, Hahnemann ingested some of the bark specifically to investigate what would happen. He experienced fever, shivering and joint pain: symptoms similar to those of malaria itself. From this, Hahnemann came to believe that all effective drugs produce symptoms in healthy individuals similar to those of the diseases that they treat, in accord with the "law of similars" that had been proposed by ancient physicians. An account of the effects of eating cinchona bark noted by Oliver Wendell Holmes, and published in 1861, failed to reproduce the symptoms Hahnemann reported.:128	An account of the effects of eating cinchona bark noted by Oliver Wendell Holmes, and published in 1861, failed to reproduce the symptoms Hahnemann reported.	/m/02kndf	Oliver_Wendell_Holmes,_Sr.	59	80	/book/author,/influence/influence_node,/medicine/physician,/people/deceased_person,/people/person
From its inception, however, homeopathy was criticized by mainstream science. Sir John Forbes, physician to Queen Victoria, said in 1843 that the extremely small doses of homeopathy were regularly derided as useless, "an outrage to human reason". James Young Simpson said in 1853 of the highly diluted drugs: "No poison, however strong or powerful, the billionth or decillionth of which would in the least degree affect a man or harm a fly." 19th century American physician and author Oliver Wendell Holmes, Sr. was also a vocal critic of homeopathy and published an essay in 1842 entitled Homœopathy, and its kindred delusions. The members of the French Homeopathic Society observed in 1867 that some of the leading homeopathists of Europe not only were abandoning the practice of administering infinitesimal doses but were also no longer defending it. The last school in the U.S. exclusively teaching homeopathy closed in 1920.	" 19th century American physician and author Oliver Wendell Holmes, Sr. was also a vocal critic of homeopathy and published an essay in 1842 entitled Homœopathy, and its kindred delusions.	/m/02kndf	Oliver_Wendell_Holmes,_Sr.	45	71	/book/author,/influence/influence_node,/medicine/physician,/people/deceased_person,/people/person
