paragraph	sentence	mid	title	start	end	notable_types
"Frühlingsrauschen" ("Rustle of Spring") was quoted by Meredith Willson in his musical The Music Man, was one of the main themes of Dennis Potter's 1986 miniseries The Singing Detective, and was sampled by hip-hop producer 4th Disciple on Killarmy's track "Wu-Renegades." A hundred years ago it enjoyed a vogue, along with other now-forgotten pieces like Tchaikovsky's Chant sans paroles, Anton Rubinstein's Melody in F, Xaver Scharwenka's Polonaise in E-flat minor, Paderewski's Minuet in G, and Ignace Leybach's Fifth Nocturne, all of which were invariably found in collections with titles like "World's Greatest Piano Pieces." Today little of this music is heard.	" A hundred years ago it enjoyed a vogue, along with other now-forgotten pieces like Tchaikovsky's Chant sans paroles, Anton Rubinstein's Melody in F, Xaver Scharwenka's Polonaise in E-flat minor, Paderewski's Minuet in G, and Ignace Leybach's Fifth Nocturne, all of which were invariably found in collections with titles like "World's Greatest Piano Pieces.	/m/03014f	Xaver_Scharwenka	151	167	/book/author,/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
Among Kullak's many pupils were Alfred Grünfeld, Heinrich Hofmann, Alexander Ilyinsky, Moritz Moszkowski, Silas Gamaliel Pratt, Julius Reubke, Nikolai Rubinstein, Xaver Scharwenka, Otto Bendix, Hans Bischoff, Amy Fay and James Kwast. Noted Bohemian pianist and composer Franz Bendel taught at the academy.	Among Kullak's many pupils were Alfred Grünfeld, Heinrich Hofmann, Alexander Ilyinsky, Moritz Moszkowski, Silas Gamaliel Pratt, Julius Reubke, Nikolai Rubinstein, Xaver Scharwenka, Otto Bendix, Hans Bischoff, Amy Fay and James Kwast.	/m/03014f	Xaver_Scharwenka	163	179	/book/author,/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
Born in Darmstadt, Germany, Muck's father, a senior court official and amateur musician, moved the family to Switzerland in 1867 and acquired Swiss citizenship. Karl Muck acquired Swiss citizenship when he was 21. Muck studied piano as a child and made his first public appearance at the age of 11 when he gave a piano solo at a chamber music recital. He also played the violin in a local symphony orchestra as a boy. He graduated from the gymnasium at Würzburg and entered the University of Heidelberg at 16. In May 1878 he entered the University of Leipzig, where he took his degree as Doctor of Philosophy in 1880. While there studied music at Leipzig Conservatory. He made his formal debut as a concert pianist on February 19, 1880 at the Leipzig Gewandhaus in Xaver Scharwenka's Piano Concerto No. 1 in B flat minor with Arthur Nikisch conducting.	He made his formal debut as a concert pianist on February 19, 1880 at the Leipzig Gewandhaus in Xaver Scharwenka's Piano Concerto No.	/m/03014f	Xaver_Scharwenka	96	112	/book/author,/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
Throughout his early childhood he was tutored with a firm hand by his father, the organist Andreas Klewe. A child prodigy, he made his first appearances on the concert stage at the age of five. The strictness of his training is exemplified by the fact that he was not allowed to play anything other than the works of Johann Sebastian Bach until he was sixteen! For the next three years his musical training was undertaken by Otto Winter-Hjelm, after which he studied in Berlin under Professor Raif and the brothers Xaver and Philipp Scharwenka. In 1902 he married Berit Winderen, a student of Theresa Carreno, and made numerous concert appearances together, both in Norway and abroad. Halfdan Cleve composed five piano concertos, a violin sonata, a piano quintet, songs with orchestral accompaniment and over one hundred piano pieces.	For the next three years his musical training was undertaken by Otto Winter-Hjelm, after which he studied in Berlin under Professor Raif and the brothers Xaver and Philipp Scharwenka.	/m/03014f	Xaver_Scharwenka	154	159	/book/author,/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
His first return to the public was through a two-hour broadcast in 1963 for WBAI in New York, on which he played Alkan's works and discussed his life. The response to this program was overwhelming and brought a request from G. Schirmer to prepare an edition of Alkan's piano music. Encouraged by the reception, Lewenthal played a recital including Alkan's music in Town Hall, New York, in September 1964 - his first public appearance there in 12 years. This led to an RCA recording of Alkan's music which was met with critical raves, and then a three-concert Liszt Cycle in New York and London, among many other performances. Lewenthal came to be considered the leader of the "Romantic Revival", reintroducing solo and chamber works by many important but neglected 19th-century composers such as Moscheles, Goetz, Herz, Hummel, Henselt, Scharwenka, Rubinstein, Reubke, Field, Dussek and others, as well as reviving overlooked works by famous composers. He also took an active role in such events as the Romantic Festival at Butler University (Indianapolis) and Newport Music Festival. Lewenthal taught at the Mannes College of Music and The Tanglewood Music Festival, and was a faculty member of the Manhattan School of Music for a number of years beginning in the mid-1970s.	Lewenthal came to be considered the leader of the "Romantic Revival", reintroducing solo and chamber works by many important but neglected 19th-century composers such as Moscheles, Goetz, Herz, Hummel, Henselt, Scharwenka, Rubinstein, Reubke, Field, Dussek and others, as well as reviving overlooked works by famous composers.	/m/03014f	Xaver_Scharwenka	211	221	/book/author,/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
He was born in Breslau, Prussia (now the Polish city of Wrocław), into a wealthy Polish-Jewish family whose parents had come to Breslau from Pilica, near Zawiercie, in 1854. He was an ardent Jew at a time when many Jews downplayed their Jewishness. He showed early talent from a very tender age, beginning his musical training at home until 1865, when his family moved to Dresden. There he continued his piano studies at the conservatory. He moved to Berlin in 1869 to continue his studies first at the Julius Stern's Conservatory, where he studied piano with Eduard Franck and composition with Friedrich Kiel, and then at Theodor Kullak's Neue Akademie der Tonkunst, where he studied composition with Richard Wüerst and orchestration with Heinrich Dorn. There he became close friends with the Scharwenka brothers, Xaver and Philipp. In 1871 he accepted Kullak's offer to become a teacher in his academy; as he was also a more than competent violinist, he sometimes played first violin in the orchestra..	There he became close friends with the Scharwenka brothers, Xaver and Philipp.	/m/03014f	Xaver_Scharwenka	60	65	/book/author,/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
Some notable alumni include: Florian Marciniak, Władysław Niegolewski, Zbigniew Zakrzewski, Xaver Scharwenka and Zygmunt Gorgolewski. Noted faculty members included Hermann Loew and Karol Libelt.	Some notable alumni include: Florian Marciniak, Władysław Niegolewski, Zbigniew Zakrzewski, Xaver Scharwenka and Zygmunt Gorgolewski.	/m/03014f	Xaver_Scharwenka	92	108	/book/author,/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
In Berlin he had lessons from Xaver Scharwenka and Philipp Scharwenka before studying with Franz Liszt at Weimar in 1885 and with Hans von Bülow two years later. In the following years he undertook many concert tours all round the world. Although he was renowned for his virtuosity he was also dedicated to the music of J. S. Bach and Beethoven - playing all of the latter's 32 piano sonatas in a series of concerts in Lisbon in 1927. He also included lesser known composers in his recitals, playing, for example, works by Charles-Valentin Alkan at the Wigmore Hall in London in 1903.  He also made a number of transcriptions of Alkan's pedalier pieces into two hand versions.	In Berlin he had lessons from Xaver Scharwenka and Philipp Scharwenka before studying with Franz Liszt at Weimar in 1885 and with Hans von Bülow two years later.	/m/03014f	Xaver_Scharwenka	30	46	/book/author,/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
Hogg was the daughter of Sarah Ann "Sallie" Stinson and James Stephen "Big Jim" Hogg, later Attorney General of Texas and Governor of the state. Ima Hogg's first name was taken from The Fate of Marvin, an epic poem written by her uncle Thomas Hogg. She endeavored to downplay her unusual name by signing her first name illegibly and having her stationery printed with "I. Hogg" or "Miss Hogg". Although it was rumored that Hogg had a sister named "Ura Hogg", she had only brothers. Hogg's father left public office in 1895, and soon after, her mother was diagnosed with tuberculosis. When Sarah died later that year, Jim Hogg's widowed elder sister moved to Austin to care for the Hogg children. Between 1899 and 1901, Hogg attended the University of Texas at Austin; she then moved to New York City to study piano and music theory for two years. After her father's death in 1906, she traveled to Europe and spent two years studying music under Xaver Scharwenka in Vienna. When she returned to Texas, she established and managed the Houston Symphony Orchestra and served as president of the Symphony Society.	After her father's death in 1906, she traveled to Europe and spent two years studying music under Xaver Scharwenka in Vienna.	/m/03014f	Xaver_Scharwenka	98	114	/book/author,/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
In 1907, she vacationed in Germany, and enjoyed her time so much that she chose to remain in Europe to continue her piano studies. For the next two years she studied music in Vienna under Franz Xaver Scharwenka, pianist to the court of Francis Joseph I of Austria, and in Berlin under Martin Krause. After returning from Europe, Hogg settled in Houston with her brother William. Although the city had a population of about 100,000, it had no museums or parks and no professional theater, music, or ballet groups. Hogg chose to teach music and continued in this vocation for the next nine years. One of her first pupils was Jacques Abram, who later became a concert pianist. By 1913, Hogg had become president of the Girls' Musical Society and was on the entertainment committee of the College Women's Club, which organized a small theater group known as the Green Mask Players. That year, she organized the Houston Symphony Orchestra. Hogg served as the vice-president of the Symphony Society when the first session of the Board of Directors convened. In 1917 the Board of Directors requested that she serve as president; she went on to serve 12 terms.	For the next two years she studied music in Vienna under Franz Xaver Scharwenka, pianist to the court of Francis Joseph I of Austria, and in Berlin under Martin Krause.	/m/03014f	Xaver_Scharwenka	57	79	/book/author,/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
His father however insisted that Mayer go into business. Initially he worked in the lace trade, and then, moving to London in 1896, became a banker, whilst continuing his piano studies with Fanny Davies and others. Mayer became a citizen of the United Kingdom in 1902, and joined the British army in the First World War.	Initially he worked in the lace trade, and then, moving to London in 1896, became a banker, whilst continuing his piano studies with Fanny Davies and others.	/m/02r4_ml	Fanny_Davies	133	145	/music/artist,/music/group_member,/people/deceased_person,/people/person
Within a year Suggia was asked to appear as a soloist with the Leipzig Gewandhaus Orchestra under its conductor, Arthur Nikisch. From 1906 to 1912 she lived and worked in Paris with the cellist Pablo Casals. It was generally believed, incorrectly, that the two were married, and Suggia was sometimes billed as "Mme P. Casals-Suggia". She began to tour internationally, building her reputation. She and Casals were rated as "the world's leading cellists." After they separated, Suggia retained her admiration for Casals, describing him as pre-eminent among living cellists. In 1914 she formed a trio with the violinist Jelly d'Arányi and the pianist Fanny Davies. She was particularly celebrated in England, where she lived in the 1920s and 1930s. She was a frequent visitor to Lindisfarne Castle in northern England, where a cello now rests in the Music Room in commemoration of her time spent there.	In 1914 she formed a trio with the violinist Jelly d'Arányi and the pianist Fanny Davies.	/m/02r4_ml	Fanny_Davies	76	88	/music/artist,/music/group_member,/people/deceased_person,/people/person
Desmond succeeded Liza Lehmann, Cécile Chaminade, Fanny Davies, Rosa Newmarch and Myra Hess as president of the Society of Women Musicians in the UK, and also president of the Incorporated Society of Musicians.	Desmond succeeded Liza Lehmann, Cécile Chaminade, Fanny Davies, Rosa Newmarch and Myra Hess as president of the Society of Women Musicians in the UK, and also president of the Incorporated Society of Musicians.	/m/02r4_ml	Fanny_Davies	50	62	/music/artist,/music/group_member,/people/deceased_person,/people/person
He was the foremost English-born performer of the Brahms lieder in the first decades of the 20th century. In January 1907 he made a tour in Germany which included Berlin, Munich, Leipzig, Frankfort and Cologne, giving recitals with Fanny Davies (a celebrated pupil of Clara Schumann's). He sang mixed programmes, but his performance of German lieder, and especially of Brahms (in German) was greatly admired. (He was then singing 'Komm bald,' 'Am Sonntag Morgen,' 'Salamander,' 'Ein Wanderer,' 'Wir wandelten', 'Auf dem Kirchhof', 'Magyarisch,' 'Die Kränze,' Ständchen' and 'Botschaft.') He sang the Brahms Liebeslieder in Brussels in 1908 with Marie Brema, and in London gave a recital with Paderewski. In January 1913 at the Queen's Hall, under Henry J. Wood, he sang Mahler's Das Lied von der Erde in company with the contralto Doris Woodall: Wood thought it 'excessively modern but very beautiful'. Brahms remained central to Elwes's repertoire to the end, and he also performed lieder of Grieg, Dvořák and George Henschel. Early in his career he found an ideal accompanist in Frederick B. Kiddle, and they remained associated until his death.	In January 1907 he made a tour in Germany which included Berlin, Munich, Leipzig, Frankfort and Cologne, giving recitals with Fanny Davies (a celebrated pupil of Clara Schumann's).	/m/02r4_ml	Fanny_Davies	126	138	/music/artist,/music/group_member,/people/deceased_person,/people/person
Born in Stratford-upon-Avon, Warwickshire, of Baltic descent, he was a pupil at Warwick School between 1931 and 1934. He studied piano playing in London under Kathleen Arnold, herself a pupil of Clara Schumann's most distinguished student, Fanny Davies.	He studied piano playing in London under Kathleen Arnold, herself a pupil of Clara Schumann's most distinguished student, Fanny Davies.	/m/02r4_ml	Fanny_Davies	122	134	/music/artist,/music/group_member,/people/deceased_person,/people/person
In 1891 George Bernard Shaw found him 'fairly equal to the occasion in the wonderful duet' from Bach's Whitsuntide Canatata, O, Ewiges Feuer, with the Bach Choir. In April 1892 (sharing the platform with Joseph Joachim and Neruda, Fanny Davies, Alfredo Piatti and Agnes Zimmermann (piano)) he sang admirably in his first set (Lully, Cornelius and Schumann) in a Monday Popular Concert, but made little of his second group. In November 1893 at the first of George Henschel's London Symphony Orchestra concerts for the season he performed Stanford's new song, Prince Madoc's Farewell, so patriotically 'that he once or twice almost burst into the next key.' Shaw's strictures on his diction were no doubt taken very seriously by the singer, who studied to make absolute clarity and naturalness of diction a central point of his teaching and example.	In April 1892 (sharing the platform with Joseph Joachim and Neruda, Fanny Davies, Alfredo Piatti and Agnes Zimmermann (piano)) he sang admirably in his first set (Lully, Cornelius and Schumann) in a Monday Popular Concert, but made little of his second group.	/m/02r4_ml	Fanny_Davies	68	80	/music/artist,/music/group_member,/people/deceased_person,/people/person
On 20 September he performed a piano quartet of Brahms, and in November 1890 he performed both the quartet, and the Die Junge Nonne and Nacht und Traume with Fillunger, at Windsor for a royal concert. He has been described as 'Queen Victoria's favourite pianist'. By December, Shaw described him as 'a finished pupil ... his quick musical feeling and diligently-earned technical accomplishment entitle him to take his place with credit among our foremost concert-players'. In March 1891 he played a Bach concerto for two pianos with Ilona Eibenschütz (a Clara Schumann pupil) at a Bach Choir concert. That autumn he played at Windsor again, with the violinist Emily Shinner-Liddell (a Joachim pupil). Clara Schumann's other famous British pupil Fanny Davies was at that time also beginning her career in London.	Clara Schumann's other famous British pupil Fanny Davies was at that time also beginning her career in London.	/m/02r4_ml	Fanny_Davies	44	56	/music/artist,/music/group_member,/people/deceased_person,/people/person
In 1883, Cusins retired as conductor, and for one season there was a team of honorary conductors. Antonín Dvořák conducted his Sixth Symphony (although it was referred to as "Symphony No. 1") in March 1884. Sir Arthur Sullivan conducted the concerts of 1884–87, and as guest conductors, Dvořák, Moritz Moszkowski and Saint-Saëns were heard in works written for the Society. Among the soloists were Tivadar Nachéz, Fanny Davies, Lillian Nordica, Ella Russell, Emma Nevada, Józef Hofmann and František Ondříček. Most notably Saint-Saëns's Symphony No. 3 (Saint-Saëns) written at the behest of the Society, and premiered there on May 19, 1886.	Among the soloists were Tivadar Nachéz, Fanny Davies, Lillian Nordica, Ella Russell, Emma Nevada, Józef Hofmann and František Ondříček.	/m/02r4_ml	Fanny_Davies	40	52	/music/artist,/music/group_member,/people/deceased_person,/people/person
She was educated at the Hoch Conservatory in Frankfurt under Iwan Knorr, and studied piano with Fanny Davies and Clara Schumann, whose work she championed for most of her life. She was close friends with Johannes Brahms through her studies. As an adult, Adelina de Lara performed in public for the first time following her studies in 1891 and continued for over seventy years, making her final appearance on 15 June 1954 at the Wigmore Hall London. She made many recordings for the BBC and appeared on BBC Television on her 82nd birthday.	She was educated at the Hoch Conservatory in Frankfurt under Iwan Knorr, and studied piano with Fanny Davies and Clara Schumann, whose work she championed for most of her life.	/m/02r4_ml	Fanny_Davies	96	108	/music/artist,/music/group_member,/people/deceased_person,/people/person
The Concert Allegro, Op. 46 by Sir Edward Elgar is a piece of music for solo piano. It takes about 10 minutes to perform. It is the only piano work he wrote that was designed for concert performance. It is in the key of C major and was written in 1901, at the request of the pianist Fanny Davies.	It is in the key of C major and was written in 1901, at the request of the pianist Fanny Davies.	/m/02r4_ml	Fanny_Davies	83	95	/music/artist,/music/group_member,/people/deceased_person,/people/person
Anthony Bernard played a role in the story of Edward Elgar's Concert Allegro, Op. 46, for piano solo. Elgar started to revise and shorten the piece after its first performance by Fanny Davies in 1901, and even toyed with the idea of turning it into a piano concerto. These revisions were never finished, and the original version was never published. Elgar may have given the manuscript away; in any event, it was not found in his papers at his death, and was considered lost. In around 1942, however, Bernard was given the manuscript (by whom is not recorded), and was asked to arrange the piece for piano and orchestra. He thought it worked better as a solo piano piece, and did no work on his commission. The manuscript was still in his study when it was bombed during World War II, and it was assumed destroyed along with other papers of his. After his death, however, his widow came across the manuscript. It came to the attention of the pianist John Ogdon and the musicologist Diana McVeigh, who together worked on it to extricate the original work from Elgar's crossings out, additions and changes, all made after Fanny Davies' first performance. Ogdon gave the first modern performance of the work in 1969.	Elgar started to revise and shorten the piece after its first performance by Fanny Davies in 1901, and even toyed with the idea of turning it into a piano concerto.	/m/02r4_ml	Fanny_Davies	77	89	/music/artist,/music/group_member,/people/deceased_person,/people/person
Anthony Bernard played a role in the story of Edward Elgar's Concert Allegro, Op. 46, for piano solo. Elgar started to revise and shorten the piece after its first performance by Fanny Davies in 1901, and even toyed with the idea of turning it into a piano concerto. These revisions were never finished, and the original version was never published. Elgar may have given the manuscript away; in any event, it was not found in his papers at his death, and was considered lost. In around 1942, however, Bernard was given the manuscript (by whom is not recorded), and was asked to arrange the piece for piano and orchestra. He thought it worked better as a solo piano piece, and did no work on his commission. The manuscript was still in his study when it was bombed during World War II, and it was assumed destroyed along with other papers of his. After his death, however, his widow came across the manuscript. It came to the attention of the pianist John Ogdon and the musicologist Diana McVeigh, who together worked on it to extricate the original work from Elgar's crossings out, additions and changes, all made after Fanny Davies' first performance. Ogdon gave the first modern performance of the work in 1969.	It came to the attention of the pianist John Ogdon and the musicologist Diana McVeigh, who together worked on it to extricate the original work from Elgar's crossings out, additions and changes, all made after Fanny Davies' first performance.	/m/02r4_ml	Fanny_Davies	210	222	/music/artist,/music/group_member,/people/deceased_person,/people/person
He was assistant organist at Balliol College from 1891 to 1901, and organist from 1901 to 1913 (resigning only because he felt his private views on religion were incompatible with the religious nature of the texts sung by the choir, even though there was no requirement that the organist profess Christian beliefs). He remained at Oxford for the rest of his life, and died there. He was director of music at Balliol from 1901 to 1925 and organised the Sunday chamber music concerts there, at which he often appeared as a pianist. He arranged appearances at these concerts by artists such as the baritone Harry Plunket Greene, the tenors Steuart Wilson and Gervase Elwes, the pianists Fanny Davies, Leonard Borwick and Donald Tovey, the violinists Adolf Busch and Jelly d'Arányi, and the violist Lionel Tertis. These concerts often featured English premieres, such as César Franck's Violin Sonata in A major, and songs by Joseph Marx and Richard Strauss. He was for many years an examiner and member of the Board of Studies for music, and he did much to improve the standard of the B.Mus and D.Mus degrees. He encouraged many promising musicians, among them the Australian Frederick Septimus Kelly, who was killed in World War I, and Donald Tovey, who became his lifelong friend. Tovey dedicated his Balliol Dances for piano duet to Ernest Walker.	He arranged appearances at these concerts by artists such as the baritone Harry Plunket Greene, the tenors Steuart Wilson and Gervase Elwes, the pianists Fanny Davies, Leonard Borwick and Donald Tovey, the violinists Adolf Busch and Jelly d'Arányi, and the violist Lionel Tertis.	/m/02r4_ml	Fanny_Davies	154	166	/music/artist,/music/group_member,/people/deceased_person,/people/person
Kathleen Richards was born in England and studied with York Bowen and Fanny Davies. She became Kathleen Dale by marriage to the pianist, composer and teacher Benjamin Dale in 1921. She taught music at the Matthay School from 1925-31. She was involved in broadcast concerts from 1927–31 and became a noted musicologist and composer as Kathleen Richards. Under the name Kathleen Dale, she published two books, including a biography of Johannes Brahms in 1970 and a number of professional articles on music and music history. For the 'Symposium' series (edited by Gerald Abraham) she wrote chapters on the keyboard music of Handel, Schubert, Schumann and Grieg. She produced a study of the works of Ethel Smyth.	Kathleen Richards was born in England and studied with York Bowen and Fanny Davies.	/m/02r4_ml	Fanny_Davies	70	82	/music/artist,/music/group_member,/people/deceased_person,/people/person
He had a significant association with Johannes Brahms. The Cello Sonata No. 2 in F minor, Op. 99, was both dedicated to and premiered by him, with the composer at the piano (14 November 1886). He also popularised the Sonata No. 1 in E minor, Op. 38. In November 1891 he participated in the first private performance, in Meiningen, of the Clarinet Trio in A minor, Op. 114, with Richard Mühlfeld on clarinet and Brahms on piano. The following month they had a triumph with the public premiere in Berlin. In March 1892 he introduced the work to London, with Mühlfeld and Fanny Davies. He also premiered the Double Concerto in A minor, along with Joseph Joachim, on 18 October 1887. It was dedicated to both performers, and the critic Eduard Hanslick wrote that Hausmann was "in no way inferior to Joachim".	In March 1892 he introduced the work to London, with Mühlfeld and Fanny Davies.	/m/02r4_ml	Fanny_Davies	66	78	/music/artist,/music/group_member,/people/deceased_person,/people/person
It was reported that allegations of assault were made against another teacher in the 1980s. On 12 February, Professor Malcolm Layfield, Head of Strings at the Royal Northern College of Music resigned from the RNCM Board after claims of his previous sexual misconduct were brought up during the Brewer hearing. Before he was appointed Head of Strings, Layfield had admitted to having relationships with six Chethams pupils aged between 16 and 18 whilst he taught there, leading two RNCM teachers to resign in protest at his appointment in 2002, including Professor Martin Roscoe, Head of Keyboard Studies. On 14 February, Professor Wen Zhou Li, a violin teacher at the Royal Northern College of Music and former teacher at Chethams, was arrested on charges of rape that allegedly occurred whilst he taught at the school. Allegations of sexual abuse were also made against the pianist Ryszard Bakst, who died in 1999, and former violin teacher Christopher Ling.	Allegations of sexual abuse were also made against the pianist Ryszard Bakst, who died in 1999, and former violin teacher Christopher Ling.	/m/03c5w9d	Ryszard_Bakst	63	76	/award/award_winner,/music/artist,/music/group_member,/people/deceased_person,/people/person
Jill Crossland is an English pianist, born in Yorkshire. She studied with Ryszard Bakst (a Heinrich Neuhaus pupil) at Chetham's School of Music and the Royal Northern College of Music in Manchester, Lancashire and with Paul Badura-Skoda in Vienna. She has a preference for Baroque and Classical periods of the repertoire. She specialises in Bach.	She studied with Ryszard Bakst (a Heinrich Neuhaus pupil) at Chetham's School of Music and the Royal Northern College of Music in Manchester, Lancashire and with Paul Badura-Skoda in Vienna.	/m/03c5w9d	Ryszard_Bakst	17	30	/award/award_winner,/music/artist,/music/group_member,/people/deceased_person,/people/person
In 1914 Neuhaus started teaching in Elisavetgrad and later Tbilisi (Tiflis) and Kiev (where he befriended Vladimir Horowitz). After having been temporarily paralyzed, Neuhaus was forced to halt his concert career in the interests of his pedagogical activities. In 1922 he began teaching at the Moscow Conservatory where he was also director between 1935 and 1937. When the Germans approached Moscow in 1941, he was imprisoned as a "German spy" but released eight months later under pressure from Dmitri Shostakovich, Emil Gilels and others. His pupils there included Yakov Zak, Sviatoslav Richter, Emil Gilels, Anatoly Vedernikov, Tikhon Khrennikov, Yevgeny Malinin, Lev Naumov, Tamara Guseva, Ryszard Bakst, Teodor Gutman, Vera Gornostayeva, Alexander Slobodyanik, Leonid Brumberg, Igor Zhukov, Oleg Boshniakovich, Anton Ginsburg, Valery Kastelsky, Gérard Frémy, Zdeněk Hnát, Eliso Virsaladze, Alexei Lubimov, Aleksey Nasedkin, Vladimir Krainev, Berta Maranz, Evgeny Mogilevsky, Amalya Baiburtyan, Radu Lupu, and Nina Svetlanova.	His pupils there included Yakov Zak, Sviatoslav Richter, Emil Gilels, Anatoly Vedernikov, Tikhon Khrennikov, Yevgeny Malinin, Lev Naumov, Tamara Guseva, Ryszard Bakst, Teodor Gutman, Vera Gornostayeva, Alexander Slobodyanik, Leonid Brumberg, Igor Zhukov, Oleg Boshniakovich, Anton Ginsburg, Valery Kastelsky, Gérard Frémy, Zdeněk Hnát, Eliso Virsaladze, Alexei Lubimov, Aleksey Nasedkin, Vladimir Krainev, Berta Maranz, Evgeny Mogilevsky, Amalya Baiburtyan, Radu Lupu, and Nina Svetlanova.	/m/03c5w9d	Ryszard_Bakst	153	166	/award/award_winner,/music/artist,/music/group_member,/people/deceased_person,/people/person
