paragraph	sentence	mid	title	start	end	notable_types
Agentti 000 ja kuolema kurvit (English title Agent 000 and The Deadly Curves) was a 1983 Finnish spy comedy film directed by Visa Mäkinen and written by Ismo Sajakorpi. The film stars Ilmari Saarelainen as James Bond impersonator Joonas G. Breitenfeldt (Agent 000) and Tenho Saurén as a bank robber. English actor John Wood also makes an appearance as Agent 009, and his serious, wooden portrayal of the character stands in contrast to the outrageous antics of the other members of the cast contributing to further humour. Finnish actress Kielo Tommila stars as the reporter Ulla Salla and the main love interest of Agent 000. "000" or "nolla-nolla-nolla" as it was advertised, was then the Finnish national emergency call number.	Finnish actress Kielo Tommila stars as the reporter Ulla Salla and the main love interest of Agent 000.	/m/026tt22	Kielo_Tommila	16	29	/film/actor,/people/person
Those people maintaining that only the neo-cortex of the brain is necessary for consciousness sometimes argue that only electrical activity should be considered when defining death. Eventually it is possible that the criterion for death will be the permanent and irreversible loss of cognitive function, as evidenced by the death of the cerebral cortex. All hope of recovering human thought and personality is then gone given current and foreseeable medical technology. However, at present, in most places the more conservative definition of death – irreversible cessation of electrical activity in the whole brain, as opposed to just in the neo-cortex – has been adopted (for example the Uniform Determination Of Death Act in the United States). In 2005, the Terri Schiavo case brought the question of brain death and artificial sustenance to the front of American politics.	In 2005, the Terri Schiavo case brought the question of brain death and artificial sustenance to the front of American politics.	/m/031k07	Terri_Schiavo_case	13	31	/film/actor,/film/person_or_entity_appearing_in_film,/medicine/notable_person_with_medical_condition,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
Parker and Stone state that subjecting themselves to a one-week deadline creates more spontaneity amongst themselves in the creative process, which they feel results in a funnier show. The schedule also allows South Park to both stay more topical and respond more quickly to specific current events than other satiric animated shows. One of the earliest examples of this was in the season four (2000) episode "Quintuplets 2000", which references the United States Border Patrol's raid of a house during the Elian Gonzalez affair, an event which occurred only four days before the episode originally aired. The season nine (2005) episode "Best Friends Forever" references the Terri Schiavo case, and originally aired in the midst of the controversy and less than 12 hours before she died. A scene in the season seven (2003) finale "It's Christmas in Canada" references the discovery of dictator Saddam Hussein in a "spider hole" and his subsequent capture, which happened a mere three days prior to the episode airing. The season 12 (2008) episode "About Last Night..." revolves around Barack Obama's victory in the 2008 presidential election, and aired less than 24 hours after Obama was declared the winner, using segments of dialogue from Obama's real victory speech.	The season nine (2005) episode "Best Friends Forever" references the Terri Schiavo case, and originally aired in the midst of the controversy and less than 12 hours before she died.	/m/031k07	Terri_Schiavo_case	69	87	/film/actor,/film/person_or_entity_appearing_in_film,/medicine/notable_person_with_medical_condition,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
In 2004, he publicly spoke out against taxpayer-funded embryonic stem-cell research that involves the cloning and destruction of human embryos. In March 2005, he condemned the outcome of the Terri Schiavo case, referring to Schiavo's death as "state-sanctioned murder".	In March 2005, he condemned the outcome of the Terri Schiavo case, referring to Schiavo's death as "state-sanctioned murder".	/m/031k07	Terri_Schiavo_case	47	65	/film/actor,/film/person_or_entity_appearing_in_film,/medicine/notable_person_with_medical_condition,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
The running gag of Kenny's deaths in earlier seasons was incorporated into the season 9 (2005) episode "Best Friends Forever" when Kenny, in a vegetative state, is kept alive by a feeding tube while a media circus erupted over whether the tube should be removed and allow Kenny to die. The episode received much attention as it served to provide commentary on the Terri Schiavo case, originally airing just one day before Schiavo died. The episode earned South Park its first Emmy Award for Outstanding Animated Program.	The episode received much attention as it served to provide commentary on the Terri Schiavo case, originally airing just one day before Schiavo died.	/m/031k07	Terri_Schiavo_case	78	96	/film/actor,/film/person_or_entity_appearing_in_film,/medicine/notable_person_with_medical_condition,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
Many of Frist's opponents have attacked him for what they see as pandering to future Republican primary voters. They claim that he has taken extreme positions on social issues such as the Terri Schiavo case in order to please them. On the other hand, Frist changed his position on stem cell research.	They claim that he has taken extreme positions on social issues such as the Terri Schiavo case in order to please them.	/m/031k07	Terri_Schiavo_case	76	94	/film/actor,/film/person_or_entity_appearing_in_film,/medicine/notable_person_with_medical_condition,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
As of 2010, the U.S. Supreme Court has invalidated laws under the Attainder Clause on only five occasions. However, several recent cases (which have not reached the Supreme Court) have raised the bill of attainder issue. In 1990, in the wake of the Exxon Valdez oil spill, Congress enacted the Oil Pollution Act to consolidate various oil spill and oil pollution statutes into a single unified law, and to provide for a statutory regime for handling oil spill cleanup. This law has been challenged as a bill of attainder by the shipping division of ExxonMobil. In 2003, the United States Court of Appeals for the District of Columbia Circuit struck down the Elizabeth Morgan Act as a bill of attainder. There is argument over whether the Palm Sunday Compromise in the Terri Schiavo case was also a bill of attainder. Some analysts consider the ultimately unsuccessful bill Congress proposed to confiscate 90 percent of the bonus money paid to executives at federally-rescued investment bank American International Group a bill of attainder, although disagreement exists on the issue. In another recent case, the community organizing group Association of Community Organizations for Reform Now (ACORN) sued the U.S. government after the United States House of Representatives passed a resolution in early 2009 barring the group from receiving federal funding. Another, broader bill, the Defund ACORN Act, was enacted by Congress later that year. In March 2010, a federal district court declared the funding ban an unconstitutional bill of attainder. On 13 August 2010, the United States Court of Appeals for the Second Circuit reversed and remanded on the grounds that only 10 percent of ACORN's funding was federal and that did not constitute "punishment."	There is argument over whether the Palm Sunday Compromise in the Terri Schiavo case was also a bill of attainder.	/m/031k07	Terri_Schiavo_case	65	83	/film/actor,/film/person_or_entity_appearing_in_film,/medicine/notable_person_with_medical_condition,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
Boortz has expressed a negative opinion about the lack of Muslim outrage for the actions of Muslim Terrorists and the riots that erupted in response to the Jyllands-Posten Muhammad cartoons controversy. Boortz has sparred with Bill O'Reilly, goading O'Reilly to call Boortz a "vicious son of a bitch" on The O'Reilly Factor. Boortz has made controversial statements about Muslim extremists." At the height of the Terri Schiavo case, Boortz strongly criticized groups that fought against the removal of Schiavo's feeding tube. After the Virginia Tech shootings, Boortz criticized the media, saying, "When the history of this event is written, we will have 25 students standing meekly waiting for this guy to execute them." When public outrage resulted from his comments, members of the Virginia Legislature tried to have Boortz's show removed from local radio stations. In March 2008, Boortz attracted controversy by playing an audiotape of a nine-year-old where he repeatedly ridiculed the child’s speech, leading to an unsuccessful FCC petition to deny Boortz’s employer the right to purchase five local radio stations.	" At the height of the Terri Schiavo case, Boortz strongly criticized groups that fought against the removal of Schiavo's feeding tube.	/m/031k07	Terri_Schiavo_case	23	41	/film/actor,/film/person_or_entity_appearing_in_film,/medicine/notable_person_with_medical_condition,/people/deceased_person,/people/person,/user/narphorium/people/nndb_person
Aquamosh was finally released in 1998. The first single promoted was Mr. P. Mosh, and it became their most famous song. The '70s actress Lyn May appeared in the video and it peaked at number #1 on the Latin MTV. Other singles promoted were Afroman and Monster Truck. It was recognized as the Record of the Year in Mexico and many other countries, selling 150,000 copies.	The '70s actress Lyn May appeared in the video and it peaked at number #1 on the Latin MTV.	/m/02rrclf	Lyn_May	17	24	/film/actor,/people/person,/tv/tv_actor
Rarely were there cosmetically enhanced breasts in any of his films until Up! (1976) and Beneath the Valley of the Ultra-Vixens (1979). However, by the early 1980s, when surgical advancements had made the gargantuan breasts of Meyer's fantasies a reality, many felt he had started viewing the female body as simply a "tit transportation device" and that his aesthetic vision was no longer attractive or vibrant. Darlene Gray, a natural 36H-22-33 from Great Britain, who appeared in Mondo Topless (1966) is said to be Russ Meyer's most busty discovery.	Darlene Gray, a natural 36H-22-33 from Great Britain, who appeared in Mondo Topless (1966) is said to be Russ Meyer's most busty discovery.	/m/02rx8hz	Darlene_Gray	0	12	/film/actor,/influence/influence_node,/people/person
