paragraph	sentence	mid	title	start	end	notable_types
In 1990s, Wong played Dai Anfen, challenges Little Knife in 1990 film God of Gamblers II alongside Andy Lau, Stephen Chow, Ng Man-tat and Shing Fui-On. Wong played Crazy Bull in 1992 film Twin Dragons along with Jackie Chan and Teddy Robin. Wong played Yuan Pa Tien in 1993 film The Mad Monk along with Stephen Chow and Anthony Wong. Wong played Cameo in 1995 film Police Confidential alongside Simon Yam.	Wong played Yuan Pa Tien in 1993 film The Mad Monk along with Stephen Chow and Anthony Wong.	/m/0285z6m	The_Mad_Monk	38	50	/film/film
Helen was by far the most popular vamp of that era, having had performed in scores of item numbers including such popular songs as "Mera Naam Chin-Chin Choo" from the film Howrah Bridge (1958), "Piya Tu Ab To Aaja" from Caravan (1971), "Mehbooba Mehbooba" from Sholay (1975) and "Yeh Mera Dil" from Don (1978). In films like Gunga Jumna and Zindagi the actor performed semi-classical Indian dances in songs like "Tora man bada paapi" and "Ghungarwa mora chham chham baaje". A desi bar number, "Mungra Mungra" from Inkaar was also immensely popular. In addition to her skillful dancing, her anglicised looks too helped further the vamp image.	In films like Gunga Jumna and Zindagi the actor performed semi-classical Indian dances in songs like "Tora man bada paapi" and "Ghungarwa mora chham chham baaje".	/m/02r8p2s	Zindagi_(1964_film)	30	37	/film/film
Following two years sabbatical, Vyjayanthimala re-attained her success in Bollywood through Raj Kapoor's first technicolor film Sangam. Termed as Kapoor's magnum opus, the film was produced at lavish budget by his production company R. K. Films. Earlier in 1940s, Kapoor planned to launch Sangam in the title of Gharonda with Dilip Kumar and Nargis and himself in the lead, however the film was delayed for several times until 1962. Following Kumar and Dev Anand's refusal to be a part of the film, Kapoor then fixed Rajendra Kumar and himself as the male leads. Sangam was the first Indian film shot in Europe and outside of Asia. It was also the longest running film in India when it was released at 238 minutes. The film also created a record by being the first film to have two cinema intervals. Cinematography by Radhu Kamarkar, the European filming locations include Venice, Paris, Switzerland and London while the Indian locations include Ooty and Kashmir Valley. Upon release the film was well received by critics and was considered as Bollywood's greatest love triangle. Vyjayanthimala's performance too was praised by critics. Dinesh Raheja of Rediff said that "to put it simply, radiantthe maturity with which she tackles her character, the insouciance as well as the agony" and call it as "one of commercial cinema's most unforgettable performances". Similarly, the film was commercially successful throughout India and other country as well. On its overall theatrical run, Boxofficeindia.com reported that the film had grossed 8,00,00,000 and netted around 4,00,00,000 with its adjusted to inflation nett gross is about 843,900,000 (US$15 million). Subsequently, the film was labelled as blockbuster where it was ranked as highest grossing film of 1964 and second highest grossing film of the decade. The film was also ranked at fourth by Boxofficeindia.co.in in their list of "Top 50 Film of Last 50 Years" which feature all-time highest grossing Bollywood film with its adjust to inflation gross is about 7,173,154,362 (US$130 million). Sangam also had great box office run outside of India where it was well received in countries such as China, Malaysia and Russia. For her role Radha, who caught between her husband and her former lover, Vyjayanthimala was awarded with Filmfare Best Actress trophy. She then co-starred Dilip Kumar for the sixth time in Ram Mukherjee's Leader. The film was comeback film for Kumar whose last film was Gunga Jumna also with Vyjayanthimala. Like most of Vyjayanthimala and Kumar's film, their screen chemistry receives praises from the critics, where Deepak Mahan from The Hindu said "What made the film even more enjoyable was the equally spirited response of doe-eyed Vyjayantimala, oozing oodles of impish charm in every frame. The pair carried the film on their shoulders, giving abundant joy and mirth to audiences with their outstanding histrionics. Their interactions make the film worth going miles to watch and it is certain that without their resolute shoulders". However the film did not fare well at the box office where it was labelled as below average. During the making of Leader, Rediff describe Vyjayanthimala as "recalcitrant" which annoyed Kumar. The film was followed by Gemini Film's Zindagi directed by Ramanand Sagar. A female centric film, it features Vyjayanthimala alongside Rajendra Kumar, Raaj Kumar and Prithviraj Kapoor. Zindagi becomes success at box office where it celebrated silver jubilee theatrical run and was fourth highest grossing film of that year with verdict hit. Soon she signed for Anjali Pictures' Phoolon Ki Sej with Ashok Kumar and Manoj Kumar. Her last release in 1964 was Ishaara, in which she co-starred actor Joy Mukherjee for the first time.	The film was followed by Gemini Film's Zindagi directed by Ramanand Sagar.	/m/02r8p2s	Zindagi_(1964_film)	39	46	/film/film
Following two years sabbatical, Vyjayanthimala re-attained her success in Bollywood through Raj Kapoor's first technicolor film Sangam. Termed as Kapoor's magnum opus, the film was produced at lavish budget by his production company R. K. Films. Earlier in 1940s, Kapoor planned to launch Sangam in the title of Gharonda with Dilip Kumar and Nargis and himself in the lead, however the film was delayed for several times until 1962. Following Kumar and Dev Anand's refusal to be a part of the film, Kapoor then fixed Rajendra Kumar and himself as the male leads. Sangam was the first Indian film shot in Europe and outside of Asia. It was also the longest running film in India when it was released at 238 minutes. The film also created a record by being the first film to have two cinema intervals. Cinematography by Radhu Kamarkar, the European filming locations include Venice, Paris, Switzerland and London while the Indian locations include Ooty and Kashmir Valley. Upon release the film was well received by critics and was considered as Bollywood's greatest love triangle. Vyjayanthimala's performance too was praised by critics. Dinesh Raheja of Rediff said that "to put it simply, radiantthe maturity with which she tackles her character, the insouciance as well as the agony" and call it as "one of commercial cinema's most unforgettable performances". Similarly, the film was commercially successful throughout India and other country as well. On its overall theatrical run, Boxofficeindia.com reported that the film had grossed 8,00,00,000 and netted around 4,00,00,000 with its adjusted to inflation nett gross is about 843,900,000 (US$15 million). Subsequently, the film was labelled as blockbuster where it was ranked as highest grossing film of 1964 and second highest grossing film of the decade. The film was also ranked at fourth by Boxofficeindia.co.in in their list of "Top 50 Film of Last 50 Years" which feature all-time highest grossing Bollywood film with its adjust to inflation gross is about 7,173,154,362 (US$130 million). Sangam also had great box office run outside of India where it was well received in countries such as China, Malaysia and Russia. For her role Radha, who caught between her husband and her former lover, Vyjayanthimala was awarded with Filmfare Best Actress trophy. She then co-starred Dilip Kumar for the sixth time in Ram Mukherjee's Leader. The film was comeback film for Kumar whose last film was Gunga Jumna also with Vyjayanthimala. Like most of Vyjayanthimala and Kumar's film, their screen chemistry receives praises from the critics, where Deepak Mahan from The Hindu said "What made the film even more enjoyable was the equally spirited response of doe-eyed Vyjayantimala, oozing oodles of impish charm in every frame. The pair carried the film on their shoulders, giving abundant joy and mirth to audiences with their outstanding histrionics. Their interactions make the film worth going miles to watch and it is certain that without their resolute shoulders". However the film did not fare well at the box office where it was labelled as below average. During the making of Leader, Rediff describe Vyjayanthimala as "recalcitrant" which annoyed Kumar. The film was followed by Gemini Film's Zindagi directed by Ramanand Sagar. A female centric film, it features Vyjayanthimala alongside Rajendra Kumar, Raaj Kumar and Prithviraj Kapoor. Zindagi becomes success at box office where it celebrated silver jubilee theatrical run and was fourth highest grossing film of that year with verdict hit. Soon she signed for Anjali Pictures' Phoolon Ki Sej with Ashok Kumar and Manoj Kumar. Her last release in 1964 was Ishaara, in which she co-starred actor Joy Mukherjee for the first time.	Zindagi becomes success at box office where it celebrated silver jubilee theatrical run and was fourth highest grossing film of that year with verdict hit.	/m/02r8p2s	Zindagi_(1964_film)	0	7	/film/film
At the end of its theatrical run, the film grossed around 50,000,000 with a nett gross of 25,000,000, thus becoming the second highest grossing film of 1966 with the verdict super hit at box office. According to IBOS.com, the film had been grossed at about 4.00 crore and, adjusted to inflation, the gross is 504.29 crore. The film was also one of the last box office hits of Rajendra Kumar who was regarded as Bollywood's silver jubilee actor along with the actress Vyjayanthimala. They had previously worked in many successful films such as Aas Ka Panchhi (1961), Sangam (1964) and Zindagi (1964).	They had previously worked in many successful films such as Aas Ka Panchhi (1961), Sangam (1964) and Zindagi (1964).	/m/02r8p2s	Zindagi_(1964_film)	101	108	/film/film
Scoggins starred in the 1992 straight-to-video production Demonic Toys. Scoggins was in the 1995 3DO game Snow Job.	Scoggins starred in the 1992 straight-to-video production Demonic Toys.	/m/02rd37w	Demonic_Toys	58	70	/film/film,/media_common/netflix_title
David Allen and his production company associates continued to nurture a long-term association with Charles Band, producing animation and other effects for a series of Band produced and/or directed fantasy films released either theatrically and direct to video markets by Paramount Pictures during the 1980s and 90s. Some of the films in this series are the ""Puppetmaster" films, the "Prehysteria" series, the "Demonic Toys" films, and various impressive one-shot productions such as the skeletons of dinosaurs that come to life and do battle in the film "Doctor Mordrid".	Some of the films in this series are the ""Puppetmaster" films, the "Prehysteria" series, the "Demonic Toys" films, and various impressive one-shot productions such as the skeletons of dinosaurs that come to life and do battle in the film "Doctor Mordrid".	/m/02rd37w	Demonic_Toys	95	107	/film/film,/media_common/netflix_title
Puppet Master vs. Demonic Toys is a 2004 crossover horror film based on the characters of David Schmoeller (Puppet Master) and David S. Goyer (Demonic Toys). The film is written by C. Courtney Joyner and directed by Ted Nicolaou. This film stars Corey Feldman as the great-grandnephew of Andre Toulon, and Vanessa Angel as the head of a toymaking factory who plans to dominate the world using its latest line of holiday products. According to Charles Band, this film is a non-canon film because it was not produced by him or his production company Full Moon Features. It was instead a made for TV film that debuted 18 December 2004 on NBC Universal's SyFy.	Demonic Toys is a 2004 crossover horror film based on the characters of David Schmoeller (Puppet Master) and David S. Goyer (Demonic Toys).	/m/02rd37w	Demonic_Toys	0	12	/film/film,/media_common/netflix_title
Still being a selfish unforgivable demon like Bael, Sean Paul Toulon's debt still needs to be paid off so he makes a deal with Erica that in exchange of Alex Toulon's life he will let her keep the Toulon puppets and bring all the evil toys to life. Robert Toulon discovers the spy camera and has the idea that the thieves who broke into his workshop are connected with Sharpe toys, he goes over to the factory to see what is going on, there he is ambushed by an evil living Baby doll, named Baby Oopsie-Daisy. On Toulon's return he discovers his daughter has been kidnapped. Robert assist the help of a friendly police officer Sargent Jessica Russell who on Christmas Day with the puppets break into Sharpe toys and have a final fight with Erica Sharpe and her demonic minions and Toulon and his loyal puppets. The demonic toys are no match for the puppets and quickly dispatched.	The demonic toys are no match for the puppets and quickly dispatched.	/m/02rd37w	Demonic_Toys	0	16	/film/film,/media_common/netflix_title
In 2004, Anthony completed work on his newest film 'The Noon Gun'. In 1971, Anthony travelled to Afghanistan with his 16 mm camera. The footage, rediscovered in 2003 after 30 years, forms the basis of this film-poem, which features a seminal soundtrack by the world fusion musicians Equa.	In 2004, Anthony completed work on his newest film 'The Noon Gun'.	/m/0282j0y	The_Noon_Gun	52	64	/film/film
