paragraph	sentence	mid	title	start	end	notable_types
The Sino-Portuguese Joint Declaration and the Basic Law, Macau's constitution promulgated by China's National People's Congress in 1993, specify that Macau's social and economic system, lifestyle, rights, and freedoms are to remain unchanged for at least 50 years after the transfer of sovereignty to China in 1999. Under the principle of "one country, two systems", Macau enjoys a high degree of autonomy in all areas except in defence and foreign affairs. Macau officials, rather than PRC officials, run Macau through the exercise of separate executive, legislative, and judicial powers, as well as the right to final adjudication. Macau maintains its own separate currency, customs territory, immigration and border controls, and police force.	Macau maintains its own separate currency, customs territory, immigration and border controls, and police force.	/m/02fbly	Macanese_pataca	33	41	/finance/currency
In Macau, the unit of currency is the pataca which is currently pegged to the Hong Kong dollar at a rate of HK$1 = MOP1.03. The name pataca is a Portuguese word which was applied to the Mexican dollars that were the main circulating coin in the wider region in the second half of the 19th century. In 1894, the pataca was introduced in both Macau and Portuguese Timor as a unit of account for the Mexican dollar and the other silver dollar coins in circulation. In 1901, it was decided to grant the Banco Nacional Ultramarino the exclusive rights to issue banknotes denominated in patacas, and in the year 1906, these notes went into circulation at an official equivalent rate of 2 shillings and 4 pence sterling, and all foreign coins were outlawed. However, the Chinese were suspicious of these paper patacas, being so accustomed to using silver for barter, and as such, the paper patacas circulated at a discount in relation to the silver dollar coins. In 1935, when China and Hong Kong abandoned the silver standard, the Hong Kong dollar was pegged to sterling at the fixed rate of 1 shilling and 3 pence, whereas the pataca was pegged to the Portuguese escudo at a sterling equivalent rate of only 1 shilling. From 1945 to 1951, fractional coins of the pataca were minted for issue in Portuguese Timor; and, in 1952, similar issues were minted for Macau including an actual pataca coin for the first time.	In Macau, the unit of currency is the pataca which is currently pegged to the Hong Kong dollar at a rate of HK$1 = MOP1.03.	/m/02fbly	Macanese_pataca	38	44	/finance/currency
In Macau, the unit of currency is the pataca which is currently pegged to the Hong Kong dollar at a rate of HK$1 = MOP1.03. The name pataca is a Portuguese word which was applied to the Mexican dollars that were the main circulating coin in the wider region in the second half of the 19th century. In 1894, the pataca was introduced in both Macau and Portuguese Timor as a unit of account for the Mexican dollar and the other silver dollar coins in circulation. In 1901, it was decided to grant the Banco Nacional Ultramarino the exclusive rights to issue banknotes denominated in patacas, and in the year 1906, these notes went into circulation at an official equivalent rate of 2 shillings and 4 pence sterling, and all foreign coins were outlawed. However, the Chinese were suspicious of these paper patacas, being so accustomed to using silver for barter, and as such, the paper patacas circulated at a discount in relation to the silver dollar coins. In 1935, when China and Hong Kong abandoned the silver standard, the Hong Kong dollar was pegged to sterling at the fixed rate of 1 shilling and 3 pence, whereas the pataca was pegged to the Portuguese escudo at a sterling equivalent rate of only 1 shilling. From 1945 to 1951, fractional coins of the pataca were minted for issue in Portuguese Timor; and, in 1952, similar issues were minted for Macau including an actual pataca coin for the first time.	The name pataca is a Portuguese word which was applied to the Mexican dollars that were the main circulating coin in the wider region in the second half of the 19th century.	/m/02fbly	Macanese_pataca	9	15	/finance/currency
In Macau, the unit of currency is the pataca which is currently pegged to the Hong Kong dollar at a rate of HK$1 = MOP1.03. The name pataca is a Portuguese word which was applied to the Mexican dollars that were the main circulating coin in the wider region in the second half of the 19th century. In 1894, the pataca was introduced in both Macau and Portuguese Timor as a unit of account for the Mexican dollar and the other silver dollar coins in circulation. In 1901, it was decided to grant the Banco Nacional Ultramarino the exclusive rights to issue banknotes denominated in patacas, and in the year 1906, these notes went into circulation at an official equivalent rate of 2 shillings and 4 pence sterling, and all foreign coins were outlawed. However, the Chinese were suspicious of these paper patacas, being so accustomed to using silver for barter, and as such, the paper patacas circulated at a discount in relation to the silver dollar coins. In 1935, when China and Hong Kong abandoned the silver standard, the Hong Kong dollar was pegged to sterling at the fixed rate of 1 shilling and 3 pence, whereas the pataca was pegged to the Portuguese escudo at a sterling equivalent rate of only 1 shilling. From 1945 to 1951, fractional coins of the pataca were minted for issue in Portuguese Timor; and, in 1952, similar issues were minted for Macau including an actual pataca coin for the first time.	In 1894, the pataca was introduced in both Macau and Portuguese Timor as a unit of account for the Mexican dollar and the other silver dollar coins in circulation.	/m/02fbly	Macanese_pataca	13	19	/finance/currency
In Macau, the unit of currency is the pataca which is currently pegged to the Hong Kong dollar at a rate of HK$1 = MOP1.03. The name pataca is a Portuguese word which was applied to the Mexican dollars that were the main circulating coin in the wider region in the second half of the 19th century. In 1894, the pataca was introduced in both Macau and Portuguese Timor as a unit of account for the Mexican dollar and the other silver dollar coins in circulation. In 1901, it was decided to grant the Banco Nacional Ultramarino the exclusive rights to issue banknotes denominated in patacas, and in the year 1906, these notes went into circulation at an official equivalent rate of 2 shillings and 4 pence sterling, and all foreign coins were outlawed. However, the Chinese were suspicious of these paper patacas, being so accustomed to using silver for barter, and as such, the paper patacas circulated at a discount in relation to the silver dollar coins. In 1935, when China and Hong Kong abandoned the silver standard, the Hong Kong dollar was pegged to sterling at the fixed rate of 1 shilling and 3 pence, whereas the pataca was pegged to the Portuguese escudo at a sterling equivalent rate of only 1 shilling. From 1945 to 1951, fractional coins of the pataca were minted for issue in Portuguese Timor; and, in 1952, similar issues were minted for Macau including an actual pataca coin for the first time.	In 1935, when China and Hong Kong abandoned the silver standard, the Hong Kong dollar was pegged to sterling at the fixed rate of 1 shilling and 3 pence, whereas the pataca was pegged to the Portuguese escudo at a sterling equivalent rate of only 1 shilling.	/m/02fbly	Macanese_pataca	166	172	/finance/currency
In Macau, the unit of currency is the pataca which is currently pegged to the Hong Kong dollar at a rate of HK$1 = MOP1.03. The name pataca is a Portuguese word which was applied to the Mexican dollars that were the main circulating coin in the wider region in the second half of the 19th century. In 1894, the pataca was introduced in both Macau and Portuguese Timor as a unit of account for the Mexican dollar and the other silver dollar coins in circulation. In 1901, it was decided to grant the Banco Nacional Ultramarino the exclusive rights to issue banknotes denominated in patacas, and in the year 1906, these notes went into circulation at an official equivalent rate of 2 shillings and 4 pence sterling, and all foreign coins were outlawed. However, the Chinese were suspicious of these paper patacas, being so accustomed to using silver for barter, and as such, the paper patacas circulated at a discount in relation to the silver dollar coins. In 1935, when China and Hong Kong abandoned the silver standard, the Hong Kong dollar was pegged to sterling at the fixed rate of 1 shilling and 3 pence, whereas the pataca was pegged to the Portuguese escudo at a sterling equivalent rate of only 1 shilling. From 1945 to 1951, fractional coins of the pataca were minted for issue in Portuguese Timor; and, in 1952, similar issues were minted for Macau including an actual pataca coin for the first time.	From 1945 to 1951, fractional coins of the pataca were minted for issue in Portuguese Timor; and, in 1952, similar issues were minted for Macau including an actual pataca coin for the first time.	/m/02fbly	Macanese_pataca	43	49	/finance/currency
Riots broke out in 1966 during communist Cultural Revolution, when local Chinese and the Macau authority clashed, the most serious one being the so-called 12-3 incident. It was sparked by the overreaction of some Portuguese officials to what was a regular minor dispute concerning building permits. The riots caused 8 deaths and the end was a total climbdown by the Portuguese Government, which signed two agreements, one with Macau's Chinese community, and the other with mainland China. The latter committed the Government to compensate local Chinese community leaders with as much as 2 million Macau Patacas and to prohibit all Kuomintang activities in Macau. This move ended the conflict, and relations between the government and the leftist organisations remained largely peaceful. This success in Macau encouraged leftists in Hong Kong to "do the same", leading to riots by leftists in Hong Kong in 1967. A Portuguese proposal to return the province to China was declined by China.	The latter committed the Government to compensate local Chinese community leaders with as much as 2 million Macau Patacas and to prohibit all Kuomintang activities in Macau.	/m/02fbly	Macanese_pataca	108	121	/finance/currency
During the first three quarters of 2007, Macau registered year-on-year GDP increases of 31.4%. A rapid rise in the number of mainland visitors due to China's easing of travel restrictions, increased public works expenditures, and significant investment inflows associated with the liberalisation of Macau's gaming industry drove the five-year recovery. The budget also returned to surplus after 2002 because of the surge in visitors from China and a hike in taxes on gambling profits, which generated about 70% of government revenue. The Hong Kong dollar is itself a reserve currency for the Macanese pataca, which is pegged at the official rate of around 1 Pataca to 1 Hong Kong dollar.	The Hong Kong dollar is itself a reserve currency for the Macanese pataca, which is pegged at the official rate of around 1 Pataca to 1 Hong Kong dollar.	/m/02fbly	Macanese_pataca	58	73	/finance/currency
Macau adopts the so-called currency board system under which the legal tender, pataca (MOP), is 100 percent backed by foreign exchange reserves, the Hong Kong dollar (HKD). Moreover, the currency board, Monetary Authority of Macao (AMCM), has a statutory obligation to issue and redeem pataca on demand against Hong Kong dollar at a fixed exchange rate and without limit. The pataca is pegged to the Hong Kong dollar at a rate of 1.03 MOP per HKD, which is maintained by the AMCM.	Macau adopts the so-called currency board system under which the legal tender, pataca (MOP), is 100 percent backed by foreign exchange reserves, the Hong Kong dollar (HKD).	/m/02fbly	Macanese_pataca	79	85	/finance/currency
Macau adopts the so-called currency board system under which the legal tender, pataca (MOP), is 100 percent backed by foreign exchange reserves, the Hong Kong dollar (HKD). Moreover, the currency board, Monetary Authority of Macao (AMCM), has a statutory obligation to issue and redeem pataca on demand against Hong Kong dollar at a fixed exchange rate and without limit. The pataca is pegged to the Hong Kong dollar at a rate of 1.03 MOP per HKD, which is maintained by the AMCM.	Moreover, the currency board, Monetary Authority of Macao (AMCM), has a statutory obligation to issue and redeem pataca on demand against Hong Kong dollar at a fixed exchange rate and without limit.	/m/02fbly	Macanese_pataca	113	119	/finance/currency
Macau adopts the so-called currency board system under which the legal tender, pataca (MOP), is 100 percent backed by foreign exchange reserves, the Hong Kong dollar (HKD). Moreover, the currency board, Monetary Authority of Macao (AMCM), has a statutory obligation to issue and redeem pataca on demand against Hong Kong dollar at a fixed exchange rate and without limit. The pataca is pegged to the Hong Kong dollar at a rate of 1.03 MOP per HKD, which is maintained by the AMCM.	The pataca is pegged to the Hong Kong dollar at a rate of 1.03 MOP per HKD, which is maintained by the AMCM.	/m/02fbly	Macanese_pataca	4	10	/finance/currency
