paragraph	sentence	mid	title	start	end	notable_types
Through colonialism, Europeans introduced bread, cheese, barbecued steak and pancake. Bread, butter and margarine, sandwiches filled with ham, cheese or fruit jam, poffertjes, pannekoek and Dutch cheeses are commonly consumed by colonial Dutch and Indos during colonial era. Some of native upperclass ningrat (nobles) and educated native were exposed to European cuisine; This cuisine was held in high esteem as the cuisine of the upper class of Dutch East Indies society. This led to adoption and fusion of European cuisine into Indonesian cuisine. Some dishes created during the colonial era were influenced by Dutch cuisine, including roti bakar (grilled bread), roti buaya, selat solo (solo salad), bistik jawa (Javanese beef steak), semur (from Dutch smoor), sayur kacang merah (brenebon) and sop buntut. Many pastries, cakes and cookies such as kue bolu (tart), lapis legit (spekkoek), spiku (lapis Surabaya) and kaastangel (cheese cookies) come from Dutch influence. Some recipes were invented as Dutch Indies fusion cuisine, using native ingredients but employing European pastry techniques. These include pandan cake and klappertaart (coconut tart). Kue cubit, commonly sold as snack at schools and marketplaces, are believed to be derived from poffertjes.	Many pastries, cakes and cookies such as kue bolu (tart), lapis legit (spekkoek), spiku (lapis Surabaya) and kaastangel (cheese cookies) come from Dutch influence.	/m/026rjfl	Spekkoek	71	79	/food/dish
Indonesian street snacks also include iced and sweet beverages, such as es cendol or es dawet, es teler, es cincau, es doger, es campur, es potong, and es puter. Indonesian cakes and cookies are often called as jajanan pasar (market munchies). Indonesia has a rich collection of snacks called kue (cakes and pastry), both savoury and sweet. Popular ones include risoles, pastel, lumpia, lemper, lontong, tahu isi, getuk, bakpia, Bika Ambon, kue pandan, lupis, lemang, kue pisang, kue cubit, klepon, onde-onde, nagasari, lapis legit, soes, poffertjes and bolu kukus.	Popular ones include risoles, pastel, lumpia, lemper, lontong, tahu isi, getuk, bakpia, Bika Ambon, kue pandan, lupis, lemang, kue pisang, kue cubit, klepon, onde-onde, nagasari, lapis legit, soes, poffertjes and bolu kukus.	/m/026rjfl	Spekkoek	179	190	/food/dish
On birthdays all kinds of cakes and cookies are eaten, including appeltaart (apple pie), bokkepootjes, Bossche bol, dikke koek, cream cake, Fryske dumkes, gevulde koek (cookies filled with almond meal), Groninger koek, janhagel, ketelkoek, kindermanstik, krakeling, krentenwegge, kruidkoek, Limburgse vlaai, ouwewijvenkoek, peperkoek (gingerbread), rijstekoek, spekkoek (originally from Indonesia), sprits, tompouce, trommelkoek, bitterkoekjes, kletskop and stroopwafel. Poffertjes are tiny puffed pancakes served on special occasions, served warm with melting butter and powdered sugar on top. They are mostly combined with a drink: milk, chocolate milk or yogurt drink. Cafeterias all around Holland sell poffertjes. Dutch people call such a restaurant a poffertjeskraam. Poffertjes can be eaten as a dessert after dinner or as a sweet lunch.	On birthdays all kinds of cakes and cookies are eaten, including appeltaart (apple pie), bokkepootjes, Bossche bol, dikke koek, cream cake, Fryske dumkes, gevulde koek (cookies filled with almond meal), Groninger koek, janhagel, ketelkoek, kindermanstik, krakeling, krentenwegge, kruidkoek, Limburgse vlaai, ouwewijvenkoek, peperkoek (gingerbread), rijstekoek, spekkoek (originally from Indonesia), sprits, tompouce, trommelkoek, bitterkoekjes, kletskop and stroopwafel.	/m/026rjfl	Spekkoek	361	369	/food/dish
Modern Sarawakian layered cakes were introduced to the people of Sarawak from Indonesia officially around 1988. The Indonesian version has been known since the Dutch colonial era; its most famous varieties are the Lapis Legit, a spice-flavored multilayered cake, and Lapis Surabaya.	The Indonesian version has been known since the Dutch colonial era; its most famous varieties are the Lapis Legit, a spice-flavored multilayered cake, and Lapis Surabaya.	/m/026rjfl	Spekkoek	102	113	/food/dish
The building was the most important work of the Dutch architect Karel de Bazel and was built from 1919 to 1926 as the head office of the Nederlandsche Handel-Maatschappij (NHM). The architect died in 1923, three years before completion. Construction was continued by his chef de bureau C. van de Linde, together with designer Adolf Leonard van Gendt. Sculptures on the outside of the building are by Joseph Mendes da Costa, Lambertus Zijl and Hendrik A. van den Eijnde. The stained glass windows were made by Joep Nicolas after designs by Antoon Derkinderen. The building was titled De Spekkoek, after the Dutch-Indonesian delicacy spekkoek, but is now named after the architect.	The building was titled De Spekkoek, after the Dutch-Indonesian delicacy spekkoek, but is now named after the architect.	/m/026rjfl	Spekkoek	73	81	/food/dish
Through colonialism the Dutch introduced European dishes such as bread, cheese, barbecued steak and pancake. As the producer of cash crops; coffee and tea were also popular in the colonial East Indies. Bread, butter and margarine, sandwiches filled with ham, cheese or fruit jam, poffertjes, pannekoek and Dutch cheeses were commonly consumed by colonial Dutch and Indos during the colonial era. Some of the native upperclass ningrat (nobles) and a few educated native were exposed to European cuisine, and it was held with high esteem as the cuisine of upperclass elite of Dutch East Indies society. This led to the adoption and fusion of European cuisine into Indonesian cuisine. Some dishes which were created during the colonial era are Dutch influenced: they include selat solo (solo salad), bistik jawa (Javanese beef steak), semur (from Dutch smoor), sayur kacang merah (brenebon) and sop buntut. Cakes and cookies also can trace their origin to Dutch influences; such as kue bolu (tart), pandan cake, lapis legit (spekkoek), spiku (lapis Surabaya), klappertaart (coconut tart), and kaastangel (cheese cookies). Kue cubit commonly found in front of schools and marketplaces are believed to be derived from poffertjes.	Cakes and cookies also can trace their origin to Dutch influences; such as kue bolu (tart), pandan cake, lapis legit (spekkoek), spiku (lapis Surabaya), klappertaart (coconut tart), and kaastangel (cheese cookies).	/m/026rjfl	Spekkoek	118	126	/food/dish
The history of the music on the island of Puerto Rico begins with its original inhabitants, the Taínos. The Taíno Indians have influenced the Puerto Rican culture greatly, leaving behind important contributions such as their musical instruments, language, food, plant medicine and art. The heart of much Puerto Rican music is the idea of improvisation in both the music and the lyrics. A performance takes on an added dimension when the audience can anticipate the response of one performer to a difficult passage of music or clever lyrics created by another. This technique in Puerto Rico is called a controversia. Of all Puerto Rico's musical exports, the best-known is reggaeton. Bomba and plena have long been popular, while reggaetón is a relatively recent invention. It is a form of urban contemporary music, often combining other Latin musical styles, Caribbean and West Indies music, (such as reggae, soca, Spanish reggae, salsa, merengue and bachata. It originates from Panamanian Spanish reggae and Jamaican dancehall, however received its rise to popularity through Puerto Rico.Tropikeo is the fusion of R&B, Rap, Hip Hop, Funk and Techno Music within a Tropical musical frame of salsa, in which the conga drums and/or timbales drums are the main source of rhythm of the tune, in conjunction with a heavy salsa "montuno" of the piano. The lyrics of the song can be rapped or sung, or used combining both styles, as well as danced in both styles. Aguinaldo from Puerto Rico is similar to Christmas carols, except that they are usually sung in a parranda, which is rather like a lively parade that moves from house to house in a neighborhood, looking for holiday food and drink. The melodies were subsequently used for the improvisational décima and seis. There are aguinaldos that are usually sung in churches or religious services, while there are aguinaldos that are more popular and are sung in the parrandas. Danza is a very sophisticated form of music that can be extremely varied in its expression; they can be either romantic or festive. Romantic danzas have four sections, beginning with an eight measure paseo followed by three themes of sixteen measures each. The third theme typically includes a solo by the bombardino and, often, a return to the first theme or a coda at the end. Festive danzas are free-form, with the only rules being an introduction and a swift rhythm. Plena is a narrative song from the coastal regions of Puerto Rico, especially around Ponce, Puerto Rico. Its origins have been various claimed as far back as 1875 and as late as 1920. As rural farmers moved to San Juan, Puerto Rico and other cities, they brought plena with them and eventually added horns and improvised call and response vocals. Lyrics generally deal with stories or current events, though some are light-hearted or humorous.	The third theme typically includes a solo by the bombardino and, often, a return to the first theme or a coda at the end.	/m/027qswh	Bombardino	49	59	/food/dish
By the late 1700s the country dance (French contredanse, Spanish contradanza) had come to thrive as a popular recreational dance, both in courtly and festive vernacular forms, throughout much of Europe, replacing dances like the stuffy and prissy minuet. By 1800 a creolized form of the genre, called contradanza, was thriving in Cuba, and the genre also appears to have been extant, in similar vernacular forms, in Puerto Rico, Venezuela, and elsewhere, although documentation is scanty. By the 1850s, the Cuban contradanza—increasingly referred to as danza—was flourishing both as a salon piano piece, or as a dance-band item to accompany social dancing, in a style evolving from collective figure dancing (like a square dance) to independent couples dancing ballroom-style (like a waltz, but in duple rather than ternary rhythm). According to local chroniclers, in 1845 a ship arrived from Havana, bearing, among other things, a party of youths who popularized a new style of contradanza/danza, confusingly called "merengue." This style subsequently became wildly popular in Puerto Rico, to the extent that in 1848 it was banned by the priggish Spanish governor Juan de la Pezuela. This prohibition, however, does not seem to have had much lasting effect, and the newly invigorated genre—now more commonly referred to as "danza"—went on to flourish in distinctly local forms. As in Cuba, these forms included the musics played by dance ensembles as well as sophisticated light-classical items for solo piano (some of which could subsequently be interpreted by dance bands). The danza as a solo piano idiom reached its greatest heights in the music of Manuel Gregorio Tavárez (1843–83), whose compositions have a grace and grandeur closely resembling the music of Chopin, his model. Achieving greater popularity were the numerous danzas of his follower, Juan Morel Campos (1857–96), a bandleader and extraordinarily prolific composer who, like Tavárez, died in his youthful prime (but not before having composed over 300 danzas). By Morel Campos' time, the Puerto Rican danza had evolved into a form quite distinct from that of its Cuban (not to mention European) counterparts. Particularly distinctive was its form consisting of an initial paseo, followed by two or three sections (sometimes called "merengues"), which might feature an arpeggio-laden "obbligato" melody played on the tuba-like bombardino. Many danzas achieved island-wide popularity, including the piece "La Borinqueña", which constitutes an anthem for the island. Like other Caribbean creole genres such as the Cuban danzón, the danzas featured the insistent ostinato called "cinquillo" (roughly, ONE-two-THREE-FOUR-five-SIX-SEV'N-eight, repeated).	Particularly distinctive was its form consisting of an initial paseo, followed by two or three sections (sometimes called "merengues"), which might feature an arpeggio-laden "obbligato" melody played on the tuba-like bombardino.	/m/027qswh	Bombardino	217	227	/food/dish
In the export variety whole eggs are used. The best known cocktail using advocaat is the Snowball: a mixture of advocaat, sparkling lemonade and sometimes lime juice, although this is not required for the drink. Another is the Fluffy duck, made with rum. A highly popular advocaat-based beverage is the Bombardino, a drink commonly found in Italian ski resorts, particularly the Italian Alps, made by mixing advocaat, brandy, and whipped cream.	A highly popular advocaat-based beverage is the Bombardino, a drink commonly found in Italian ski resorts, particularly the Italian Alps, made by mixing advocaat, brandy, and whipped cream.	/m/027qswh	Bombardino	48	58	/food/dish
In the plains it is very popular to serve grilled meat (often by a barbecue, and in a mix of pork, beef and chicken meat) together with grilled polenta, potatoes or vegetables. Other popular dishes include risotto, rice cooked with many different kinds of food, from vegetables, mushrooms, pumpkin or radicchio to seafood, pork meat or chicken livers. Bigoli (a typical Venetian fresh pasta, similar to a thicker kind of spaghetti), fettuccine (hand-made noodles), ravioli and the similar tortelli (filled with meat, cheese, vegetables or pumpkin) and gnocchi (potatoes-made fresh pasta), are fresh and often hand-made pasta dishes (made of eggs and wheat flour), served together with meat sauce (ragù) often made with duck meat, sometime together with mushrooms or peas, or simply with melted butter.	Bigoli (a typical Venetian fresh pasta, similar to a thicker kind of spaghetti), fettuccine (hand-made noodles), ravioli and the similar tortelli (filled with meat, cheese, vegetables or pumpkin) and gnocchi (potatoes-made fresh pasta), are fresh and often hand-made pasta dishes (made of eggs and wheat flour), served together with meat sauce (ragù) often made with duck meat, sometime together with mushrooms or peas, or simply with melted butter.	/m/0263_br	Bigoli	0	6	/food/dish
