paragraph	sentence	mid	title	start	end	notable_types
Clemens Wilmenrod (July 24, 1906 – April 12, 1967) was the first German television cook. His pseudonym was derived from the municipality Willmenrod in the Westerwald region, where he was born as Karl Clemens Hahn. Wilmenrod is considered the inventor of Toast Hawaii, "Arabian riders' meat" and "stuffed strawberry". He is also credited with making Rumtopf popular in Southern and Western Germany, and with introducing turkey as a typical Christmas dinner.	He is also credited with making Rumtopf popular in Southern and Western Germany, and with introducing turkey as a typical Christmas dinner.	/m/04whmc	Rumtopf	32	39	/food/food
As an appetizer and dip, hummus is scooped with flatbread, such as pita. It is also served as part of a meze or as an accompaniment to falafel, grilled chicken, fish or eggplant. Garnishes include chopped tomato, cucumber, coriander, parsley, caramelized onions, sautéed mushrooms, whole chickpeas, olive oil, hard-boiled eggs, paprika, sumac, ful, olives, pickles and pine nuts (as photographed in the "History" section). Outside the Middle East, it is sometimes served with tortilla chips or crackers.	Outside the Middle East, it is sometimes served with tortilla chips or crackers.	/m/03rv52	Tortilla_chip	53	67	/food/food
Corn tortillas may also be deep fried to make crisp tortilla chips. These are often salted, and can be eaten alone or accompanied with various salsas and dips such as guacamole. Tortilla chips are a key ingredient in nachos.	Corn tortillas may also be deep fried to make crisp tortilla chips.	/m/03rv52	Tortilla_chip	52	66	/food/food
They can also be an appetizer, cut into small triangles to dip into salsa, guacamole, or beans. This version of the tostada has its origins in New Mexican and Tex-Mex cuisine. Tortilla chips, commercially known as nachos, are served with salsa or chile con queso.	Tortilla chips, commercially known as nachos, are served with salsa or chile con queso.	/m/03rv52	Tortilla_chip	0	14	/food/food
Doritos /dɵˈriːtoʊz/ (literally, from Mexican Spanish doradito or dorito: "turned golden or crisp") is a brand of seasoned tortilla chips produced since 1964 by the North American food company Frito-Lay (a wholly owned subsidiary of PepsiCo, Inc.).	Doritos /dɵˈriːtoʊz/ (literally, from Mexican Spanish doradito or dorito: "turned golden or crisp") is a brand of seasoned tortilla chips produced since 1964 by the North American food company Frito-Lay (a wholly owned subsidiary of PepsiCo, Inc.).	/m/03rv52	Tortilla_chip	123	137	/food/food
Tex-Mex cuisine is characterized by its heavy use of melted cheese, meat (particularly beef), beans, and spices, in addition to corn or flour tortillas. Chili con carne, crispy chalupas, chili con queso, enchiladas, and fajitas are all Tex-Mex inventions. A common feature of Tex-Mex is the combination plate, with several of the above on one large platter. Serving tortilla chips and a hot sauce or salsa as an appetizer is also an original Tex-Mex invention. Cabrito, barbacoa, carne seca, and other products of cattle culture have been common in the ranching cultures of South Texas and Northern Mexico. In the 20th century, Tex-Mex took on Americanized elements such as yellow cheese, as goods from the United States became cheap and readily available. Moreover, Tex-Mex has imported flavors from other spicy cuisines, such as the use of cumin.	Serving tortilla chips and a hot sauce or salsa as an appetizer is also an original Tex-Mex invention.	/m/03rv52	Tortilla_chip	8	22	/food/food
In the US, refried beans are most commonly made from pinto beans. They are served as a side dish with most Tex-Mex restaurant meals. They also have become very popular as a dip for corn tortilla chips. Refried beans are also a primary ingredient in many tostada, chimichanga, and pupusa recipes. In addition, they are a typical ingredient in layered dips, such as 7 layer dip, in nachos, and are especially implied when a dish is referred to as nachos grande or burrito grande.	They also have become very popular as a dip for corn tortilla chips.	/m/03rv52	Tortilla_chip	53	67	/food/food
Nachos are a popular food based on nixtamalized corn, of Mexican origin associated with Tex-Mex cuisine that can be either made quickly to serve as a snack or prepared with more ingredients to make a full meal. In their simplest form, nachos are tortilla chips (totopos) covered in nacho cheese or shredded cheese and/or salsa. First created circa 1943 by Ignacio "Nacho" Anaya, the original nachos consisted of fried corn tortillas covered with melted cheddar cheese and sliced jalapeño peppers.	In their simplest form, nachos are tortilla chips (totopos) covered in nacho cheese or shredded cheese and/or salsa.	/m/03rv52	Tortilla_chip	35	49	/food/food
A similar dish that involves tortilla chips and cheese is found in Tex-Mex restaurants. Small bowls of chili con queso and/or, more commonly, salsa, are served with baskets of warm tortilla chips as appetizers.	A similar dish that involves tortilla chips and cheese is found in Tex-Mex restaurants.	/m/03rv52	Tortilla_chip	29	43	/food/food
A similar dish that involves tortilla chips and cheese is found in Tex-Mex restaurants. Small bowls of chili con queso and/or, more commonly, salsa, are served with baskets of warm tortilla chips as appetizers.	Small bowls of chili con queso and/or, more commonly, salsa, are served with baskets of warm tortilla chips as appetizers.	/m/03rv52	Tortilla_chip	93	107	/food/food
One of the main concerns the FDA had about olestra was it might encourage consumers to eat more of the "top of the pyramid" foods due to the perception of its being healthier. This could result in consumers engaging in over-consumption, thinking the addition of olestra would remove negative consequences. In light of this fact, approving it as an additive would have meant consumers would be consuming a food with a relatively high amount of an additive, whose long-term health effects were not documented. This made the FDA particularly hesitant to approve the product, as well as the side effects, such as diarrhea, and concern for the loss of fat-soluble vitamins. In August 1990, P&G narrowed their focus to "savory snacks", potato chips, tortilla chips, crackers and similar foods.	In August 1990, P&G narrowed their focus to "savory snacks", potato chips, tortilla chips, crackers and similar foods.	/m/03rv52	Tortilla_chip	75	89	/food/food
Green sauces are common in Mexican cuisine. The basis of the green sauce (known as salsa verde) is typically pureed cooked or raw tomatillos, with jalapeños or other chili peppers, white onion, cilantro, and sometimes lime added to taste. Salsa verde can range in spiciness from mild to mouth-searing. It may be warm, as in a chile verde, or cold, as a condiment. In Mexican cuisine, a green sauce is frequently used as a dip for tortilla chips and served with tacos, grilled pork, grilled meats and even fish.	In Mexican cuisine, a green sauce is frequently used as a dip for tortilla chips and served with tacos, grilled pork, grilled meats and even fish.	/m/03rv52	Tortilla_chip	66	80	/food/food
Potato chip flavors available in the United States include the flagship Regular flavor, as well as Sour Cream & Onion, Cheddar & Sour Cream, Dill Pickle, Bar-B-Q, and Onion & Garlic. In addition, Ripples Chips are available in Original, French, Mesquite Bar-B-Q, and Loaded Spud varieties. On February 4, 2008, Mexican Chili and Au Gratin were reintroduced back to Canada. Other products include Dutch Crunch kettle-cooked chips, cheese puffs, Puffcorn (puffed corn twists), Restaurante Style tortilla chips, pretzels, dips and salsas, and beef jerky.	Other products include Dutch Crunch kettle-cooked chips, cheese puffs, Puffcorn (puffed corn twists), Restaurante Style tortilla chips, pretzels, dips and salsas, and beef jerky.	/m/03rv52	Tortilla_chip	120	134	/food/food
The MexiDips & Chips is a bed of tortilla chips with two fried corn tortilla bowls. For dine-in orders, one bowl contains queso, one holds refried pinto beans, and there are 2 scoops of fresh guacamole on the side. For carry-out, the guacamole goes in one of the tortilla bowls and the cheese is in a plastic container with a lid to prevent spillage.	The MexiDips & Chips is a bed of tortilla chips with two fried corn tortilla bowls.	/m/03rv52	Tortilla_chip	33	47	/food/food
Mucho Nachos is a bed of corn tortilla chips topped with refried beans, ground beef or grilled chicken, chili sauce, tomatoes, and sour cream.	Mucho Nachos is a bed of corn tortilla chips topped with refried beans, ground beef or grilled chicken, chili sauce, tomatoes, and sour cream.	/m/03rv52	Tortilla_chip	25	44	/food/food
Tostitos is a brand of tortilla chips and (more recently) dips produced by Frito-Lay. In January 1978 Frito-Lay's product development group led by Jack Liczkowski had completed development of TOSTITOS, authentic Mexican-style tortilla chips. The chips were round, made of white corn and had a more authentic "Mexican" flavor. Part of achieving this authenticity occurred after research discovered that Mexicans, after cooking corn with lime, did not rinse the corn completely; therefore, the resulting stone ground corn masa has higher content of lime and lower pH. When deep fat frying the formed chips, calcium hydroxide reacts with oil and gives this specific taste. After successful test marketing in 1979, Tostitos Traditional Flavor and Tostitos Nacho Cheese Flavor went in 1980 into national distribution in the United States and have reached the sales of $140 million, making it one of the most successful new product introductions in Frito-Lay history. The chips are about 1 ⅓ of an inch in diameter and are often eaten with salsa or nacho cheese dip, which the company also produces.	Tostitos is a brand of tortilla chips and (more recently) dips produced by Frito-Lay.	/m/03rv52	Tortilla_chip	23	37	/food/food
