paragraph	sentence	mid	title	start	end	notable_types
Italian staples, such as pizza and pasta, are eaten as commonly as beef. Fideos (noodles), tallarines (fettucine and tagliatelle), ñoquis (gnocchi), ravioles, and canelones (cannelloni) can be bought freshly made in many establishments in the larger cities. Italian-style ice cream is served in large parlours and even drive-through businesses.	Fideos (noodles), tallarines (fettucine and tagliatelle), ñoquis (gnocchi), ravioles, and canelones (cannelloni) can be bought freshly made in many establishments in the larger cities.	/m/02bpwp	Tagliatelle	44	55	/food/food,/food/ingredient
Emilia-Romagna is known for its egg and filled pasta made with soft wheat flour. Bologna is notable for pasta dishes like tortellini, lasagne, gramigna and tagliatelle which are found also in many other parts of the region in different declinations.	Bologna is notable for pasta dishes like tortellini, lasagne, gramigna and tagliatelle which are found also in many other parts of the region in different declinations.	/m/02bpwp	Tagliatelle	75	86	/food/food,/food/ingredient
Nigirizushi (握り寿司, "hand-pressed sushi") consists of an oblong mound of sushi rice that the chef presses into a small rectangular box between the palms of the hands, usually with a bit of wasabi, and a topping (the neta) draped over it. Neta are typically fish such as salmon, tuna or other seafood. Certain toppings are typically bound to the rice with a thin strip of nori, most commonly octopus (tako), freshwater eel (unagi), sea eel (anago), squid (ika), and sweet egg (tamago). When ordered separately, nigiri is generally served in pairs. A sushi set (a sampler dish) may contain only one piece of each topping.	Certain toppings are typically bound to the rice with a thin strip of nori, most commonly octopus (tako), freshwater eel (unagi), sea eel (anago), squid (ika), and sweet egg (tamago).	/m/0c1k47	Anago	139	144	/food/food,/food/ingredient
Other seafoods such as squid (ika), eel (anago and unagi), pike conger (hamo), octopus (tako), shrimp (ebi and amaebi), clam (mirugai, aoyagi and akagai), fish roe (ikura, masago, kazunoko and tobiko), sea urchin (uni), crab (kani), and various kinds of shellfish (abalone, prawn, scallop) are the most popular seafoods in sushi. Oysters, however, are less common, as the taste is not thought to go well with the rice. Kani kama, or imitation crab stick, is commonly substituted for real crab, most notably in California rolls.	Other seafoods such as squid (ika), eel (anago and unagi), pike conger (hamo), octopus (tako), shrimp (ebi and amaebi), clam (mirugai, aoyagi and akagai), fish roe (ikura, masago, kazunoko and tobiko), sea urchin (uni), crab (kani), and various kinds of shellfish (abalone, prawn, scallop) are the most popular seafoods in sushi.	/m/0c1k47	Anago	41	46	/food/food,/food/ingredient
Morimoto competed in the first sushi battle in Kitchen Stadium on June 18, 1999, against challenger Keiji Nakazawa. There were five theme ingredients for the battle: tuna, eggs, Kohada (Japanese Gizzard Shad), Anago, and Kanpyō. Both chefs were given time before the battle to properly prepare the sushi rice (sushi-meshi). Morimoto defeated Nakazawa.	There were five theme ingredients for the battle: tuna, eggs, Kohada (Japanese Gizzard Shad), Anago, and Kanpyō.	/m/0c1k47	Anago	94	99	/food/food,/food/ingredient
Unagi (うなぎ) is the Japanese word for freshwater eels, especially the Japanese eel, Anguilla japonica. Saltwater eels are known as anago in Japanese. Unagi are a common ingredient in Japanese cooking.	Saltwater eels are known as anago in Japanese.	/m/0c1k47	Anago	28	33	/food/food,/food/ingredient
A report in October 2006 demonstrated that some soft drinks contain measurable amounts of alcohol. In some older preparations, this resulted from natural fermentation used to build the carbonation. In the United States, soft drinks (as well as other beverages such as non-alcoholic beer) are allowed by law to contain up to 0.5% alcohol by volume. Modern drinks introduce carbon dioxide for carbonation, but there is some speculation that alcohol might result from fermentation of sugars in an unsterile environment. A small amount of alcohol is introduced in some soft drinks where alcohol is used in the preparation of the flavoring extracts such as vanilla extract.	A small amount of alcohol is introduced in some soft drinks where alcohol is used in the preparation of the flavoring extracts such as vanilla extract.	/m/02p32yc	Vanilla_extract	135	150	/base/cocktails/cocktail_ingredient,/food/food,/food/ingredient
Though there are many compounds present in the extracts of vanilla, the compound vanillin (4-hydroxy-3-methoxybenzaldehyde) is primarily responsible for the characteristic flavor and smell of vanilla. Another minor component of vanilla essential oil is piperonal (heliotropin). Piperonal and other substances affect the odor of natural vanilla. Vanillin was first isolated from vanilla pods by Gobley in 1858. By 1874, it had been obtained from glycosides of pine tree sap, temporarily causing a depression in the natural vanilla industry.	Though there are many compounds present in the extracts of vanilla, the compound vanillin (4-hydroxy-3-methoxybenzaldehyde) is primarily responsible for the characteristic flavor and smell of vanilla.	/m/02p32yc	Vanilla_extract	47	66	/base/cocktails/cocktail_ingredient,/food/food,/food/ingredient
Chocolate chip cookies are commonly made with white sugar; brown sugar; flour; a small portion of salt; eggs; a leavening agent such as baking powder; a fat, typically butter or shortening; vanilla extract; and semi-sweet chocolate pieces. Some recipes also include milk or nuts (such as chopped walnuts) in the dough.	Chocolate chip cookies are commonly made with white sugar; brown sugar; flour; a small portion of salt; eggs; a leavening agent such as baking powder; a fat, typically butter or shortening; vanilla extract; and semi-sweet chocolate pieces.	/m/02p32yc	Vanilla_extract	190	205	/base/cocktails/cocktail_ingredient,/food/food,/food/ingredient
Natural "vanilla extract" is a mixture of several hundred different compounds in addition to vanillin. Artificial vanilla flavoring is a solution of pure vanillin, usually of synthetic origin. Because of the scarcity and expense of natural vanilla extract, there has long been interest in the synthetic preparation of its predominant component. The first commercial synthesis of vanillin began with the more readily available natural compound eugenol. Today, artificial vanillin is made either from guaiacol or from lignin, a constituent of wood, which is a byproduct of the pulp industry.	Natural "vanilla extract" is a mixture of several hundred different compounds in addition to vanillin.	/m/02p32yc	Vanilla_extract	9	24	/base/cocktails/cocktail_ingredient,/food/food,/food/ingredient
Natural "vanilla extract" is a mixture of several hundred different compounds in addition to vanillin. Artificial vanilla flavoring is a solution of pure vanillin, usually of synthetic origin. Because of the scarcity and expense of natural vanilla extract, there has long been interest in the synthetic preparation of its predominant component. The first commercial synthesis of vanillin began with the more readily available natural compound eugenol. Today, artificial vanillin is made either from guaiacol or from lignin, a constituent of wood, which is a byproduct of the pulp industry.	Because of the scarcity and expense of natural vanilla extract, there has long been interest in the synthetic preparation of its predominant component.	/m/02p32yc	Vanilla_extract	47	62	/base/cocktails/cocktail_ingredient,/food/food,/food/ingredient
There are numerous variations on the traditional pound cake, with certain countries and regions having distinctive styles. These can include the addition of flavouring agents (such as vanilla extract or almond extract) or dried fruit (such as currants or dried cranberries), as well as alterations to the original recipe to change the characteristics of the resulting pound cake. For instance, baking soda or baking powder may be incorporated to induce leavening during baking, resulting in a less dense pound cake. A cooking oil (typically a vegetable oil) is sometimes substituted for some or all of the butter, which is intended to produce a more moist cake. "Sour cream pound cake" is a popular variation in the United States, which involves the substitution of sour cream for some of the butter, which also is intended to produce a more moist cake with a pleasantly tangy flavor. Some of these variations may drastically change the texture and flavor of the pound cake, but the name pound cake is often still used. Some of the variations are described below.	These can include the addition of flavouring agents (such as vanilla extract or almond extract) or dried fruit (such as currants or dried cranberries), as well as alterations to the original recipe to change the characteristics of the resulting pound cake.	/m/02p32yc	Vanilla_extract	61	76	/base/cocktails/cocktail_ingredient,/food/food,/food/ingredient
Syrniki are made from creamy quark, mixed with flour, eggs, and sugar, sometimes adding vanilla extract. The soft mixture is shaped into cakes, which are fried, generally in vegetable oil. The outside becomes crisp, and the center is warm and creamy. They are sweet and served for breakfast or dessert. Their simplicity and relative lack of expensive ingredients makes them very popular in Eastern Europe..	Syrniki are made from creamy quark, mixed with flour, eggs, and sugar, sometimes adding vanilla extract.	/m/02p32yc	Vanilla_extract	88	103	/base/cocktails/cocktail_ingredient,/food/food,/food/ingredient
A custard pie is any type of uncooked custard mixture added to an uncooked or partially cooked crust and baked together. In North America, custard pie commonly refers to a plain mixture of milk, eggs, sugar, salt, vanilla extract and sometimes nutmeg combined with a pie crust. It is distinctly different from a cream pie, which contains cooked custard poured into a cooled, precooked crust. Some common custard pies include pumpkin pie, lemon and buttermilk chess pie, and coconut custard. True custard is defined as a liquid thickened with eggs. Due to the often large number of whole eggs in custard pie it is a very rich pie.	In North America, custard pie commonly refers to a plain mixture of milk, eggs, sugar, salt, vanilla extract and sometimes nutmeg combined with a pie crust.	/m/02p32yc	Vanilla_extract	93	108	/base/cocktails/cocktail_ingredient,/food/food,/food/ingredient
Cinnastix initially come as Danish pastry sticks. A mixture of margarine and vanilla extract is brushed on, then the sticks are dipped in a cinnamon and sugar mixture, twisted, and placed on a pan to bake.	A mixture of margarine and vanilla extract is brushed on, then the sticks are dipped in a cinnamon and sugar mixture, twisted, and placed on a pan to bake.	/m/02p32yc	Vanilla_extract	27	42	/base/cocktails/cocktail_ingredient,/food/food,/food/ingredient
