paragraph	sentence	mid	title	start	end	notable_types
It is also the position to whom the Bureau of Administration, Bureau of Consular Affairs, Bureau of Diplomatic Security, Bureau of Human Resources, Bureau of Information Resource Management, Bureau of Overseas Buildings Operations, Director of Diplomatic Reception Rooms, Foreign Service Institute, Office of Management Policy, Office of Medical Services, Office of Rightsizing the U.S. Government's Overseas Presence, and Office of White House Liaison report. The Under Secretary of Management gives direction to the Bureau of Resource Management, and the Chief Financial Officer serves as a part of the Under Secretary's senior management team. The Under Secretary for Management is the State Department's representative on the President's Management Council, and is the Department officially responsible for implementing the President's Management Agenda, announced in the summer of 2001.	The Under Secretary of Management gives direction to the Bureau of Resource Management, and the Chief Financial Officer serves as a part of the Under Secretary's senior management team.	/m/026b2sf	Bureau_of_Resource_Management	57	86	/government/government_agency,/organization/organization
Following the political separation of Montenegro from Serbia, all parties concerned agreed that the Scout Association of Serbia and Montenegro's membership of WOSM should be transferred to Serbia, and that Montenegro would submit a new application for membership of WOSM. The Association of Scouts of Montenegro was founded on 19 November 2006 as a national independent organization with headquarters in Podgorica, the capital of Montenegro, and registered with the Ministry of Justice. The founding documents list 21 groups and units.	The Association of Scouts of Montenegro was founded on 19 November 2006 as a national independent organization with headquarters in Podgorica, the capital of Montenegro, and registered with the Ministry of Justice.	/m/02rp_30	Ministry_of_Justice_(Montenegro)	194	213	/government/government_agency,/organization/organization
The State Library of North Carolina is an institution which serves North Carolina libraries, state government employees, genealogists, and the citizens of North Carolina. There are two locations in Raleigh.	The State Library of North Carolina is an institution which serves North Carolina libraries, state government employees, genealogists, and the citizens of North Carolina.	/m/0266hyr	State_Library_of_North_Carolina	4	35	/government/government_agency,/organization/organization
This collection of over 5,000 volumes ranging from adult and children’s fiction and nonfiction, serials, pamphlets, and vertical file materials grew gradually but slowly during the thirty-eight years Lee served as librarian at the Harrison Library. An annual appropriate from the State Library of North Carolina over the period of twelve years provided the greatest financial assistance for the collection. The collection now became accessible to the public libraries of North Carolina through the State Library’s Interlibrary loan, thus recognizing the value of the collection.	An annual appropriate from the State Library of North Carolina over the period of twelve years provided the greatest financial assistance for the collection.	/m/0266hyr	State_Library_of_North_Carolina	31	62	/government/government_agency,/organization/organization
The esteem to which Mollie Huston Lee was held is indicated by her selection as an United Nations Educational, Scientific and Cultural Organization (UNESCO) library delegate and her appointment as a trustee of the State Library of North Carolina. Lee also was instrumental in the foundation of the North Carolina Negro Library Association (NCNLA) which dissolved once the American Library Association (ALA) and the North Carolina Library Association opened membership to African Americans. She was the second African American elected at-large to the ALA council, serving from 1950 to 1954 and in 1971 Lee represented ALA at the White House Conference on Aging. In 1971, Lee was the first African American woman elected “Tar Heel of the Week” as a result of her numerous professional and civic contributions to the state of North Carolina.	The esteem to which Mollie Huston Lee was held is indicated by her selection as an United Nations Educational, Scientific and Cultural Organization (UNESCO) library delegate and her appointment as a trustee of the State Library of North Carolina.	/m/0266hyr	State_Library_of_North_Carolina	214	245	/government/government_agency,/organization/organization
DuraCloud is a new service and open source technology for managing content in the cloud that was launched by DuraSpace in 2011. DuraCloud makes use of commercial cloud infrastructure to provide organizations with tools for archiving content across multiple cloud providers to ensure that documents, imagery and videos are always backed-up. DuraCloud features built-in compute services for digital preservation, data access, transformation, and sharing. Institutions including University of Michigan ICPSR, Columbia University, Massachusetts Institute of Technology, Northwestern University, State of North Carolina Library and Archives use DuraCloud to preserve digital resources.	Institutions including University of Michigan ICPSR, Columbia University, Massachusetts Institute of Technology, Northwestern University, State of North Carolina Library and Archives use DuraCloud to preserve digital resources.	/m/0266hyr	State_Library_of_North_Carolina	138	182	/government/government_agency,/organization/organization
Following the resignation of Phil Keisling, Governor John Kitzhaber appointed Bradbury to be Oregon Secretary of State in November 1999. He was elected to the office in 2000, and re-elected in 2004, serving for nine years. As the state’s second-highest-ranking constitutional officer, he was auditor of public accounts, chief elections officer, and manager of the state’s official legislative and executive records. He also chaired the Oregon State Land Board, which oversees management of state-owned lands, and was appointed by the Governor to chair the Oregon Sustainability Board. As Secretary of State, Bradbury was a Superdelegate for Barack Obama at the 2008 Democratic National Convention.	He also chaired the Oregon State Land Board, which oversees management of state-owned lands, and was appointed by the Governor to chair the Oregon Sustainability Board.	/m/0275hmg	Oregon_Sustainability_Board	140	167	/government/government_agency,/organization/organization
The Secretary of State of Oregon, an elected constitutional officer within the executive branch of government of the U.S. state of Oregon, is first in line of succession to the Governor. The duties of office are: auditor of public accounts, chief elections officer, and administrator of public records. Additionally, the Secretary of State serves on the Oregon State Land Board and chairs the Oregon Sustainability Board. Following every United States Census, if the Oregon Legislative Assembly cannot come to agreement over changes to legislative districting, the duty falls to the Secretary of State. The Secretary of State has performed this duty every decade since 1921.	Additionally, the Secretary of State serves on the Oregon State Land Board and chairs the Oregon Sustainability Board.	/m/0275hmg	Oregon_Sustainability_Board	90	117	/government/government_agency,/organization/organization
On Monday 30 May 2011 a train on the line suffered a derailment at Brampton, during which wheels from one of the coaches were reported to have come up through the floor of the vehicle. The Rail Accident Investigation Branch were called in to conduct a preliminary examination into the incident, and found it to have been caused by the failure due to metal fatigue of an axle journal that had been welded several years previously (when the railway was under different management). Following this accident all wheels of this design were identified by the railway and scrapped, being replaced by new wheelsets.	The Rail Accident Investigation Branch were called in to conduct a preliminary examination into the incident, and found it to have been caused by the failure due to metal fatigue of an axle journal that had been welded several years previously (when the railway was under different management).	/m/02pp48c	Rail_Accident_Investigation_Branch	4	38	/business/employer,/government/government_agency,/organization/organization
Each tram includes a dead man's handle and three braking systems. Using the hazard brake, 15 metres is required to stop from a speed of 30 kilometres per hour. In the Rail Accident Investigation Branch report into an accident at New Swan Lane Level Crossing, it emerged that tram drivers were reluctant to use a rapid deceleration brake because of the potential for injury to passengers.	In the Rail Accident Investigation Branch report into an accident at New Swan Lane Level Crossing, it emerged that tram drivers were reluctant to use a rapid deceleration brake because of the potential for injury to passengers.	/m/02pp48c	Rail_Accident_Investigation_Branch	7	41	/business/employer,/government/government_agency,/organization/organization
