paragraph	sentence	mid	title	start	end	notable_types
In Alberta, the Alberta Party Political Association, known in its short form as the Alberta Party, began as an alliance of the Social Credit Party of Alberta, Western Canada Concept, and the Heritage Party of Alberta in 1986. In 2006 the Alberta Alliance entered into merger negotiations with the Alberta Party and the Social Credit Party. The Social Credit Party terminated merger discussions, the Alberta Alliance merged with the Wildrose Party of Alberta to create the Wildrose Alliance, and the Alberta Party has shifted to become a centrist party.	The Social Credit Party terminated merger discussions, the Alberta Alliance merged with the Wildrose Party of Alberta to create the Wildrose Alliance, and the Alberta Party has shifted to become a centrist party.	/m/02vl979	Wildrose_Party_of_Alberta	92	117	/government/political_party,/organization/organization
On January 19, 2008, the party voted to change its name to the Wildrose Alliance Party when it absorbed the unregistered Wildrose Party of Alberta.	On January 19, 2008, the party voted to change its name to the Wildrose Alliance Party when it absorbed the unregistered Wildrose Party of Alberta.	/m/02vl979	Wildrose_Party_of_Alberta	121	146	/government/political_party,/organization/organization
Under Hinman's leadership, the Alberta Alliance and the upstart Wildrose Party of Alberta merged to unite the right wing of the political spectrum in Alberta at a convention held on January 19, 2008 in Calgary.	Under Hinman's leadership, the Alberta Alliance and the upstart Wildrose Party of Alberta merged to unite the right wing of the political spectrum in Alberta at a convention held on January 19, 2008 in Calgary.	/m/02vl979	Wildrose_Party_of_Alberta	64	89	/government/political_party,/organization/organization
Hinman became leader of the Alberta Alliance in 2005. He would lead his party to a merger with the unregistered Wildrose Party headed by party President Link Byfield on January 19, 2008. However Hinman would be defeated by Jacobs in the 2008 election held just weeks after his party merger.	He would lead his party to a merger with the unregistered Wildrose Party headed by party President Link Byfield on January 19, 2008.	/m/02vl979	Wildrose_Party_of_Alberta	58	72	/government/political_party,/organization/organization
In late 2005 Burns teamed up with Robert James, former Progressive Conservative Campaign Chair, and in April 2007, Burns, James, and Link Byfield, an Edmonton Journalist and Senator-elect decided to try to start a new provincial Political party. In June 2007, Burns became secretary of the shortly lived Wildrose Party of Alberta, this was the predecessor of the current Wildrose Party.	In June 2007, Burns became secretary of the shortly lived Wildrose Party of Alberta, this was the predecessor of the current Wildrose Party.	/m/02vl979	Wildrose_Party_of_Alberta	58	83	/government/political_party,/organization/organization
Paul Hinman was elected leader on the third ballot, defeating the other candidates, Marilyn Burns, David Crutcher and Ed Klop. Hinman lead the party from this leadership election to the merge with the Wildrose Party of Alberta in 2008.	Hinman lead the party from this leadership election to the merge with the Wildrose Party of Alberta in 2008.	/m/02vl979	Wildrose_Party_of_Alberta	74	99	/government/political_party,/organization/organization
Byfield helped found the Wildrose Party of Alberta in 2007, which merged with the Alberta Alliance Party on January 19, 2008, shortly before a provincial general election was called. He unsuccessfully contested the riding of Whitecourt-Ste. Anne for the post-merger Wildrose Alliance in that 2008 election.	Byfield helped found the Wildrose Party of Alberta in 2007, which merged with the Alberta Alliance Party on January 19, 2008, shortly before a provincial general election was called.	/m/02vl979	Wildrose_Party_of_Alberta	25	50	/government/political_party,/organization/organization
1 Numbers from the 2004 election refer to the Alberta Alliance Party which, along with the Wildrose Party of Alberta (which did not contest the 2004 election), merged in 2007 to form the Wildrose Alliance Party.	1 Numbers from the 2004 election refer to the Alberta Alliance Party which, along with the Wildrose Party of Alberta (which did not contest the 2004 election), merged in 2007 to form the Wildrose Alliance Party.	/m/02vl979	Wildrose_Party_of_Alberta	91	116	/government/political_party,/organization/organization
Tupper led the Nova Scotia campaign for the Liberal-Conservative party during the Canadian federal election of 1872. His efforts paid off when Nova Scotia returned not a single Anti-Confederate Member of Parliament to the 2nd Canadian Parliament, and 20 of Nova Scotia's 21 MPs were Liberal-Conservatives. (The Liberal-Conservative Party changed its name to the Conservative Party in 1873.)	(The Liberal-Conservative Party changed its name to the Conservative Party in 1873.	/m/027nnh	Conservative_Party_of_Canada_(1867%E2%80%931942)	13	31	/business/employer,/government/political_party,/organization/organization
The Pacific Scandal was a political scandal in Canada involving allegations of bribes being accepted by members of the Conservative government in the attempts of private interests to influence the bidding for a national rail contract. As part of British Columbia's 1871 agreement to join Canadian Confederation, the government had agreed to build the Canadian Pacific Railway, a transcontinental railway linking the Pacific Province to the eastern provinces. The proposed rail project, when completed, was the most intensive and ambitious of its kind ever undertaken to date. However as a new nation with limited capital resources, financing for the project was sought after both at home and abroad, naturally attracting interest from Great Britain and the United States.	The Pacific Scandal was a political scandal in Canada involving allegations of bribes being accepted by members of the Conservative government in the attempts of private interests to influence the bidding for a national rail contract.	/m/027nnh	Conservative_Party_of_Canada_(1867%E2%80%931942)	119	142	/business/employer,/government/political_party,/organization/organization
Support for Great Britain during the First World War caused a major political crisis over conscription, with Francophones, mainly from Quebec, rejecting national policies. During the crisis large numbers of enemy aliens (especially Ukrainians and Germans) were put under government controls. The Liberal party was deeply split, with most of its Anglophone leaders joining the unionist government headed by Prime Minister Robert Borden, the leader of the Conservative party. The Liberals regained their influence after the war under the leadership of William Lyon Mackenzie King, who served as prime minister with three separate terms between 1921 and 1949.	The Liberal party was deeply split, with most of its Anglophone leaders joining the unionist government headed by Prime Minister Robert Borden, the leader of the Conservative party.	/m/027nnh	Conservative_Party_of_Canada_(1867%E2%80%931942)	162	180	/business/employer,/government/political_party,/organization/organization
Convergencia Nacional or the National Convergence alliance was a coalition of a number of Nicaraguan political organizations, formed in support of Daniel Ortega's bid in the presidential election of 2001. Despite losing the presidential election, the FSLN-led alliance made steady gains in the 2004 municipal elections, and Ortega was elected president in 2006. The alliance included Ortega's FSLN, Nationalist Liberal Party (the former ruling party of the Somoza era), Popular Conservative Alliance, Marxist–Leninist Popular Action Movement, Nicaraguan Christian Democratic Union, as well as the Unidad Social Cristiana PUSC (a dissident faction of the Social Christian Party) and dissident minority factions of the Sandinista Renovation Movement, Nicaraguan Liberal Alliance, Constitutionalist Liberal Party, Nicaraguan Resistance Party and YATAMA. Majority factions of the latter 6 organizations have joined the anti-Ortega coalition Alianza PLC founded in 2008.	The alliance included Ortega's FSLN, Nationalist Liberal Party (the former ruling party of the Somoza era), Popular Conservative Alliance, Marxist–Leninist Popular Action Movement, Nicaraguan Christian Democratic Union, as well as the Unidad Social Cristiana PUSC (a dissident faction of the Social Christian Party) and dissident minority factions of the Sandinista Renovation Movement, Nicaraguan Liberal Alliance, Constitutionalist Liberal Party, Nicaraguan Resistance Party and YATAMA.	/m/0261zsb	Social_Christian_Party_(Nicaragua)	292	314	/government/political_party,/organization/organization
Between 1948 and 1977, under Begin, Herut and the alliances it formed (Gahal in 1965 and Likud in 1973) formed the main opposition to the dominant Mapai and later the Alignment (the forerunners of today's Labour Party) in the Knesset; Herut adopted a radical nationalistic agenda committed to the irredentist idea of Greater Israel. During those years, Begin was systematically delegitimized by the ruling party, and was often personally derided by Ben-Gurion who refused to either speak to or refer to him by name. Ben-Gurion famously coined the phrase 'without Herut and Maki' (Maki was the communist party), referring to his refusal to consider them for coalition, effectively pushing both parties and their voters beyond the margins of political consensus.	Ben-Gurion famously coined the phrase 'without Herut and Maki' (Maki was the communist party), referring to his refusal to consider them for coalition, effectively pushing both parties and their voters beyond the margins of political consensus.	/m/0277zmv	Maki_(historical_political_party)	57	61	/government/political_party,/organization/organization
Karmiel was one of the first cities in Israel to be established according to an urban master plan. It was built as part of the Central Galilee Development Project. Work began in 1963, and the official inauguration ceremony took place in October 1964. The first 16 families moved in at that time. A tender for the construction of Karmiel's main roads was issued in 1963, and Mekorot built a water pipe network connecting Karmiel, Rameh, Sha'ab and other nearby villages. In 1981, Karmiel was awarded the Beautiful Israel prize and the Kaplan Prize for Management and Services. Karmiel achieved city status on November 20, 1986. The first mayor was Baruch Venger, followed by Adi Eldar, who has remained in this position until today. Some 18,000 new immigrants settled in Karmiel between 1990 and 2002. In 1956, about 1,275 acres (5.16 km2) of land in the Israeli Arab villages of Deir al-Asad, Bi'ina and Nahf were declared "closed areas" by Israeli authorities. This area, near the main road between Acre and Safed, had been an important marble quarrying site. In 1961, the Israeli authorities expropriated the land to build Karmiel. The villagers offered "equally good land" in the area, but when Moshe Sneh (Maki) and Yusef Khamis (Mapam) brought the case to the Knesset on behalf of the villagers, the Knesset established that there was no such land. According to the Haredi newspaper She'arim, about 10 square kilometres (3.9 sq mi) (394 lots) were confiscated by a court order on 4 March 1963, at the request of the Israel Development Authority. However, the land was rocky, uninhabited and unfit for agriculture. In 1964, when local Arabs applied for permission to move into the town, Minister of Housing Yosef Almogi replied that "Karmiel was not built to solve the problems for the people in the surrounding area." In February 1965, 400 protesters marched from Tel Aviv to protest against "discrimination of a group of our citizens". Representatives went to a local police station, informing the police that they were staying in the area without permission. Eventually the perceived leaders were arrested and tried before a military tribunal. During the Second Lebanon War in 2006, Hezbollah fired 180 Katyusha rockets into Karmiel and the neighboring villages, leading to casualties and damage to buildings, roads, and cars.	The villagers offered "equally good land" in the area, but when Moshe Sneh (Maki) and Yusef Khamis (Mapam) brought the case to the Knesset on behalf of the villagers, the Knesset established that there was no such land.	/m/0277zmv	Maki_(historical_political_party)	76	80	/government/political_party,/organization/organization
