paragraph	sentence	mid	title	start	end	notable_types
Matthew T. Meng (born January 18, 1952) is a long-time environmental and conservation policy advocate and community leader in Nassau and Suffolk Counties on Long Island. He declared as the Democratic nominee in the February 9, 2010 runoff election to fill the New York Assembly seat recently vacated by Rob Walker. He unsuccessfully ran in 2008 as the Democratic candidate for New York State Senate in the 5th District. He ran against Republican incumbent Carl Marcellino who has served as Senator since a special election in 1995.	He declared as the Democratic nominee in the February 9, 2010 runoff election to fill the New York Assembly seat recently vacated by Rob Walker.	/m/026vr91	Rob_Walker_(New_York_politician)	133	143	/government/politician,/people/person
In February 2010, he won a special election to replace Assembly Rob Walker, who vacated the seat after being named Deputy County Executive of Nassau County, New York.	In February 2010, he won a special election to replace Assembly Rob Walker, who vacated the seat after being named Deputy County Executive of Nassau County, New York.	/m/026vr91	Rob_Walker_(New_York_politician)	64	74	/government/politician,/people/person
Henry Grey (1671–1740) succeeded his father, Anthony Grey, as the 12th Earl of Kent in 1702. In 1706, he was elevated to Marquess of Kent, along with Earl of Harold and Viscount Goderich. In 1710 he was elevated once again as Duke of Kent, and following the death of his sons, Marquess Grey (1740) with a special remainder to his granddaughter. Henry had one son and five daughters with his first wife, Jemima Crew (d. 1728), and one son and one daughter with his second wife, Sophia Bentinck (d. 1741). By the time of Henry's death in 1740, both of his sons had died, Anthony (in 1723) and George (in 1733), leaving the Duke of Kent without a male heir. His granddaughter Lady Jemima Campbell would inherit two titles in her own right, Marchioness Grey and Baroness Lucas; but all Henry's other titles, particularly Duke of Kent, became extinct with his death.	Henry Grey (1671–1740) succeeded his father, Anthony Grey, as the 12th Earl of Kent in 1702.	/m/0281lb2	Anthony_Grey,_11th_Earl_of_Kent	45	57	/government/politician,/people/deceased_person,/people/person,/royalty/noble_person
The title Baron Lucas, of Crudwell in the County of Wiltshire, was created at the request of John Lucas, her father, in 1663 for Mary, Countess of Kent, new wife of the 11th Earl of Kent and only surviving child of the 1st Baron of the first creation above. The title was created with remainder to her heirs male by Lord Kent and failing which to her heirs general without division (the latter being the same way that the Crown passes, i.e. to the eldest daughter in the absence of sons, rather than going into abeyance or to the nearest male-line relative). The 1st Baroness was succeeded by her son, who had already succeeded as 12th Earl of Kent, and who was successively created Marquess of Kent and Duke of Kent. (See Duke of Kent for information on the Kent peerages.)	The title Baron Lucas, of Crudwell in the County of Wiltshire, was created at the request of John Lucas, her father, in 1663 for Mary, Countess of Kent, new wife of the 11th Earl of Kent and only surviving child of the 1st Baron of the first creation above.	/m/0281lb2	Anthony_Grey,_11th_Earl_of_Kent	169	186	/government/politician,/people/deceased_person,/people/person,/royalty/noble_person
He was a son of Anthony Grey, 11th Earl of Kent, and Mary Grey, 1st Baroness Lucas of Crudwell. He succeeded his father as 12th Earl of Kent in 1702, having succeeded his mother as 2nd Baron Lucas earlier the same year.	He was a son of Anthony Grey, 11th Earl of Kent, and Mary Grey, 1st Baroness Lucas of Crudwell.	/m/0281lb2	Anthony_Grey,_11th_Earl_of_Kent	16	47	/government/politician,/people/deceased_person,/people/person,/royalty/noble_person
Grey died aged 56 and a monument to his memory was erected by his widow in Flitton Church, Bedfordshire. The title descended to his son Anthony.	The title descended to his son Anthony.	/m/0281lb2	Anthony_Grey,_11th_Earl_of_Kent	31	38	/government/politician,/people/deceased_person,/people/person,/royalty/noble_person
Grey married firstly Mary Courteen, daughter of Sir William Courteen and had a son Henry Grey who is believed to have died young. Mary died on 9 March 1644 and he married secondly on 1 August 1644 Annabel Fane, widow of Anthony Fane and daughter of Sir Anthony Benn. They had two children: Anthony, who inherited the earldom, and Elizabeth, who married Banastre Maynard, 3rd Baron Maynard.	Mary died on 9 March 1644 and he married secondly on 1 August 1644 Annabel Fane, widow of Anthony Fane and daughter of Sir Anthony Benn.	/m/0281lb2	Anthony_Grey,_11th_Earl_of_Kent	90	97	/government/politician,/people/deceased_person,/people/person,/royalty/noble_person
Grey married firstly Mary Courteen, daughter of Sir William Courteen and had a son Henry Grey who is believed to have died young. Mary died on 9 March 1644 and he married secondly on 1 August 1644 Annabel Fane, widow of Anthony Fane and daughter of Sir Anthony Benn. They had two children: Anthony, who inherited the earldom, and Elizabeth, who married Banastre Maynard, 3rd Baron Maynard.	They had two children: Anthony, who inherited the earldom, and Elizabeth, who married Banastre Maynard, 3rd Baron Maynard.	/m/0281lb2	Anthony_Grey,_11th_Earl_of_Kent	23	30	/government/politician,/people/deceased_person,/people/person,/royalty/noble_person
Mary was the only surviving child of John Lucas, 1st Baron Lucas of Shenfield (1606–1671). On 2 March 1662/63 she married Anthony Grey, 11th Earl of Kent.	On 2 March 1662/63 she married Anthony Grey, 11th Earl of Kent.	/m/0281lb2	Anthony_Grey,_11th_Earl_of_Kent	31	62	/government/politician,/people/deceased_person,/people/person,/royalty/noble_person
General Election 1939/40: Another General Election was required to take place before the end of 1940. The political parties had been making preparations for an election to take place from 1939 and by the end of this year, the following candidates had been selected; Liberal National: Herbert Holdsworth, Labour: Meredith Titterington, Liberal: Charles Ewart Hindley.	The political parties had been making preparations for an election to take place from 1939 and by the end of this year, the following candidates had been selected; Liberal National: Herbert Holdsworth, Labour: Meredith Titterington, Liberal: Charles Ewart Hindley.	/m/0281727	Meredith_Titterington	210	231	/government/politician,/people/deceased_person,/people/person
A by-election for the constituency of Bradford South in the United Kingdom House of Commons was held on 8 December 1949, caused by the death of the incumbent Labour MP Meredith Titterington on 28 October of that year. The result was a hold for the Labour Party, with their candidate George Craddock winning with a majority of 4,022 and 51.3% of the vote.	A by-election for the constituency of Bradford South in the United Kingdom House of Commons was held on 8 December 1949, caused by the death of the incumbent Labour MP Meredith Titterington on 28 October of that year.	/m/0281727	Meredith_Titterington	168	189	/government/politician,/people/deceased_person,/people/person
All of Lincoln County is included in Missouri’s 2nd Congressional District and is currently represented by W. Todd Akin (R-Town & Country) in the U.S. House of Representatives.	All of Lincoln County is included in Missouri’s 2nd Congressional District and is currently represented by W. Todd Akin (R-Town & Country) in the U.S. House of Representatives.	/m/025xzm	Todd_Akin	107	119	/government/politician,/government/u_s_congressperson,/internet/social_network_user,/people/person,/user/narphorium/people/nndb_person
All of Gentry County, along with the rest of the state of Missouri, is represented in the U.S. Senate by Claire McCaskill (D-Kirkwood) and Roy Blunt (R-Strafford). McCaskill was elected in 2006 by a narrow margin statewide, but Gentry County supported her opponent, incumbent Jim Talent. She is seeking re-election in 2012 against Congressman Todd Akin.	She is seeking re-election in 2012 against Congressman Todd Akin.	/m/025xzm	Todd_Akin	55	64	/government/politician,/government/u_s_congressperson,/internet/social_network_user,/people/person,/user/narphorium/people/nndb_person
All of DeKalb County, along with the rest of the state of Missouri, is represented in the U.S. Senate by Claire McCaskill (D-Kirkwood) and Roy Blunt (R-Strafford). McCaskill was elected in 2006 by a narrow margin statewide, but DeKalb County supported her opponent, incumbent Jim Talent. She is seeking re-election in 2012 against Congressman Todd Akin.	She is seeking re-election in 2012 against Congressman Todd Akin.	/m/025xzm	Todd_Akin	55	64	/government/politician,/government/u_s_congressperson,/internet/social_network_user,/people/person,/user/narphorium/people/nndb_person
All of Daviess County, along with the rest of the state of Missouri, is represented in the U.S. Senate by Claire McCaskill (D-Kirkwood) and Roy Blunt (R-Strafford). McCaskill was elected to a second term in 2012 over Republican Congressman Todd Akin.	McCaskill was elected to a second term in 2012 over Republican Congressman Todd Akin.	/m/025xzm	Todd_Akin	75	84	/government/politician,/government/u_s_congressperson,/internet/social_network_user,/people/person,/user/narphorium/people/nndb_person
In early 2008, former U.S. Republican Representative W. Todd Akin proposed an amendment to the Smoot-Hawley Tariff Act of 1930  to "make it unlawful for a person to import plastinated human remains into the United States." The President of the American Association of Anatomists has expressed concern that the scope of the act is "too broad" and that "Preventing importation of all plastinated specimens could severely restrict their use for medical education.". The bill of amendment was not enacted during the 2007-2008 Congressional session.	In early 2008, former U.S. Republican Representative W. Todd Akin proposed an amendment to the Smoot-Hawley Tariff Act of 1930  to "make it unlawful for a person to import plastinated human remains into the United States.	/m/025xzm	Todd_Akin	53	65	/government/politician,/government/u_s_congressperson,/internet/social_network_user,/people/person,/user/narphorium/people/nndb_person
Most of St. Charlres County is included in Missouri’s 2nd Congressional District and is currently represented by Todd Akin (R-Town & Country) in the U.S. House of Representatives.	Most of St. Charlres County is included in Missouri’s 2nd Congressional District and is currently represented by Todd Akin (R-Town & Country) in the U.S. House of Representatives.	/m/025xzm	Todd_Akin	113	122	/government/politician,/government/u_s_congressperson,/internet/social_network_user,/people/person,/user/narphorium/people/nndb_person
In June 2013, he proposed a bill that would ban abortions after 20 weeks without exceptions for rape and incest. In defense, he stirred controversy when saying that “the incidents of rape resulting in pregnancy are very low," His comments were compared to those made by U.S. Congressman Todd Akin (R-MO) the year before.  Nevertheless, his bill passed the House Judiciary Committee by a vote of 20-12.	Congressman Todd Akin (R-MO) the year before.	/m/025xzm	Todd_Akin	12	21	/government/politician,/government/u_s_congressperson,/internet/social_network_user,/people/person,/user/narphorium/people/nndb_person
He is currently a member of the Speaker's Committee on the Electoral Commission and is the member of the committee responsible for answering oral questions in Parliament on behalf of the Electoral Commission. He assumed the role after Sir Peter Viggers stepped down during the MPs' expenses controversy. His own expenses for 2008/09 were £162,719, ranking 158th out of 647 MPs.	He assumed the role after Sir Peter Viggers stepped down during the MPs' expenses controversy.	/m/0266dw	Peter_Viggers	30	43	/government/politician,/people/person
Labour stood Albert Bellamy, while the Conservatives stood Gordon Touche, and the Liberals put up W. G. Greenwood, an accountant.	Labour stood Albert Bellamy, while the Conservatives stood Gordon Touche, and the Liberals put up W. G. Greenwood, an accountant.	/m/027xpm8	Albert_Bellamy	13	27	/government/politician,/people/deceased_person,/people/person
After the war he became involved in politics, becoming the president of the Ashton Conservative Association. At the 1929 general election, he was the party's candidate in Ashton-under-Lyne, but lost by a margin of over 3,000 votes to the sitting Labour MP, Albert Bellamy.	At the 1929 general election, he was the party's candidate in Ashton-under-Lyne, but lost by a margin of over 3,000 votes to the sitting Labour MP, Albert Bellamy.	/m/027xpm8	Albert_Bellamy	148	162	/government/politician,/people/deceased_person,/people/person
However, he was disqualified in 1928 after being declared bankrupt. The resulting by-election on 28 October was won by the Labour Party candidate Albert Bellamy.	The resulting by-election on 28 October was won by the Labour Party candidate Albert Bellamy.	/m/027xpm8	Albert_Bellamy	78	92	/government/politician,/people/deceased_person,/people/person
