paragraph	sentence	mid	title	start	end	notable_types
Donnie Iris and the Cruisers returned to the studio in 1992 to release their first album containing new material since 1985. Titled Out of the Blue, the album was a compilation album containing older hits and new material. It failed to have any impact on the charts, however. Still, the band toured throughout the rest of the year around Pennsylvania and Ohio, and attracted newer and younger fans from the area. The band released another album the following year, Footsoldier in the Moonlight. At this point, the band underwent yet another line-up change as drummer Tommy Rich departed the group. He was replaced by Steve McConnell.	Titled Out of the Blue, the album was a compilation album containing older hits and new material.	/m/02r9l8c	Out_of_the_Blue_(Donnie_Iris_album)	7	22	/music/album
"Centipede" is the first single by American singer Rebbie Jackson and the title track from her debut album, Centipede. It remains her highest charting single to date, peaking at number four on the Billboard R&B chart and number twenty-four on the Billboard Hot 100. It was written and produced by her brother Michael Jackson. The song features backing vocals by Jackson's siblings Michael and La Toya, and the Weather Girls. It was later re-released on The Rebbie Jackson Collection and on her 1998 album Yours Faithfully. The single includes an extended mix and an instrumental version.	It was later re-released on The Rebbie Jackson Collection and on her 1998 album Yours Faithfully.	/m/02rd0qp	The_Rebbie_Jackson_Collection	28	57	/music/album
Meanwhile, in 1996, Live at the Social Volume 1 was released by Heavenly Records, which became The Chemical Brothers' first mix CD (excluding Xmas Dust Up, a free album that came in a 1994 issue of NME). It was also the duo's first and only live album (excluding the EP Live 05).	It was also the duo's first and only live album (excluding the EP Live 05).	/m/02rgkq_	Live_05	66	73	/music/album
Live 05 was released as a digital EP promoting the album on 29 November 2005. It was recorded live from their 2005 tour.	Live 05 was released as a digital EP promoting the album on 29 November 2005.	/m/02rgkq_	Live_05	0	7	/music/album
In 2005, Bronson Arroyo released his debut album, Covering the Bases. It included covers from bands such as Pearl Jam, Alice in Chains, Stone Temple Pilots, Foo Fighters and Incubus. The album also includes the Red Sox victory song "Dirty Water" by The Standells, in which Arroyo is accompanied by Johnny Damon, Lenny DiNardo, and Kevin Youkilis. He also taught Kevin Millar how to play guitar and performed vocals for the song "Tessie" as covered by the Dropkick Murphys.	In 2005, Bronson Arroyo released his debut album, Covering the Bases.	/m/02rh7f3	Covering_the_Bases	50	68	/music/album
A live performance of "Black" by Aaron Lewis of Staind appears on the 2001 live album, The Family Values 2001 Tour. The Knife uses musical segments which sound very similar to "Black" on "Behind the Bushes" from the 2003 album, Deep Cuts. Baseball pitcher Bronson Arroyo recorded the song for the 2005 album, Covering the Bases. Turin Brakes covered "Black" on their tour-only EP everybody knows every day's a wicked black game.	Baseball pitcher Bronson Arroyo recorded the song for the 2005 album, Covering the Bases.	/m/02rh7f3	Covering_the_Bases	70	88	/music/album
The song was covered by professional baseball player Bronson Arroyo on his 2005 album, Covering the Bases, which lists the song as "Down in the Hole". Fuel acoustically covered the song in 2007 on AM Radio. On his low-key 2007 tour—in support of his album Easy Tiger—Ryan Adams covered the song live with his band, The Cardinals. A cover of the song is also featured on Adams' 2007 EP Follow the Lights. The Christian metal band Demon Hunter perform an acoustic version of the song on the deluxe edition of their album The World Is a Thorn.	The song was covered by professional baseball player Bronson Arroyo on his 2005 album, Covering the Bases, which lists the song as "Down in the Hole".	/m/02rh7f3	Covering_the_Bases	87	105	/music/album
In early March 2007, Soilwork began laying down the tracks for their seventh album, Sworn to a Great Divide Late in June, Ola Frenning announced that the album was finished. Soilwork toured in the fall alongside Caliban, Sonic Syndicate, and Dark Tranquillity in a tour dubbed, 'Eastpak Antidote' tour. The album was released on October 19, 2007 through Nuclear Blast. The album sports a sound closer to thrash than their previous albums, though still backed by their trademark synth elements.	In early March 2007, Soilwork began laying down the tracks for their seventh album, Sworn to a Great Divide Late in June, Ola Frenning announced that the album was finished.	/m/02rl06z	Sworn_to_a_Great_Divide	84	107	/music/album
Per Henrik Aldeheim, is a Swedish guitarist, songwriter and producer. He started out in the business with the band LAZY, also featuring Kim Björkgren. In 1985 they quit the band and started a new, It's Alive, together with among others Max Martin (then known as Martin White) as their singer and frontman. It's Alive ceased to exist in 1995 after releasing two albums. Aldeheim has since then worked together with Max Martin as a producer as Cheiron Studios. He also did Arrangements for the Song "Light Discovering Darkness" from the Album Sworn to a Great Divide by Soilwork.	He also did Arrangements for the Song "Light Discovering Darkness" from the Album Sworn to a Great Divide by Soilwork.	/m/02rl06z	Sworn_to_a_Great_Divide	82	105	/music/album
Daniel Antonsson is a musician and songwriter from Gothenburg, Sweden, currently playing guitar in Dimension Zero. He is also the former bassist for Dark Tranquillity, playing on the album We Are the Void, and former guitarist for Soilwork, recording with them on their album Sworn to a Great Divide. He uses Esp Nv-std guitar and Mayones Guitars & Basses.	He is also the former bassist for Dark Tranquillity, playing on the album We Are the Void, and former guitarist for Soilwork, recording with them on their album Sworn to a Great Divide.	/m/02rl06z	Sworn_to_a_Great_Divide	161	184	/music/album
