paragraph	sentence	mid	title	start	end	notable_types
It was during this period that he became acquainted with Mark Avsec, then playing keyboards for Wild Cherry. Unfortunately, Wild Cherry was unable to duplicate their previous success and disbanded by the end of the decade. Becoming good friends, Donnie and Mark decided to form a project together after Wild Cherry's breakup and the two began writing songs. Their first release saw the disco-influenced single "Bring on the Eighties" backed by the cover song "Because of You" in 1979, however it failed to garner attention. Iris and Avsec decided to go in a harder direction for their next release and returned to the studio with guitarist Marty Lee Hoenes, bassist Albritton McClain and drummer Kevin Valentine, who at the time was in the band Breathless with Avsec, to record his first full length album. This line-up would form to what would become known as Donnie Iris and the Cruisers.	Iris and Avsec decided to go in a harder direction for their next release and returned to the studio with guitarist Marty Lee Hoenes, bassist Albritton McClain and drummer Kevin Valentine, who at the time was in the band Breathless with Avsec, to record his first full length album.	/m/02r9s8j	Marty_Lee_Hoenes	116	132	/music/artist,/people/person
Frank was a regular at the Sunday morning sessions at The Brazen Head pub, along with the late Liam Weldon who ran the session. He was also an enthusiastic supporter of An Góilín Traditional Singer's Club. A regular at singers' sessions in Ireland, he appeared at clubs, seminars and festivals in France, Britain and America as well as touring the festivals at Fleadhanna in Ireland. Frank also performed in London in Ewan MacColl and Peggy Seeger's 'Singers Club' in 1971 and at the  on two occasions.	Frank was a regular at the Sunday morning sessions at The Brazen Head pub, along with the late Liam Weldon who ran the session.	/m/02rgv5x	Liam_Weldon	95	106	/music/artist,/people/deceased_person,/people/person
It was not until he met the Irish Seanchai, Liam Weldon in Tailors Hall, Dublin in 1978 that his true musical and writing career took off. Liam's influence on Robbie through his lyrics and singing was profound. Liam Weldon's lyrics took on a Celtic spiritual dimension, Pantheism, that Robbie had been searching for. This was the trend that was to run through Robbie's writings from then on.	It was not until he met the Irish Seanchai, Liam Weldon in Tailors Hall, Dublin in 1978 that his true musical and writing career took off.	/m/02rgv5x	Liam_Weldon	44	55	/music/artist,/people/deceased_person,/people/person
It was not until he met the Irish Seanchai, Liam Weldon in Tailors Hall, Dublin in 1978 that his true musical and writing career took off. Liam's influence on Robbie through his lyrics and singing was profound. Liam Weldon's lyrics took on a Celtic spiritual dimension, Pantheism, that Robbie had been searching for. This was the trend that was to run through Robbie's writings from then on.	Liam Weldon's lyrics took on a Celtic spiritual dimension, Pantheism, that Robbie had been searching for.	/m/02rgv5x	Liam_Weldon	0	11	/music/artist,/people/deceased_person,/people/person
Guyana's musical tradition is a mix of Indian, African, European, Latin and native elements. Pop music includes American, Caribbean (reggae, calypso, chutney, Soca, Bollywood film songs, local Guyanese soca-chutney recently borrowed sounds from Neighbouring Countries Brazilian Music as well as Spanish Merengue, Bachata, Salsa, Reggaeton, and Samba this type of sound can be heard throughout Various Clubs and Facilities Throughout the country/Capital Georgetown. Although Reggae sounds feeds majority.), Brazilian and other Latin musical styles. Popular Guyanese performers include Terry Gajraj, Mark Holder, Eddy Grant, Dave Martins & the Tradewinds, Aubrey Cummings and Nicky Porter. Among the most successful Guyanese record producers are Rohit Jagessar, Eddy Grant, Terry Gajraj and Dave Martin.	Popular Guyanese performers include Terry Gajraj, Mark Holder, Eddy Grant, Dave Martins & the Tradewinds, Aubrey Cummings and Nicky Porter.	/m/025xtnm	Aubrey_Cummings	106	121	/music/artist,/people/person
The music of Guyana is a mix of Indian, Spanish, African, European and Amerindian elements. Important American, Caribbean, Brazilian and other Latin musical styles are popular. Popular Guyanese performers include Terry Gajraj, Harry Panday, Eddy Grant, Dave Martins & the Tradewinds,(Johnny Braff, Ivor Lynch & Sammy Baksh) Aubrey Cummings and Nicky Porter. The Guyana Music Festival has proven an influential part of the scene.	Popular Guyanese performers include Terry Gajraj, Harry Panday, Eddy Grant, Dave Martins & the Tradewinds,(Johnny Braff, Ivor Lynch & Sammy Baksh) Aubrey Cummings and Nicky Porter.	/m/025xtnm	Aubrey_Cummings	147	162	/music/artist,/people/person
Mick Finnegan is the current party President, having been elected at the party's Árd Fheis on 16/17 May 2008 to replace Seán Garland who had announced his decision to retire from the position after ten years. The General Secretary is John Lowry and the party's Director of International Affairs is Gerry Grainger. The WP in Northern Ireland is registered with the British Electoral Commission, with Lowry named as its leader.	The General Secretary is John Lowry and the party's Director of International Affairs is Gerry Grainger.	/m/02rtt6q	John_Lowry	25	35	/music/artist,/music/group_member,/people/person
In 2006, residents from the estate took part in The Singing Estate, a Channel Five reality TV show following their progress from amateur singers to classical choir. The Blackbird Leys Choir emerged from the original choir and continues today, just one of the community groups thriving on the estate.	The Blackbird Leys Choir emerged from the original choir and continues today, just one of the community groups thriving on the estate.	/m/027t80t	Blackbird_Leys_Choir	4	24	/music/artist
After the end of filming in April 2006, the choir's future was uncertain, but a core section of members wanted to continue and the renamed Blackbird Leys Choir began rehearsing again in September 2006 for planned performances in Oxford on 14 February (BMW) and 24 February 2007 (the Sheldonian Theatre), including a piece written specially for the choir by minimalist composer Orlando Gough. Funding and support for the rest of the year has been supplied by FiveArts Cities (a collaboration between Channel Five and Arts Council England) and Oxford Contemporary Music, with some donation of sheet music from Oxford University Press.	After the end of filming in April 2006, the choir's future was uncertain, but a core section of members wanted to continue and the renamed Blackbird Leys Choir began rehearsing again in September 2006 for planned performances in Oxford on 14 February (BMW) and 24 February 2007 (the Sheldonian Theatre), including a piece written specially for the choir by minimalist composer Orlando Gough.	/m/027t80t	Blackbird_Leys_Choir	139	159	/music/artist
Education and community work is a central part of the orchestra's mission. The Oxford Philomusica won the Oxford Times Charity and Community Award in the Oxfordshire Business Awards 2007 in recognition of its work in the community, including its artistic leadership of the celebrated Blackbird Leys Choir. It works in partnership with Oxfordshire County Council to provide performance opportunities and tuition to the hundreds of talented young musicians in the area. In 2011 the orchestra joined forces with Oxfordshire County Music Service to present the first of an annual Concerto Competition which aims to showcase and reward the young musical talent that exists in Oxfordshire.	The Oxford Philomusica won the Oxford Times Charity and Community Award in the Oxfordshire Business Awards 2007 in recognition of its work in the community, including its artistic leadership of the celebrated Blackbird Leys Choir.	/m/027t80t	Blackbird_Leys_Choir	209	229	/music/artist
