paragraph	sentence	mid	title	start	end	notable_types
His two sons Enayat Khan and Wahid Khan, his grandsons Vilayat Khan and Imrat Khan, and great-grandsons Shahid Parvez, Shujaat Khan, Nishat Khan, Irshad Khan, Wajahat Khan, Shafaatullah Khan and Hidayat Khan have all upheld his musical tradition, musical luminaries themselves. Zila Khan the sufi, classical and semi classical singer is the first female artist from this gharana, she is Vilayat Khan's daughter whom he formally made a student also.	His two sons Enayat Khan and Wahid Khan, his grandsons Vilayat Khan and Imrat Khan, and great-grandsons Shahid Parvez, Shujaat Khan, Nishat Khan, Irshad Khan, Wajahat Khan, Shafaatullah Khan and Hidayat Khan have all upheld his musical tradition, musical luminaries themselves.	/m/025x6x1	Wajahat_Khan	159	171	/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
Imrat has five sons, Nishat, Irshad, Wajahat and Shafaatullah,and Azmat Khan , now only eight; the first four sons are all classical musicians: Nishat plays the sitar, Wajahat concentrates on the sarod and Shafaatullah is accomplished on sitar, tabla, and surbahar. The surbahar tradition is largely upheld by Irshad (also a sitar player), who has made some very traditional solo recordings.	Imrat has five sons, Nishat, Irshad, Wajahat and Shafaatullah,and Azmat Khan , now only eight; the first four sons are all classical musicians: Nishat plays the sitar, Wajahat concentrates on the sarod and Shafaatullah is accomplished on sitar, tabla, and surbahar.	/m/025x6x1	Wajahat_Khan	37	44	/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
Living performers of the family include Imrat Khan, Shahid Parvez, Shujaat Khan, Nishat Khan, Irshad Khan, Wajahat Khan, and Hidayat Khan.	Living performers of the family include Imrat Khan, Shahid Parvez, Shujaat Khan, Nishat Khan, Irshad Khan, Wajahat Khan, and Hidayat Khan.	/m/025x6x1	Wajahat_Khan	107	119	/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
The Medici String Quartet is widely regarded as one of Britain's leading international ensembles, having appeared to critical acclaim in over thirty countries across five continents. Alongside frequent radio performances, the group has an eclectic discography including recordings of the Beethoven Cycle of Quartets, the seldom heard Saint-Saëns Quartets and Wajahat Khan's Sarod Quintet Raag Desh.	Alongside frequent radio performances, the group has an eclectic discography including recordings of the Beethoven Cycle of Quartets, the seldom heard Saint-Saëns Quartets and Wajahat Khan's Sarod Quintet Raag Desh.	/m/025x6x1	Wajahat_Khan	176	188	/music/artist,/music/composer,/music/group_member,/people/deceased_person,/people/person
In 1898 the producer and recording engineer Fred Gaisberg set up the first recording studio for the Gramophone and Typewriter Company (G&T) (the forerunner of HMV) at Maiden Lane in London; he started recording 7-inch Berliner discs there during October of that year. Squire was the first instrumentalist of national repute to record on this new medium – recording Simple Aveu, Op. 25 by Thomé on 2 November 1898. He continued recording cello miniatures throughout the 1900s for G&T, for example Mélodie by Anton Rubinstein in January 1906. He played cello obligato on many vocal recordings, for example in "A Summer Night" (by Goring Thomas) sung by the contralto Louise Kirkby Lunn for HMV in 1911. He also recorded his arrangements of other composers' works and one of his own pieces: Serenade (in 1911) for HMV.	25 by Thomé on 2 November 1898.	/m/02rkk4y	Francis_Thom%C3%A9	6	11	/music/composer,/people/deceased_person,/people/person
He appeared with Adelina Patti (in her 1888 tour), Émile Sauret and Ignaz Paderewski, and in Paris played with Jules Massenet, Benjamin Godard and Francis Thomé. He was a favourite of Queen Victoria and often played at Windsor Castle, Balmoral Castle and Osborne House.	He appeared with Adelina Patti (in her 1888 tour), Émile Sauret and Ignaz Paderewski, and in Paris played with Jules Massenet, Benjamin Godard and Francis Thomé.	/m/02rkk4y	Francis_Thom%C3%A9	147	160	/music/composer,/people/deceased_person,/people/person
The Cercle grew rapidly. By the time of its first constitutive assembly in February of 1888, it boasted seventy-five members, including many of the leading celebrities of the day, among them actors (Paul Legrand, Coquelin cadet), playwrights (Jules Lemaître, Jacques Normand, Paul Eudel, Félix Galipaux), novelists (Champfleury, J.-K. Huysmans, Léon Hennique, Jean Richepin), painters (Jules Chéret, Jules Garnier), composers (Jules Massenet, Francis Thomé), and critics and historians of the theater (Léopold Lacour, Arthur Pougin, Edouard Stoullig). Its first evening of performances, in May of 1888, at the Fantaisies-Parisiennes consisted of a prologue with verses by Jacques Normand accompanied by the miming of Paul Legrand; a pantomime, Colombine pardonée (Columbine Pardoned), written by Paul Margueritte and Beissier, its Pierrot mimed by Paul himself; Najac's pantomime L'Amour de l'art (The Love of Art), with Eugène Larcher as Harlequin; and a parade of the boulevards, Léandre Ambassadeur (Ambassador Leander), starring Félicia Mallet, who would later create memorable Pierrots for the Cercle. Almost all subsequent performances would be held at the small Théâtre d'Application, later called La Bodinière.	By the time of its first constitutive assembly in February of 1888, it boasted seventy-five members, including many of the leading celebrities of the day, among them actors (Paul Legrand, Coquelin cadet), playwrights (Jules Lemaître, Jacques Normand, Paul Eudel, Félix Galipaux), novelists (Champfleury, J.-K. Huysmans, Léon Hennique, Jean Richepin), painters (Jules Chéret, Jules Garnier), composers (Jules Massenet, Francis Thomé), and critics and historians of the theater (Léopold Lacour, Arthur Pougin, Edouard Stoullig).	/m/02rkk4y	Francis_Thom%C3%A9	418	431	/music/composer,/people/deceased_person,/people/person
In 1919 Cortot founded the École Normale de Musique de Paris. His courses in musical interpretation were legendary. Notable students at that school included Elisha Abas, David Barnett, Hélène Boschi, Victor Bouchard, Mario Braggiotti, Charles Bruck, Dino Ciani, Clotilde Coulombe, Halina Czerny-Stefańska, Jean-Michel Damase, Florence Delaage, Karl Engel, Gunnar de Frumerie, Renaud Gagneux, Éric Gaudibert, Ilmari Hannikainen, Clara Haskil, Václav Kaprál, Raymond Lewenthal, Dinu Lipatti, Jerome Lowenthal, Jean-Pierre Marty, Marguerite Monnot, Vlado Perlemuter, Helena Sá e Costa, Pnina Salzman, Esteban Sánchez, Roy Shepherd and Magda Tagliaferro.	Notable students at that school included Elisha Abas, David Barnett, Hélène Boschi, Victor Bouchard, Mario Braggiotti, Charles Bruck, Dino Ciani, Clotilde Coulombe, Halina Czerny-Stefańska, Jean-Michel Damase, Florence Delaage, Karl Engel, Gunnar de Frumerie, Renaud Gagneux, Éric Gaudibert, Ilmari Hannikainen, Clara Haskil, Václav Kaprál, Raymond Lewenthal, Dinu Lipatti, Jerome Lowenthal, Jean-Pierre Marty, Marguerite Monnot, Vlado Perlemuter, Helena Sá e Costa, Pnina Salzman, Esteban Sánchez, Roy Shepherd and Magda Tagliaferro.	/m/026rqxg	Renaud_Gagneux	260	274	/music/composer,/people/person
Besides the Pulitzer, other awards and honors for Mel Powell include the Creative Arts Medal from Brandeis University, a Guggenheim Fellowship, an honorary life membership in the Arnold Schoenberg Institute, a commission from the Koussevitzky Music Foundation for the Library of Congress, and a National Institute of Arts and Letters grant. Some of Powell's notable students include Justin Connolly, Walter Hekster, Arturo Marquez, Lewis Spratlan, John Stewart, Lois V Vierk and John Ferritto.	Some of Powell's notable students include Justin Connolly, Walter Hekster, Arturo Marquez, Lewis Spratlan, John Stewart, Lois V Vierk and John Ferritto.	/m/027v7ss	Justin_Connolly	42	57	/music/composer,/people/person
Hodges has recorded music by many contemporary and recent composers. His first CD was of the complete piano works of Bill Hopkins, and he has also recorded music by John Adams (composer), Michael Finnissy, Harrison Birtwistle, Beat Furrer, Justin Connolly, Brian Ferneyhough, Elliot Carter, Konrad Boehmer, and many others.	His first CD was of the complete piano works of Bill Hopkins, and he has also recorded music by John Adams (composer), Michael Finnissy, Harrison Birtwistle, Beat Furrer, Justin Connolly, Brian Ferneyhough, Elliot Carter, Konrad Boehmer, and many others.	/m/027v7ss	Justin_Connolly	171	186	/music/composer,/people/person
Alwynne Pritchard was born in Glasgow in 1968 and as a teenager began composition lessons with her father, Gwyn Pritchard. Pritchard studied with Robert Saxton at the Guildhall School of Music, and later with Melanie Daiken, Justin Connolly and Michael Finnissy at the Royal Academy of Music, and in 1997 was awarded a research scholarship by the University of Bristol and in 2003 received a PhD in composition.	Pritchard studied with Robert Saxton at the Guildhall School of Music, and later with Melanie Daiken, Justin Connolly and Michael Finnissy at the Royal Academy of Music, and in 1997 was awarded a research scholarship by the University of Bristol and in 2003 received a PhD in composition.	/m/027v7ss	Justin_Connolly	102	117	/music/composer,/people/person
In 1962, Alldis founded the professional, 16-member John Alldis Choir, which launched itself with the world premiere of Alexander Goehr's A Little Cantata of Proverbs. Contemporary music figured importantly in its repertory, with first performances of works by Malcolm Williamson, Richard Rodney Bennett and Harrison Birtwistle, many of which were captured on the Argo label. In 1967, he prepared the John Alldis Choir for the first European performance of Stravinsky's Requiem Canticles, conducted by Pierre Boulez. The choir's 1972 recording of Justin Connolly's Verse, Op. 7b, was re-released in 2008 on the Lyrita label. The choir also participated in many opera recordings for Decca and RCA, featuring artists such as Luciano Pavarotti, Plácido Domingo, Janet Baker, Joan Sutherland and Kiri Te Kanawa.	The choir's 1972 recording of Justin Connolly's Verse, Op.	/m/027v7ss	Justin_Connolly	30	45	/music/composer,/people/person
The funds raised at the 1848 concert were invested and allowed to accumulate until 1856, when Arthur Sullivan was elected as the first scholar. Since then it has been awarded from time to time, administered by the Mendelssohn Scholarship Foundation, which is linked to the Royal Academy of Music. The foundation was created by a trust deed in 1871. Its trustees include the composers Anthony Payne and Justin Connolly, and the principal of the Royal Academy of Music, Jonathan Freeman-Attwood; and its charitable objects are "For the education of musical students of both sexes in pursuance of the intentions of the founders".	Its trustees include the composers Anthony Payne and Justin Connolly, and the principal of the Royal Academy of Music, Jonathan Freeman-Attwood; and its charitable objects are "For the education of musical students of both sexes in pursuance of the intentions of the founders".	/m/027v7ss	Justin_Connolly	53	68	/music/composer,/people/person
Rostislaw Wygranienko is specializing in early and romantic organ music of Poland. He recorded (as World Premiere Recording) the Complete Works by Adam of Wągrowiec, as well as complete Warsaw Organ Tablature (ca. 1680), Dumka by Feliks Nowowiejski and contemporary Polish music. Among his other recordings there are Nowowiejski's Organ symphonies as well as music by Petrus de Drusina, Piotr Żelechowski and others.	He recorded (as World Premiere Recording) the Complete Works by Adam of Wągrowiec, as well as complete Warsaw Organ Tablature (ca.	/m/027tz27	Adam_of_W%C4%85growiec	64	81	/music/artist,/music/composer,/people/deceased_person,/people/person
Soon after its invention, Georg Abraham Schneider composed two concertos (Op. 90 and op. 105) for Müller's instrument and orchestra. Generally, however, the alto clarinet has not been commonly used in orchestral scoring. It is used mostly in concert band and plays an important role in clarinet choirs. A few jazz musicians, Hamiet Bluiett, Vinny Golia, J. D. Parran, Petr Kroutil, Joe Lovano and Gianluigi Trovesi among them, have played the alto clarinet. In his Treatise on Instrumentation, Hector Berlioz said that while the alto clarinet has a distinctive sound, "unfortunately it is not to be found in a well-constituted orchestra."	A few jazz musicians, Hamiet Bluiett, Vinny Golia, J. D. Parran, Petr Kroutil, Joe Lovano and Gianluigi Trovesi among them, have played the alto clarinet.	/m/027mbzh	Petr_Kroutil	65	77	/music/composer,/people/person
Many songs became personally identified with him, including "The Floral Dance" (Katie Moss), "The Kerry Dance" (Molloy), "The Bandolero" (Stuart), "The Cobbler's Song" (from Chu Chin Chow), "In a Monastery Garden" and "In a Persian Market" (Albert Ketèlbey), "The Lute Player" (Allitsen), "The Old Brigade", and "On the Road to Mandalay" (Speaks and Hedgcock versions). His performance of the "Four Indian Love Lyrics" (Amy Woodforde-Finden) and his "Roses of Picardy" (Haydn Wood) were famous. He composed a number of songs himself, under the name J.P. McCall, most famously his setting of Rudyard Kipling's "Boots", which won the author's approval and was one of Dawson's greatest successes.	His performance of the "Four Indian Love Lyrics" (Amy Woodforde-Finden) and his "Roses of Picardy" (Haydn Wood) were famous.	/m/02lrqb	Amy_Woodforde-Finden	50	70	/music/composer,/people/deceased_person,/people/person
In 1901, she published Garden of Kama, which was published a year later in America under the title India's Love Lyrics. She attempted to pass these off as translations of various poets, but this claim soon fell under suspicion. Somerset Maugham published a story called The Colonel's Lady loosely based on the ensuing scandal. Her poems often used imagery and symbols from the poets of the North-West Frontier of India and the Sufi poets of Persia. She was among the most popular romantic poets of the Victorian and Edwardian eras. Her poems are typically about unrequited love and loss and often, the death that followed such an unhappy state of affairs. Many of them have an air of autobiography or confession. Her poetry was extremely popular during the Edwardian period, being hailed by such men as Thomas Hardy, and having two films as well as some musical adaptions of her poetry made, but since then her reputation has faded into near-obscurity. British composer Amy Woodforde-Finden set four of her lyrics from The Garden of Kama to music, the most popular of which was Kashmiri Song; and after these proved a critical success, set four more lyrics from Stars of the Desert (published in 1903) to music as well.	British composer Amy Woodforde-Finden set four of her lyrics from The Garden of Kama to music, the most popular of which was Kashmiri Song; and after these proved a critical success, set four more lyrics from Stars of the Desert (published in 1903) to music as well.	/m/02lrqb	Amy_Woodforde-Finden	17	37	/music/composer,/people/deceased_person,/people/person
"Kashmiri Song" is a song by Amy Woodforde-Finden based on a poem by Laurence Hope, pseudonym of Adela Florence Nicolson.	"Kashmiri Song" is a song by Amy Woodforde-Finden based on a poem by Laurence Hope, pseudonym of Adela Florence Nicolson.	/m/02lrqb	Amy_Woodforde-Finden	29	49	/music/composer,/people/deceased_person,/people/person
The pageants included "The Days of Queen Elizabeth", "The English Fleet in the Mediterranean - Blake and the Barbary Pirates", "George III and the Departure of Captain Cook" and "A Pageant of Heroes". There were pageants for the countries of the Empire: South Africa, India, New Zealand and Australia, and the first musical item in each was a poem by Alfred Noyes set to music by Edward Elgar. Other composers represented (they were all British) included Eric Coates (Merrymakers overture), Edward German (a song from Merrie England), Percy Fletcher (Sylvan Scenes), Henry Smart, Samuel Coleridge Taylor (Bamboula), Hubert Parry (War and Peace), Alexander Mackenzie (Britannia overture), Hamish McCunn, Liza Lehmann, Amy Woodforde-Finden (Indian Love Lyrics), Herman Finck, Granville Bantock, Leslie Stuart, Arthur Sullivan (Imperial March) and Edwin Lemare (Solemn March for organ). The concluding pageants were "A Pageant of Heroes" and "An Empire's Thanksgiving". For "A Pageant of Heroes" there were settings of Alfred Noyes' poem "The Immortal Legions", and Laurence Binyon's "With Proud Thanksgiving" both set to music by Elgar. For "The Empire's Thanksgiving", an "Anthem of the Sister Nations" by Laurence Binyon was set to music by Nicholas Gatty, and there was a recitation of "Recessional" by Rudyard Kipling set to music by Herbert Bunning.	Other composers represented (they were all British) included Eric Coates (Merrymakers overture), Edward German (a song from Merrie England), Percy Fletcher (Sylvan Scenes), Henry Smart, Samuel Coleridge Taylor (Bamboula), Hubert Parry (War and Peace), Alexander Mackenzie (Britannia overture), Hamish McCunn, Liza Lehmann, Amy Woodforde-Finden (Indian Love Lyrics), Herman Finck, Granville Bantock, Leslie Stuart, Arthur Sullivan (Imperial March) and Edwin Lemare (Solemn March for organ).	/m/02lrqb	Amy_Woodforde-Finden	323	343	/music/composer,/people/deceased_person,/people/person
Hanson's students include David Borden, John Davison, Emma Lou Diemer, Kenneth Gaburo, Donald O. Johnston, Samuel Jones, Jeb Ohkubo, Homer Keller, Martin Mailman, John La Montaine, Walter Mourant, Ron Nelson, Bill Pursell, H. Owen Reed, John D. Ricca, Gloria Wilson Swisher, Robert Washburn, and John White.	Hanson's students include David Borden, John Davison, Emma Lou Diemer, Kenneth Gaburo, Donald O. Johnston, Samuel Jones, Jeb Ohkubo, Homer Keller, Martin Mailman, John La Montaine, Walter Mourant, Ron Nelson, Bill Pursell, H. Owen Reed, John D. Ricca, Gloria Wilson Swisher, Robert Washburn, and John White.	/m/027jzjs	Gloria_Wilson_Swisher	252	273	/music/composer,/people/person
Prior to his University studies, Verrall studied composition with Donald Ferguson, followed by studies with R. O. Morris in London and Zoltán Kodály in Budapest. He obtained a B.M. degree from the Minneapolis School of Music in 1929, and a B.A. from the University of Minnesota in 1934. In the early 1930s he spent several summers at the Berkshire Music Center at Tanglewood, where he studied composition with Aaron Copland, Roy Harris, and Frederick Jacobi. He taught at Hamline University from 1934–1942 and Mount Holyoke College from 1942–1946, during which time he briefly served in the U.S. Army during World War II. While teaching at Mount Holyoke College, Verall also worked as a music editor for G. Schirmer. In 1946 he was awarded a Guggenheim Fellowship. In 1948 he joined the music faculty at the University of Washington, where he taught composition and music theory until he retired as professor emeritus in 1973. Several of Verrall's students have gone on to have successful careers, including William Bolcom, Alan Stout, and Gloria Wilson Swisher.	Several of Verrall's students have gone on to have successful careers, including William Bolcom, Alan Stout, and Gloria Wilson Swisher.	/m/027jzjs	Gloria_Wilson_Swisher	113	134	/music/composer,/people/person
From 1972 to 1981 de Vries started to teach theory at the former conservatory of Twente, and he was appointed as a lecturer in theory, instrumentation, and composition at the conservatory of Rotterdam in 1979. Among his many students at this school, today also known as the Rotterdam School, are Thorkell Atlason, Antonio Pinho Vargas, António Chagas Rosa, Oscar van Dillen, Andreas Kunstein, Sergio Luque, César de Oliveira, Juan Felipe Waller, Philemon Mukarno, Dimitris Andrikopoulos, Astrid Kruisselbrink, Florian Magnus Maier, Felipe Perez Santiago, Joey Roukens, Edward Top, Jian-Hua Zhuang, Evrim Demirel and Rob Zuidam. De Vries gave master classes in Brussels, Paris, Manchester, Porto, Moscow and San Francisco.	Among his many students at this school, today also known as the Rotterdam School, are Thorkell Atlason, Antonio Pinho Vargas, António Chagas Rosa, Oscar van Dillen, Andreas Kunstein, Sergio Luque, César de Oliveira, Juan Felipe Waller, Philemon Mukarno, Dimitris Andrikopoulos, Astrid Kruisselbrink, Florian Magnus Maier, Felipe Perez Santiago, Joey Roukens, Edward Top, Jian-Hua Zhuang, Evrim Demirel and Rob Zuidam.	/m/02w91sh	Sergio_Luque	183	195	/music/composer,/people/person
With the electroacoustic community's renewed interest in multichannel formats, and in particular octaphonic set-ups, came the need for BEAST to address how such pieces should be diffused. The diffusion of multichannel formats was too complex a task for the standard BEAST console, even the 3D, and BEAST turned to software solutions to solve these problems: first MAX/MSP and most recently, a system created in SuperCollider by Scott Wilson and Sergio Luque. Now, rather than using an analogue desk, a digital multichannel sound interface is used, and controlled via specially written applications using MIDI faders. This offers the maximum flexibility, with one fader, for example, being able to control only one loudspeaker, a stereo pair or an octaphonic circle depending on how the system has been configured. Using this system, multiple octaphonic groups, placed in different positions around the audience, can be used to diffuse octaphonic source material in a manner similar to that used for stereo. In this case, each fader controls one octaphonic group.	The diffusion of multichannel formats was too complex a task for the standard BEAST console, even the 3D, and BEAST turned to software solutions to solve these problems: first MAX/MSP and most recently, a system created in SuperCollider by Scott Wilson and Sergio Luque.	/m/02w91sh	Sergio_Luque	257	269	/music/composer,/people/person
The film's score is composed by Gordon McGhie. This film features the popular song What a Wonderful World from Louis Armstrong.	The film's score is composed by Gordon McGhie.	/m/027d66y	Gordon_McGhie	32	45	/film/music_contributor,/music/composer,/people/person
Holiday's mother Sadie Fagan, nicknamed "The Duchess," started her own restaurant called Mom Holiday's. Fagan used the money her daughter earned while shooting dice with members of the Count Basie band, with whom she was on tour in the late 1930s. "It kept mom busy and happy and stopped her from worrying and watching over me," Holiday said. Soon, Fagan began borrowing large amounts of money from Holiday because the restaurant wasn't turning a profit. Holiday obliged, but soon fell upon hard times herself. "I needed some money one night and I knew Mom was sure to have some," Holiday said. "So I walked in the restaurant like a stockholder and asked. Mom turned me down flat. She wouldn't give me a cent." The two argued and then, Holiday, in a rage, hollered "God bless the child that's got his own," and stormed out of the restaurant. With help from Arthur Herzog, Jr., a pianist, the two wrote a song based on the line "God Bless the Child" and added music.	With help from Arthur Herzog, Jr., a pianist, the two wrote a song based on the line "God Bless the Child" and added music.	/m/027b9tt	Arthur_Herzog,_Jr.	15	33	/music/composer,/people/deceased_person,/people/person
