paragraph	sentence	mid	title	start	end	notable_types
Mary Therese Hansen (11 January 1966 –  9 December 2002) was an Australian-born guitarist and singer. She was a member of United Kingdom-based alternative music group Stereolab from 1992. As a member of that band Hansen recorded six studio albums from Transient Random-Noise Bursts with Announcements (August 1993) to Sound-Dust (August 2001). As a side-project, in late 1999 she formed the space rock group, Schema, with members of Seattle-based band, Hovercraft, and they issued their debut album, Schema on 19 September 2000. On 9 December 2002 Hansen was killed in a cycling accident when she was hit by a truck in London. She was 36 years old.	As a side-project, in late 1999 she formed the space rock group, Schema, with members of Seattle-based band, Hovercraft, and they issued their debut album, Schema on 19 September 2000.	/m/0286396	Hovercraft_(band)	109	119	/music/artist,/music/musical_group
Outside of her work with Stereolab, Hansen sang on records by Brokeback, The High Llamas, Moonshake and Mouse on Mars. She was a record producer for the London group Chicano. In late 1999 Hansen combined with Seattle-formed space rock group, Hovercraft to form Schema. They performed both vocal and instrumental tracks, with Hansen also adding some synthesiser. An eponymous maxi-EP/mini-album was released on 19 September 2000 on avant-garde Kill Rock Stars imprint, 5 Rue Christine. Allmusic's François Couture described their style as "space rock, psychedelic rock, ambient pop, and artsy avant-rock" with the feature track being "Echolalia... Curvilinear" with its "ethereal female vocals, lots of guitar noise, and a driving rhythm section".	In late 1999 Hansen combined with Seattle-formed space rock group, Hovercraft to form Schema.	/m/0286396	Hovercraft_(band)	67	77	/music/artist,/music/musical_group
Collapse is Across Five Aprils' second full-length album to be released on Indianola Records.	Collapse is Across Five Aprils' second full-length album to be released on Indianola Records.	/m/02r6v0y	Across_Five_Aprils_(band)	12	30	/internet/social_network_user,/music/artist,/music/musical_group
All tracks by Across Five Aprils	All tracks by Across Five Aprils	/m/02r6v0y	Across_Five_Aprils_(band)	14	32	/internet/social_network_user,/music/artist,/music/musical_group
The Television Personalities' first album ...And Don't The Kids Just Love It was released in 1981. It set the template for their subsequent career: neo-psychedelia, an obsession with youth culture of the 1960s, a fey, slightly camp lyrical attitude, and the occasional classic pop song. Their second album Mummy Your Not Watching Me  demonstrated increased psychedelic influences. Their third album, entitled They Could Have Been Bigger Than The Beatles showed Treacy's sense of humour: the TVPs were never to have any major commercial success in the UK – although their albums sold respectably in Germany, Sweden and the Netherlands. The first three albums featured Treacy and schoolmate Ed Ball; Ball left the band to found The Times, but rejoined in 2004.	The first three albums featured Treacy and schoolmate Ed Ball; Ball left the band to found The Times, but rejoined in 2004.	/m/02r7wqr	The_Times_(band)	91	100	/music/artist,/music/musical_group
Iodine Recordings was an independent record label based in Boston, Massachusetts, United States. Iodine Recordings released punk, hardcore, and indie rock music. It was once home to bands such as Brand New, Orange Island, Smoke or Fire (Jericho RVA), There Were Wires, Gregor Samsa, and more.	It was once home to bands such as Brand New, Orange Island, Smoke or Fire (Jericho RVA), There Were Wires, Gregor Samsa, and more.	/m/0284kl5	Orange_Island	45	58	/internet/social_network_user,/music/artist,/music/musical_group
Some Iodine bands moved on and had some great success. Brand New signed to Triple Crown Records/Interscope Records, Orange Island released two records on Triple Crown Records and Rise Records, Smoke or Fire signed to Fat Wreck Chords, Gregor Samsa has signed to Kora Records and has a new CD as well as a split LP with Red Sparowes on Robotic Empire, and There Were Wires went on to form new bands like Disappearer and Doomriders (Deathwish Inc.).	Brand New signed to Triple Crown Records/Interscope Records, Orange Island released two records on Triple Crown Records and Rise Records, Smoke or Fire signed to Fat Wreck Chords, Gregor Samsa has signed to Kora Records and has a new CD as well as a split LP with Red Sparowes on Robotic Empire, and There Were Wires went on to form new bands like Disappearer and Doomriders (Deathwish Inc.).	/m/0284kl5	Orange_Island	61	74	/internet/social_network_user,/music/artist,/music/musical_group
They promptly set back out into the studio in 2001 with Sean McGrath of Saves the Day as producer and released the 2001 Winter Demo tapes. The Kill Verona EP was released later that summer on Livewire Records. They toured supporting the Kill Verona EP with such bands as Orange Island, Thrice, and Good Charlotte	They toured supporting the Kill Verona EP with such bands as Orange Island, Thrice, and Good Charlotte	/m/0284kl5	Orange_Island	61	74	/internet/social_network_user,/music/artist,/music/musical_group
In 2005 the band released Trauma on Livewire Records. With George Foster and Dan Hargensheimer deciding to pursue different avenues, Kill Verona enlisted a few guitarists to fill in including Steve V from Shai Hulud, Joe Dufresne from Orange Island and The Chase Scene, and John Ledoux from the band Garrison. They played a year of shows in support of the EP and decided to break up.	With George Foster and Dan Hargensheimer deciding to pursue different avenues, Kill Verona enlisted a few guitarists to fill in including Steve V from Shai Hulud, Joe Dufresne from Orange Island and The Chase Scene, and John Ledoux from the band Garrison.	/m/0284kl5	Orange_Island	181	194	/internet/social_network_user,/music/artist,/music/musical_group
Cadenzas for the work have been written by several notable violinists, including Joachim. The cadenzas by Fritz Kreisler are probably most often employed. More recently, composer Alfred Schnittke provided controversial cadenzas with a characteristically 20th-century flavor; violinist Gidon Kremer has recorded the concerto with the Schnittke cadenzas. New Klezmer-inspired cadenzas written by Airat Ichmatourov for Alexandre Da Costa in 2011 have been recorded by the Taipei Symphony Orchestra for Warner Classics and will be released in 2013.	New Klezmer-inspired cadenzas written by Airat Ichmatourov for Alexandre Da Costa in 2011 have been recorded by the Taipei Symphony Orchestra for Warner Classics and will be released in 2013.	/m/02688g1	Taipei_Symphony_Orchestra	116	141	/music/artist,/music/musical_group,/music/orchestra
Martin Fischer-Dieskau (born 1954) is a German conductor, currently Music Director-Designate of the Taipei Symphony Orchestra.	Martin Fischer-Dieskau (born 1954) is a German conductor, currently Music Director-Designate of the Taipei Symphony Orchestra.	/m/02688g1	Taipei_Symphony_Orchestra	100	125	/music/artist,/music/musical_group,/music/orchestra
She performed at Sofia National Opera as "Donna Elvira" in Don Giovanni, "Lady Macbeth" in Macbeth, "Elvira" in Ernani, "Minnie" in La fanciulla del West, and in Tosca, Turandot and Norma, and gave guest performances of "Aida" at the Polish National Opera, Avenches Opera Festival, the Classic Openair Solothurn, Switzerland, Cairo Opera House, and the Taipei Arena, Taiwan in a Teatro dell'Opera di Roma and Taipei Symphony Orchestra co-production.	She performed at Sofia National Opera as "Donna Elvira" in Don Giovanni, "Lady Macbeth" in Macbeth, "Elvira" in Ernani, "Minnie" in La fanciulla del West, and in Tosca, Turandot and Norma, and gave guest performances of "Aida" at the Polish National Opera, Avenches Opera Festival, the Classic Openair Solothurn, Switzerland, Cairo Opera House, and the Taipei Arena, Taiwan in a Teatro dell'Opera di Roma and Taipei Symphony Orchestra co-production.	/m/02688g1	Taipei_Symphony_Orchestra	409	434	/music/artist,/music/musical_group,/music/orchestra
In Taipei, Wen worked as an assistant conductor with the tenor, Nicola Martinucci, and the Taipei Symphony Orchestra in a 1995 production of Aida. During his student years in Vienna from 1998 to 2003, he performed in productions of Die Entführung aus dem Serail, Così fan tutte, Die Zauberflöte, Don Giovanni, Der Freischütz, Fidelio, Die Fledermaus, Madame Butterfly, Turandot, Tannhäuser, Lohengrin, et al.	In Taipei, Wen worked as an assistant conductor with the tenor, Nicola Martinucci, and the Taipei Symphony Orchestra in a 1995 production of Aida.	/m/02688g1	Taipei_Symphony_Orchestra	91	116	/music/artist,/music/musical_group,/music/orchestra
In 2005, he was invited to be the Music Director of Taipei Symphony Orchestra.	In 2005, he was invited to be the Music Director of Taipei Symphony Orchestra.	/m/02688g1	Taipei_Symphony_Orchestra	52	77	/music/artist,/music/musical_group,/music/orchestra
Ensembles appearing at the Hall include the Juilliard String Quartet, the Royal Concertgebouw Orchestra of Amsterdam, the Vienna Philharmonic Orchestra, the Berlin Philharmonic Orchestra, the Munich Philharmonic Orchestra, the Bavarian Radio Symphony Orchestra, the San Francisco Symphony Orchestra, the Shanghai Symphony Orchestra and the Vienna Boys Choir. Concerts by visiting orchestras are often broadcast to overflow crowds numbering in the thousands who fill the Square. Taiwanese ensembles that regularly appear in the hall include the National Symphony Orchestra, the Evergreen Symphony Orchestra, the Taipei Symphony Orchestra, the National Taiwan Symphony Orchestra, the Taiwan National Choir, the Formosa Singers, and the Taipei Philharmonic Orchestra and Chorus.	Taiwanese ensembles that regularly appear in the hall include the National Symphony Orchestra, the Evergreen Symphony Orchestra, the Taipei Symphony Orchestra, the National Taiwan Symphony Orchestra, the Taiwan National Choir, the Formosa Singers, and the Taipei Philharmonic Orchestra and Chorus.	/m/02688g1	Taipei_Symphony_Orchestra	133	158	/music/artist,/music/musical_group,/music/orchestra
