paragraph	sentence	mid	title	start	end	notable_types
The band was formed in mid-2002 by guitarist Aaron Bilbija, bass player Meredith Webster and drummer Matt Lamb. All three had previously been together in a thrash metal band called Psi.Kore that had been founded by Lamb's brother Chuck, guitarist Adam Boyle and bassist Lex Dourian in 1996; Lamb had joined in 1997 and Webster took Dourian's place in late 1998. The band recorded an EP with Chatterbox Records in 2000 and toured Australia widely before Bilbija was recruited in early 2002. Relations within the group pushed Chuck Lamb out and the remaining members decided to continue in a slightly different musical direction. In 1995, Bilbija had formed a death metal band called Deadspawn and with the eventual line-up of himself plus Dave Micallef (vocals, guitar), Bob Latsombath (bass) and Wayne Morris (drums), that group had released an album on Warhead Records in 1999 before eventually splitting up when Micallef left in mid-2001. Bilbija now recruited Micallef into his latest band, and Daysend was formed with guitarist Michael Kordek (from a death metal act called Automation and then, briefly, Infernal Method with Bilbija) also coming into the group. The line-up was only together briefly before Matt Lamb left, his place taken by Morris. Lamb has since played in a variety of Sydney rock and metal bands.	In 1995, Bilbija had formed a death metal band called Deadspawn and with the eventual line-up of himself plus Dave Micallef (vocals, guitar), Bob Latsombath (bass) and Wayne Morris (drums), that group had released an album on Warhead Records in 1999 before eventually splitting up when Micallef left in mid-2001.	/m/02rqqmw	Warhead_Records	226	241	/business/business_operation,/business/employer,/music/record_label,/organization/organization
Several record labels including Century Media courted the band but Dungeon signed eventually to Sydney's Warhead Records in July 1999. Warhead specialised in releasing Australian heavy metal bands and Moore had been friends with the owner Brad Sims for many years. This possibly swayed the group's decision at the time. Justin Sayers decided to leave Dungeon at this point on friendly terms and played a small number of live shows with them until he was replaced by Brendan "Dakk" McDonald. McDonald had previously played guitar in a band called Dr Zeus, the same band that had supplied Dungeon with early drummer Andrew Brody. Resurrection was released in September 1999. While it sold well among the band's growing fanbase, Warhead Records folded early the next year and the album was never re-pressed. Despite this, it won them considerable notice and Dungeon supported Yngwie Malmsteen and Nevermore late in the year before making their first appearance at the Metal for the Brain festival. They would go on to play at the event every year until 2005.	Several record labels including Century Media courted the band but Dungeon signed eventually to Sydney's Warhead Records in July 1999.	/m/02rqqmw	Warhead_Records	105	120	/business/business_operation,/business/employer,/music/record_label,/organization/organization
Several record labels including Century Media courted the band but Dungeon signed eventually to Sydney's Warhead Records in July 1999. Warhead specialised in releasing Australian heavy metal bands and Moore had been friends with the owner Brad Sims for many years. This possibly swayed the group's decision at the time. Justin Sayers decided to leave Dungeon at this point on friendly terms and played a small number of live shows with them until he was replaced by Brendan "Dakk" McDonald. McDonald had previously played guitar in a band called Dr Zeus, the same band that had supplied Dungeon with early drummer Andrew Brody. Resurrection was released in September 1999. While it sold well among the band's growing fanbase, Warhead Records folded early the next year and the album was never re-pressed. Despite this, it won them considerable notice and Dungeon supported Yngwie Malmsteen and Nevermore late in the year before making their first appearance at the Metal for the Brain festival. They would go on to play at the event every year until 2005.	While it sold well among the band's growing fanbase, Warhead Records folded early the next year and the album was never re-pressed.	/m/02rqqmw	Warhead_Records	53	68	/business/business_operation,/business/employer,/music/record_label,/organization/organization
In 1993 Gruer began to work as a sound engineer for the Sydney doom/death metal band Cruciform and in late 1993 joined the group when their bass player left. Gruer played keyboards and took over the lead vocal role. The band recorded a two track demo, one track of which was later included on the Warhead Records compilation Warhead Records Vol. 1 in 1995. A full-length album was started which generated some interest from Earache Records but the band split up before it was completed. In the meantime, Cruciform's guitarist Tony Mulhearn had introduced Gruer to artist and musician Judy Chiara and the pair began to develop musical ideas for Avrigus. With the dissolution of Cruciform, Gruer and Chiara now had more time to devote to Avrigus and recorded two tracks, "As Ivy Groweth Green" and "The Final Wish" that appearead as a demo in 1997. The following year, Warhead released the band's EP "The Final Wish". Chiara also made a guest appearance on an album called Dreamscapes by the Sydney doom band Elysium.	The band recorded a two track demo, one track of which was later included on the Warhead Records compilation Warhead Records Vol.	/m/02rqqmw	Warhead_Records	81	96	/business/business_operation,/business/employer,/music/record_label,/organization/organization
Lucy reformed Armoured Angel in 1998 with guitarist/vocalist Yuri Ward of fellow Canberra act Psychrist and drummer Steven Luff. In early 1999, the full-length album Angel of the Sixth Order was released on Sydney's Warhead Records. The long-delayed full-length album showed Armoured Angel returning to their earlier thrash roots while still heavily in the death metal vain, but suffered from poor production. More touring followed, but the original success of Armoured Angel could not be repeated, and the band split again in 1999 after Luff decided to leave the band. Warhead Records had folded up just as the album had been released, which also led to the band's demise. Ward continued to be a member of Psychrist until the band folded in 2003 and is now a member of Kill For Satan. Luck was a member of Reign Of Terror for a short period and now owns a Canberra metal merchandise store.	In early 1999, the full-length album Angel of the Sixth Order was released on Sydney's Warhead Records.	/m/02rqqmw	Warhead_Records	87	102	/business/business_operation,/business/employer,/music/record_label,/organization/organization
Lucy reformed Armoured Angel in 1998 with guitarist/vocalist Yuri Ward of fellow Canberra act Psychrist and drummer Steven Luff. In early 1999, the full-length album Angel of the Sixth Order was released on Sydney's Warhead Records. The long-delayed full-length album showed Armoured Angel returning to their earlier thrash roots while still heavily in the death metal vain, but suffered from poor production. More touring followed, but the original success of Armoured Angel could not be repeated, and the band split again in 1999 after Luff decided to leave the band. Warhead Records had folded up just as the album had been released, which also led to the band's demise. Ward continued to be a member of Psychrist until the band folded in 2003 and is now a member of Kill For Satan. Luck was a member of Reign Of Terror for a short period and now owns a Canberra metal merchandise store.	Warhead Records had folded up just as the album had been released, which also led to the band's demise.	/m/02rqqmw	Warhead_Records	0	15	/business/business_operation,/business/employer,/music/record_label,/organization/organization
Originally a five piece band formed by guitarist Jamie "Astennu" Stinson and vocalist Jamie "The Lord of Night Summoning" Marsh, they soon dropped the original drummer in favour of a drum machine and recorded the initial demo, Path To My Funeral Light in 1995. Later the same year, with the membership now down to a four ; Astennu, Marsh, bassist Incubus and keyboards by Sir Morrison, Lord Kaos recorded the album Thorns of Impurity with Astennu tracking guitars. The album was recorded for release on Sydney label Warhead Records but also found interest from Norway's Head Not Found. This caused a split in the group when Astennu relocated to Norway to pursue release for Lord Kaos there, only for the remaining band members to resist the move. The release of Thorns of Impurity was delayed due to this course of action and it was not issued (by Warhead) until late 1996. By then, Astennu had virtually completed his first Carpe Tenebrum album Majestic Nothingness with vocal contributions from Nagash of Dimmu Borgir, the guitarist for the band he would then join in 1997.	The album was recorded for release on Sydney label Warhead Records but also found interest from Norway's Head Not Found.	/m/02rqqmw	Warhead_Records	51	66	/business/business_operation,/business/employer,/music/record_label,/organization/organization
Resurrection is the second album from Australian heavy metal band Dungeon. Recording was fraught with difficulties including a brief period when first Sayers then Grose both left then rejoined the group and the low budget available resulted in poor sound quality; nonetheless Dungeon was courted by Century Media before deciding to have the album released by Warhead Records. It was released in October, 1999 as the final release from that label. The album was later completely re-recorded and released worldwide in 2005. The 2005 version featured Lord Tim (vocals, guitar, keyboards, bass), Steve Moore (drums, vocals) and Stu Marshall (guitar, vocals).	Recording was fraught with difficulties including a brief period when first Sayers then Grose both left then rejoined the group and the low budget available resulted in poor sound quality; nonetheless Dungeon was courted by Century Media before deciding to have the album released by Warhead Records.	/m/02rqqmw	Warhead_Records	284	299	/business/business_operation,/business/employer,/music/record_label,/organization/organization
By the middle of the decade, the Australian heavy metal music scene was a well-established underground culture. Small metal labels like Modern Invasion in Melbourne and Warhead Records in Sydney were strong supporters of local acts and both cities had particularly flourishing live metal circuits with established venues for bands to play. The smaller centres also harboured well-developed metal scenes, although Brisbane and particularly Perth were cut off from the growing south-east coast touring circuit by immense distances, for this reason Perth band Epitaph made the relocation to Sydney after being signed to Warhead Records. Nevertheless, Australian metal bands were receiving more media coverage than ever before. As more local releases appeared, more were being added to the playlists of community radio and to 3 Hours of Power, and a second magazine with a metal focus had started to circulate. Hot Metal had become simply HM in the early 90s in order to widen its coverage to include other alternative music styles in the wake of grunge and many metal fans had expressed a belief that the magazine no longer catered to their tastes. An offshoot of Sydney street paper On the Street, Rebel Razor was launched at the Alternative Nation Festival in 1995. Produced on news print at a cheaper cost than HM, Rebel Razor did not cover metal exclusively either but it had a more prominent local focus.	Small metal labels like Modern Invasion in Melbourne and Warhead Records in Sydney were strong supporters of local acts and both cities had particularly flourishing live metal circuits with established venues for bands to play.	/m/02rqqmw	Warhead_Records	57	72	/business/business_operation,/business/employer,/music/record_label,/organization/organization
By the middle of the decade, the Australian heavy metal music scene was a well-established underground culture. Small metal labels like Modern Invasion in Melbourne and Warhead Records in Sydney were strong supporters of local acts and both cities had particularly flourishing live metal circuits with established venues for bands to play. The smaller centres also harboured well-developed metal scenes, although Brisbane and particularly Perth were cut off from the growing south-east coast touring circuit by immense distances, for this reason Perth band Epitaph made the relocation to Sydney after being signed to Warhead Records. Nevertheless, Australian metal bands were receiving more media coverage than ever before. As more local releases appeared, more were being added to the playlists of community radio and to 3 Hours of Power, and a second magazine with a metal focus had started to circulate. Hot Metal had become simply HM in the early 90s in order to widen its coverage to include other alternative music styles in the wake of grunge and many metal fans had expressed a belief that the magazine no longer catered to their tastes. An offshoot of Sydney street paper On the Street, Rebel Razor was launched at the Alternative Nation Festival in 1995. Produced on news print at a cheaper cost than HM, Rebel Razor did not cover metal exclusively either but it had a more prominent local focus.	The smaller centres also harboured well-developed metal scenes, although Brisbane and particularly Perth were cut off from the growing south-east coast touring circuit by immense distances, for this reason Perth band Epitaph made the relocation to Sydney after being signed to Warhead Records.	/m/02rqqmw	Warhead_Records	277	292	/business/business_operation,/business/employer,/music/record_label,/organization/organization
