paragraph	sentence	mid	title	start	end	notable_types
He was appointed High Sheriff of Oxfordshire in 1988 and Lord Lieutenant of Oxfordshire in 1996. He has been an enthusiastic supporter of the installation of blue plaques through his chairmanship of the Oxfordshire Blue Plaques Board, established in 1999 and administered by the Oxford Civic Society.	He has been an enthusiastic supporter of the installation of blue plaques through his chairmanship of the Oxfordshire Blue Plaques Board, established in 1999 and administered by the Oxford Civic Society.	/m/02860j5	Oxford_Civic_Society	182	202	/organization/organization
The Oxfordshire Blue Plaques Board, established in 1999, is administered by the Oxford Civic Society. It oversees the installation of blue plaques on historic buildings in the county of Oxfordshire, England to commemorate famous residents and events. The Board is currently chaired by Robert Evans, FBA, Regius Professor of History Emeritus.	The Oxfordshire Blue Plaques Board, established in 1999, is administered by the Oxford Civic Society.	/m/02860j5	Oxford_Civic_Society	80	100	/organization/organization
He is a member of the Art Workers' Guild, Oxford & Cambridge Club, fellow of The Society of Antiquaries of London, The Royal Incorporation of Architects in Scotland, liveryman of the Worshipful Company of Chartered Architects of the City of London, president of the Friends of Southampton Old Cemetery, joint patron of The Mausolea & Monuments Trust and former chairman of the Oxford Civic Society.	He is a member of the Art Workers' Guild, Oxford & Cambridge Club, fellow of The Society of Antiquaries of London, The Royal Incorporation of Architects in Scotland, liveryman of the Worshipful Company of Chartered Architects of the City of London, president of the Friends of Southampton Old Cemetery, joint patron of The Mausolea & Monuments Trust and former chairman of the Oxford Civic Society.	/m/02860j5	Oxford_Civic_Society	377	397	/organization/organization
Barrington-Ward continued to live in Oxford after editing the Oxford Mail. In 2004–10 he was President of Oxford Civic Society.	In 2004–10 he was President of Oxford Civic Society.	/m/02860j5	Oxford_Civic_Society	31	51	/organization/organization
He taught at the State University of New York at Buffalo from 1964 to 1965 as Slee Professor of music theory and at the Berlin Film and Television Academy as a visiting lecturer. He served as director of courses for new music in Gothenburg and Cologne (Attinello 2001). He was professor for new music theatre at the Cologne Conservatory from 1974 to 1997.	He taught at the State University of New York at Buffalo from 1964 to 1965 as Slee Professor of music theory and at the Berlin Film and Television Academy as a visiting lecturer.	/m/02854v9	Deutsche_Film-_und_Fernsehakademie_Berlin	120	154	/business/employer,/education/educational_institution,/organization/organization
At age eighteen in 1963, Fassbinder returned to Munich. He wanted to go to night school with the idea to eventually study theatrical science. Following his mother's advice, he took acting lessons and, from 1964–1966, attended the Fridl-Leonhard Studio for actors in Munich. There, he met Hanna Schygulla, who would become one of his most important actors. During this time, he made his first 8mm films and took on small jobs as actor, assistant director, and sound man. At this time he also wrote the tragic comic play: Drops on Hot Stones. To gain entry to the Berlin Film School, Fassbinder submitted a film version of his play Parallels. He also entered several 8 mm films including This Night (now lost), but he was turned down for admission, as were Werner Schroeter and Rosa von Praunheim, who would also have careers as film directors.	To gain entry to the Berlin Film School, Fassbinder submitted a film version of his play Parallels.	/m/02854v9	Deutsche_Film-_und_Fernsehakademie_Berlin	21	39	/business/employer,/education/educational_institution,/organization/organization
In the early 1970s, Karsunke befriended Rainer Werner Fassbinder, appearing in his films Love Is Colder Than Death, Gods of the Plague (both 1969), and Berlin Alexanderplatz (1980). From 1976 to 1979 he served as Fassbinder's technical adviser at the German Film and Television Academy Berlin. From 1981 to 1999 he taught creative writing at the Berlin University of the Arts.	From 1976 to 1979 he served as Fassbinder's technical adviser at the German Film and Television Academy Berlin.	/m/02854v9	Deutsche_Film-_und_Fernsehakademie_Berlin	69	110	/business/employer,/education/educational_institution,/organization/organization
He has made over 90 films, the vast majority of them short experimental documentaries. Farocki attended the Deutsche Film- und Fernsehakademie Berlin from 1966 to 1968, and taught at Berkeley from 1993 to 1999.	Farocki attended the Deutsche Film- und Fernsehakademie Berlin from 1966 to 1968, and taught at Berkeley from 1993 to 1999.	/m/02854v9	Deutsche_Film-_und_Fernsehakademie_Berlin	21	62	/business/employer,/education/educational_institution,/organization/organization
She participated as a film editor in a number of Yugoslav films and TV serials and also in international Co-productions. 1978 began her career as a university teacher first in Zagreb, then in London, Boston, Salzburg in the Netherlands and then since 1992 also in Germany at the Deutsche Film- und Fernsehakademie Berlin (DFFB, German Film and Television Academy Berlin), the "Konrad Wolf" University for film and television Potsdam-Babelsberg and the HTW Hochschule für Technik und Wirtschaft Berlin (German, University of Applied Sciences) in Berlin.	1978 began her career as a university teacher first in Zagreb, then in London, Boston, Salzburg in the Netherlands and then since 1992 also in Germany at the Deutsche Film- und Fernsehakademie Berlin (DFFB, German Film and Television Academy Berlin), the "Konrad Wolf" University for film and television Potsdam-Babelsberg and the HTW Hochschule für Technik und Wirtschaft Berlin (German, University of Applied Sciences) in Berlin.	/m/02854v9	Deutsche_Film-_und_Fernsehakademie_Berlin	158	199	/business/employer,/education/educational_institution,/organization/organization
The Gamblers was made as a no-budget production in the Deutsche Film- und Fernsehakademie Berlin (DFFB, German Film and Television Academy Berlin) during the seminar of the Hungarian director Béla Tarr.	The Gamblers was made as a no-budget production in the Deutsche Film- und Fernsehakademie Berlin (DFFB, German Film and Television Academy Berlin) during the seminar of the Hungarian director Béla Tarr.	/m/02854v9	Deutsche_Film-_und_Fernsehakademie_Berlin	55	96	/business/employer,/education/educational_institution,/organization/organization
In the German film school ranking of FOCUS (Issue 22/2006), the international filmschool cologne - together with the Academy of Media Arts Cologne and the dffb - were ranked as 2nd after the Film Academy Baden-Wuerttemberg. Evaluation criteria were the reputation of the university, the support for the students, the technical equipment and the number of awards won.	In the German film school ranking of FOCUS (Issue 22/2006), the international filmschool cologne - together with the Academy of Media Arts Cologne and the dffb - were ranked as 2nd after the Film Academy Baden-Wuerttemberg.	/m/02854v9	Deutsche_Film-_und_Fernsehakademie_Berlin	155	159	/business/employer,/education/educational_institution,/organization/organization
