paragraph	sentence	mid	title	start	end	notable_types
In November 2011, the White House released an official response to two petitions asking the U.S. government to acknowledge formally that aliens have visited Earth and to disclose any intentional withholding of government interactions with extraterrestrial beings. According to the response, "The U.S. government has no evidence that any life exists outside our planet, or that an extraterrestrial presence has contacted or engaged any member of the human race." Also, according to the response, there is "no credible information to suggest that any evidence is being hidden from the public's eye." The response further noted that efforts, like SETI, the Kepler space telescope and the NASA Mars rover, continue looking for signs of life. The response noted "odds are pretty high" that there may be life on other planets but "the odds of us making contact with any of them—especially any intelligent ones—are extremely small, given the distances involved."	" The response further noted that efforts, like SETI, the Kepler space telescope and the NASA Mars rover, continue looking for signs of life.	/m/03gzbb	Kepler_(spacecraft)	58	80	/astronomy/astronomical_survey_project_organization,/astronomy/telescope,/base/exoplanetology/telescope,/projects/project_focus,/spaceflight/satellite,/spaceflight/spacecraft,/symbols/namesake
On 7 January 2013, astronomers from the Kepler Mission space observatory announced the discovery of KOI-172.02, an Earth-like exoplanet candidate orbiting a star similar to our Sun in the habitable zone and possibly a "prime candidate to host alien life", although a more recent study characterized it as a super-Venus (analogous to Venus on a more massive scale) and thus highly unlikely to be habitable.	On 7 January 2013, astronomers from the Kepler Mission space observatory announced the discovery of KOI-172.02, an Earth-like exoplanet candidate orbiting a star similar to our Sun in the habitable zone and possibly a "prime candidate to host alien life", although a more recent study characterized it as a super-Venus (analogous to Venus on a more massive scale) and thus highly unlikely to be habitable.	/m/03gzbb	Kepler_(spacecraft)	40	54	/astronomy/astronomical_survey_project_organization,/astronomy/telescope,/base/exoplanetology/telescope,/projects/project_focus,/spaceflight/satellite,/spaceflight/spacecraft,/symbols/namesake
As of February 2012, NASA's Kepler mission had identified 2,321 planetary candidates associated with 1,790 host stars, based on the first sixteen months of data from the space-based telescope.	As of February 2012, NASA's Kepler mission had identified 2,321 planetary candidates associated with 1,790 host stars, based on the first sixteen months of data from the space-based telescope.	/m/03gzbb	Kepler_(spacecraft)	28	42	/astronomy/astronomical_survey_project_organization,/astronomy/telescope,/base/exoplanetology/telescope,/projects/project_focus,/spaceflight/satellite,/spaceflight/spacecraft,/symbols/namesake
Since 1992, hundreds of planets around other stars ("extrasolar planets" or "exoplanets") in the Milky Way have been discovered. As of 14 June 2013, 891 known extrasolar planets (in 695 planetary systems and 133 multiple planetary systems) are listed in the Extrasolar Planets Encyclopaedia, ranging in size from that of terrestrial planets similar to Earth to that of gas giants larger than Jupiter. On December 20, 2011, the Kepler Space Telescope team reported the discovery of the first Earth-sized extrasolar planets, Kepler-20e and Kepler-20f, orbiting a Sun-like star, Kepler-20. A 2012 study, analyzing gravitational microlensing data, estimates an average of at least 1.6 bound planets for every star in the Milky Way. Astronomers at the Harvard-Smithsonian Center for Astrophysics (CfA) reported in January 2013 that "at least 17 billion" Earth-sized (i.e. 0.8–1.25 Earth masses) exoplanets with orbital periods of 85 days or less are estimated to reside in the Milky Way Galaxy.	On December 20, 2011, the Kepler Space Telescope team reported the discovery of the first Earth-sized extrasolar planets, Kepler-20e and Kepler-20f, orbiting a Sun-like star, Kepler-20.	/m/03gzbb	Kepler_(spacecraft)	26	48	/astronomy/astronomical_survey_project_organization,/astronomy/telescope,/base/exoplanetology/telescope,/projects/project_focus,/spaceflight/satellite,/spaceflight/spacecraft,/symbols/namesake
Another new category are the so-called "super-Earths", possibly terrestrial planets larger than Earth but smaller than Neptune or Uranus. To date, about twenty possible super-Earths (depending on mass limits) have been found, including OGLE-2005-BLG-390Lb and MOA-2007-BLG-192Lb, frigid icy worlds discovered through gravitational microlensing, Kepler 10b, a planet with a diameter roughly 1.4 times that of Earth, (making it the smallest super-Earth yet measured) and five of the six planets orbiting the nearby red dwarf Gliese 581. Gliese 581 d is roughly 7.7 times Earth's mass, while Gliese 581 c is five times Earth's mass and was initially thought to be the first terrestrial planet found within a star's habitable zone. However, more detailed studies revealed that it was slightly too close to its star to be habitable, and that the farther planet in the system, Gliese 581 d, though it is much colder than Earth, could potentially be habitable if its atmosphere contained sufficient amounts of greenhouse gases. Another super-Earth, Kepler-22b, was later confirmed to be orbiting comfortably within the habitable zone of its star. On December 20, 2011, the Kepler Space Telescope team reported the discovery of the first Earth-size extrasolar planets, Kepler-20e and Kepler-20f, orbiting a Sun-like star, Kepler-20.	On December 20, 2011, the Kepler Space Telescope team reported the discovery of the first Earth-size extrasolar planets, Kepler-20e and Kepler-20f, orbiting a Sun-like star, Kepler-20.	/m/03gzbb	Kepler_(spacecraft)	26	48	/astronomy/astronomical_survey_project_organization,/astronomy/telescope,/base/exoplanetology/telescope,/projects/project_focus,/spaceflight/satellite,/spaceflight/spacecraft,/symbols/namesake
In November 2011, the White House released an official response to two petitions asking the U.S. government to acknowledge formally that aliens have visited this planet and to disclose any intentional withholding of government interactions with extraterrestrial beings. According to the response, "The U.S. government has no evidence that any life exists outside our planet, or that an extraterrestrial presence has contacted or engaged any member of the human race." Also, according to the response, there is "no credible information to suggest that any evidence is being hidden from the public's eye." The response further noted that efforts, like SETI, the Kepler space telescope and the NASA Mars rover, continue looking for signs of life. The response noted "odds are pretty high" that there may be life on other planets but "the odds of us making contact with any of them—especially any intelligent ones—are extremely small, given the distances involved."	" The response further noted that efforts, like SETI, the Kepler space telescope and the NASA Mars rover, continue looking for signs of life.	/m/03gzbb	Kepler_(spacecraft)	58	80	/astronomy/astronomical_survey_project_organization,/astronomy/telescope,/base/exoplanetology/telescope,/projects/project_focus,/spaceflight/satellite,/spaceflight/spacecraft,/symbols/namesake
On 2 February 2011, the Kepler Space Observatory Mission team released a list of 1235 extrasolar planet candidates, including 54 that may be in the "habitable zone." Some of these candidates were "Earth-size" and "super-Earth-size" (defined as "less than or equal to 2 Earth radii "  - Table 5). Six of these candidates (namely: KOI 326.01 , KOI 701.03 , KOI 268.01 , KOI 1026.01 , KOI 854.01 , KOI 70.03  - Table 6) are in the "habitable zone." A more recent study found that one of these candidates (KOI 326.01) is in fact much larger and hotter than first reported.	On 2 February 2011, the Kepler Space Observatory Mission team released a list of 1235 extrasolar planet candidates, including 54 that may be in the "habitable zone.	/m/03gzbb	Kepler_(spacecraft)	24	61	/astronomy/astronomical_survey_project_organization,/astronomy/telescope,/base/exoplanetology/telescope,/projects/project_focus,/spaceflight/satellite,/spaceflight/spacecraft,/symbols/namesake
Observations of binary pulsars provide strong indirect evidence for the existence of gravitational waves (see Orbital decay, above). However, gravitational waves reaching us from the depths of the cosmos have not been detected directly, which is a major goal of current relativity-related research. Several land-based gravitational wave detectors are currently in operation, most notably the interferometric detectors GEO 600, LIGO (three detectors), TAMA 300 and VIRGO. Various pulsar timing arrays are using millisecond pulsars to detect gravitational waves in the 10−9 to 10−6 Hertz frequency range, which originate from binary supermassive blackholes. European space-based detector, eLISA / NGO, is currently under development, with a precursor mission (LISA Pathfinder) due for launch in 2014.	European space-based detector, eLISA / NGO, is currently under development, with a precursor mission (LISA Pathfinder) due for launch in 2014.	/m/04y46m	LISA_Pathfinder	102	117	/projects/project_focus,/spaceflight/satellite,/spaceflight/spacecraft
LISA Pathfinder is an ESA spacecraft to be launched in 2014. It will not use ion thrusters as its primary propulsion system, but will use both colloid thrusters and FEEP for very precise attitude control -— the low thrusts of these propulsion devices make it possible to move the spacecraft incremental distances very accurately. It is a test for the possible LISA mission.	LISA Pathfinder is an ESA spacecraft to be launched in 2014.	/m/04y46m	LISA_Pathfinder	0	15	/projects/project_focus,/spaceflight/satellite,/spaceflight/spacecraft
In Welwyn Garden City are PayPoint, the former headquarters of First Quench Retailing until 2009 (formerly the Thresher Group), Hostelling International, the UK headquarters of Xerox, Cereal Partners, DBC Foodservice, and Hoffmann–La Roche. Shredded Wheat and Shreddies were manufactured in the town by Nestlé (Cereal Partners) until April 2008, which has its UK headquarters at the A1000/B195 junction. DuPont UK and a plant of GSK are in Stevenage. EADS Astrium UK, with Paradigm Secure Communications (a satellite operator) (who have made parts for the ExoMars mission, Gaia (spacecraft), ADM-Aeolus, and LISA Pathfinder) and MBDA UK (former de Havilland Propellers, then BAe Dynamics) are near the A1(M) bypass opposite each other on the A1072. Tesco and Crompton Lighting are based in Cheshunt. Computacenter, Denso UK, and EE are in Hatfield; Veolia Water Central Limited and the HQ of Ocado are next to each other on the A1001. Polaroid UK (near the railway bridge over the A1081), Burton's Biscuit Company (on the B691), and Premier Foods are in St Albans; also Murphy Oil Corp's USA, UK subsidiary, Murco Petroleum Ltd; The Cloud (wifi hotspots, owned by BSkyB), is next to the railway station. Viglen is on the A5183 (former A5) next to the M25 and railway at Ventura Park, the former site of Handley Page at Colney Street (St Stephen).	EADS Astrium UK, with Paradigm Secure Communications (a satellite operator) (who have made parts for the ExoMars mission, Gaia (spacecraft), ADM-Aeolus, and LISA Pathfinder) and MBDA UK (former de Havilland Propellers, then BAe Dynamics) are near the A1(M) bypass opposite each other on the A1072.	/m/04y46m	LISA_Pathfinder	157	172	/projects/project_focus,/spaceflight/satellite,/spaceflight/spacecraft
