paragraph	sentence	mid	title	start	end	notable_types
Jim Cashman was born in Blackrock in Cork City in 1965. The name Cashman had long been synonymous with Cork hurling as his father, Mick Cashman, played on the senior team in the 1950s and 1960s and was a stalwart for Munster in Railway Cup games. Cashman's uncle, Jimmy Brohan, was also a famed inter-county hurler. He played with Cork in the 1950s an 1960s and, in spite of never winning an All-Ireland medal, is regarded as one of the all-time greats of the game. Other relatives also had sporting success in various codes, including soccer and camogie. Jim's brother, Tom Cashman, also played with the Cork senior hurlers in the 1970s and 1980s.	The name Cashman had long been synonymous with Cork hurling as his father, Mick Cashman, played on the senior team in the 1950s and 1960s and was a stalwart for Munster in Railway Cup games.	/m/027yqzr	Mick_Cashman	75	87	/people/deceased_person,/people/person,/sports/pro_athlete
Tom Cashman was born in Blackrock just outside Cork City in 1957. The son of Mick Cashman and Anne Brohan, he was born into a family that was steeped in sporting excellence. His father was a legendary hurling goalkeeper with Blackrock and Cork during the 1950s and 1960s. Cashman's uncle, Jimmy Brohan, was also a famed club and inter-county hurler. He played as a corner-back with Cork in the 1950s and 1960s and, in spite of never winning an All-Ireland medal, is regarded as one of the all-time greats of the game. Two other uncles, Bobby and John Brohan, excelled at soccer with local clubs Evergreen United and Cork Hibernians respectively. An aunt, Maureen Cashman, played camogie with the Cork senior inter-county team.	The son of Mick Cashman and Anne Brohan, he was born into a family that was steeped in sporting excellence.	/m/027yqzr	Mick_Cashman	11	23	/people/deceased_person,/people/person,/sports/pro_athlete
Two years later in 1962 Barry made his senior debut in a National Hurling League game against Kilkenny. The following year Mick Cashman retired and Barry became the first-choice goalkeeper for the senior team, making his debut in a Munster quarter-final defeat of Clare.	The following year Mick Cashman retired and Barry became the first-choice goalkeeper for the senior team, making his debut in a Munster quarter-final defeat of Clare.	/m/027yqzr	Mick_Cashman	19	31	/people/deceased_person,/people/person,/sports/pro_athlete
Like the All Blacks, Munster have played Australia many times. They first met in 1947, where Australia won 6–5. Munster claimed their first victory over the Wallabies in 1967, when they won 11–8. In 1992, Australia, reigning world champions, having won the 1991 Rugby World Cup, visited Munster as part of a European Tour. Munster won 22–19 in a rough encounter in Cork. Ten years later, London newspaper The Daily Telegraph recounted part of the legend in a feature on Munster prop Peter Clohessy: "The then Wallabies coach, Bob Dwyer, who was not a man who readily accepted that opposition sides could legitimately score more points than his team, immediately branded the Munster Number 3 a 'disgrace'. It had been a typically rugged, robust and memorable Munster triumph, with leather and fists flying on both sides. Clohessy, who wouldn't generally be known for misconduct, was no more guilty than the next man but world champions are not supposed to lose against a hastily assembled Irish provincial XV. There had to be a reason, an excuse, and Dwyer rounded on Clohessy".	Ten years later, London newspaper The Daily Telegraph recounted part of the legend in a feature on Munster prop Peter Clohessy: "The then Wallabies coach, Bob Dwyer, who was not a man who readily accepted that opposition sides could legitimately score more points than his team, immediately branded the Munster Number 3 a 'disgrace'.	/m/026s63y	Peter_Clohessy	112	126	/people/person,/sports/pro_athlete
Cork went into decline following this defeat and fve years past before Kelleher added a sixth and final Munster title to his collection. Because of a delay in the championship the 5-1 to 3-1 defeat of Tipperary allowed Cork to advance to the All-Ireland final. Arch-rivals Kilkenny provided the opposition again. Sim Walton was the goal-scoring hero as 'the Cats' secured a 2-1 to 1-3 victory.	Sim Walton was the goal-scoring hero as 'the Cats' secured a 2-1 to 1-3 victory.	/m/027m1dd	Sim_Walton	0	10	/people/deceased_person,/people/person,/sports/pro_athlete
Kennedy first came to prominence on the inter-county scene as a member of the Cork senior hurling team in 1912. That year he won his first Munster winners' medal following a victory over Tipperary in the provincial final. Because of a delay in the championship the 5-1 to 3-1 Munster final victory allowed Cork to advance to the All-Ireland final. Arch-rivals Kilkenny provided the opposition in that game. Sim Walton was the goal-scoring hero as 'the Cats' secured a narroiw 2-1 to 1-3 victory and Kennedy ended up on the losing side.	Sim Walton was the goal-scoring hero as 'the Cats' secured a narroiw 2-1 to 1-3 victory and Kennedy ended up on the losing side.	/m/027m1dd	Sim_Walton	0	10	/people/deceased_person,/people/person,/sports/pro_athlete
A 6-6 to 2-4 defeat of Laois gave Rochford a seventh provincial winners' medal. Yet another All-Ireland final appearance beckoned, with Cork providing the opposition once again. The game was an extremely close affair with Sim Walton proving himself to be the goal-scoring hero. A speculative Matt Gargan shot also hopped past the goalkeeper to give Kilkenny a narrow 2-1 to 1-3 victory. It was Rochford's sixth All-Ireland winners' medal.	The game was an extremely close affair with Sim Walton proving himself to be the goal-scoring hero.	/m/027m1dd	Sim_Walton	44	54	/people/deceased_person,/people/person,/sports/pro_athlete
Miles Gorrell - Offensive Tackle - 19 Years CFL Calgary Stampeders/Hamilton Tiger-Cats/Montreal Alouettes/Winnipeg Blue Bombers, 5 time Eastern Division All-Star, 2 time Winner Leo Dandurand Trophy CFL Outstanding Lineman Eastern Division, 5 Grey Cup Appearances, 1 time Grey Cup Champion	Miles Gorrell - Offensive Tackle - 19 Years CFL Calgary Stampeders/Hamilton Tiger-Cats/Montreal Alouettes/Winnipeg Blue Bombers, 5 time Eastern Division All-Star, 2 time Winner Leo Dandurand Trophy CFL Outstanding Lineman Eastern Division, 5 Grey Cup Appearances, 1 time Grey Cup Champion	/m/02pm5s2	Miles_Gorrell	0	13	/people/measured_person,/people/person,/sports/pro_athlete
A positive to come from the season was the performances of young players such as Adrian Vowles, Kevin Campion, Jason Hetherington, Jamie Goddard and John Skardon.	A positive to come from the season was the performances of young players such as Adrian Vowles, Kevin Campion, Jason Hetherington, Jamie Goddard and John Skardon.	/m/02z4_wf	Jamie_Goddard	131	144	/people/person,/sports/pro_athlete
He is married to Yvonne Mai-Graham, a former East German 1500 m and 5000 m world level runner.	He is married to Yvonne Mai-Graham, a former East German 1500 m and 5000 m world level runner.	/m/0273kvg	Yvonne_Mai-Graham	17	34	/people/person,/sports/pro_athlete
The town is home to Meath Gaelic Athletic Association footballers such as Jack Quinn and Darren Fay and in recent times Brendan Murphy has emerged as the county team's star goalkeeper.	The town is home to Meath Gaelic Athletic Association footballers such as Jack Quinn and Darren Fay and in recent times Brendan Murphy has emerged as the county team's star goalkeeper.	/m/02q1yyp	Darren_Fay	89	99	/people/person,/sports/pro_athlete
