paragraph	sentence	mid	title	start	end	notable_types
Television broadcasts are split three ways: WGN (both the local feed and WGN America), WCIU-TV (a local independent station) and Comcast SportsNet Chicago. The announcers are the same wherever the game is televised: Ken "The Hawk" Harrelson on play-by-play and Steve Stone on color. Occasionally, well-known former White Sox players such as "Black Jack" McDowell fill in as substitutes in the broadcast booth. Since 1990, Ken "Hawk" Harrelson has done play-by-play commentary for the White Sox TV broadcasts.	Television broadcasts are split three ways: WGN (both the local feed and WGN America), WCIU-TV (a local independent station) and Comcast SportsNet Chicago.	/m/02vk_vq	Independent_station	104	123	/broadcast/tv_station_owner,/tv/tv_network
The Pittsburgh metro area is served by many local television and radio stations. The Pittsburgh designated market area (DMA) is the 22nd largest in the U.S. with 1,163,150 homes (1.045% of the total U.S.). The major network television affiliates are KDKA-TV 2 (CBS), WTAE 4 (ABC), WPXI 11 (NBC), WPGH-TV 53 (Fox), WPCW 19 (CW), WINP-TV 16 (Ion), WPMY 22 (MyNetworkTV), and WPCB 40 (Cornerstone). WBGN-CD 16 is an independent station owned and operated by the Bruno-Goodworth Network.	WBGN-CD 16 is an independent station owned and operated by the Bruno-Goodworth Network.	/m/02vk_vq	Independent_station	17	36	/broadcast/tv_station_owner,/tv/tv_network
Other television stations in the Milwaukee market include WMKE 7 (America One), WVCY 30 (FN), WBME-CD 41 (Independent), WMLW-TV 49 (Me-TV), WWRS 52 (TBN), Sportsman Channel, and WPXE 55 (ION)	Other television stations in the Milwaukee market include WMKE 7 (America One), WVCY 30 (FN), WBME-CD 41 (Independent), WMLW-TV 49 (Me-TV), WWRS 52 (TBN), Sportsman Channel, and WPXE 55 (ION)	/m/02vk_vq	Independent_station	106	117	/broadcast/tv_station_owner,/tv/tv_network
Area television stations affiliated with the major broadcasting networks include KDFW 4 (Fox), KXAS 5 (NBC), WFAA 8 (ABC) (owned by Belo), KTVT 11 (CBS), KERA 13 (PBS), KUVN 23 (UNI), KDFI 27 (MNTV), KDAF 33 (The CW) and KXTX 39 (TMD). KTXA-21 is an independent station formerly affiliated with the now-defunct UPN network.	KTXA-21 is an independent station formerly affiliated with the now-defunct UPN network.	/m/02vk_vq	Independent_station	14	33	/broadcast/tv_station_owner,/tv/tv_network
NTV is an independent station. The station sublicenses entertainment programming from Global and news programming from CTV and Global, rather than purchasing primary broadcast rights. Rogers Cable has its provincial headquarters in St. John’s, and their community channel Rogers TV airs local shows such as Out of the Fog and One Chef One Critic. CBC has its Newfoundland and Labrador headquarters in the city and their television station CBNT broadcasts from University Avenue. CBAFT is Radio-Canada's television service in Atlantic Canada which serves Franco-Newfoundlanders.	NTV is an independent station.	/m/02vk_vq	Independent_station	10	29	/broadcast/tv_station_owner,/tv/tv_network
Non-profit channels: Free Speech TV • Link TV	Non-profit channels: Free Speech TV • Link TV	/m/02w14k	Link_TV	38	45	/award/award_winner,/broadcast/broadcast,/broadcast/distributor,/broadcast/tv_channel,/broadcast/tv_station,/film/film_festival_sponsor,/internet/website_owner,/tv/tv_network,/tv/tv_program_creator
Public broadcasting outlets include both a television station and a radio station, both broadcasting under the call letters KQED from a facility near the Potrero Hill neighborhood. KQED-FM is the most-listened-to National Public Radio affiliate in the country. San Francisco–based CNET and Salon.com pioneered the use of the Internet as a media outlet. Satellite channel non commercial Link TV was launched in 1999 from San Francisco.	Satellite channel non commercial Link TV was launched in 1999 from San Francisco.	/m/02w14k	Link_TV	33	40	/award/award_winner,/broadcast/broadcast,/broadcast/distributor,/broadcast/tv_channel,/broadcast/tv_station,/film/film_festival_sponsor,/internet/website_owner,/tv/tv_network,/tv/tv_program_creator
Non-profit channels: Free Speech TV • Link TV	Non-profit channels: Free Speech TV • Link TV	/m/02w14k	Link_TV	38	45	/award/award_winner,/broadcast/broadcast,/broadcast/distributor,/broadcast/tv_channel,/broadcast/tv_station,/film/film_festival_sponsor,/internet/website_owner,/tv/tv_network,/tv/tv_program_creator
Non-profit channels: Free Speech TV • Link TV	Non-profit channels: Free Speech TV • Link TV	/m/02w14k	Link_TV	38	45	/award/award_winner,/broadcast/broadcast,/broadcast/distributor,/broadcast/tv_channel,/broadcast/tv_station,/film/film_festival_sponsor,/internet/website_owner,/tv/tv_network,/tv/tv_program_creator
Non-profit channels: Free Speech TV • Link TV	Non-profit channels: Free Speech TV • Link TV	/m/02w14k	Link_TV	38	45	/award/award_winner,/broadcast/broadcast,/broadcast/distributor,/broadcast/tv_channel,/broadcast/tv_station,/film/film_festival_sponsor,/internet/website_owner,/tv/tv_network,/tv/tv_program_creator
