paragraph	sentence	mid	title	start	end	notable_types
Caught in the Moment is an American television program about trekking the globe and capturing once-in-a-lifetime moments with endangered species and other animals in natural environments. This series is hosted by Tristan Bayer and Vanessa Garnick. It was shown on Animal Planet.	This series is hosted by Tristan Bayer and Vanessa Garnick.	/m/02634wm	Vanessa_Garnick	43	58	/people/person,/tv/tv_personality
The Dunedin studios were used to film many iconic shows, such as Play School, University Challenge, Beauty and the Beast, and Spot On. When TVNZ scaled back its Dunedin studios in 1989, they were purchased by Ian Taylor, the founder of Animation Research and Taylormade Media.	When TVNZ scaled back its Dunedin studios in 1989, they were purchased by Ian Taylor, the founder of Animation Research and Taylormade Media.	/m/02qkbm1	Ian_Taylor_(New_Zealand_businessman)	74	84	/people/person,/tv/tv_personality
In 2005, Kandarian traveled to New Zealand to edit TVNZ's The Rookie on Studio Two with Taylormade Media. During this time, she won the award for best cinematography at the New Zealand 48-Hour Short Film Festival for her mockumentary Bruised Gold, about the dangers of a fictional drug derived from bananas, later shown on the C4 television network.	In 2005, Kandarian traveled to New Zealand to edit TVNZ's The Rookie on Studio Two with Taylormade Media.	/m/02qkbm1	Ian_Taylor_(New_Zealand_businessman)	88	104	/people/person,/tv/tv_personality
Marketplace was originally hosted by Joan Watson and George Finstad. Other hosts have included Bill Paul, Harry Brown, Norma Kent, Jacquie Perrin, Christine Johnson, Jim Nunn and Wendy Mesley. The program's current hosts are Tom Harrington and Erica Johnson.	Other hosts have included Bill Paul, Harry Brown, Norma Kent, Jacquie Perrin, Christine Johnson, Jim Nunn and Wendy Mesley.	/m/0283jj1	Jacquie_Perrin	62	76	/award/competitor,/broadcast/artist,/people/person,/tv/tv_personality
Saturday Report (officially titled CBC News: Saturday Report from 2001 to 2009) was the primary Saturday newscast aired on CBC Television and CBC Newsworld from 1982 to 2009. Jacquie Perrin was the program's most recent regular anchor, although that position had rotated frequently among CBC personalities in the newscast's later years. Its format has also changed over the years, with a lengthy sports highlights segment - found in few other CBC newscasts - replaced by additional features and panel discussions in 2001.	Jacquie Perrin was the program's most recent regular anchor, although that position had rotated frequently among CBC personalities in the newscast's later years.	/m/0283jj1	Jacquie_Perrin	0	14	/award/competitor,/broadcast/artist,/people/person,/tv/tv_personality
Famous or notable winners of this pageant include Sandra Campbell of Leamington, Ontario, who became a television personality in Sydney, Australia (Celebrity Squares and One in a Million) and a marketing executive with a major American corporation. Another notable winner is Jacquie Perrin, who for more than a decade was the host of CBC TV's award-winning investigative consumer program, Market Place. Now at CBC Newsworld, Jacquie has been involved in various special news projects and is seen weekly as the host of highly-rated Saturday Report. Mary Lou Farrell made guest appearances on the Lawrence Welk Show, and used her stage name Aniko in performing in many Broadway musicals.	Another notable winner is Jacquie Perrin, who for more than a decade was the host of CBC TV's award-winning investigative consumer program, Market Place.	/m/0283jj1	Jacquie_Perrin	26	40	/award/competitor,/broadcast/artist,/people/person,/tv/tv_personality
Fox Soccer News began airing August 17, 2012, with hosts Brendan Dunlop, Kara Lang, Ben Ennis, and analysts Bobby McMahon and Thomas Rongen. It airs nightly at 10 p.m. Eastern (or after a live prime-time match- though highlights of that game are not included because the show is taped), with a few re-airs overnight and during the morning. It is produced for Fox Soccer by Sportsnet, a Canadian sports network owned by Rogers Media.	Fox Soccer News began airing August 17, 2012, with hosts Brendan Dunlop, Kara Lang, Ben Ennis, and analysts Bobby McMahon and Thomas Rongen.	/m/027rdls	Bobby_McMahon	108	121	/people/person,/tv/tv_personality
Until August 16, 2012, Fox Soccer's flagship studio program was Fox Soccer Report, anchored by Michelle Lissel, Eoin O'Callaghan and Asa Rehman, with former Scottish amateur footballer Bobby McMahon, produced by the now-defunct Fox Sports World Canada at the studios of Global Winnipeg.	Until August 16, 2012, Fox Soccer's flagship studio program was Fox Soccer Report, anchored by Michelle Lissel, Eoin O'Callaghan and Asa Rehman, with former Scottish amateur footballer Bobby McMahon, produced by the now-defunct Fox Sports World Canada at the studios of Global Winnipeg.	/m/027rdls	Bobby_McMahon	185	198	/people/person,/tv/tv_personality
The program featured multiple sportscasters that alternated on different days of the week. Its final lineup was anchored by Michelle Lissel, Eoin O'Callaghan and Asa Rehman. Former Scottish amateur footballer Bobby McMahon was featured on Mondays and Fridays, providing analysis of the weekend's matches.	Former Scottish amateur footballer Bobby McMahon was featured on Mondays and Fridays, providing analysis of the weekend's matches.	/m/027rdls	Bobby_McMahon	35	48	/people/person,/tv/tv_personality
In 2010, St.Louis travelled to Madrid, Spain to take part in Fox Soccer Channel coverage of the UEFA Champions League Final. Alongside Fox Sports NFL host Curt Menefee and former US International Eric Wynalda, Los Angeles Galaxy coach Bruce Arena, former English player Warren Barton and Fox Soccer Report analyst Bobby McMahon, St.Louis worked the sideline for the pre-game show, half-time and post-game show. His post-match interview with Inter Milan's Wesley Sneijder confirmed the news that manager Jose Mourinho was leaving the club as most other UK broadcasters were trying to break the story. His follow-up interviews with Sulley Muntari and Inter Milan President Massimo Moratti provided confirmation - a coup of sorts for Fox Soccer Channel.	Alongside Fox Sports NFL host Curt Menefee and former US International Eric Wynalda, Los Angeles Galaxy coach Bruce Arena, former English player Warren Barton and Fox Soccer Report analyst Bobby McMahon, St.Louis worked the sideline for the pre-game show, half-time and post-game show.	/m/027rdls	Bobby_McMahon	189	202	/people/person,/tv/tv_personality
The program has 2 co-anchors each night, rotating among Brendan Dunlop, James Sharman, Ben Ennis and Sarah Davis. Regularly appearing analysts include former Scottish amateur footballer Bobby McMahon, retired English footballer Danny Dichio, Dutch soccer coach Thomas Rongen, and former professional soccer player Lloyd Barker. Guest hosts have been Brad Fay and Gene Principe. When the program first launched, it included retired Canadian soccer player Kara Lang.	Regularly appearing analysts include former Scottish amateur footballer Bobby McMahon, retired English footballer Danny Dichio, Dutch soccer coach Thomas Rongen, and former professional soccer player Lloyd Barker.	/m/027rdls	Bobby_McMahon	72	85	/people/person,/tv/tv_personality
