paragraph	sentence	mid	title	start	end	notable_types
The chapel was built in 1477 and modified in the 17th century. The side lunettes have frescoes by Niccolo di Lapi representing the Birth of the Virgin and St Philip Neri celebration mass. The vault shows the Coronation of the Virgin painted by Pietro Dandini. The altarpiece is the Virgin of the Immaculate Conception by Ludovico Cardi, late 16th century.	The vault shows the Coronation of the Virgin painted by Pietro Dandini.	/m/02r6n2g	Pietro_Dandini	56	70	/people/deceased_person,/people/person,/visual_art/visual_artist
Initially the site held a 14th-century home for women of "easy virtue" and dedicated to St. Mary Magdalen, it was renamed after the patron saint of the Cavalieri or Knights of Malta. Rebuilt from 1553-1784, with facade added in 1699. Presently it contains a Coronation of the Virgin by Neri di Bicci, a Nativity by Bicci di Lorenzo, an Annunciation by the Master of Stratonice, a Decapitation of St. John the Baptist by Pietro Dandini, vault frescoes by Alessandro Gherardini, a painted cross in the apse by Lorenzo Monaco, and a Last Supper by Palma il Giovane.	Presently it contains a Coronation of the Virgin by Neri di Bicci, a Nativity by Bicci di Lorenzo, an Annunciation by the Master of Stratonice, a Decapitation of St. John the Baptist by Pietro Dandini, vault frescoes by Alessandro Gherardini, a painted cross in the apse by Lorenzo Monaco, and a Last Supper by Palma il Giovane.	/m/02r6n2g	Pietro_Dandini	186	200	/people/deceased_person,/people/person,/visual_art/visual_artist
Vincenzo Dandini (1607–1675) was an Italian painter of the Baroque period, active mainly in Florence. He was a pupil of his brother, Cesare Dandini in Florence, then he moved to Rome and worked in the studio of Pietro da Cortona. Among his pupils were Giovanni Battista Marmi and Antonio Domenico Gabbiani. His nephew Pietro and his two children, Ottaviano and Vincezo the younger, also worked as painters in his studio.	He was a pupil of his brother, Cesare Dandini in Florence, then he moved to Rome and worked in the studio of Pietro da Cortona.	/m/02r6n2g	Pietro_Dandini	109	115	/people/deceased_person,/people/person,/visual_art/visual_artist
Vincenzo Dandini (1607–1675) was an Italian painter of the Baroque period, active mainly in Florence. He was a pupil of his brother, Cesare Dandini in Florence, then he moved to Rome and worked in the studio of Pietro da Cortona. Among his pupils were Giovanni Battista Marmi and Antonio Domenico Gabbiani. His nephew Pietro and his two children, Ottaviano and Vincezo the younger, also worked as painters in his studio.	His nephew Pietro and his two children, Ottaviano and Vincezo the younger, also worked as painters in his studio.	/m/02r6n2g	Pietro_Dandini	11	17	/people/deceased_person,/people/person,/visual_art/visual_artist
Filippo Maria Galletti (1636–1714) was an Italian painter of the Baroque period, active mainly in Tuscany, Parma, and Liguria. He was a pupil of the painter Ciro Ferri and Pietro Dandini. He became a Theatine priest, and painted religious works in Lecce (church of Santa Irene) and Livorno (Santuario de Montenero), and the church of Santa Lucia (Parma). He entered the Theatine order.	He was a pupil of the painter Ciro Ferri and Pietro Dandini.	/m/02r6n2g	Pietro_Dandini	45	59	/people/deceased_person,/people/person,/visual_art/visual_artist
He was the older brother of the painter Vincenzo Dandini (1609–1675). His nephew, Pietro was a pupil of Vincenzo, and Pietro's two sons, Ottaviano Dandini and the jesuit Vincenzo also worked as painters in Florence. According to the biographer Baldinucci, Cesare first worked under Francesco Curradi, then Cristofano Allori, and finally Domenico Passignano. He enrolled in 1621 in the Accademia del Disegno. His style has the polish and attention to draughtsmanship and design characteristic of Florentines like Carlo Dolci.	His nephew, Pietro was a pupil of Vincenzo, and Pietro's two sons, Ottaviano Dandini and the jesuit Vincenzo also worked as painters in Florence.	/m/02r6n2g	Pietro_Dandini	12	18	/people/deceased_person,/people/person,/visual_art/visual_artist
Valerio Baldassari (c.1650 – after 1695) was an Italian painter of the Baroque period. He was born in Pescia, and trained with Pietro Dandini. He is said to have labored with such "speedy flair" ... that his works look rather like preliminary drafts that finished paintings" ("lavorava ogni cosa con quella tale sprezzatura... di modo che le sue opere sembrano piuttosto abozzi che pitture terminate"). He is also known as Baldissari.	He was born in Pescia, and trained with Pietro Dandini.	/m/02r6n2g	Pietro_Dandini	40	54	/people/deceased_person,/people/person,/visual_art/visual_artist
The church is on the Latin cross plan with a nave, two aisles and a transept. Much of the decoration dates from the reign of Christina, Grand Duchess of Tuscany, who in 1627 commissioned the restoration of the Collegiata to Florentine artists, who provided large devotional altarpieces and sculptures. Artists include painters Matteo Rosselli, Francesco Curradi, Jacopo Vignali, Pietro Dandini, Bastiano Bitozzi, Jacopo Chiavistelli, and Alessandro Cominotti, and the sculptors Giovan Battista Stagi, Stagio Stagi and Ferdinando Tacca.	Artists include painters Matteo Rosselli, Francesco Curradi, Jacopo Vignali, Pietro Dandini, Bastiano Bitozzi, Jacopo Chiavistelli, and Alessandro Cominotti, and the sculptors Giovan Battista Stagi, Stagio Stagi and Ferdinando Tacca.	/m/02r6n2g	Pietro_Dandini	77	91	/people/deceased_person,/people/person,/visual_art/visual_artist
Initially, a "lady-in-waiting" for a Grand Duchess dowager of Tuscany, Vittoria della Rovere, she was noted to have a skill at drawing and tutored under a mediocre Capuchin monk and painter, Ippolito Galantini. She is also said to have had instruction by Livio Mehus, Pietro Dandini, Domenico Tempesti, and Anton Domenico Gabbiani. She was active in the court of Cosimo III, Grand Duke of Tuscany. Born the daughter of Giovanni Marmocchini, she married at age 18, Giuliano Fratellini. She gained renown among aristocratic circles for her ability to paint, with celerity, miniature enamel portraits. These were used as portable mementos that could be carried in lockets. She was in the past compared with Rosalba Carriera, who gained fame with her ability to rapidly complete somewhat sugary, pastel portrait busts of sitters. The painter Violante Beatrice Siries (1709–1783) was her pupil.	She is also said to have had instruction by Livio Mehus, Pietro Dandini, Domenico Tempesti, and Anton Domenico Gabbiani.	/m/02r6n2g	Pietro_Dandini	57	71	/people/deceased_person,/people/person,/visual_art/visual_artist
Antonio Puglicochi was an Italian painter of the Baroque period, active mainly in his native city of Florence. He was a pupil successively of Pietro Dandini and Ciro Ferri.	He was a pupil successively of Pietro Dandini and Ciro Ferri.	/m/02r6n2g	Pietro_Dandini	31	45	/people/deceased_person,/people/person,/visual_art/visual_artist
